"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"1",29.65,30.07,29.280001,29.530001,3358900,27.984293
"2",29.700001,30.9,29.690001,30.809999,12151800,29.197294
"3",30.9,31.040001,30.459999,30.870001,4712700,29.254152
"4",30.85,30.91,30.559999,30.799999,2707600,29.187817
"5",30.870001,31.120001,30.450001,30.709999,3086100,29.10252
"6",30.790001,31.23,30.290001,30.719999,3005300,29.112005
"7",30.77,31.450001,30.51,31.43,3408600,29.78484
"8",31.43,31.610001,30.67,31.41,3510600,29.765884
"9",31.49,31.780001,30.93,31.25,2961000,29.61426
"10",31.5,31.52,30.59,30.77,3301500,29.159388
"11",30.84,30.92,30.35,30.6,2898600,28.998285
"12",30.690001,30.83,30.01,30.25,3145600,28.666603
"13",30.690001,31.57,30.65,31.280001,5524900,29.642694
"14",31.33,31.629999,31.049999,31.549999,3544900,29.898558
"15",31.889999,33.990002,31.889999,33.450001,9688200,31.699108
"16",33.5,33.93,32.93,33.259998,7093300,31.519047
"17",32.009998,32.34,31.43,31.84,8221800,30.173386
"18",31.82,31.99,31.120001,31.42,4891000,29.775362
"19",31.15,31.15,30.709999,30.969999,3627100,29.348921
"20",31.040001,31.389999,30.709999,31.370001,5095300,29.727983
"21",31.379999,31.959999,31.07,31.68,3910900,30.021753
"22",31.59,31.68,30.76,31.450001,2807800,29.803795
"23",31.530001,31.950001,31.51,31.85,4943300,30.182858
"24",31.77,32.139999,31.6,32.029999,5790500,30.353432
"25",31.1,33.02,30.66,32.23,7328100,30.542965
"26",32.23,32.59,31.6,32.209999,4806100,30.524015
"27",32.209999,32.57,31.59,31.83,5003600,30.163904
"28",32.080002,33.040001,32.080002,32.860001,4616500,31.139988
"29",33.130001,34.360001,33.099998,33.75,5985600,31.983402
"30",33.650002,34.029999,33.41,34.02,3403200,32.239262
"31",34.009998,34.040001,33.369999,33.779999,4173500,32.011826
"32",33.68,33.810001,32.93,33.150002,3699400,31.414812
"33",33.139999,33.599998,32.759998,33.59,2771500,31.831776
"34",33.900002,33.900002,33.450001,33.639999,3024600,31.879162
"35",33.369999,33.59,33.09,33.130001,2381600,31.395857
"36",33.310001,33.310001,31.469999,31.83,6941100,30.163904
"37",31.469999,31.559999,31.040001,31.42,4386000,29.775362
"38",31.379999,31.65,31.200001,31.540001,4690000,29.889082
"39",31.24,31.860001,31.08,31.190001,8542000,29.817383
"40",31.6,31.9,30.940001,31.030001,6733200,29.664427
"41",31.09,31.17,30.41,30.42,5348700,29.081266
"42",30.299999,30.379999,29.93,30.219999,6506500,28.890068
"43",30.01,30.139999,29.629999,29.65,4017100,28.345156
"44",29.67,29.709999,28.959999,29.18,9147400,27.895844
"45",29.25,29.440001,28.639999,28.67,8117100,27.408283
"46",29.209999,30.49,28.780001,29,11897000,27.723757
"47",29.030001,29.43,28.85,29.190001,5809600,27.905401
"48",29.299999,29.440001,28.98,29.120001,2801100,27.83848
"49",28.83,28.950001,28.459999,28.6,3282600,27.341364
"50",28.780001,29.27,28.549999,29.139999,3678000,27.857601
"51",29.32,29.4,28.940001,28.99,2716100,27.714201
"52",29.08,29.290001,28.93,29.17,4828000,27.886278
"53",29.219999,29.57,29,29.25,3050800,27.962759
"54",29.25,29.59,28.620001,28.639999,3534600,27.379602
"55",28.639999,28.879999,28.34,28.75,2676000,27.484762
"56",28.790001,29.18,28.66,29,1969100,27.723757
"57",28.98,29.08,28.58,28.75,2158600,27.484762
"58",28.459999,28.9,28.379999,28.639999,3073100,27.379602
"59",28.65,29.370001,28.65,29.17,2860600,27.886278
"60",29.18,29.799999,29.040001,29.48,2737900,28.182636
"61",29.370001,29.559999,29.02,29.35,2997100,28.058361
"62",29.24,29.48,28.93,29.18,4223400,27.895844
"63",29.25,29.43,28.41,28.91,3958700,27.637724
"64",28.889999,29.17,28.58,29.16,4588700,27.876717
"65",29.360001,29.51,28.969999,29,5330400,27.723757
"66",29,29.33,28.860001,29.190001,3258000,27.905401
"67",29.049999,29.129999,28.809999,28.85,2480300,27.580362
"68",28.950001,29.129999,28.67,28.940001,2918900,27.666405
"69",28.93,29.049999,28.27,28.690001,3736000,27.427402
"70",28.559999,28.66,28.110001,28.15,3797400,26.911167
"71",28.08,28.16,27.42,27.459999,4231700,26.251534
"72",27.48,27.559999,27.200001,27.360001,4467600,26.155935
"73",27.16,27.190001,26.82,27.040001,3874600,25.850018
"74",27.110001,27.209999,26.719999,26.83,3063900,25.649258
"75",26.969999,27.26,26.889999,27.1,3433000,25.907379
"76",27.040001,27.129999,26.67,26.67,3539700,25.496298
"77",27.059999,27.25,26.93,27.09,4856200,25.897816
"78",27.389999,27.709999,27.290001,27.540001,4322600,26.328014
"79",27.370001,27.52,26.85,27.42,5188900,26.213295
"80",27.559999,27.889999,27.379999,27.450001,4214700,26.241972
"81",27.549999,27.610001,26.879999,26.93,5411700,25.74486
"82",27.120001,27.15,26.799999,26.870001,4390200,25.687496
"83",26.040001,26.110001,24.58,24.950001,14087000,23.851986
"84",24.73,24.85,23.52,23.629999,11549300,22.590082
"85",23.68,23.9,23.209999,23.32,8444200,22.293724
"86",23.4,23.639999,23.4,23.450001,7754600,22.418007
"87",23.48,23.67,23.290001,23.540001,6837000,22.504044
"88",24,24.120001,23.459999,23.49,9226600,22.456247
"89",23.52,23.620001,23.4,23.459999,10589400,22.427568
"90",23.48,23.860001,23.209999,23.700001,6840100,22.657007
"91",23.65,23.799999,22.9,22.91,5801800,21.90177
"92",23.120001,23.68,23.040001,23.450001,4464300,22.418007
"93",23.450001,23.65,23.24,23.41,3427400,22.379766
"94",23.41,23.41,22.6,22.809999,5154900,21.806173
"95",22.51,22.940001,22.43,22.85,4722400,21.84441
"96",22.950001,23.9,22.940001,23.65,5662300,22.609203
"97",23.799999,23.879999,22.889999,23.1,4966500,22.083408
"98",23.209999,23.49,23.110001,23.32,5129400,22.293724
"99",23.34,23.469999,22.98,23.139999,2874700,22.121649
"100",23.139999,23.42,22.68,22.9,3217800,21.892208
"101",22.84,23.209999,22.780001,23.16,2490700,22.140768
"102",23,23.059999,22.85,22.940001,2214500,22.073414
"103",22.959999,22.959999,22.280001,22.629999,4697600,21.77512
"104",22.629999,23.07,22.450001,22.790001,3406600,21.929079
"105",22.73,22.75,22.32,22.5,3616200,21.650032
"106",22.379999,22.73,22.280001,22.6,3449600,21.74626
"107",22.459999,22.67,22.26,22.6,3053100,21.74626
"108",22.6,22.610001,22.15,22.25,4028700,21.409483
"109",22.25,22.790001,22.18,22.549999,2856100,21.698145
"110",22.860001,23.65,22.68,23.51,4920900,22.62188
"111",23.51,24.450001,23.299999,23.549999,6525200,22.660368
"112",23.549999,23.809999,23.290001,23.700001,4460500,22.804707
"113",23.690001,23.799999,22.639999,22.74,4309400,21.88097
"114",22.52,22.76,22.23,22.33,3993500,21.486458
"115",22.360001,22.719999,22.190001,22.709999,6020300,21.852102
"116",22.780001,22.950001,22.690001,22.860001,3445800,21.996433
"117",22.719999,22.719999,22.200001,22.219999,3478300,21.380611
"118",22.26,22.389999,21.790001,21.870001,4087400,21.043837
"119",21.879999,22.469999,21.809999,22.32,5839300,21.476833
"120",22.4,23.040001,22.110001,22.969999,4545800,22.102278
"121",23.030001,23.299999,22.91,23.23,3467500,22.352457
"122",23.27,23.34,22.629999,22.629999,2518300,21.77512
"123",22.84,23.059999,22.57,22.58,2437200,21.727011
"124",22.65,23,22.5,22.610001,2962700,21.75588
"125",22.73,22.959999,22.549999,22.83,2562700,21.967571
"126",23.040001,23.84,22.98,23.77,2389600,22.872065
"127",23.76,23.809999,22.83,22.870001,4404600,22.006056
"128",22.73,22.889999,22.35,22.4,3217000,21.553814
"129",22.48,22.67,22.17,22.6,3508800,21.74626
"130",22.639999,24.18,22.530001,23.799999,6812600,22.900925
"131",23.790001,23.959999,23.129999,23.67,5674300,22.775837
"132",23.879999,24.299999,23.450001,23.57,5307800,22.679615
"133",23.530001,23.9,23.360001,23.85,3152600,22.949038
"134",23.75,23.870001,23.52,23.719999,2952500,22.82395
