"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"1",53.700001,54.59,52.439999,52.93,13329200,43.866821
"2",52.950001,53.5,51.029999,51.240002,10980400,42.466206
"3",51.5,51.790001,50.029999,51.049999,9534900,42.308731
"4",51.110001,51.25,50.290001,50.369999,4748300,41.745167
"5",50.049999,50.220001,49.360001,49.459999,8037700,40.990982
"6",49.5,49.959999,48.970001,48.970001,5124400,40.584881
"7",49.400002,50,49.099998,49.66,6681500,41.156731
"8",49.610001,49.73,48.73,49.25,3952600,40.81694
"9",48.91,49.139999,47.849998,48.380001,5758400,40.095917
"10",48.740002,49.599998,48.259998,48.73,5121300,40.385979
"11",48.34,49.34,48.200001,48.900002,3751600,40.526882
"12",48.939999,49.02,47.93,48.369999,4185700,40.087631
"13",48.799999,49.040001,48.41,48.759998,5033300,40.410835
"14",48.560001,48.77,48.119999,48.720001,8149200,40.377705
"15",49.119999,50.48,48.970001,50.09,7319700,41.513115
"16",50.290001,50.310001,49.16,49.669998,7580200,41.165024
"17",50.09,50.09,49.279999,49.439999,4333300,40.974411
"18",49.59,50,48.669998,49.080002,5084000,40.67606
"19",49.119999,49.200001,48.119999,48.360001,5473900,40.079334
"20",48.540001,48.599998,46.880001,48.049999,5308900,39.822418
"21",49.68,49.970001,47.099998,47.709999,7659300,39.540638
"22",48.439999,48.5,47.43,47.900002,4151300,39.698105
"23",47.82,48.5,47.169998,48.16,3778900,39.913593
"24",48.189999,48.75,47.799999,48.369999,7976500,40.087631
"25",48.130001,48.509998,47.580002,47.93,3999700,39.722961
"26",47.57,49.139999,47.389999,49.119999,4461300,40.709202
"27",49.650002,50.080002,49.23,49.93,4231700,41.380501
"28",50.369999,50.470001,49.68,50.139999,2787200,41.55455
"29",50.130001,50.68,49.919998,50.279999,3256400,41.670582
"30",50.029999,50.970001,49.700001,50.959999,4359300,42.538708
"31",50.790001,51.16,50.27,50.639999,4396100,42.271584
"32",50.990002,51,49.860001,49.959999,2955400,41.70396
"33",49.669998,50.049999,49.41,50.02,3352700,41.754047
"34",50.48,50.610001,49.990002,50.380001,3963500,42.054558
"35",50.099998,50.369999,49.57,49.810001,3157900,41.578762
"36",50.389999,50.650002,49.919998,50.349998,2673300,42.029518
"37",50,50.040001,49.43,50.029999,3118700,41.762398
