"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"1",82.889999,84.040001,81.839996,83.610001,433900,80.19603
"2",83.949997,84.050003,82.489998,83.029999,363400,79.639702
"3",82.709999,83.760002,82.199997,82.760002,231900,79.38073
"4",82.669998,84.239998,82.279999,83.940002,269200,80.512535
"5",84.129997,85.809998,83.75,85.400002,481900,81.912918
"6",85.089996,85.75,84.639999,85.57,300300,82.076004
"7",86,86.349998,85.059998,86.32,261500,82.795349
"8",86.129997,86.220001,84.800003,85.949997,142000,82.440468
"9",86.230003,87.610001,86.059998,87.139999,160300,83.581879
"10",86.800003,86.940002,84.900002,85.169998,220300,81.692329
"11",85.730003,86.93,85.629997,86.449997,259600,82.920036
"12",86.260002,86.959999,85.400002,85.610001,211500,82.114349
"13",85.620003,87.800003,85.620003,87.540001,452500,83.965569
"14",87.360001,88.629997,87.360001,88.330002,651500,84.723297
"15",88.769997,91.129997,88.720001,90.550003,364600,86.852631
"16",91.040001,91.760002,89.940002,90.059998,455200,86.382652
"17",90.230003,90.739998,87.75,88.300003,507400,84.694519
"18",88.760002,90.150002,88.160004,89.779999,196100,86.114067
"19",89,89.610001,87.599998,89.050003,228200,85.413879
"20",89.050003,89.050003,87.139999,87.239998,437100,83.677795
"21",88.239998,89.18,87.150002,88.919998,398100,85.2892
"22",88.5,88.809998,87.769997,88.269997,238700,84.665749
"23",89.190002,89.75,88.550003,89.07,345900,85.433075
"24",88.82,88.889999,87.900002,88.540001,286200,84.924721
"25",88.669998,89.809998,88.339996,89.370003,214100,85.720833
"26",89.050003,90.440002,88.75,89.910004,448000,86.238785
"27",89.980003,90.400002,88.889999,89.010002,649300,85.375526
"28",87.75,89.339996,85.25,88.400002,977200,84.790428
"29",88.529999,89.150002,84.949997,85.910004,768700,82.4021
"30",85.580002,85.730003,84.760002,85.129997,353200,81.653946
"31",85.07,86.279999,84.449997,86.019997,461800,82.507614
"32",86.209999,86.720001,85.510002,86.160004,252900,82.641899
"33",86.010002,86.610001,85.019997,86.519997,239300,82.98719
"34",86.519997,88.230003,86.449997,88.220001,327900,84.617775
"35",88.160004,89.089996,87.980003,88.800003,272700,85.17411
"36",89.059998,89.059998,86.839996,88.18,462400,84.579407
"37",87.480003,88.830002,87.040001,88.82,266400,85.193275
"38",88.949997,89.110001,88.190002,89.099998,413000,85.461853
"39",89,89,87.709999,87.970001,509000,84.377998
"40",88.75,89.5,87.970001,89.440002,312700,85.787971
"41",89.349998,89.75,88.839996,88.919998,229100,85.2892
"42",89,89.029999,88.199997,88.57,267100,84.953476
"43",87.959999,88.470001,87,88.160004,178000,84.560234
"44",88.139999,89.370003,87.709999,88.349998,258000,84.74247
"45",88.639999,89.440002,88.089996,88.370003,153400,84.761665
"46",88.370003,88.650002,87.830002,88.330002,160700,84.723297
"47",88.879997,89.32,88.5,89.25,205300,85.605713
"48",89.239998,91,89,90.959999,222300,87.245903
"49",90.879997,91.5,90.339996,91.389999,303900,87.658348
"50",91.5,92.889999,90.410004,92.720001,259000,88.934044
"51",93.050003,93.580002,92.239998,92.32,188000,88.550362
"52",92.519997,93.300003,92,92.959999,503900,89.16423
"53",93.290001,94.489998,92.809998,93.730003,252000,89.902817
"54",94.370003,94.370003,91.599998,91.68,288100,87.936523
"55",91.580002,92.190002,91,92.089996,234200,88.32975
"56",91.93,92.629997,90.910004,91.120003,204300,87.399376
"57",91.879997,92.949997,91.07,91.43,222500,87.696709
"58",90.839996,91.349998,89.089996,91.07,286400,87.351418
"59",91.07,92.809998,91.019997,92.669998,272200,88.886078
"60",92.290001,92.989998,91.43,91.870003,173900,88.309334
"61",91.900002,92.489998,90.080002,91.93,260700,88.366997
"62",91.75,92.650002,90.910004,92.099998,226000,88.530434
"63",92.230003,92.540001,91.07,91.489998,339300,87.944061
"64",91.169998,92.940002,91.169998,92.529999,329500,88.943748
"65",92.669998,92.980003,90.800003,90.980003,295800,87.453819
"66",91.099998,91.449997,89.800003,91.050003,301000,87.521103
"67",90.860001,92.050003,90.480003,91.730003,180100,88.174767
"68",91.970001,92.239998,90.739998,91.230003,256900,87.694145
"69",90.940002,92.110001,89.410004,90.57,439400,87.059708
"70",90.57,90.760002,89.269997,89.400002,288500,85.935059
"71",89,90.239998,88.190002,88.970001,200800,85.521736
"72",89.339996,90.440002,89.25,90.419998,148600,86.915527
"73",90.169998,91.199997,89.209999,91.110001,173300,87.578796
"74",91.790001,92.470001,91.389999,91.800003,268400,88.242058
"75",92.160004,93.93,91.730003,93.809998,267700,90.174156
"76",93.650002,94.150002,92.440002,93.370003,382400,89.751198
"77",94.989998,95.660004,94.419998,95.25,340500,91.558342
"78",95.949997,96.839996,95.25,96.209999,458500,92.481148
"79",96.220001,96.279999,93.68,93.709999,366900,90.078026
"80",95,96.599998,92.980003,94.459999,536700,90.79895
"81",94.260002,94.75,91.43,91.5,414500,87.953667
"82",91.5,92.610001,90.300003,91.860001,376300,88.299721
"83",91.760002,92.129997,90.379997,91.110001,244100,87.578796
"84",90.809998,91.050003,89.669998,90.82,245800,87.300018
"85",91.050003,92.839996,91,92.760002,288100,89.164841
"86",93.279999,93.459999,91.910004,93.459999,211500,89.837715
"87",93.160004,93.580002,92.239998,92.68,251900,89.087952
"88",92.839996,94.480003,91.629997,93.720001,208800,90.087646
"89",94.25,95.599998,93.82,95.389999,361200,91.692902
"90",95.099998,95.779999,94.470001,95.540001,314900,91.837112
"91",95.239998,95.779999,94.459999,94.809998,165800,91.135376
"92",95.269997,96.449997,95.269997,96.089996,257800,92.365768
"93",96.379997,98.330002,96.190002,98.209999,284800,94.403618
"94",96.75,97.389999,92.889999,92.959999,306000,89.357086
"95",92.610001,94.68,92.150002,93.830002,263000,90.193375
"96",94.510002,95.779999,94.510002,95.099998,189600,91.414146
"97",95.32,95.900002,94.93,95.220001,182800,91.529495
"98",95.489998,95.489998,93.879997,95.040001,136300,91.356476
"99",95.440002,97.739998,95.089996,97.43,243800,93.653854
"100",97.839996,98.339996,97.110001,97.660004,117000,93.874954
"101",97.610001,98.339996,96.559998,98.010002,115800,94.211349
"102",98.230003,98.93,97.519997,97.82,212600,94.028717
"103",98.5,98.660004,97.080002,98.199997,155800,94.393997
"104",98.699997,98.870003,97.889999,98.589996,211400,94.768883
"105",99.089996,101.160004,98.540001,100.800003,361300,96.89325
"106",100.800003,101.5,100.080002,101.010002,230800,97.095093
"107",100.370003,101.949997,100.019997,100.830002,241500,96.922081
"108",101.209999,102.629997,100.809998,101.790001,227300,97.844864
"109",102.300003,103.519997,101.040001,103.349998,229800,99.344383
"110",103.690002,103.919998,96.639999,97.93,331900,94.134468
"111",96.580002,98.900002,93.690002,97.339996,344600,93.567337
"112",98.190002,99.879997,97.300003,98.07,237100,94.269012
"113",98.260002,99.139999,95.5,96.459999,165000,92.721443
"114",94.730003,96.650002,94.730003,96.410004,199800,92.673386
"115",95.790001,97.599998,95.589996,97.190002,391600,93.423149
"116",103,103.010002,97.589996,98.330002,169500,94.518967
"117",98.169998,98.760002,96.300003,96.400002,335800,92.663773
"118",97.139999,98.18,96.629997,97.559998,147000,93.778801
"119",97.339996,97.660004,96.25,97.059998,119800,93.29818
"120",97.18,98.779999,96.769997,98.580002,293900,94.759285
"121",99,101.25,98.940002,99.510002,856100,95.653229
"122",99.400002,99.400002,96.690002,96.839996,518400,93.086708
"123",97.279999,99.169998,96.120003,99.029999,319600,95.388817
"124",98.550003,100,95.389999,97.120003,298700,93.549057
"125",97.220001,97.949997,96.339996,96.400002,238700,92.855545
"126",96.900002,97.190002,94.239998,94.239998,150900,90.774948
"127",94.269997,96.580002,94.260002,95.739998,260300,92.21978
"128",94.720001,96.269997,94.260002,95.300003,178200,91.795975
"129",95.830002,98.18,95.529999,98.029999,374400,94.425606
"130",98.260002,98.480003,97.209999,97.779999,242600,94.184792
"131",97.769997,98.980003,97.349998,98.720001,260800,95.090225
"132",99.639999,100.470001,99.379997,100.150002,137800,96.467674
"133",100.25,100.389999,98.879997,100.010002,192800,96.332794
"134",100.260002,101.050003,100.010002,100.790001,140300,97.084114
"135",101.080002,101.839996,100.019997,101.029999,233900,97.315308
"136",100.75,101.860001,100.290001,101.629997,169300,97.893242
"137",102.120003,103.949997,101.959999,103.610001,172700,99.80043
"138",103.959999,105.139999,103.239998,105,127500,101.13932
"139",105.089996,105.089996,103.139999,103.75,237200,99.93528
"140",103.650002,104.970001,103.349998,104.849998,261200,100.994835
"141",104.940002,105.260002,103.889999,104.93,367900,101.071907
"142",105.660004,107.870003,104.830002,106.790001,386800,102.863518
"143",101.599998,107.559998,99.5,104.580002,588000,100.734764
"144",103.910004,103.910004,102.290001,102.620003,224300,98.84684
"145",102.599998,103.75,101.660004,102.32,220400,98.557854
"146",102.870003,103.980003,102,103.199997,273400,99.405502
"147",103.440002,103.449997,101.139999,101.860001,232500,98.114792
"148",101.730003,102.800003,100.75,101.440002,245900,97.710197
"149",101.599998,102.449997,100.949997,101.550003,188100,97.816177
"150",101.849998,103.139999,101,102.769997,220900,98.991333
"151",102.769997,103.849998,102.269997,102.510002,195000,98.740883
"152",102.010002,102.900002,101.379997,102.150002,196000,98.394119
"153",101.650002,101.800003,100.230003,100.470001,240500,96.775871
"154",100.650002,101.730003,99.720001,101.099998,158700,97.382721
"155",102,103.029999,101.269997,101.769997,227100,98.028076
"156",101.940002,102.510002,101.400002,101.779999,178700,98.037704
"157",102,102.040001,101.110001,101.470001,190800,97.739136
