"","MRO.Open","MRO.High","MRO.Low","MRO.Close","MRO.Volume","MRO.Adjusted"
"1",17.74,18.059999,17.290001,17.76,13526000,16.658842
"2",17.709999,18.09,17.540001,18.049999,9323100,16.930859
"3",18.1,18.27,17.879999,18.18,9764700,17.052801
"4",18.17,18.17,17.83,17.879999,7807800,16.771399
"5",17.639999,17.75,17.4,17.4,8866700,16.321157
"6",17.5,17.58,17.35,17.48,6969500,16.396198
"7",17.559999,17.76,17.469999,17.690001,9787400,16.59318
"8",18.030001,18.1,17.33,17.440001,10282400,16.358685
"9",17.33,17.49,17.24,17.450001,5406800,16.368063
"10",17.629999,17.700001,17.4,17.440001,6865000,16.358685
"11",17.26,17.48,17.15,17.33,9286700,16.255507
"12",17.33,17.51,17.209999,17.27,6267100,16.199223
"13",17.49,17.75,17.42,17.610001,11179200,16.518139
"14",17.48,17.610001,17.27,17.42,9514800,16.33992
"15",17.549999,17.91,17.5,17.700001,8316000,16.602566
"16",17.690001,17.879999,17.67,17.75,8053500,16.649462
"17",17.799999,17.93,17.639999,17.75,6978400,16.649462
"18",17.68,17.700001,17.280001,17.41,6444500,16.330545
"19",17.27,17.34,16.360001,16.530001,13623400,15.505104
"20",16.549999,16.75,16.280001,16.75,10892700,15.711461
"21",17.030001,17.120001,16.23,16.59,11449100,15.561379
"22",16.639999,16.77,16.290001,16.68,9235800,15.645801
"23",16.700001,17.360001,16.66,17.23,12758600,16.161697
"24",17.25,17.25,16.459999,16.52,9566000,15.495726
"25",16.389999,16.43,15.75,16.030001,14647800,15.036103
"26",15.86,16.24,15.63,15.88,13282300,14.895406
"27",15.88,16.23,15.88,16.049999,8911600,15.05486
"28",16.379999,16.4,16.049999,16.190001,11992600,15.186182
"29",16.08,16.139999,15.79,16.059999,14778800,15.11091
"30",16.16,16.43,15.97,16.41,11092100,15.440227
"31",16.389999,16.57,16.190001,16.299999,13241300,15.336727
"32",16.6,17.049999,16.129999,16.17,23882200,15.21441
"33",16.049999,16.26,15.93,16.23,13921100,15.270864
"34",16.42,16.639999,16.32,16.379999,13302200,15.412003
"35",16.200001,16.26,15.73,15.76,14602300,14.828641
"36",16.25,16.25,15.7,15.98,16366300,15.035637
"37",15.69,15.99,15.59,15.73,12131000,14.800411
"38",15.9,15.98,15.66,15.85,11130900,14.913322
"39",15.68,16.120001,15.67,16,13377900,15.054459
"40",16.16,16.65,16.1,16.450001,12991700,15.477864
"41",16.25,16.48,16.09,16.139999,11310800,15.186183
"42",16.18,16.5,16.120001,16.18,6963100,15.22382
"43",16.1,16.48,15.98,16.469999,8821100,15.496683
"44",16.549999,16.59,16.110001,16.280001,11320400,15.317911
"45",16.120001,16.209999,14.81,14.87,24467100,13.991236
"46",15.66,16.07,15.22,16.07,36557900,15.12032
"47",16.440001,16.540001,15.61,16.16,24326700,15.205002
"48",16.049999,16.25,15.8,15.84,15432300,14.903914
"49",15.49,15.5,14.61,15.32,24942900,14.414644
"50",15.48,15.68,15.23,15.56,15756400,14.640461
"51",15.63,15.7,15.43,15.55,9523200,14.631052
"52",15.61,15.65,15.39,15.46,12129400,14.54637
"53",15.29,15.52,15.08,15.48,11142600,14.565186
"54",15.55,15.57,14.89,15.05,15350700,14.160597
"55",14.95,15.13,14.81,15.02,10055400,14.132373
"56",14.96,15.02,14.66,14.68,14362600,13.812466
"57",14.73,14.95,14.55,14.61,11814900,13.746599
"58",14.41,14.78,14.3,14.75,9639800,13.878326
"59",14.76,15.27,14.72,15.23,13185000,14.329961
"60",15.21,15.98,15.18,15.85,15762100,14.913322
"61",16.049999,16.18,15.78,15.85,13249700,14.913322
"62",15.8,16,15.56,15.8,9802700,14.866278
"63",15.81,15.9,15.54,15.82,8428300,14.885095
"64",15.81,16.15,15.65,16.139999,9142100,15.186183
"65",16.309999,16.639999,15.95,15.98,19647100,15.035637
"66",16.139999,16.459999,16.01,16.309999,12363600,15.346138
"67",16.309999,16.469999,16.25,16.26,12551100,15.299091
"68",16.379999,16.68,16.35,16.559999,11566700,15.581365
"69",16.559999,16.610001,16.27,16.6,9674100,15.618999
"70",16.639999,16.9,16.290001,16.41,16372100,15.440227
"71",16.35,16.4,15.82,15.91,15490900,14.969778
"72",15.91,16.110001,15.7,16.02,11375200,15.073277
"73",15.83,16.049999,15.51,15.74,14014900,14.809822
"74",15.76,15.82,14.96,15.06,13678200,14.170009
"75",15.16,15.3,15.04,15.09,10314400,14.198236
"76",15.02,15.24,14.89,15.16,14072900,14.264099
"77",15.31,15.36,14.99,15.15,12722600,14.25469
"78",15.17,15.63,15.05,15.61,10929400,14.687505
"79",15.49,15.86,15.31,15.31,14794200,14.405233
"80",15.1,15.18,14.63,14.88,21618300,14.000647
"81",14.99,15.17,14.82,14.87,12815400,13.991236
"82",14.87,14.95,14.74,14.82,7810800,13.944193
"83",14.84,14.95,14.47,14.64,11148000,13.774826
"84",14.56,14.95,14.52,14.85,12226500,13.97242
"85",14.65,14.67,13.97,14.17,18856800,13.332603
"86",14.1,14.34,13.65,14.29,21878500,13.445513
"87",14.29,14.65,14.22,14.59,11747600,13.727782
"88",14.63,14.63,14.28,14.4,10126100,13.54901
"89",14.57,14.94,14.52,14.7,14454300,13.831283
"90",14.66,14.84,14.47,14.48,12619300,13.624284
"91",14.54,14.56,14.15,14.33,17498000,13.483149
"92",14.93,15.12,14.43,14.54,15984800,13.728639
"93",14.65,14.7,14.32,14.43,12764900,13.624779
"94",14.43,14.61,14.18,14.35,14647000,13.549242
"95",14.22,14.47,14.02,14.12,10776500,13.332076
"96",14.25,14.67,14.21,14.53,12773500,13.719196
"97",14.61,14.7,14.4,14.44,10009200,13.634221
"98",14.49,14.59,14.37,14.56,10507200,13.747523
"99",14.55,14.67,14.36,14.53,13007000,13.719196
"100",14.42,14.7,13.43,13.5,26995500,12.746675
"101",13.52,13.62,13.3,13.52,11294500,12.765558
"102",13.42,13.43,13.11,13.12,10954000,12.387878
"103",12.92,13.1,12.75,13.02,14886100,12.293459
"104",13.05,13.41,12.95,13.1,11617000,12.368997
"105",12.96,12.99,12.56,12.72,13849600,12.010201
"106",12.61,12.86,12.54,12.78,10988200,12.066852
"107",12.76,12.96,12.64,12.88,10660300,12.161273
"108",12.8,12.92,12.13,12.21,24182900,11.528658
"109",12.21,12.36,12.04,12.09,15665900,11.415357
"110",12.15,12.67,12.04,12.54,17448800,11.840243
"111",12.75,12.96,12.55,12.62,13353400,11.915778
"112",12.61,13.06,12.57,13.01,13933700,12.284016
"113",12.87,13,12.47,12.64,14260300,11.934664
"114",12.57,12.76,12.26,12.37,12857900,11.679729
"115",12.47,12.59,12.32,12.52,16457400,11.821358
"116",12.54,12.6,12.42,12.49,10139700,11.793035
"117",12.23,12.23,11.85,12.06,18851800,11.38703
"118",11.99,12.13,11.55,11.61,19904400,10.962139
"119",11.72,11.82,11.5,11.59,12304600,10.943256
"120",11.62,11.74,11.41,11.53,14252800,10.886602
"121",11.56,11.68,11.4,11.53,9819900,10.886602
"122",11.55,11.62,11.32,11.35,24909400,10.716648
"123",11.32,11.57,11.2,11.45,23210400,10.811069
"124",11.51,12.01,11.5,11.71,19772500,11.056561
"125",11.78,11.97,11.6,11.85,15088400,11.188748
"126",11.97,12.23,11.94,12.14,8812100,11.462565
"127",12.03,12.05,11.57,11.74,18979800,11.084884
"128",11.89,11.96,11.53,11.59,17909400,10.943256
"129",11.54,11.55,11.22,11.47,15445900,10.829952
"130",11.41,11.59,11.34,11.52,10970400,10.877161
"131",11.53,11.73,11.41,11.59,10410200,10.943256
"132",11.72,11.87,11.42,11.43,17744800,10.792184
"133",11.43,11.49,11.22,11.45,18171600,10.811069
"134",11.53,11.67,11.43,11.65,15235700,10.999906
"135",11.63,11.87,11.58,11.59,14067500,10.943256
"136",11.73,11.78,11.48,11.68,14961600,11.028234
"137",11.66,12.28,11.6,12.25,19457900,11.566428
"138",12.41,12.44,12.07,12.1,18313400,11.424797
"139",12.05,12.08,11.77,11.85,12368300,11.188748
"140",11.87,11.95,11.76,11.88,9086100,11.217074
"141",12.09,12.49,12.08,12.34,19405700,11.651405
"142",12.52,12.62,12.15,12.18,14425300,11.500334
"143",12.17,12.27,11.99,12.23,15910200,11.547542
"144",12.2,12.66,12.2,12.36,15975300,11.670288
"145",12.33,12.39,12.07,12.23,10798300,11.547542
"146",12.23,12.25,11.84,11.91,13883800,11.245398
"147",11.82,12.28,11.75,12.04,23072700,11.368146
"148",12.28,13.11,12.17,12.51,32550200,11.811917
"149",12.51,12.96,12.45,12.9,21773600,12.180153
"150",12.78,12.82,12.31,12.35,19967800,11.660846
"151",12.27,12.65,12.25,12.37,13121100,11.679729
"152",12.44,12.55,12.15,12.2,13580900,11.519217
"153",12.34,12.4,12.03,12.05,12984700,11.377588
"154",11.99,12.24,11.96,12.12,11705700,11.44368
"155",12.08,12.13,11.62,11.63,14230600,11.026513
"156",11.53,11.6,11.36,11.53,11987300,10.9317
"157",11.57,11.63,11.12,11.19,13837700,10.609344
"158",11.12,11.26,10.8,10.82,15778200,10.258543
"159",10.81,10.91,10.55,10.87,28729800,10.305948
"160",10.81,10.83,10.67,10.77,11220200,10.211138
