"","NCLH.Open","NCLH.High","NCLH.Low","NCLH.Close","NCLH.Volume","NCLH.Adjusted"
"1",43.130001,43.869999,42.639999,42.790001,1618500,42.790001
"2",43.099998,44.889999,42.779999,44.77,1854500,44.77
"3",44.509998,44.790001,44.02,44.549999,933700,44.549999
"4",44.75,44.919998,44.060001,44.25,932900,44.25
"5",44.139999,44.700001,43.900002,44.389999,855800,44.389999
"6",44.330002,45.360001,44.330002,45.220001,1065500,45.220001
"7",45.009998,45.82,44.720001,45.75,870500,45.75
"8",45.470001,45.830002,44.669998,45.349998,731500,45.349998
"9",45.490002,45.490002,44.84,44.950001,547700,44.950001
"10",45.080002,45.220001,44.200001,44.740002,905400,44.740002
"11",44.970001,45.77,44.560001,45.669998,943000,45.669998
"12",45.759998,46.360001,45.389999,45.619999,1031300,45.619999
"13",45.93,46.41,45.41,45.630001,736000,45.630001
"14",45.470001,46.150002,45.150002,46,826800,46
"15",45.919998,46.950001,45.830002,46.84,1239400,46.84
"16",47.220001,48.240002,46.959999,48.09,1275800,48.09
"17",49.220001,50.049999,48.77,49.330002,2613500,49.330002
"18",49.349998,49.560001,48.610001,49.02,945300,49.02
"19",48.799999,48.880001,47.939999,48.029999,1337100,48.029999
"20",47.880001,48.110001,46.830002,47,1625200,47
"21",47.299999,48.450001,46.830002,48.080002,1296500,48.080002
"22",48.169998,48.5,47.549999,47.66,694700,47.66
"23",48.130001,48.360001,47.41,47.740002,760800,47.740002
"24",47.759998,48.02,47.279999,47.52,1139100,47.52
"25",47.580002,48.09,47.470001,47.700001,1477200,47.700001
"26",47.880001,48.139999,47.509998,47.860001,1065800,47.860001
"27",47.810001,48.310001,47.700001,48.060001,1249200,48.060001
"28",48.43,48.91,47.540001,47.799999,1611000,47.799999
"29",48.02,48.099998,47.560001,47.869999,1449900,47.869999
"30",47.82,47.970001,47.580002,47.77,1048700,47.77
"31",47.66,48.119999,47.009998,47.919998,1464800,47.919998
"32",47.950001,48.139999,47.240002,47.630001,1236300,47.630001
"33",47.619999,47.849998,47.27,47.689999,1653700,47.689999
"34",47.740002,48.52,47.740002,48.200001,1801900,48.200001
"35",49.240002,52.139999,48.68,51.639999,4043000,51.639999
"36",52.48,52.5,50.610001,50.68,1869800,50.68
"37",50.509998,50.630001,49.77,50.02,1442900,50.02
"38",49.93,50.830002,49.57,50.77,1326600,50.77
"39",50.82,51.200001,50.450001,50.700001,935000,50.700001
"40",51.119999,51.610001,50.419998,51.049999,1199400,51.049999
"41",50.790001,51.25,50.630001,50.98,878700,50.98
"42",51,51,49.790001,50.110001,849100,50.110001
"43",49.900002,50,49.16,49.759998,1207300,49.759998
"44",49.560001,49.759998,49.049999,49.419998,806900,49.419998
"45",49.59,49.830002,49.400002,49.52,776700,49.52
"46",49.77,50.060001,49.48,49.919998,765700,49.919998
"47",50.23,51.220001,50.07,51.099998,1160800,51.099998
"48",51.830002,51.830002,51.110001,51.32,1086300,51.32
"49",51.209999,51.23,50.400002,50.959999,1066000,50.959999
"50",51.049999,51.490002,50.709999,51.41,1141500,51.41
"51",51.349998,51.450001,51.060001,51.43,844500,51.43
"52",51.709999,51.849998,51.25,51.310001,1236400,51.310001
"53",51.360001,51.529999,50.810001,51.099998,846800,51.099998
"54",51.299999,51.720001,49.950001,50,1158100,50
"55",50.110001,51.130001,49.549999,50.970001,1129000,50.970001
"56",50.98,51.669998,50.880001,51.110001,1081500,51.110001
"57",51.34,51.529999,50.299999,50.48,1306900,50.48
"58",50.150002,51.169998,49.919998,51.02,887400,51.02
"59",51.799999,52.099998,51.130001,51.299999,1548100,51.299999
"60",51.09,51.299999,50.650002,50.860001,1261500,50.860001
"61",50.889999,51.369999,50.889999,51.240002,754000,51.240002
"62",50.990002,51.200001,50.439999,50.73,1108200,50.73
"63",50.740002,50.950001,50,50.189999,1303000,50.189999
"64",50.040001,50.150002,49.32,49.759998,1484400,49.759998
"65",49.93,50.75,49.59,49.779999,1141600,49.779999
"66",49.75,50.009998,49.389999,49.91,997200,49.91
"67",50.009998,50.040001,48.150002,48.310001,5706600,48.310001
"68",48.490002,48.939999,48.119999,48.540001,1520100,48.540001
"69",48.639999,48.639999,47.290001,47.470001,1464300,47.470001
"70",47.549999,48,46.959999,47.849998,1933700,47.849998
"71",47.830002,48.639999,47.759998,48.029999,1706500,48.029999
"72",48.07,49.009998,47.959999,48.959999,1129300,48.959999
"73",48.900002,48.91,48.299999,48.82,717300,48.82
"74",48.950001,49.630001,48.700001,49.209999,1069200,49.209999
"75",49.529999,50.75,49.529999,50.139999,1289800,50.139999
"76",50.349998,50.439999,49.599998,50.130001,970900,50.130001
"77",50.84,51.130001,50.119999,50.349998,1054300,50.349998
"78",50.57,51.369999,50.540001,51.080002,1036400,51.080002
"79",51.02,52.860001,51.02,52.759998,1665700,52.759998
"80",52.75,53.27,52.619999,52.68,1698500,52.68
"81",53.919998,54.869999,53.09,53.93,2909000,53.93
"82",54,56.290001,53.720001,54.900002,2339300,54.900002
"83",55.009998,55.330002,54.450001,55.060001,1160900,55.060001
"84",55.02,55.32,54.59,54.900002,1187200,54.900002
"85",55.169998,55.490002,54.82,54.84,1128800,54.84
"86",55,55.799999,55,55.490002,914300,55.490002
"87",55.57,55.830002,54.91,55.099998,1490200,55.099998
"88",55.25,56.150002,55.049999,55.779999,2651500,55.779999
"89",54.439999,55.93,53.099998,54.07,4096900,54.07
"90",53.849998,54.459999,52.5,52.950001,2622600,52.950001
"91",52.900002,53.09,51.209999,51.5,2743600,51.5
"92",51.540001,51.950001,51.200001,51.5,2064300,51.5
"93",51.48,51.549999,50.18,50.310001,2226500,50.310001
"94",50.029999,50.25,47.959999,48.07,2399400,48.07
"95",48,49.290001,47.759998,49.119999,2613200,49.119999
"96",49.23,49.75,48.830002,49.34,1467900,49.34
"97",49.240002,50.619999,49.110001,50.509998,1928300,50.509998
"98",50.259998,50.529999,49.459999,49.580002,1421200,49.580002
"99",49.799999,49.799999,49.200001,49.639999,1069900,49.639999
"100",49.830002,51.009998,49.790001,50.68,1273200,50.68
"101",51.970001,52.32,50.810001,50.84,1798800,50.84
"102",50.779999,51.18,50.060001,50.07,1576100,50.07
"103",50.25,50.279999,49.560001,49.970001,1419600,49.970001
"104",50.23,51.099998,49.98,50.93,1716500,50.93
"105",51.16,51.639999,50.970001,51.16,1169900,51.16
"106",51.169998,51.169998,50.07,50.310001,1584700,50.310001
"107",50,50.599998,49.66,49.720001,2200400,49.720001
"108",50.080002,50.810001,49.75,50.790001,1942700,50.790001
"109",50.93,52.099998,50.68,51.790001,2061200,51.790001
"110",51.970001,52.310001,50.799999,51.130001,2220300,51.130001
"111",50.98,51.259998,49.52,50.419998,2055600,50.419998
"112",50.779999,52.23,50.77,51.84,1462700,51.84
"113",51.990002,52.740002,51.700001,52.169998,1432900,52.169998
"114",51.610001,52.950001,51.610001,52.91,1184400,52.91
"115",52.709999,53.009998,52.09,52.900002,2390600,52.900002
"116",53.200001,53.84,53.060001,53.630001,1043000,53.630001
"117",53.509998,53.919998,52.950001,53.099998,1091500,53.099998
"118",53.240002,55.23,53.200001,54.900002,2426600,54.900002
"119",55.009998,56.259998,54.900002,55.459999,2668500,55.459999
"120",55.57,55.869999,54.740002,54.810001,2457600,54.810001
"121",54.82,56.119999,54.82,55.310001,1228200,55.310001
"122",55.009998,55.290001,53.84,53.860001,1522500,53.860001
"123",54.18,55.73,54.18,55.279999,1014000,55.279999
"124",55.16,55.330002,54.080002,54.419998,849800,54.419998
"125",54.959999,55,54.27,54.290001,1076600,54.290001
"126",54.630001,55.209999,54.380001,54.549999,496200,54.549999
"127",54.52,55.75,54.5,55.41,998400,55.41
"128",55.060001,55.060001,53.93,54.060001,1559600,54.060001
"129",54.200001,55.040001,54.200001,54.68,950200,54.68
"130",54.529999,55.09,53.66,54.029999,1263900,54.029999
"131",53.790001,54.299999,53.400002,53.959999,790800,53.959999
"132",54.32,54.639999,53.580002,54.09,1178300,54.09
"133",54.119999,54.490002,53.650002,54.240002,1061600,54.240002
"134",54.43,54.48,53.400002,53.470001,961300,53.470001
"135",53.509998,54.450001,53.16,54.130001,1197000,54.130001
"136",54.220001,54.439999,53.709999,54.18,623200,54.18
"137",54.27,54.509998,54.09,54.380001,690400,54.380001
"138",54.529999,55.330002,54.330002,55.049999,989000,55.049999
"139",54.900002,55.23,54.759998,55.07,665800,55.07
"140",55.299999,55.77,55.040001,55.73,1086300,55.73
"141",55.900002,56.360001,55.43,55.75,1001900,55.75
"142",56,56.009998,55.200001,55.650002,645700,55.650002
"143",55.700001,55.849998,54.290001,55.110001,1209200,55.110001
"144",54.709999,55.259998,54.389999,55.209999,984900,55.209999
"145",55.450001,55.73,54.98,55.07,895600,55.07
"146",56.490002,57.25,56.150002,56.91,2494000,56.91
"147",56.889999,57.25,55.450001,55.84,1256700,55.84
"148",55.77,56.959999,55.77,56.25,1157300,56.25
"149",56.470001,57.48,56.27,56.900002,1265800,56.900002
"150",57.150002,57.619999,56.490002,56.650002,2837200,56.650002
"151",59.049999,61.48,58.849998,59.419998,5342700,59.419998
"152",58.880001,58.990002,58.049999,58.360001,2077900,58.360001
"153",58.040001,58.16,56.900002,57.07,1667800,57.07
"154",54.75,57.169998,54.150002,56.77,12879900,56.77
"155",57.139999,57.830002,57.009998,57.459999,2619900,57.459999
"156",57.610001,58.560001,57.220001,57.450001,2855900,57.450001
"157",57.799999,58.41,57.439999,57.900002,1434800,57.900002
"158",57.98,58.07,56.009998,56.18,2086400,56.18
"159",56.330002,56.330002,55.259998,55.779999,1434600,55.779999
"160",55.810001,56.150002,55.59,55.860001,1015900,55.860001
"161",56.009998,57.029999,56.009998,56.900002,1074000,56.900002
"162",56.529999,57.91,56.529999,57.150002,1903700,57.150002
"163",57.330002,57.91,57.290001,57.73,1563100,57.73
"164",57.990002,58,57.580002,57.720001,1936500,57.720001
"165",57.98,58.029999,57.48,57.880001,879600,57.880001
"166",57.43,57.740002,56.470001,57.639999,1537700,57.639999
"167",57.529999,58.799999,57.25,58.220001,1430200,58.220001
"168",58.419998,59.5,58.41,59.459999,1793300,59.459999
"169",59.619999,60,58.48,58.540001,1159900,58.540001
"170",58.509998,58.540001,55.299999,56.689999,2812400,56.689999
"171",56.529999,57.169998,55.91,57.119999,1964500,57.119999
"172",57,57.43,55.77,55.860001,1642300,55.860001
"173",55.84,56.98,55.009998,55.119999,1537900,55.119999
"174",56.189999,58.200001,56,56.650002,2873400,56.650002
"175",56.919998,57.220001,56.41,57.200001,1021500,57.200001
"176",56.939999,57.84,56.75,57.790001,1400200,57.790001
"177",57.349998,58.580002,57.25,57.720001,1419100,57.720001
"178",56.549999,56.740002,55.279999,56.740002,3940600,56.740002
"179",56.700001,57.209999,56.279999,56.349998,1460700,56.349998
"180",56.27,56.27,55.290001,55.459999,1512700,55.459999
"181",55.360001,55.419998,53.709999,54.360001,2225300,54.360001
"182",54.540001,54.830002,53.950001,54.400002,1231300,54.400002
"183",54.09,54.810001,53.75,54.02,1392900,54.02
"184",53.740002,54.110001,53.23,53.599998,1422800,53.599998
"185",54.459999,55.68,54.259998,54.889999,2551600,54.889999
"186",54.990002,55.040001,52.740002,52.830002,1974900,52.830002
"187",52.52,53.93,51.990002,53.650002,2528600,53.650002
"188",53.459999,54.150002,52.439999,54.049999,2518800,54.049999
"189",53.939999,54.529999,53.599998,54.419998,1112000,54.419998
"190",54.459999,55.110001,54.029999,54.73,1212500,54.73
"191",54.580002,56.200001,54.529999,55.98,1583100,55.98
"192",58.009998,58.540001,57.529999,58.41,7774900,58.41
"193",58.25,59.400002,58.25,58.84,3026900,58.84
"194",58.75,59.66,58.709999,58.889999,2211700,58.889999
"195",59.189999,59.540001,58.990002,59.16,2665000,59.16
"196",59.150002,59.419998,58.580002,58.799999,2730600,58.799999
"197",58.560001,59.299999,58.43,58.860001,33545900,58.860001
"198",59.43,59.599998,58.220001,58.740002,3970000,58.740002
"199",58.830002,59.150002,58.400002,58.919998,2088700,58.919998
"200",58.689999,59,58.439999,58.610001,2382800,58.610001
"201",58.450001,58.450001,57.130001,57.470001,4215000,57.470001
"202",56.400002,56.52,53.799999,54.169998,7962000,54.169998
"203",54.869999,54.939999,53.450001,53.73,3472000,53.73
"204",53.759998,54.099998,53.529999,53.720001,1992700,53.720001
"205",53.630001,54.779999,53.5,54.66,2486900,54.66
"206",54.669998,55.189999,54.380001,54.790001,2425100,54.790001
"207",54.799999,55.25,54.529999,54.919998,1375400,54.919998
"208",54.799999,56.279999,54.490002,55.639999,2319600,55.639999
"209",55.290001,55.669998,54.669998,54.799999,974300,54.799999
"210",54.82,55.98,54.720001,55.75,1446300,55.75
"211",56.060001,56.099998,54.040001,54.200001,2249100,54.200001
"212",54.27,55.169998,54.209999,54.91,2139100,54.91
"213",54.91,55.09,54.529999,55.029999,923200,55.029999
"214",55,56.119999,54.91,55.259998,1520100,55.259998
"215",56.549999,57.369999,54.970001,55.360001,1828700,55.360001
"216",55.369999,55.630001,54.810001,55.560001,1423600,55.560001
"217",55.740002,58.27,55.290001,56.889999,3116300,56.889999
"218",55.75,56.060001,54.07,55.23,2282200,55.23
"219",54.91,55.34,54.650002,55.27,1723500,55.27
"220",55.080002,55.220001,54.099998,55.099998,1310700,55.099998
"221",55.09,55.189999,54.580002,55.07,1357100,55.07
"222",53.849998,54.299999,53.5,53.970001,6225200,53.970001
"223",54.119999,54.900002,53.689999,54.84,3963100,54.84
"224",54.779999,55.09,54.279999,54.689999,2325900,54.689999
"225",54.93,55.880001,54.799999,55.48,2029800,55.48
"226",55.419998,56,55.110001,55.310001,1277500,55.310001
"227",55.41,55.740002,55.009998,55.5,550800,55.5
"228",55.549999,56.029999,55.470001,55.610001,1232800,55.610001
"229",55.619999,55.830002,54.919998,55.310001,1767800,55.310001
"230",55.48,56.209999,55.119999,55.290001,1640100,55.290001
"231",54,54.689999,52.360001,54.16,3497100,54.16
"232",53.939999,54.91,53.68,54.810001,1317600,54.810001
"233",55.68,56.84,55.299999,55.41,2510700,55.41
"234",55.529999,55.669998,54.27,54.330002,942500,54.330002
"235",54.490002,54.799999,53.700001,54.310001,1168000,54.310001
"236",54.5,54.619999,54.080002,54.34,1132800,54.34
"237",54.740002,55.57,54.360001,55.029999,1255900,55.029999
"238",54.75,55.369999,54.330002,54.720001,1536100,54.720001
"239",54.639999,54.639999,53.549999,53.650002,1644200,53.650002
"240",53.93,53.93,53.09,53.16,1239300,53.16
"241",53.16,53.459999,52.700001,52.810001,1450100,52.810001
"242",53.139999,54.299999,52.580002,54,9077600,54
"243",54.509998,55.360001,54.5,54.98,2187900,54.98
"244",55.369999,56.049999,55.02,55.59,1592900,55.59
"245",55.639999,56.41,54.740002,54.82,1797700,54.82
"246",55.07,55.310001,54.009998,54.139999,1351000,54.139999
"247",53.75,54.470001,53.720001,54.029999,1276100,54.029999
"248",53.93,54.25,53.650002,53.73,906900,53.73
"249",53.950001,54.189999,53.700001,54,798300,54
"250",54.009998,54.029999,53.34,53.610001,1188100,53.610001
"251",53.450001,53.959999,53.200001,53.25,892400,53.25
"252",53.759998,54.970001,53.580002,54.959999,1617900,54.959999
"253",54.950001,55.619999,54.650002,55.369999,1399700,55.369999
"254",55.349998,55.779999,54.66,54.68,1432600,54.68
"255",55.110001,55.110001,54.220001,54.869999,1178300,54.869999
"256",54.919998,55,54.380001,54.66,1056500,54.66
"257",54.830002,55.290001,54.509998,54.939999,1002000,54.939999
"258",55,55.82,54.900002,55.599998,1396500,55.599998
"259",55.84,56.5,55.759998,56.16,2125800,56.16
"260",56.380001,58.040001,56.25,57.849998,2057600,57.849998
"261",58.049999,58.450001,57.130001,57.389999,1639000,57.389999
"262",58.540001,59.299999,57.73,59.27,2614700,59.27
