"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"1",34.119999,35,33.950001,34.630001,8000900,31.100971
"2",34.900002,34.990002,34.189999,34.959999,7553000,31.397348
"3",35.599998,37.25,35.59,36.57,10485100,32.843273
"4",36,36.490002,34.990002,35.419998,7380000,31.810463
"5",36.080002,36.16,35.209999,35.360001,9028800,31.756578
"6",35.650002,36.169998,34.849998,35.080002,7583400,31.505114
"7",34.779999,34.790001,33.52,34.369999,10796700,30.86747
"8",35.220001,35.349998,34.139999,34.470001,7439000,30.957275
"9",34,34.650002,33.75,34.529999,5209600,31.011164
"10",35.639999,35.84,34.919998,35.139999,6762700,31.558992
"11",35.200001,35.950001,34.900002,35.259998,7530300,31.666775
"12",34.779999,35.439999,34.68,34.93,6274100,31.370405
"13",34.91,35.389999,34.740002,35.040001,6387600,31.469193
"14",35.389999,35.990002,35.029999,35.880001,5879500,32.223595
"15",35.889999,36.919998,35.830002,36.040001,8576800,32.36729
"16",35.349998,35.580002,34.470001,34.950001,9617700,31.388369
"17",34.200001,34.27,33.630001,34.189999,7629300,30.705809
"18",34.259998,34.669998,34.259998,34.380001,4465300,30.876455
"19",34.709999,35.490002,34.59,34.970001,5457000,31.406321
"20",35.830002,36.349998,35.810001,36.279999,7725600,32.582829
"21",35.740002,36.029999,35.169998,35.869999,5211200,32.214607
"22",36.77,36.880001,36.16,36.68,6435400,32.942062
"23",36.48,37.200001,36.310001,36.759998,4651700,33.013912
"24",37.27,37.939999,36.880001,37.939999,7002000,34.073662
"25",37.73,37.790001,37.119999,37.32,5431000,33.51685
"26",37.59,37.869999,37.209999,37.849998,6187700,33.992832
"27",37.990002,38.009998,37.07,37.200001,5051100,33.409069
"28",36.959999,37.720001,36.75,37.650002,5166400,33.813217
"29",37.419998,37.57,37.139999,37.380001,5312400,33.570724
"30",37.599998,37.68,36.77,37.09,5607100,33.310284
"31",36.73,37.16,36.41,37.029999,4339800,33.256397
"32",37.369999,37.689999,37.259998,37.57,5791300,33.741367
"33",37.639999,37.650002,36.810001,37.009998,5687900,33.238426
"34",36.509998,37.490002,36.18,37.439999,5838600,33.624607
"35",36.5,37.09,35.150002,36,10081900,32.33136
"36",36.5,36.990002,35.830002,35.860001,6376000,32.205627
"37",36.310001,36.900002,35.950001,36.080002,6940500,32.403214
"38",35.880001,36.240002,33.779999,33.970001,9436200,30.50823
"39",34.450001,35.009998,34.009998,34.240002,9201400,30.750717
"40",33.740002,34.709999,33.349998,34.419998,7990400,30.912369
"41",33.900002,34.150002,33.450001,33.599998,7459000,30.17593
"42",33.5,34.310001,33.330002,34.07,7779200,30.598043
"43",33.73,33.82,32.75,33.009998,6954500,29.646063
"44",32.689999,33.349998,32.560001,32.98,6985500,29.664049
"45",32.529999,33.529999,32.48,32.889999,6442000,29.583094
"46",32.810001,33.130001,32.540001,32.599998,6002600,29.322256
"47",32.830002,33.169998,32.57,32.939999,5165400,29.628071
"48",33.200001,33.23,32.689999,33.02,5140200,29.700027
"49",32.950001,33.27,32.150002,32.400002,5639500,29.142368
"50",32.619999,34.220001,32.25,34.099998,7677200,30.67144
"51",34.240002,34.490002,32.689999,32.810001,9823200,29.511145
"52",32.98,33.5,32.779999,32.84,12154000,29.538128
"53",32.91,33.560001,32.73,33.560001,4462400,30.185736
"54",33.52,34.349998,33.52,34.029999,7806800,30.608482
"55",34.23,34.560001,33.630001,33.84,5400300,30.437584
"56",33.939999,34.169998,33.02,33.619999,6515700,30.239702
"57",33.490002,33.779999,33.279999,33.48,3729000,30.113773
"58",34.049999,34.27,33.740002,33.91,8041100,30.500546
"59",34,34.209999,32.639999,33,7314400,29.682035
"60",32.900002,33.32,32.799999,33.189999,3646700,29.85294
"61",32.919998,33.16,32.790001,32.93,3198500,29.61908
"62",32.869999,33.400002,32.610001,32.959999,4907400,29.646061
"63",33.049999,33.919998,32.950001,33.889999,4680100,30.482553
"64",34.029999,34.189999,33.84,34.189999,4431600,30.752388
"65",33.740002,34.580002,33.689999,34.310001,4764800,30.860321
"66",34.279999,34.290001,33.84,34.169998,3456200,30.734402
"67",34.970001,34.970001,34.080002,34.310001,5300200,30.860321
"68",34.049999,34.689999,33.84,34.610001,3640200,31.130167
"69",35,35.529999,34.540001,35.130001,6272200,31.597872
"70",35.150002,35.419998,34.48,35.080002,4701200,31.552906
