"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"1",124.959999,128.190002,124.309998,127.489998,9437900,127.489998
"2",127.489998,130.169998,126.550003,129.410004,7843600,129.410004
"3",129.220001,132.75,128.899994,131.809998,10185500,131.809998
"4",132.080002,133.880005,129.809998,131.070007,10657900,131.070007
"5",131.479996,131.990005,129.889999,130.949997,5771800,130.949997
"6",131.270004,132.220001,129.289993,129.889999,5985800,129.889999
"7",130.910004,131.5,129.25,130.5,5615100,130.5
"8",130.630005,130.850006,128.5,129.179993,5388900,129.179993
"9",131.149994,133.929993,130.580002,133.699997,10515000,133.699997
"10",135.039993,135.399994,132.089996,132.889999,12220200,132.889999
"11",133.210007,133.649994,131.059998,133.259995,16168600,133.259995
"12",142.009995,143.460007,138.25,138.410004,23203400,138.410004
"13",139.360001,140.789993,137.660004,138.600006,9497400,138.600006
"14",138.649994,139.490005,137.309998,137.389999,7433900,137.389999
"15",138.110001,140.929993,137.029999,140.110001,7754700,140.110001
"16",140.800003,141.389999,139.050003,139.520004,7238100,139.520004
"17",140.449997,141.210007,138.509995,138.960007,6038300,138.960007
"18",139.460007,142.490005,139,142.449997,8323900,142.449997
"19",141.770004,141.970001,138.800003,141.220001,8122500,141.220001
"20",140.550003,141.830002,139.699997,140.710007,4411600,140.710007
"21",141.199997,142.410004,139.300003,140.779999,6033400,140.779999
"22",140.610001,141.039993,139.050003,139.199997,3462400,139.199997
"23",139.509995,140.639999,139.100006,140.25,3512600,140.25
"24",140,141,139.160004,140.970001,3552100,140.970001
"25",141.490005,144.279999,141.050003,144,8573500,144
"26",143.570007,145.070007,142.559998,144.740005,6887100,144.740005
"27",144.979996,145.089996,143.580002,144.139999,4555100,144.139999
"28",144.679993,145.300003,143.970001,144.820007,6171900,144.820007
"29",145.190002,145.949997,143.050003,143.199997,4790400,143.199997
"30",143.199997,144.110001,140.050003,140.820007,8367800,140.820007
"31",140.720001,142.429993,140.509995,142.270004,5309100,142.270004
"32",142.419998,142.440002,141.070007,142.009995,2847500,142.009995
"33",141.75,142.899994,141.270004,142.220001,4588100,142.220001
