"","NRG.Open","NRG.High","NRG.Low","NRG.Close","NRG.Volume","NRG.Adjusted"
"1",12.32,12.45,12.19,12.3,3228300,11.343293
"2",12.32,13.07,12.3,13.03,8040900,12.01651
"3",13.01,13.31,12.92,13.28,8121200,12.247066
"4",13.31,13.45,12.96,13.36,8693200,12.320843
"5",13.35,13.51,13.13,13.47,8444500,12.422288
"6",13.43,13.71,13.24,13.62,8770600,12.560621
"7",13.68,14.1,13.68,14.1,14526800,13.003285
"8",14.05,14.44,13.95,14.38,7591100,13.261508
"9",14.33,14.63,14.3,14.6,6953100,13.464397
"10",15.45,15.92,15.05,15.34,10918000,14.146839
"11",15.39,15.56,15.13,15.26,6565500,14.07306
"12",15.17,15.57,15.11,15.56,13204100,14.349728
"13",15.68,16.41,15.66,16.110001,8393900,14.856945
"14",16.209999,16.5,15.89,16.209999,5812700,14.949168
"15",16.32,16.620001,16.200001,16.370001,6634400,15.096723
"16",16.389999,16.559999,16.309999,16.440001,5031100,15.161278
"17",16.459999,16.639999,16.33,16.459999,4412700,15.179721
"18",16.41,16.6,16.309999,16.450001,3317600,15.1705
"19",16.4,16.42,16.02,16.26,4848300,15.022676
"20",16.18,16.58,16.18,16.540001,3836500,15.281369
"21",16.49,16.6,16.18,16.34,3379100,15.096587
"22",16.280001,16.790001,16.08,16.709999,6049700,15.438431
"23",16.74,17.559999,16.57,17.08,11968900,15.780277
"24",17.120001,17.209999,16.389999,16.700001,6966300,15.429194
"25",16.639999,16.700001,16.23,16.27,5060100,15.031916
"26",16.200001,16.51,16.02,16.360001,4443500,15.115067
"27",16.23,16.5,16.209999,16.42,4257500,15.170501
"28",16.5,16.66,16.32,16.66,3186500,15.392238
"29",16.6,16.940001,16.540001,16.75,5708900,15.475388
"30",16.629999,16.809999,16.32,16.790001,6752800,15.512349
"31",16.74,17.75,16.73,17.49,8390700,16.159077
"32",17.49,17.49,17.09,17.110001,4478900,15.807998
"33",17.110001,17.129999,16.73,17.1,3987000,15.798755
"34",16.790001,17.299999,16.52,17.120001,3779100,15.817232
"35",17.049999,17.049999,16.68,16.83,4705800,15.549305
"36",17.01,17.280001,16.940001,17.040001,6036000,15.743321
"37",17.190001,17.57,17.129999,17.459999,6467900,16.131365
"38",17.41,17.709999,16.66,16.77,9383100,15.493866
"39",16.43,16.879999,15.83,16.559999,9653000,15.299843
"40",16.860001,17.1,16.700001,16.85,14262200,15.56778
"41",16.73,17.469999,16.73,17.030001,8078900,15.734081
"42",17.030001,17.309999,16.889999,17.299999,4584500,15.983536
"43",17.280001,17.43,16.950001,17.360001,10790000,16.038973
"44",17.49,17.66,16.950001,17.1,5974700,15.798755
"45",17.059999,17.27,16.59,17.17,7587500,15.863432
"46",17.09,17.870001,17.040001,17.860001,7437100,16.500927
"47",17.959999,18.059999,17.57,17.860001,5923900,16.500927
"48",17.870001,18.059999,17.27,17.33,9000200,16.011253
"49",17.35,17.35,16.790001,17.01,6336200,15.715606
"50",17.139999,17.610001,17.08,17.459999,8199800,16.131365
"51",17.469999,17.98,17.219999,17.889999,9434900,16.528641
"52",18,18.559999,18,18.059999,12065100,16.685703
"53",18.129999,18.4,17.93,18.33,6020600,16.935158
"54",18.32,18.51,18.17,18.24,3805800,16.852005
"55",18.280001,18.33,17.889999,18.01,4262300,16.639507
"56",18.030001,18.27,18,18.139999,3395400,16.759609
"57",18.15,18.26,18.1,18.16,3133000,16.778097
"58",18.120001,18.190001,17.969999,18.18,2915800,16.796574
