"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"1",59.740002,60.869999,59.02,59.610001,3698200,52.188869
"2",59.759998,61.290001,59.130001,61.25,3568600,53.624699
"3",61.119999,62.599998,60.619999,60.900002,3884600,53.31826
"4",60.880001,61.860001,60.279999,60.290001,3057700,52.784206
"5",60.880001,61.540001,59.52,59.639999,3589700,52.215126
"6",60.400002,61.470001,59.650002,61.220001,3987400,53.598427
"7",61.450001,61.790001,60.540001,61.189999,2085800,53.572159
"8",60.759998,61.130001,59.970001,60.610001,2469500,53.064365
"9",60.490002,61.290001,60.169998,60.369999,1475000,52.854244
"10",60.360001,60.700001,59.720001,60.139999,1534000,52.652874
"11",60.290001,62.439999,60.049999,62.380001,3744100,54.614014
"12",62.02,62.25,59.799999,60.150002,2892000,52.66164
"13",60.48,61.139999,60.209999,60.990002,2802400,53.39706
"14",61.18,61.330002,59.5,60.060001,3026300,52.582844
"15",61.02,62.34,60.779999,60.919998,4368700,53.33577
"16",60.779999,60.84,59.02,59.709999,6208900,52.276421
"17",59.639999,60.799999,59.41,60.709999,3238900,53.15192
"18",60.799999,61.23,60.18,61.009998,2585200,53.414566
"19",60.540001,60.790001,59.029999,60.099998,4340000,52.617851
"20",59.810001,59.849998,57.130001,58.09,9225900,50.858089
"21",58.57,59.290001,56.189999,56.93,4771600,49.842514
"22",57.029999,57.639999,56.709999,57.490002,3051900,50.33279
"23",57.389999,58.09,56.66,57.349998,2570000,50.210217
"24",57.5,58.200001,57.5,57.849998,2644000,50.647972
"25",58.470001,58.75,57.529999,57.650002,2218000,50.472874
"26",57.57,58.32,57.200001,58.279999,2408000,51.024433
"27",58.279999,60.98,58.279999,60.970001,5505500,53.379551
"28",61.630001,61.900002,60.66,60.990002,5096300,53.39706
"29",62.360001,63.98,62.240002,63.59,4343100,55.673378
"30",63.290001,63.5,62.400002,63.09,2665100,55.235619
"31",63.18,64.68,63.110001,63.869999,2963600,55.918514
"32",63.889999,64.32,63.080002,63.610001,2174800,55.690891
"33",63.48,63.970001,62.700001,63.900002,2225000,55.944782
"34",64.5,65.400002,64.260002,64.489998,2908300,56.461327
"35",64,64.050003,63.07,63.240002,3090400,55.366947
"36",63.709999,63.84,60.610001,60.889999,3009600,53.309502
"37",60.369999,61.34,60.169998,60.860001,2228700,53.283245
"38",61.029999,63.119999,61.029999,62.639999,2652000,54.841644
"39",62.619999,63.110001,62.200001,62.57,2325100,54.780357
"40",64.25,64.68,63.720001,64.010002,3239000,56.041096
"41",63.849998,63.950001,62.59,62.639999,2578200,54.841644
"42",62.630001,62.959999,62.09,62.639999,2353700,54.841644
"43",61.860001,63.040001,61.650002,62.810001,2358100,54.990475
"44",62.779999,63.110001,60.880001,60.93,2637300,53.344528
"45",60.970001,61.439999,60.619999,60.970001,2339500,53.379551
"46",60.540001,61.23,60.009998,60.540001,2305200,53.003082
"47",61.060001,61.419998,60.459999,60.619999,2553900,53.07312
"48",61.009998,61.34,60.450001,60.709999,1950300,53.15192
"49",60.32,60.880001,60.009998,60.73,1581300,53.169422
"50",61.25,63.59,61.25,63.450001,3792800,55.550804
"51",65.669998,66,64.489998,64.599998,5324600,56.557636
"52",64.82,65.830002,64.400002,64.720001,6201500,56.662697
"53",64.580002,64.739998,63.830002,64.669998,1794600,56.618916
"54",64.669998,64.879997,61.209999,61.330002,4247100,53.694733
"55",61.639999,62.43,61.189999,62.139999,2563700,54.403893
"56",62.16,62.48,60.869999,61.259998,2182100,53.633442
"57",61.419998,61.779999,59.43,59.759998,2830700,52.320179
"58",58.439999,59.720001,57.970001,59.5,2824700,52.092545
"59",59.279999,60.77,59.02,60.209999,2887500,52.714161
"60",59.959999,60.25,59.470001,59.77,1482400,52.659542
"61",59.810001,60.68,59.810001,60.099998,2005800,52.950275
"62",59.93,60.150002,59.389999,59.720001,2609700,52.61549
"63",60.139999,60.889999,59.189999,60.209999,2746200,53.047199
"64",59.950001,60.650002,59.59,60.490002,1624100,53.293892
"65",61.09,62,59.57,59.720001,2730200,52.61549
"66",59.82,60.630001,59.360001,60.110001,2099700,52.959095
"67",59.599998,61.18,59.560001,60.77,1713300,53.540573
"68",61,61.099998,59.669998,60.080002,1441900,52.932667
"69",59.900002,60.560001,58.970001,60.5,1913300,53.302704
"70",59.990002,59.990002,57.779999,57.880001,2908900,50.994389
"71",57.84,58.439999,56.900002,56.959999,2822100,50.183826
"72",57.169998,57.43,56.740002,57.209999,2249500,50.404091
"73",56.619999,57.66,56.419998,57.330002,2183600,50.509811
"74",57.75,58.32,57.450001,57.619999,2456400,50.765305
"75",58.889999,60.779999,58.029999,60.349998,5916200,53.170544
"76",60.34,60.349998,58.950001,60,3711400,52.862183
