"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"1",58.139999,58.849998,57.450001,58.75,1812500,42.009659
"2",59.049999,59.150002,58.450001,58.599998,1721300,41.902401
"3",58.84,59.119999,58.279999,58.830002,1342700,42.066868
"4",59.040001,59.099998,57.689999,57.900002,2212500,41.401863
"5",57.630001,58.139999,57.16,57.48,2111100,41.101532
"6",57.150002,57.150002,56.029999,56.07,2595000,40.093304
"7",56.369999,57.299999,56.23,57.259998,1540900,40.944218
"8",56.57,57.259998,56.130001,56.57,1929900,40.450829
"9",56.380001,56.91,56.220001,56.310001,1023700,40.264915
"10",56.779999,56.939999,56.220001,56.310001,1699400,40.264915
"11",55.939999,56.93,55.5,56.560001,1488800,40.443676
"12",56.540001,56.75,55.779999,55.959999,999800,40.014645
"13",56.669998,56.810001,56.259998,56.59,1398500,40.465126
"14",56.310001,56.759998,55.830002,55.889999,1245500,39.964588
"15",56.139999,56.439999,55.380001,56.279999,1337200,40.243462
"16",54.48,55.860001,53.84,55.549999,2727700,39.72147
"17",54.98,55.869999,54.66,54.93,2064900,39.717857
"18",54.66,55.040001,54.25,54.91,1444900,39.703388
"19",54.619999,54.740002,53.509998,53.77,1336900,38.879108
"20",54.18,55.25,53.650002,55.110001,1999300,39.848007
"21",58.27,59.299999,52.860001,54,20726000,39.045406
"22",54.189999,56.009998,53.73,55.560001,5375400,40.173382
"23",55.880001,56.799999,55.689999,56.450001,3973900,40.816917
"24",56.619999,56.669998,55.09,55.310001,3365500,39.992619
"25",55.169998,55.610001,53.970001,54.369999,2804600,39.312946
"26",53.860001,54.68,53.25,54.400002,2393900,39.334633
"27",54.400002,55.66,54.400002,55.119999,2528400,39.855232
"28",55.73,55.73,54.73,55.310001,2728000,39.992619
"29",55.029999,55.25,54.540001,55.02,1971400,39.782928
"30",55.130001,55.41,54.169998,54.950001,2476100,39.732315
"31",54.669998,55.02,54.360001,54.490002,1822900,39.399708
"32",54.75,55.09,53.939999,54.029999,1918100,39.067093
"33",53.830002,53.970001,53.32,53.639999,1889400,38.785095
"34",54.07,54.419998,53.59,54.220001,2163100,39.204479
"35",53.759998,54.09,53.459999,53.52,2063200,38.698341
"36",54.41,54.939999,53.77,54.639999,2931500,39.508163
"37",54.43,54.540001,52.799999,53.16,2479800,38.438034
"38",53.27,53.599998,52.709999,53.349998,3491500,38.575413
"39",53.619999,55.52,53.25,54.049999,6183800,39.081566
"40",54.43,55.82,54.349998,55.389999,2965400,40.050461
"41",55.080002,55.509998,54.700001,55.25,3650700,39.949238
"42",55.25,56.66,55.060001,56.419998,3046000,40.795219
"43",56.18,56.759998,55.830002,56.610001,3468700,40.932602
"44",56.830002,56.950001,56.23,56.580002,3327700,40.910919
"45",56.599998,56.759998,54.709999,54.77,2386500,39.602165
"46",54.619999,54.639999,53.389999,54.509998,3147100,39.414169
"47",55,55.060001,54.09,54.330002,2285800,39.284019
"48",54.25,54.470001,53.75,53.98,3041000,39.030937
"49",53.5,53.5,51.990002,52.200001,3880100,37.743889
"50",52.75,53.869999,52.509998,53.639999,4193800,38.785095
"51",53.869999,54.07,52.709999,53.240002,2475700,38.495876
"52",53.470001,53.639999,52.48,52.82,8199000,38.192196
"53",52.459999,53.349998,52.209999,53.240002,2467100,38.495876
"54",53.470001,53.630001,52.029999,52.279999,2089400,37.801735
"55",52.23,52.869999,51.959999,52.700001,2181000,38.105419
"56",52.549999,52.779999,52.119999,52.25,2051800,37.780048
"57",52.389999,53.52,52.369999,53.099998,2821600,38.394646
"58",52.529999,53.25,52.220001,53.09,2186500,38.387421
"59",53.310001,53.610001,52.880001,53.060001,1681500,38.365723
"60",53.040001,54.939999,52.990002,54.73,2670000,39.573246
