"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume","ORCL.Adjusted"
"1",38.450001,38.689999,38.299999,38.549999,11051300,35.671875
"2",38.549999,38.919998,38.549999,38.740002,9545500,35.847702
"3",38.669998,38.950001,38.41,38.639999,12064700,35.755165
"4",38.75,38.75,38.380001,38.450001,14829700,35.57935
"5",38.529999,39.450001,38.470001,39.029999,15587900,36.116051
"6",39,39.07,38.66,38.66,11316600,35.773666
"7",38.639999,39.130001,38.639999,39.110001,10403100,36.190079
"8",39.029999,39.32,38.59,39.200001,11526900,36.273354
"9",39.16,39.330002,39.029999,39.259998,9455300,36.328873
"10",39.07,39.279999,38.889999,39.099998,11081400,36.180813
"11",39.279999,39.34,39.029999,39.189999,10394000,36.264099
"12",39.119999,39.380001,39.099998,39.209999,12232400,36.2826
"13",39.459999,40.029999,39.450001,39.869999,25439100,36.893326
"14",39.759998,40.09,39.43,39.68,13251200,36.717518
"15",39.849998,40.200001,39.75,40.099998,12216500,37.106155
"16",40.32,40.380001,39.950001,40.150002,13164800,37.152428
"17",40.209999,40.25,39.950001,40.130001,10556500,37.133926
"18",40.200001,40.389999,40.130001,40.23,9232700,37.226448
"19",40.110001,40.25,39.810001,40.23,10589600,37.226448
"20",40.209999,40.25,39.669998,40.110001,10766700,37.115414
"21",40.220001,40.220001,39.709999,39.84,11837000,36.865582
"22",39.77,40,39.68,39.98,10120300,36.995125
"23",40.07,40.43,39.950001,40.43,12941200,37.411533
"24",40.439999,40.439999,40.080002,40.099998,7871300,37.106155
"25",40.16,40.299999,40.040001,40.07,8848700,37.0784
"26",40.060001,40.349998,40.009998,40.02,8883300,37.032135
"27",40.02,40.450001,40.02,40.23,10977100,37.226448
"28",40.330002,40.919998,40.209999,40.790001,13168700,37.744648
"29",40.889999,41.189999,40.799999,41.09,12779800,38.022259
"30",40.919998,41.169998,40.75,41.099998,9623000,38.031498
"31",40.959999,41.48,40.889999,41.41,9243600,38.318359
"32",41.459999,41.740002,41.369999,41.59,10132700,38.484913
"33",41.540001,42.060001,41.5,42.060001,18545300,38.919827
"34",41.990002,42.380001,41.93,42.27,12394700,39.114147
"35",42.259998,42.52,42.130001,42.509998,11602800,39.336231
"36",42.560001,42.990002,42.5,42.959999,15484000,39.75264
"37",42.740002,43.189999,42.68,43.169998,11426700,39.946964
"38",43.259998,43.259998,42.52,42.700001,13876500,39.512051
"39",42.619999,42.75,42.419998,42.59,14450300,39.410259
"40",42.75,43,42.689999,42.919998,11402200,39.715626
"41",42.830002,42.93,42.630001,42.889999,9431600,39.687862
"42",42.77,42.889999,42.59,42.689999,8917100,39.502792
"43",42.459999,42.740002,42.299999,42.57,9196000,39.39175
"44",42.580002,42.75,42.52,42.599998,9492900,39.419518
"45",42.68,42.790001,42.509998,42.610001,9217100,39.428757
"46",42.630001,42.630001,42.25,42.439999,10308400,39.27145
"47",42.619999,42.689999,42.349998,42.68,12244500,39.493549
"48",42.75,42.779999,42.529999,42.580002,12440800,39.401012
"49",42.580002,42.84,42.41,42.790001,10291000,39.595322
"50",42.900002,43.200001,42.639999,43.049999,18393200,39.835918
"51",46.389999,46.990002,45.650002,45.73,67535400,42.315826
"52",45.25,45.98,45.110001,45.66,31688700,42.25106
"53",45.669998,45.950001,45.16,45.23,21452600,41.853161
"54",45.310001,45.400002,44.709999,44.84,21974500,41.492275
"55",45.130001,45.450001,44.630001,44.790001,14339700,41.446007
"56",44.68,45.060001,44.669998,44.950001,16190500,41.594067
"57",44.919998,45.09,44.580002,44.650002,13110200,41.31646
"58",44.509998,44.93,44.360001,44.84,8933100,41.492275
"59",44.830002,45.029999,44.66,44.689999,14008800,41.353474
"60",44.52,44.73,44.470001,44.52,10636200,41.196163
"61",44.450001,44.75,44.369999,44.68,7792500,41.344219
"62",44.5,44.849998,44.459999,44.610001,10652800,41.279449
"63",44.68,45.049999,44.400002,44.610001,16044300,41.279449
"64",44.610001,44.740002,44.380001,44.59,9161300,41.260948
"65",44.740002,44.970001,44.41,44.490002,9445100,41.168411
"66",44.529999,44.529999,44.139999,44.18,11557800,40.88155
"67",44.09,44.389999,43.990002,44.290001,13446600,40.983345
"68",44.209999,44.450001,43.959999,44,11668600,40.890408
"69",43.889999,44.450001,43.759998,44.169998,15422400,41.048389
"70",44.330002,44.41,44.029999,44.18,8457000,41.057686
"71",44.189999,44.450001,43.98,44,11838300,40.890408
"72",44.119999,44.360001,44,44.290001,10999300,41.159916
"73",44.209999,44.580002,44.139999,44.52,10446700,41.373653
"74",44.439999,44.540001,44.080002,44.189999,10712000,41.066975
"75",44.259998,44.630001,44.169998,44.529999,10880900,41.38295
"76",44.59,44.740002,44.400002,44.43,11556000,41.29002
"77",44.970001,44.990002,44.619999,44.84,10848900,41.671043
"78",44.98,44.98,44.599998,44.720001,12436800,41.559525
"79",44.75,45.040001,44.639999,44.689999,10122400,41.531643
"80",44.880001,44.939999,44.650002,44.77,8221000,41.605988
"81",44.740002,44.959999,44.52,44.959999,12962700,41.782558
"82",45.009998,45.18,44.869999,45.049999,9118300,41.866199
"83",45,45.349998,44.970001,45.130001,11649600,41.940548
"84",45.049999,45.16,44.77,44.889999,10695900,41.717503
"85",44.959999,45.779999,44.950001,45.470001,15505200,42.256523
"86",45.709999,45.779999,45.360001,45.580002,8443400,42.358742
"87",45.48,45.709999,45.419998,45.560001,7559600,42.340168
"88",45.5,45.68,45.380001,45.48,6530600,42.265812
"89",45.52,45.560001,45.290001,45.529999,6906100,42.312279
"90",45.41,45.41,44.970001,45.16,8996400,41.968422
"91",45.009998,45.150002,44.919998,45.080002,7965100,41.894081
"92",45.240002,45.360001,45.09,45.32,9694000,42.117119
"93",45.360001,45.369999,45.150002,45.290001,7944500,42.089241
"94",45.290001,45.290001,44.200001,44.23,18489200,41.10416
"95",44.060001,44.41,43.599998,44.169998,12777600,41.048389
"96",44.209999,44.52,44.169998,44.310001,11519200,41.178501
"97",44.330002,44.650002,44.279999,44.630001,9805800,41.475883
"98",44.68,44.84,44.52,44.560001,6873700,41.410831
"99",44.650002,44.880001,44.5,44.830002,7653600,41.661758
"100",44.990002,45.299999,44.830002,45.200001,7597600,42.005608
"101",45.209999,45.450001,45.060001,45.259998,6899700,42.061356
"102",45.110001,45.459999,45.110001,45.419998,10769800,42.210056
"103",45.419998,45.549999,45.259998,45.389999,14757600,42.182178
"104",45.52,45.799999,45.360001,45.790001,8138900,42.553905
"105",45.880001,46.07,45.48,45.66,11794600,42.433094
"106",45.689999,46,45.669998,45.919998,8617300,42.674717
"107",45.73,45.84,45.599998,45.610001,7449500,42.38662
"108",45.619999,45.650002,45.139999,45.400002,7688700,42.191467
"109",45.400002,45.860001,45.310001,45.419998,12889500,42.210056
"110",45.400002,45.669998,44.68,45.029999,12188400,41.847618
"111",44.650002,44.849998,43.740002,44.849998,16189900,41.680328
"112",45.07,45.240002,44.619999,44.98,10705800,41.801159
"113",45.16,45.279999,44.490002,44.810001,12024600,41.643162
"114",44.549999,44.82,44.369999,44.68,10394600,41.522346
"115",44.75,45.099998,44.529999,45.09,15930900,41.903385
"116",45.27,45.75,45.209999,45.73,12787700,42.498138
"117",45.759998,46.32,45.599998,45.84,15299600,42.600368
"118",46.150002,46.540001,46.080002,46.330002,30757300,43.055744
"119",46.330002,51.849998,46.330002,50.299999,63193900,46.745174
"120",50.240002,51.84,50.07,50.950001,42812500,47.349232
"121",50.990002,51.700001,50.77,50.860001,29453400,47.265594
"122",50.75,51.450001,50.52,50.75,17876400,47.163376
"123",51.07,51.09,50.810001,50.869999,15981600,47.274876
"124",50.759998,50.889999,49.98,50.200001,13929100,46.652233
"125",50.18,50.52,50.080002,50.139999,13146400,46.596478
"126",50.049999,50.130001,49.32,49.360001,10883200,45.871609
"127",49.799999,50.029999,49.41,49.459999,15775300,45.964527
"128",49.25,49.419998,48.77,48.849998,14411900,45.397648
"129",48.830002,49.439999,48.830002,49.349998,10889400,45.862305
"130",49.27,49.830002,49.220001,49.619999,10098500,46.113228
"131",49.529999,49.889999,49.41,49.880001,9751100,46.354858
"132",50.02,50.48,49.959999,50.450001,14461400,46.884575
"133",50.549999,50.68,50.25,50.349998,11959900,46.791637
"134",50.27,50.650002,50.27,50.560001,9875900,46.986801
"135",50.310001,50.580002,50.240002,50.439999,8093600,47.05209
"136",50.34,50.700001,50.16,50.450001,14104800,47.06142
"137",50.459999,51.099998,50.360001,51,13312800,47.574478
"138",51.139999,51.259998,50.84,51.130001,8772500,47.695751
"139",50.869999,51.150002,50.650002,50.799999,8791900,47.387909
"140",50.799999,50.900002,50.610001,50.759998,7639100,47.350601
"141",50.91,51.23,50.790001,51.169998,10536200,47.733051
"142",51.150002,51.189999,51.02,51.169998,5724500,47.733051
"143",51.299999,51.360001,50.189999,50.450001,16508800,47.06142
"144",50.189999,50.490002,50.040001,50.299999,8996400,46.921497
"145",50.48,50.5,49.900002,49.93,10066600,46.576344
"146",50.150002,50.220001,49.82,50.16,6066200,46.790901
"147",50.259998,50.310001,49.580002,49.77,8720700,46.427094
"148",49.919998,50.41,49.73,50.23,9490100,46.856197
"149",50.18,50.209999,49.869999,49.959999,7025300,46.60434
"150",50,50.09,49.529999,49.639999,8280300,46.305828
"151",49.540001,49.830002,48.970001,49.099998,14684300,45.802097
"152",48.98,49.389999,48.860001,49.060001,15872400,45.764786
"153",48.959999,48.959999,48.049999,48.099998,13391100,44.869267
"154",48.18,48.439999,47.98,48.240002,11704600,44.999863
"155",48.48,48.959999,48.470001,48.849998,9229100,45.568886
