"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"1",64.620003,65.93,64.610001,65.32,2115600,55.140953
"2",65.699997,66.389999,65.650002,66.220001,2448400,55.9007
"3",65.900002,66.230003,64.970001,65.139999,1658300,54.989002
"4",65.550003,66.349998,64.949997,65.879997,1741100,55.613686
"5",65.75,65.989998,64.760002,65.07,1483700,54.929913
"6",65.269997,66.309998,65.110001,66.25,2034700,55.926029
"7",66.25,66.82,66.019997,66.800003,1602000,56.390312
"8",66.800003,66.800003,65.690002,66.330002,1480600,55.993553
"9",67.07,67.650002,66.779999,67.519997,1512800,56.998112
"10",67,67.459999,66.610001,66.919998,1238600,56.491611
"11",66.900002,66.910004,66.18,66.309998,2453900,55.976673
"12",66.540001,66.699997,65.480003,65.739998,2068200,55.495499
"13",66,66.309998,65.419998,66,1880600,55.714977
"14",65.989998,66,65.230003,65.470001,2356500,55.267586
"15",65.650002,66.910004,65.650002,66.699997,1638900,56.305901
"16",67,68.690002,66.82,68.400002,2295300,57.740986
"17",68.279999,68.440002,67.720001,68.080002,1614300,57.470844
"18",68.169998,68.190002,67.129997,67.589996,1601200,57.057201
"19",67.360001,67.75,66.400002,67.620003,3627600,57.082542
"20",65.919998,68.639999,64.959999,67.309998,6319100,56.820843
"21",67.639999,69.800003,67.370003,68.629997,3058800,57.935135
"22",68.239998,68.970001,67.379997,67.589996,1875700,57.057201
"23",67.32,68.870003,67.32,68.489998,1981100,57.816944
"24",68.050003,68.57,67.57,68.07,1623700,57.462402
"25",68.07,68.589996,67.529999,67.629997,1237200,57.090977
"26",67.580002,67.580002,66.669998,66.839996,1911600,56.424084
"27",67,68.32,66.699997,68.190002,2137200,57.563717
"28",68.209999,68.870003,67.879997,68.730003,1899600,58.224491
"29",69,69.889999,68.940002,69.870003,1835200,59.190239
"30",69.739998,70.120003,69.529999,70.07,2006500,59.35965
"31",69.68,70.07,69.269997,69.800003,1416200,59.130943
"32",69.879997,69.919998,68.440002,68.720001,1493000,58.216015
"33",68.5,68.879997,67.650002,68.849998,1455300,58.326153
"34",68.93,69.18,68.379997,68.769997,1870700,58.258373
"35",68.400002,68.540001,67.709999,68.040001,1420200,57.639954
"36",68.339996,68.489998,67.110001,67.440002,1362300,57.131668
"37",67.400002,67.580002,66.660004,67.419998,1646600,57.114719
"38",67.309998,67.690002,67.010002,67.610001,1747500,57.275684
"39",67.529999,67.650002,66.650002,66.809998,1827100,56.59795
"40",67.910004,69.510002,67.489998,69.190002,2703600,58.614182
"41",68.940002,68.980003,67.279999,67.379997,2739100,57.080837
"42",67.580002,68.720001,67.410004,68.629997,2127100,58.139759
"43",68.230003,68.760002,67.510002,68.269997,1760700,57.834789
"44",67.910004,68.629997,67.519997,67.57,1688500,57.241791
"45",67.730003,67.970001,67.110001,67.309998,1490600,57.021526
"46",67.019997,67.470001,66.230003,66.720001,2287300,56.521721
"47",67.370003,67.849998,67.029999,67.709999,1621500,57.360401
"48",67.760002,68.160004,67.709999,67.870003,1295400,57.495937
"49",67.669998,67.669998,66.639999,67.349998,1160500,57.055424
"50",67.809998,69.129997,67.75,68.870003,1859500,58.343075
"51",68.949997,69.209999,68.690002,68.889999,1679400,58.360012
"52",69.18,69.610001,68.800003,69.519997,5316300,58.89373
"53",69.440002,69.599998,68.790001,69.110001,2038000,58.546402
"54",69.239998,69.43,67.349998,67.650002,2888500,57.309566
"55",67.120003,67.900002,67.059998,67.529999,1412100,57.207909
"56",67.550003,67.860001,67.040001,67.589996,1584300,57.258724
"57",67.739998,68.07,67.290001,67.620003,1432900,57.284164
"58",66.989998,67.25,65.760002,66.489998,1662300,56.326866
"59",66.370003,67.370003,66.25,67.089996,1167100,56.835152
"60",66.900002,67.940002,66.889999,67.650002,1346900,57.309566
"61",67.360001,67.830002,67.199997,67.639999,884400,57.301079
"62",67.290001,67.790001,67.029999,67.199997,1336700,56.928341
"63",67.309998,67.339996,65.839996,66.839996,1522200,56.623367
"64",66.620003,66.959999,66.279999,66.620003,1653400,56.437
"65",66.949997,68.120003,66.669998,66.75,2326800,56.547131
"66",66.919998,67.379997,66.699997,67.160004,1243800,56.894455
"67",67.080002,67.790001,66.830002,67.160004,1603900,56.894455
"68",66.980003,68.029999,66.580002,67.650002,1441300,57.309566
"69",67.330002,67.669998,66.650002,67.529999,1531600,57.207909
"70",67.459999,67.519997,65.550003,65.650002,1844200,55.615269
"71",65.620003,65.959999,64.589996,64.629997,1891300,54.751175
"72",64.980003,65.389999,64.43,65.339996,1678300,55.352646
"73",64.260002,64.980003,64.010002,64.199997,2442500,54.386906
"74",64.550003,65,64.300003,64.559998,1948600,54.691872
"75",65,66.080002,64.489998,65.879997,1401100,55.810112
"76",66.089996,66.400002,65.440002,65.760002,2285600,55.708462
"77",67.260002,68.110001,67.099998,67.730003,2878400,57.377338
"78",66.349998,67.209999,65,65.760002,3950700,55.708462
"79",65.709999,66.589996,65.139999,65.339996,3118700,55.352646
"80",65.400002,66.440002,64.989998,66.410004,2247300,56.259098
"81",66.5,66.940002,65.779999,66.730003,1895200,56.530197
"82",66.970001,66.970001,65.919998,66.18,1671300,56.064259
"83",67.330002,68.160004,67.07,68.059998,2411400,57.656883
"84",69.169998,69.169998,67.080002,67.360001,1379000,57.063896
"85",67.459999,67.879997,66.400002,66.900002,1509100,56.674198
"86",67,67.419998,66.599998,67.040001,1112100,56.792812
"87",67.050003,67.080002,65.830002,66.32,2136800,56.18285
"88",66.25,66.589996,66.029999,66.290001,1251500,56.157455
"89",66.080002,66.410004,65.690002,65.970001,1468400,55.88636
"90",64.349998,64.889999,63.509998,64.370003,4378000,54.530922
"91",64.139999,64.230003,63.119999,63.369999,2344400,53.683773
"92",63.389999,63.900002,63.360001,63.779999,1905900,54.031097
"93",64.019997,64.459999,63.57,64.440002,2541500,54.590218
"94",63.669998,63.959999,63.25,63.380001,1981400,53.901356
"95",63.040001,63.259998,62.09,62.330002,2235700,53.008392
"96",62.419998,63.279999,62.330002,62.830002,2348400,53.433617
"97",63.060001,63.380001,62.720001,62.880001,2025700,53.476139
"98",63.07,63.099998,62.279999,62.810001,1122400,53.416607
"99",62.950001,63.009998,62.23,62.689999,1462200,53.314548
"100",62.77,63.119999,62.150002,62.689999,1288300,53.314548
"101",62.689999,63,62.439999,62.630001,987600,53.263519
"102",62.52,62.91,62.389999,62.639999,942800,53.272018
"103",62.810001,62.98,62.009998,62.959999,1730200,53.544167
"104",63.16,64.040001,62.650002,63.689999,1330500,54.164989
