"","PEAK.Open","PEAK.High","PEAK.Low","PEAK.Close","PEAK.Volume","PEAK.Adjusted"
"1",29.879999,29.92,29.52,29.780001,3083500,23.35887
"2",29.889999,30.57,29.809999,30.440001,5343100,23.87656
"3",30.549999,31.26,30.25,31.15,4948900,24.433472
"4",31.129999,31.48,30.620001,31.219999,5003800,24.488377
"5",31.23,31.35,30.809999,30.809999,4373500,24.166779
"6",30.709999,30.75,29.950001,30.049999,4303000,23.570652
"7",30.1,30.49,29.969999,30.4,5660000,23.845184
"8",30.4,30.5,29.99,30.41,2942700,23.853027
"9",30.34,30.51,29.99,30.219999,2695000,23.703997
"10",30.33,30.73,30.33,30.68,2849100,24.064808
"11",30.549999,30.92,30.530001,30.549999,3027700,23.962845
"12",30.41,30.41,29.75,29.959999,4535300,23.500051
"13",29.950001,30.15,29.870001,30.07,3125100,23.586334
"14",30.110001,30.370001,29.959999,30.33,2467200,23.790272
"15",30.34,30.48,30.030001,30.24,3119300,23.719683
"16",30.5,30.610001,29.68,29.879999,6139000,23.437304
"17",29.940001,30.07,29.530001,29.6,5316000,23.21768
"18",29.67,29.719999,29.389999,29.559999,4119400,23.186302
"19",29.59,30.129999,29.360001,30.07,6768000,23.586334
"20",30.139999,30.77,29.76,30.32,23569800,23.782433
"21",30.33,30.629999,29.809999,30.040001,5473900,23.562807
"22",30,30.719999,29.879999,30.700001,4155200,24.080494
"23",30.799999,31,30.58,30.75,3843800,24.119719
"24",30.75,30.93,30.540001,30.92,3455000,24.253063
"25",31,31.09,30.68,30.75,3173200,24.119719
"26",30.860001,31.129999,30.77,30.91,2260600,24.245218
"27",30.91,31.059999,30.620001,30.68,4713500,24.064808
"28",30.610001,30.809999,30.549999,30.700001,3180300,24.080494
"29",30.5,30.92,30.309999,30.85,2809300,24.493351
"30",30.73,30.83,30.219999,30.41,2640500,24.144012
"31",30.32,30.459999,29.860001,30.42,2894600,24.151953
"32",30.5,31.290001,30.5,30.98,3035800,24.596567
"33",30.969999,31.110001,30.75,31.07,2224300,24.66802
"34",31,31.51,30.74,31.4,3314400,24.930023
"35",31.48,31.91,31.43,31.639999,4138600,25.120569
"36",31.780001,32.16,31.639999,32.130001,2589200,25.509607
"37",32.040001,32.689999,31.950001,32.639999,3835000,25.91452
"38",32.73,32.900002,32.57,32.73,3066600,25.985975
"39",32.75,32.970001,32.599998,32.790001,4523000,26.033613
"40",32.59,32.59,32.150002,32.200001,3902300,25.565186
"41",32.139999,32.259998,31.77,32.110001,3166900,25.493727
"42",32.040001,32.25,31.6,32.200001,3525700,25.565186
"43",32.049999,32.16,31.389999,31.5,3538800,25.00942
"44",31.360001,31.43,30.969999,31.299999,3883700,24.85063
"45",31.059999,31.059999,30.309999,30.360001,2939600,24.104317
"46",30.35,30.469999,29.59,29.75,2531900,23.620007
"47",29.75,30.299999,29.530001,29.76,3360700,23.627947
"48",29.83,30,29.559999,29.780001,3476600,23.643827
"49",29.719999,29.790001,29.41,29.51,3089400,23.429457
"50",29.690001,30.24,29.58,30.08,3854100,23.88201
"51",30.01,30.23,29.870001,30.02,2618000,23.834372
"52",30.030001,30.41,29.92,30.120001,4622400,23.913769
"53",30.42,30.48,30.08,30.17,2659300,23.953465
"54",30.25,30.299999,29.92,30.01,4782900,23.826435
"55",30.110001,30.65,30.049999,30.49,7017100,24.207527
"56",30.440001,30.870001,30.440001,30.57,7918600,24.271046
"57",30.73,30.799999,30.540001,30.610001,5256600,24.302803
"58",30.41,31.09,30.41,30.790001,5362400,24.445717
"59",30.809999,31.049999,30.629999,31,3061500,24.612442
"60",31,31.120001,30.809999,31.02,2577800,24.628321
"61",31.02,31.059999,30.57,30.99,3509100,24.604502
"62",31.030001,31.379999,31.01,31.280001,3792300,24.834749
"63",31.389999,31.41,30.83,31.1,5671000,24.691839
"64",31.219999,31.360001,30.98,31.049999,5830600,24.652143
"65",31.059999,31.16,30.82,31.139999,7767900,24.723597
"66",31.110001,31.440001,30.9,31.4,4052700,24.930023
"67",31.49,31.870001,31.34,31.790001,6028300,25.239668
"68",31.790001,31.98,31.719999,31.91,3118800,25.334938
"69",31.719999,31.9,31.610001,31.809999,3862800,25.255543
"70",31.76,31.93,31.690001,31.9,2373200,25.327
"71",31.940001,32.119999,31.799999,31.9,2610700,25.327
"72",32.02,32.27,31.9,32.27,2785700,25.620762
"73",32.27,32.799999,32.169998,32.790001,4965600,26.033613
"74",32.77,32.779999,32.279999,32.400002,4623200,25.723972
"75",32.439999,32.720001,32.299999,32.52,2378200,25.819242
"76",32.43,32.599998,32.349998,32.5,3065500,25.803368
"77",32.529999,32.549999,31.35,32.009998,5106700,25.414331
"78",32,32.16,31.860001,32.040001,3678200,25.43815
"79",31.93,31.98,31.540001,31.629999,3608800,25.112631
"80",31.629999,31.950001,31.469999,31.51,3969700,25.017359
"81",31.459999,31.5,30.92,31.35,3689200,24.890331
"82",31.370001,31.709999,31.18,31.450001,3322000,24.969723
"83",31.5,31.690001,30.940001,31.26,5010200,24.818871
"84",31.48,31.51,30.4,30.530001,3738300,24.239286
"85",29.99,30.129999,29.549999,29.9,4657900,24.030325
"86",29.92,30.209999,29.889999,30.09,5199600,24.183027
"87",30.209999,30.24,29.879999,30.129999,4007500,24.215178
"88",30.139999,30.18,29.709999,29.889999,3700800,24.022293
"89",29.9,30.49,29.889999,30.389999,4254300,24.424135
"90",30.25,31.040001,30.030001,30.959999,3107000,24.882238
"91",31.040001,31.43,30.959999,31.290001,3791800,25.147459
"92",31.32,31.620001,31.02,31.1,2295400,24.994757
"93",31.09,31.200001,30.82,31,2370700,24.914385
"94",30.99,31.700001,30.99,31.360001,3332000,25.203711
"95",31.34,31.780001,31,31.719999,3251800,25.493038
"96",31.76,31.85,31.26,31.719999,3273500,25.493038
"97",31.700001,31.92,31.549999,31.879999,2515600,25.621635
"98",31.91,32.049999,31.690001,31.73,2454400,25.501078
"99",31.73,31.959999,31.620001,31.690001,3550500,25.468927
"100",31.629999,31.719999,31.49,31.540001,2468400,25.348383
"101",31.58,31.639999,31.040001,31.23,2669900,25.099236
"102",31.200001,31.41,31.129999,31.219999,1851300,25.091198
"103",31.200001,31.49,31.110001,31.34,4421900,25.187641
"104",31.290001,31.51,30.74,31.469999,2854100,25.292124
"105",31.639999,32.130001,31.639999,31.9,3440600,25.637711
"106",31.75,31.780001,31.469999,31.74,2041500,25.509117
"107",31.709999,31.83,31.49,31.530001,1858900,25.340343
"108",31.52,31.690001,31.35,31.4,2371300,25.235863
"109",31.4,31.4,30.67,30.959999,3382000,24.882238
"110",30.860001,31.33,30.719999,31.18,2416900,25.059053
"111",31.26,31.620001,31.049999,31.620001,4001200,25.412674
"112",31.57,31.690001,31.389999,31.66,3207800,25.444822
"113",32.080002,32.52,31.870001,31.969999,5060100,25.693966
"114",31.74,32.380001,31.719999,32.169998,2560500,25.854696
"115",32.259998,32.560001,32.060001,32.509998,4214600,26.127956
"116",32.490002,32.84,32.34,32.84,3678500,26.393173
"117",32.82,33.169998,32.77,33.09,2644900,26.594099
"118",33.060001,33.279999,32.860001,33.049999,2954100,26.561954
"119",33.040001,33.330002,32.91,33.18,2175700,26.666431
"120",33.209999,33.630001,33.209999,33.389999,3100000,26.835205
"121",33.48,33.669998,33.330002,33.380001,1881200,26.827168
"122",33.25,33.43,32.73,32.75,4143200,26.320841
"123",32.75,32.830002,32.59,32.740002,3161300,26.312801
"124",32.419998,32.529999,31.92,31.98,3331100,25.702003
"125",32.099998,32.330002,31.77,31.959999,2813900,25.685926
"126",32.099998,32.599998,32.02,32.549999,1094100,26.160107
"127",32.650002,32.650002,32.02,32.150002,2311100,25.838629
"128",32,32.029999,31.15,31.15,4374300,25.034941
"129",31.209999,31.32,30.85,31.209999,2197400,25.083158
"130",31.26,31.32,30.879999,30.889999,2086000,24.825977
"131",30.950001,31.07,30.709999,30.950001,1702400,24.874197
"132",31.209999,31.629999,31.139999,31.469999,2517300,25.292124
"133",31.450001,31.59,31.299999,31.33,2005800,25.179605
"134",31.42,31.799999,31.42,31.76,2362500,25.52519
"135",31.790001,32.049999,31.639999,32.009998,3126600,25.726112
"136",31.98,32.259998,31.83,32.060001,2248700,25.766294
"137",32.049999,32.34,31.92,32.16,2493600,25.846663
"138",32.209999,32.259998,31.74,31.74,3643100,25.509117
"139",31.719999,31.74,31.42,31.59,3304000,25.388561
"140",31.51,31.66,31.24,31.34,4416000,25.187641
"141",31.35,31.73,31.08,31.700001,3002200,25.476969
"142",31.629999,32.119999,31.610001,31.99,3315400,25.710039
"143",31.809999,32,31.389999,31.91,3082400,25.645744
"144",31.940001,32.07,31.65,31.83,3144300,25.58145
"145",31.84,32.049999,31.52,31.65,9972100,25.436783
"146",31.76,31.799999,29.99,30.25,6385800,24.311621
"147",30.129999,30.25,29.719999,30.030001,5740600,24.134808
"148",29.58,30.07,29.450001,30.030001,2967200,24.435884
"149",29.91,30,29.620001,29.85,2142900,24.289415
"150",29.82,29.9,29.43,29.559999,3501000,24.053431
"151",29.41,29.629999,29.25,29.610001,4181100,24.09412
"152",29.67,29.77,29.370001,29.379999,2902000,23.906965
"153",29.33,29.5,29.15,29.190001,2368400,23.752359
"154",29.17,29.290001,28.93,29.27,3230800,23.817459
"155",29.360001,29.870001,29.290001,29.799999,2821100,24.248724
"156",29.67,29.67,29,29.15,4051100,23.719807
"157",29.219999,29.459999,29.219999,29.34,3256600,23.87442
"158",29.35,29.42,29.18,29.200001,2796300,23.7605
"159",29.24,29.25,28.809999,28.85,2694200,23.475695
"160",28.9,29.469999,28.790001,29.379999,2386800,23.906965
"161",29.4,29.440001,28.77,28.950001,3134900,23.557066
"162",29.030001,29.49,28.9,29.459999,2316900,23.972063
"163",29.469999,29.700001,29.33,29.41,3109600,23.931379
"164",29.530001,29.700001,29.4,29.540001,2389100,24.037163
"165",29.559999,29.59,29.18,29.280001,1639800,23.825596
"166",29.360001,29.610001,29.299999,29.51,3439600,24.012751
"167",29.459999,29.59,29.280001,29.540001,2782100,24.037163
"168",29.59,29.879999,29.58,29.809999,3045600,24.256866
"169",29.82,30.18,29.82,30.139999,2500600,24.525391
"170",30.110001,30.389999,29.959999,30.17,2903400,24.549801
"171",30.209999,30.43,30.059999,30.120001,4136200,24.509117
"172",30.16,30.290001,30.07,30.15,2519300,24.533527
"173",30.129999,30.59,30.030001,30.209999,4924300,24.582348
"174",30.25,30.549999,30.17,30.33,4214400,24.679995
"175",30.280001,30.4,29.639999,29.799999,2545800,24.248724
"176",29.780001,29.84,29.360001,29.469999,5297800,23.9802
"177",29.549999,29.709999,29.32,29.48,8135000,23.988338
"178",29.540001,29.799999,29.440001,29.450001,7466000,23.963924
"179",29.48,29.639999,29.290001,29.440001,3817200,23.95579
"180",29.48,29.629999,29.049999,29.1,5575800,23.679125
"181",29.209999,29.379999,28.959999,29.040001,2746300,23.630304
"182",29.09,29.139999,28.57,28.57,3170100,23.24786
"183",28.450001,28.549999,27.84,27.870001,4057400,22.678255
"184",28.049999,28.290001,27.940001,28.139999,2964300,22.897955
"185",28.09,28.120001,27.82,28.02,4825400,22.800314
"186",27.879999,27.98,27.469999,27.66,4138400,22.507374
"187",27.66,27.91,27.57,27.85,3178300,22.66198
"188",27.77,27.98,27.66,27.83,3756900,22.645706
"189",27.26,27.43,26.690001,26.709999,6679800,21.734346
"190",26.700001,27.049999,26.469999,27,4799000,21.970324
"191",27,27.120001,26.74,27.059999,3385700,22.019142
"192",27.059999,27.280001,27.059999,27.139999,3901600,22.084242
"193",27.02,27.059999,26.6,26.92,3510300,21.905228
"194",26.879999,27.049999,26.799999,26.83,2468100,21.831995
"195",26.860001,27.02,26.280001,26.440001,4228200,21.514643
"196",26.5,26.780001,26.450001,26.459999,2293000,21.530916
"197",26.440001,26.57,26.26,26.43,3373600,21.506504
