"","PEG.Open","PEG.High","PEG.Low","PEG.Close","PEG.Volume","PEG.Adjusted"
"1",44.009998,44.009998,43.16,43.389999,2976300,36.784435
"2",43.529999,43.970001,43.509998,43.689999,2155600,37.038761
"3",43.639999,43.84,43.299999,43.759998,2208900,37.098095
"4",43.610001,44.240002,43.48,44.200001,2324100,37.47113
"5",44.209999,44.310001,43.459999,43.52,2049400,36.894638
"6",43.360001,43.599998,43.200001,43.459999,2307700,36.843777
"7",43.529999,44.220001,43.529999,44.040001,2993100,37.33548
"8",44,44.139999,43.790001,44.07,1973800,37.360916
"9",43.950001,44.099998,43.759998,44.029999,1579100,37.327007
"10",44.220001,44.700001,44.119999,44.41,1599000,37.649158
"11",44.25,44.450001,44.099998,44.18,1126700,37.45417
"12",43.959999,44.16,43.540001,43.68,1538300,37.030285
"13",43.810001,44,43.509998,43.740002,1497900,37.081158
"14",43.77,43.919998,43.200001,43.27,1488400,36.682697
"15",43.27,43.709999,43.240002,43.450001,1810300,36.8353
"16",43.330002,43.5,43.259998,43.389999,1570600,36.784435
"17",43.389999,43.68,43.139999,43.330002,1443700,36.733566
"18",43.41,43.490002,42.889999,43.060001,1679100,36.504681
"19",43.139999,43.299999,42.860001,43.209999,1869300,36.631836
"20",43.32,44.330002,43.279999,44.25,3496600,37.513504
"21",44.029999,44.029999,43.240002,43.369999,3222700,36.76749
"22",43.360001,43.59,43.040001,43.52,3581500,36.894638
"23",43.619999,43.880001,43.52,43.709999,1886300,37.055721
"24",43.82,43.849998,43.419998,43.450001,1886100,36.8353
"25",43.459999,43.529999,43.330002,43.439999,2279400,36.82682
"26",43.5,43.830002,43.389999,43.540001,2524000,36.911602
"27",43.540001,43.639999,43.060001,43.189999,2588600,36.614883
"28",43.060001,43.439999,42.98,43.389999,2113300,36.784435
"29",43.43,43.779999,43.380001,43.759998,1859900,37.098095
"30",43.630001,43.709999,43.130001,43.43,1908800,36.818348
"31",43.049999,43.380001,42.77,43.209999,3604500,36.631836
"32",43.240002,43.66,43.240002,43.66,1952200,37.013332
"33",43.689999,43.84,43.32,43.490002,5839600,36.869217
"34",43.490002,44.43,43.259998,44.330002,2680500,37.581329
"35",44.389999,44.43,44.040001,44.27,2291400,37.53046
"36",44.48,44.610001,44.169998,44.25,3280200,37.513504
"37",44.470001,45.630001,44.110001,45.610001,3084600,38.666462
"38",45.41,45.66,44.939999,45.610001,3649400,38.666462
"39",45.5,46.139999,45.439999,45.98,3513400,38.980133
"40",45.459999,45.73,45.09,45.32,2608200,38.420612
"41",45.09,46.080002,44.950001,45.790001,2905800,38.819073
"42",45.84,45.880001,45.02,45.529999,2722700,38.598652
"43",45.5,45.639999,45.060001,45.110001,2697200,38.242588
"44",45.130001,45.32,44.700001,44.98,3525900,38.132381
"45",44.27,44.389999,43.880001,43.959999,3446300,37.627373
"46",43.98,44.369999,43.880001,43.889999,1914400,37.567459
"47",44.029999,44.509998,43.98,44.43,2621800,38.029667
"48",44.41,44.57,44.290001,44.48,1861200,38.07246
"49",44.34,44.68,44.27,44.490002,1975900,38.081028
"50",44.619999,45.490002,44.560001,45.130001,2543100,38.628826
"51",44.939999,45.009998,44.299999,44.41,2558500,38.012539
"52",44.580002,45.040001,44.540001,44.73,3940500,38.286453
"53",44.82,44.889999,43.990002,44.130001,3475400,37.772888
"54",44.18,44.869999,43.869999,44.66,3878300,38.226532
"55",44.799999,45.34,44.790001,45.099998,3907800,38.603157
"56",45.080002,45.400002,44.93,45.07,2855700,38.577465
"57",44.98,45.389999,44.93,45.150002,1881200,38.64595
"58",45.439999,45.57,44.59,44.740002,1733300,38.29501
"59",44.619999,44.720001,44.209999,44.509998,4747700,38.098141
"60",44.349998,44.349998,43.959999,44.150002,3371100,37.790001
"61",44.029999,44.119999,43.77,43.91,2157200,37.584572
"62",43.959999,44.549999,43.93,44.349998,3122500,37.961189
"63",44.310001,44.330002,43.93,44.259998,2478300,37.884151
"64",44.209999,44.419998,43.950001,44.27,2638400,37.892715
"65",44.240002,44.529999,44.080002,44.419998,3387800,38.021099
"66",44.279999,44.900002,44.16,44.889999,3863000,38.423397
"67",44.970001,45.189999,44.669998,44.720001,4103900,38.277889
"68",44.68,44.84,44.240002,44.66,2906400,38.226532
"69",44.650002,45.450001,44.400002,45.290001,4408200,38.765778
"70",45.189999,45.650002,44.98,45.610001,3746900,39.03968
"71",45.689999,45.939999,45.34,45.650002,3868800,39.073925
"72",45.689999,45.810001,45.419998,45.68,2009300,39.099598
"73",45.490002,45.709999,45.139999,45.34,4108700,38.808582
"74",45.27,45.380001,44.310001,44.599998,4572900,38.175175
"75",44.599998,44.599998,44.099998,44.369999,2666200,37.978306
"76",44.299999,44.689999,44.299999,44.509998,3472700,38.098141
"77",44.57,45.09,44.349998,45,2409200,38.517548
"78",44.84,45,44.610001,44.720001,1834700,38.277889
"79",44.630001,44.950001,44.43,44.490002,2873500,38.081028
"80",44.529999,44.889999,44.34,44.41,3133300,38.012539
"81",44.389999,44.549999,43.919998,44.049999,2443400,37.704399
"82",44.099998,44.139999,43.619999,43.709999,2151700,37.413372
"83",43.75,43.990002,43.639999,43.869999,2532100,37.550339
"84",43.82,43.900002,43.529999,43.66,2203200,37.370594
"85",43.59,43.82,43.259998,43.48,2104900,37.216511
"86",43.630001,43.900002,43.630001,43.810001,2171700,37.498981
"87",43.900002,43.900002,43.470001,43.619999,2153600,37.336353
"88",43.57,43.610001,42.93,42.950001,2238600,36.762871
"89",43,43.07,42.470001,42.700001,4261500,36.548874
"90",42.610001,42.799999,42.490002,42.77,4674500,36.608795
"91",42.959999,43.130001,42.639999,42.77,2650200,36.608795
"92",42.84,43.139999,42.759998,43.040001,4080100,36.839897
"93",43.110001,43.279999,42.93,43.099998,3603000,36.891254
