"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"1",104.940002,105.089996,104.209999,104.650002,3741200,90.953918
"2",105.110001,105.629997,104.790001,104.849998,3029700,91.127762
"3",104.519997,105.120003,104.190002,104.709999,5087200,91.006058
"4",104.980003,105.160004,104.120003,104.559998,4109700,90.875694
"5",104.160004,104.260002,103.25,103.459999,5603500,89.919655
"6",103.32,103.32,101.75,101.970001,5399200,88.624657
"7",101.839996,102.360001,101.410004,101.809998,4650300,88.485603
"8",101.709999,102.519997,101.580002,101.839996,3126000,88.511688
"9",101.879997,102.110001,101.220001,101.550003,3478600,88.259628
"10",101.07,102.32,101.059998,102.190002,3745800,88.815857
"11",102.400002,103,102.32,102.739998,4340400,89.293892
"12",102.279999,103,102.169998,102.360001,3923100,88.963623
"13",102.790001,103.32,102.440002,103.239998,4750800,89.728455
"14",102.900002,104.220001,102.830002,104.010002,4584800,90.397667
"15",104,104.93,103.779999,104.709999,4992300,91.006058
"16",104.709999,105.190002,104.540001,104.610001,3566100,90.919144
"17",104.510002,104.730003,104.07,104.139999,3634600,90.510658
"18",104.379997,104.410004,103.43,103.480003,4248200,89.937035
"19",103.010002,103.720001,103,103.690002,3462600,90.119545
"20",103.209999,104.169998,103.209999,103.779999,3846600,90.197769
"21",103.610001,103.779999,102.980003,103.010002,3515600,89.528542
"22",103.760002,104.389999,103.290001,104.029999,3213700,90.415054
"23",104.440002,105.769997,104.059998,105.110001,4287100,91.353729
"24",105.099998,105.239998,104.529999,104.57,4355200,90.884384
"25",104.629997,105.900002,104.629997,105.610001,3980400,91.788292
"26",105.5,106.230003,105.25,105.690002,3407100,91.857796
"27",105.690002,106.489998,105.019997,105.970001,4012400,92.101151
"28",105.830002,106.349998,105.589996,106.099998,2475500,92.214157
"29",106.5,106.690002,105.879997,106.519997,3463700,92.579163
"30",106.169998,107,105.669998,106.919998,5665000,92.926811
"31",105.349998,107.25,104.769997,106.730003,7617200,92.761696
"32",107.150002,108.18,106.32,108.120003,5559900,93.969795
"33",107.290001,108.300003,107.209999,108.150002,5498400,93.995857
"34",108.07,109.5,107.949997,109.360001,5370700,95.047516
"35",109.370003,109.779999,109.169998,109.410004,3815300,95.09095
"36",109.120003,110,109.120003,109.540001,3382700,95.203934
"37",109.5,109.919998,109.330002,109.830002,3991800,95.455986
"38",109.690002,109.879997,109.230003,109.269997,3475100,94.969276
"39",109.050003,110.599998,109.050003,110.379997,4684700,95.934006
"40",109.599998,110.32,109.169998,109.730003,4750700,96.024139
"41",109.809998,110.32,109.43,110.110001,3880800,96.356674
"42",110.099998,110.669998,109.650002,110.559998,4111300,96.75045
"43",109.800003,110.190002,109.43,109.629997,4491000,95.936623
"44",109.160004,109.769997,109,109.32,4361100,95.665352
"45",109.169998,109.330002,108.470001,109.300003,5244500,95.647842
"46",109.599998,109.610001,108.910004,109.019997,4066900,95.402824
"47",109.580002,109.709999,109.279999,109.589996,3488900,95.901634
"48",109.32,109.800003,109.029999,109.410004,3131200,95.744125
"49",109.279999,109.730003,109.120003,109.339996,3630000,95.682838
"50",109.559998,111.230003,109.5,111.110001,4973400,97.231758
"51",111.089996,111.199997,110.529999,111.139999,4580700,97.258011
"52",111.480003,111.519997,110.93,111.389999,6444400,97.476791
"53",111.150002,111.440002,110.809998,111.150002,3382100,97.266777
"54",111.540001,112.309998,111.470001,111.769997,5587700,97.809326
"55",112.309998,112.379997,111.57,112.019997,3882200,98.028107
"56",111.949997,112.330002,111.669998,111.779999,3208400,97.818069
"57",111.980003,112.25,111.790001,112.120003,3913200,98.115608
"58",111.870003,112.290001,111.57,111.830002,3514600,97.861824
"59",111.809998,112.760002,111.639999,112.449997,3945400,98.404388
"60",112.059998,112.540001,111.970001,112.43,2683700,98.386879
"61",112.290001,112.550003,112,112.18,2104900,98.168121
"62",112.309998,112.470001,111.830002,111.860001,3744400,97.888092
"63",111.949997,112.360001,111.459999,111.860001,3587100,97.888092
"64",111.989998,112.220001,111.629997,112.080002,2360700,98.080612
"65",112.040001,112.589996,111.690002,111.940002,2992000,97.958115
"66",112.120003,112.279999,111.419998,111.580002,2740600,97.643059
"67",111.699997,111.959999,111.440002,111.610001,2799600,97.669304
"68",111.699997,112.150002,111.410004,112.019997,2873200,98.028107
"69",111.709999,112.080002,111.349998,111.730003,3031500,97.774323
"70",112.050003,113.769997,111.900002,113.610001,6260300,99.419495
"71",113.25,113.379997,112.650002,112.68,3257300,98.605667
"72",112.739998,113.32,112.68,113.32,2917700,99.165741
"73",113.440002,114.610001,113.400002,114.279999,4574200,100.005814
"74",114.419998,114.489998,113.480003,113.620003,3044700,99.428261
"75",113.519997,113.970001,113.389999,113.589996,2973000,99.401985
"76",113.550003,113.800003,113.269997,113.43,3885300,99.261993
"77",114.360001,114.480003,113.910004,114.32,3221500,100.040817
"78",114.209999,114.57,114,114.160004,3643600,99.900826
"79",111.75,113.760002,111.339996,113.330002,5343900,99.174484
"80",113.099998,113.440002,112.510002,112.639999,4096200,98.570656
"81",112.339996,113.43,112.190002,113.279999,4872000,99.130737
"82",112.93,113.110001,112.269997,112.279999,4074300,98.255623
"83",112.75,112.889999,112.07,112.290001,3082400,98.264381
"84",112.389999,112.709999,111.699997,111.790001,3342600,97.826836
"85",112.169998,113,111.809998,112.959999,3488800,98.850685
"86",113.040001,113.279999,112.739998,113.220001,3046100,99.078224
"87",113.199997,113.43,112.779999,113.220001,3097200,99.078224
"88",113.239998,113.410004,112.550003,112.720001,2708200,98.640663
"89",112.699997,112.870003,112.480003,112.839996,2160100,98.745689
"90",112.639999,113.089996,112.529999,113.040001,2277200,98.9207
"91",112.93,113.300003,112.720001,112.910004,2383500,98.806938
"92",112.900002,114,112.769997,113.940002,3500300,99.708282
"93",114.059998,114.660004,113.589996,113.790001,2444300,99.577026
"94",113.790001,114.290001,113.32,113.739998,2999300,99.533272
"95",113.779999,114.279999,113.290001,114.029999,3439500,99.787025
"96",114.169998,114.5,113.459999,113.690002,5750100,99.48951
"97",113.690002,115,113.690002,114.699997,3324000,100.373352
"98",114.709999,115.440002,114.709999,115.050003,3261300,100.679649
"99",115.309998,116.330002,115.120003,116.059998,2816000,101.563477
"100",116.360001,117.68,116.150002,117.529999,3596200,102.849876
"101",117.25,118,117.199997,117.910004,3104800,103.182419
"102",117.739998,118.120003,117.5,118.010002,3231600,103.269905
"103",116.910004,117.940002,116.870003,116.870003,5232900,102.974731
"104",116.800003,117.260002,116.059998,117.230003,4404900,103.291946
"105",117.459999,117.699997,117.040001,117.669998,3162900,103.679634
"106",117.389999,117.970001,117.050003,117.879997,2968800,103.86467
"107",117.779999,117.940002,117.459999,117.699997,2643200,103.706047
"108",117.169998,117.57,116.82,117.050003,3681100,103.133354
"109",117.050003,117.080002,115.589996,115.889999,3956700,102.111267
"110",115.660004,116.129997,115.360001,115.940002,3197700,102.155319
"111",115.940002,116.620003,115.940002,116.230003,3492100,102.410828
"112",115.470001,116.589996,115.470001,116.32,2760000,102.490143
"113",116.910004,118.059998,116.830002,117.370003,3597200,103.415298
"114",117,117.480003,116.510002,117.209999,3372700,103.274307
"115",117.370003,117.400002,116.300003,116.860001,5156200,102.965935
"116",117.019997,117.290001,116.230003,117.290001,2436600,103.344818
"117",117.290001,118.139999,117.18,117.949997,3703500,103.926346
"118",117.779999,118.239998,117.239998,117.419998,3767100,103.459358
"119",117.330002,117.410004,116.050003,116.150002,3288100,102.340347
"120",116.209999,117.370003,116.089996,116.959999,3453400,103.054039
"121",117.419998,117.830002,117.059998,117.120003,2704000,103.195038
"122",117.239998,117.379997,115.940002,115.940002,2884300,102.155319
"123",116.519997,116.870003,116.199997,116.379997,3110600,102.542999
"124",116.07,116.199997,114.889999,115.18,3474400,101.485695
"125",115.529999,116.110001,115.300003,115.489998,3313300,101.758842
"126",115.550003,116,115.339996,115.440002,2250800,101.714775
"127",115.5,115.550003,114.879997,115.300003,4023100,101.5914
"128",114.970001,115.419998,114.849998,115.129997,4007000,101.44162
"129",115.410004,115.660004,114.830002,115.510002,3972500,101.776459
"130",115.919998,116,114.199997,114.269997,5771200,100.683868
