"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"1",31.024668,31.309298,30.920303,31.309298,23391844,25.928755
"2",31.432638,31.641365,31.337761,31.58444,22753963,26.156616
"3",31.660341,31.963947,31.423149,31.888046,21083584,26.408045
"4",31.935484,31.973434,31.63188,31.764706,18418228,26.305899
"5",31.717268,31.944971,31.669828,31.755219,21559886,26.29804
"6",31.86907,31.935484,31.612904,31.726755,20444754,26.274469
"7",31.660341,31.821632,30.740038,31.148008,42623128,25.795189
"8",30.863379,30.948767,30.645161,30.92979,33475989,25.614466
"9",30.996204,31.100569,30.673624,30.853889,21386925,25.551611
"10",30.6926,30.721064,30.151802,30.417458,33838143,25.19018
"11",30.445921,30.626186,30.313093,30.388994,22629064,25.166609
"12",30.417458,30.445921,29.914612,30.075901,27555881,24.907322
"13",30.094877,30.474382,30.037951,30.142315,31788324,24.962322
"14",30.056927,30.189753,29.829222,29.848198,26098094,24.718748
"15",29.791271,29.848198,29.316889,29.554079,31225172,24.475172
"16",29.753321,29.905123,29.506641,29.686907,33905283,24.585175
"17",29.791271,29.857685,29.601519,29.67742,28653517,24.577318
"18",29.857685,29.924099,29.658443,29.810247,25353654,24.687325
"19",29.857685,29.886148,29.468691,29.705881,28947899,24.600891
"20",29.421251,30.294119,29.34535,30.104364,39472300,24.930891
"21",29.895636,30.066414,29.658443,30.047438,30031938,25.13726
"22",29.857685,30.104364,29.71537,30.104364,24634404,25.184883
"23",30.40797,30.588236,30.28463,30.445921,37935252,25.470629
"24",30.360531,30.673624,30.303604,30.578749,25859258,25.581747
"25",30.664137,30.6926,30.303604,30.436434,24781648,25.462687
"26",30.28463,30.6926,30.28463,30.493359,20194745,25.510309
"27",30.493359,30.872866,30.493359,30.721064,25102380,25.700808
"28",30.749525,30.787476,30.578749,30.6926,23090189,25.676996
"29",30.777988,31.015181,30.777988,30.93928,21733585,25.883364
"30",30.863379,31.091082,30.6926,31.072105,24205532,25.994484
"31",31.100569,31.859583,31.015181,31.793169,48035523,26.597713
"32",31.736242,32.153702,31.518026,31.897533,40402244,26.685024
"33",31.86907,32.153702,31.812143,31.897533,36882306,26.685024
"34",31.850096,32.06831,31.764706,31.897533,25391598,26.685024
"35",31.850096,32.020874,31.54649,31.86907,28676494,26.661211
"36",31.973434,32.371918,31.859583,32.314991,32122863,27.034264
"37",32.419353,32.590134,32.248577,32.504745,26046448,27.193007
"38",32.47628,32.694496,32.409866,32.52372,23009136,27.208879
"39",32.35294,32.504745,32.172676,32.371918,28964658,27.081888
"40",32.514233,32.76091,32.305504,32.656548,34034925,27.320005
"41",32.694496,32.969639,32.656548,32.741936,26952993,27.391439
"42",32.741936,32.874763,32.599621,32.751423,19800760,27.399372
"43",32.571156,32.703983,32.333965,32.590134,19174263,27.264442
"44",32.134724,32.447819,32.020874,32.248577,30783335,26.978703
"45",32.172676,32.35294,31.992411,32.172676,23870360,26.915201
"46",32.144215,32.390892,32.049335,32.305504,20199594,27.026321
"47",32.390892,32.561668,32.258064,32.362431,20214666,27.073952
"48",32.390892,32.400379,32.172676,32.362431,19988056,27.073952
"49",32.277039,32.571156,32.23909,32.466793,15563469,27.161263
"50",32.466793,32.922199,32.428844,32.855785,24279839,27.486679
"51",32.798862,32.855785,32.495255,32.666035,21816219,27.327946
"52",32.694496,32.80835,32.514233,32.561668,45736117,27.240633
"53",32.637569,32.732449,32.561668,32.618595,18435514,27.288252
"54",32.71347,32.836811,32.428844,32.495255,33083479,27.18507
"55",32.542694,32.770397,32.248577,32.703983,27528267,27.359694
"56",32.561668,32.789375,32.47628,32.533207,21378704,27.216818
"57",32.514233,32.514233,32.201138,32.258064,28583110,26.986643
"58",32.011387,32.552181,32.011387,32.428844,18852055,27.129513
"59",32.314991,32.504745,32.229603,32.409866,19327725,27.113634
"60",32.409866,32.685009,32.362431,32.571156,18214174,27.248566
"61",32.438332,32.675522,32.400379,32.590134,15803465,27.264442
"62",32.457306,32.618595,32.409866,32.457306,19616837,27.153326
"63",32.362431,32.590134,32.35294,32.485767,19064752,27.177132
"64",32.428844,32.732449,32.305504,32.580647,20324177,27.256506
"65",32.571156,32.751423,32.400379,32.438332,20321225,27.137451
"66",32.390892,32.590134,32.314991,32.362431,17164706,27.073952
"67",32.343452,32.495255,32.296017,32.35294,14728069,27.066013
"68",32.381405,32.466793,32.229603,32.296017,16852722,27.018391
"69",32.277039,32.333965,32.011387,32.19165,20155642,26.93108
"70",32.144215,32.248577,31.982922,32.182163,26022628,26.923143
"71",32.144215,32.277039,32.087288,32.144215,13560553,26.891394
"72",32.163189,32.305504,32.087288,32.258064,15963462,26.986643
"73",32.030361,32.144215,31.935484,32.106262,22293365,26.859644
"74",32.115749,32.172676,31.83112,31.888046,25204302,26.677086
"75",31.907021,32.134724,31.764706,32.011387,19339319,26.780275
"76",31.91651,32.0019,31.755219,31.91651,25552227,26.700899
"77",32.23909,32.28653,31.925997,32.011387,22438501,26.780275
"78",32.087288,32.220116,31.982922,32.030361,19756176,26.796144
"79",32.125237,32.28653,32.115749,32.115749,20884483,26.867579
"80",32.220116,32.277039,32.039848,32.125237,15633139,26.875519
"81",32.144215,32.201138,32.020874,32.182163,16842077,26.923143
"82",32.153702,32.248577,32.039848,32.049335,23910833,26.812021
"83",31.859583,31.992411,31.195446,31.888046,42965678,26.677086
"84",31.764706,31.86907,31.593927,31.755219,26155748,26.565962
"85",31.726755,31.86907,31.612904,31.736242,26897869,26.550091
"86",31.726755,31.764706,31.527514,31.764706,22999966,26.573898
"87",31.688805,31.897533,31.641365,31.736242,24781543,26.550091
"88",31.736242,31.86907,31.641365,31.669828,18028248,26.494528
"89",31.309298,31.423149,31.21442,31.337761,34829852,26.470486
"90",31.29981,31.442125,31.166983,31.347248,26421567,26.4785
"91",31.204933,31.375711,31.204933,31.318787,18589187,26.45446
"92",31.280834,31.480076,31.119545,31.423149,20530444,26.542612
"93",30.891842,31.119545,30.730551,30.92979,42437834,26.125881
"94",30.92979,30.92979,30.559772,30.578749,29931281,25.829363
"95",30.550285,30.759012,30.426945,30.56926,24874822,25.821348
"96",30.645161,30.796965,30.540796,30.796965,29885432,26.013689
"97",30.834915,30.834915,30.474382,30.474382,26725962,25.741203
"98",30.474382,30.626186,30.436434,30.493359,18517410,25.757231
"99",30.521822,30.626186,30.332067,30.40797,23576821,25.685112
"100",30.417458,30.550285,30.332067,30.512335,18227244,25.773266
"101",30.531309,30.635674,30.455408,30.493359,12330746,25.757231
"102",30.417458,30.65465,30.379507,30.483871,16913643,25.749224
"103",30.626186,31.110058,30.483871,30.97723,30585499,26.165951
"104",30.996204,31.166983,30.853889,31.034157,25184803,26.214037
"105",31.091082,31.195446,30.777988,30.872866,21984543,26.077799
"106",30.844402,30.910816,30.550285,30.6926,14994836,25.925533
"107",30.645161,30.711575,30.398481,30.426945,18831186,25.701139
"108",30.436434,30.512335,30.265656,30.360531,17479641,25.645035
"109",30.360531,30.455408,30.047438,30.123341,35620773,25.444685
"110",30.180265,31.119545,30.113852,31.091082,31764609,26.262125
"111",31.091082,31.394688,31.024668,31.024668,30435515,26.206022
"112",31.034157,31.100569,30.853889,30.910816,18093913,26.109858
"113",30.920303,31.081594,30.796965,31.015181,14568177,26.198009
"114",30.948767,31.337761,30.891842,31.129032,19952115,26.294176
"115",31.290323,31.432638,31.129032,31.280834,33600044,26.422405
"116",31.252373,31.54649,31.223909,31.518026,21922146,26.622753
"117",31.508539,32.020874,31.451612,31.840607,27473775,26.895235
"118",31.859583,32.35294,31.859583,32.144215,27134492,27.151686
"119",32.210625,32.71347,32.182163,32.314991,23352529,27.295937
"120",32.333965,32.466793,32.229603,32.419353,31668800,27.384089
"121",32.409866,32.457306,32.229603,32.296017,14937604,27.279911
"122",32.381405,32.381405,32.020874,32.039848,16089942,27.063528
"123",32.125237,32.248577,31.925997,32.020874,15594035,27.047504
"124",32.020874,32.134724,31.660341,31.907021,15724837,26.951336
"125",32.0019,32.06831,31.793169,31.86907,14242175,26.919275
"126",31.764706,32.229603,31.755219,32.087288,8971964,27.1036
"127",32.201138,32.210625,31.774195,31.91651,17072270,26.959347
"128",31.91651,31.944971,31.442125,31.518026,14676318,26.622753
"129",31.54649,31.650854,31.328274,31.641365,17914522,26.726936
"130",31.650854,31.812143,31.537003,31.698292,14256720,26.775023
"131",31.688805,31.755219,31.356735,31.470589,12874083,26.582687
"132",31.63188,31.812143,31.49905,31.518026,14577979,26.622753
"133",31.518026,31.63188,31.29981,31.574953,14112006,26.670837
"134",31.565466,31.83112,31.537003,31.717268,13175843,26.791052
"135",31.726755,31.755219,31.442125,31.54649,17733866,26.646795
"136",31.527514,31.679317,31.347248,31.650854,15356148,26.734953
"137",31.660341,31.963947,31.603416,31.897533,19825951,26.943319
"138",31.755219,31.973434,31.63188,31.821632,17870043,26.879206
"139",31.755219,31.859583,31.679317,31.764706,12673718,26.83112
"140",31.669828,31.736242,31.470589,31.612904,15558937,26.702892
"141",31.669828,31.764706,31.318787,31.404175,20856025,26.526585
"142",31.394688,31.404175,31.148008,31.204933,16572674,26.35829
"143",31.110058,31.309298,31.015181,31.309298,17561221,26.446447
"144",31.366224,31.470589,31.129032,31.451612,17116117,26.566658
"145",31.508539,31.679317,31.442125,31.461102,23169660,26.574673
"146",31.347248,31.593927,31.043644,31.385199,28072552,26.510559
"147",31.185959,31.233397,31.024668,31.233397,30412116,26.640034
"148",31.26186,32.077801,31.176472,31.717268,28739945,27.05275
"149",31.859583,32.258064,31.764706,31.91651,27183398,27.222685
"150",31.83112,31.86907,31.54649,31.603416,13188280,26.955641
"151",31.622391,31.745731,31.518026,31.574953,16986475,26.931364
"152",31.63188,31.745731,31.461102,31.736242,15807681,27.06893
"153",31.660341,31.83112,31.508539,31.707781,19062539,27.044653
"154",31.783682,31.850096,31.508539,31.54649,13626639,26.907084
"155",31.622391,31.660341,31.442125,31.603416,13482241,26.955641
"156",31.63188,31.812143,31.555977,31.669828,18048801,27.012283
"157",31.622391,31.774195,31.555977,31.650854,11128764,26.996098
"158",31.58444,31.736242,31.26186,31.26186,15661175,26.664314
"159",31.223909,31.280834,30.97723,30.996204,16326565,26.437727
"160",30.92979,31.185959,30.664137,31.081594,17848752,26.510557
"161",31.081594,31.518026,31.024668,31.451612,14178619,26.82616
"162",31.375711,31.679317,31.375711,31.537003,16989953,26.898994
"163",31.660341,31.688805,31.470589,31.527514,12140394,26.890898
"164",31.574953,31.897533,31.527514,31.679317,15171171,27.020378
"165",31.783682,31.897533,31.698292,31.755219,13033026,27.085114
"166",31.717268,31.83112,31.537003,31.783682,12884096,27.109394
"167",31.764706,31.764706,31.54649,31.736242,12394935,27.06893
"168",31.783682,32.277039,31.764706,32.182163,27300497,27.449272
"169",32.201138,32.381405,32.087288,32.220116,19160771,27.48164
"170",32.144215,32.419353,32.020874,32.06831,15068616,27.352165
"171",32.210625,32.362431,32.172676,32.248577,13925764,27.505919
"172",32.296017,32.381405,32.077801,32.248577,18831923,27.505919
"173",32.210625,32.495255,32.06831,32.35294,16276290,27.594936
"174",32.343452,32.580647,32.23909,32.561668,17263993,27.772966
"175",32.618595,33.918407,32.599621,33.557877,39268351,28.62266
"176",33.45351,33.614799,33.178368,33.263756,22115450,28.371801
"177",33.254269,34.003796,33.206833,33.899429,28907847,28.913988
"178",33.776093,33.889942,33.434536,33.548386,30430139,28.614573
"179",33.567364,33.728653,33.406071,33.728653,17850755,28.768328
"180",33.833015,33.833015,33.538898,33.633778,16539579,28.687399
"181",34.089184,34.354839,33.97533,34.146111,27066825,29.124388
"182",34.212524,34.335861,34.07021,34.127136,16580579,29.10821
"183",34.250473,34.269451,33.937382,34.117645,15394092,29.100107
"184",34.060722,34.184059,33.624287,33.690701,23379828,28.735956
"185",33.690701,33.823528,33.434536,33.491463,18508029,28.566019
"186",33.444023,33.709679,33.387096,33.633778,15502759,28.687399
"187",33.462997,33.946869,33.415562,33.776093,19038086,28.808788
"188",33.814041,33.870968,33.538898,33.870968,16867900,28.889709
"189",33.842506,34.250473,33.671726,34.222012,17541300,29.189125
"190",34.174572,34.345352,33.918407,34.288425,14328392,29.24577
"191",34.326378,34.383301,34.060722,34.117645,11435268,29.100107
"192",34.041744,34.155598,33.918407,34.155598,14340408,29.132483
"193",34.146111,34.288425,34.098671,34.203037,12711345,29.172947
"194",34.212524,34.297913,34.089184,34.288425,10278081,29.24577
"195",34.516129,34.639469,34.184059,34.535103,18697433,29.456173
"196",34.506641,34.611008,34.345352,34.582542,18163687,29.496639
"197",34.611008,34.724857,34.421253,34.487667,14750098,29.415716
"198",34.506641,34.620495,34.392788,34.478176,13458842,29.407619
"199",34.487667,34.611008,34.041744,34.136623,14315006,29.116297
"200",34.089184,34.468693,33.918407,34.345352,14776764,29.294325
"201",34.392788,34.43074,33.956356,33.994308,15196572,28.994919
"202",34.051231,34.516129,34.003796,34.383301,20858028,29.326698
"203",34.440228,34.554081,34.184059,34.554081,18447319,29.472357
"204",34.440228,34.895638,34.440228,34.535103,15978008,29.456173
"205",34.582542,34.658443,34.146111,34.411766,15826126,29.350977
"206",34.345352,34.487667,34.079697,34.3074,17523488,29.261959
"207",34.240986,34.364326,33.776093,33.908916,18374277,28.922077
"208",33.709679,33.918407,33.586338,33.776093,15746865,28.808788
"209",33.614799,33.652752,33.225807,33.349148,26679586,28.444632
"210",33.254269,33.529411,32.35294,33.263756,24794085,28.371801
"211",33.21632,33.899429,33.111954,33.45351,16557497,28.533651
"212",33.462997,33.690701,33.235294,33.643265,13880021,28.695496
"213",33.633778,33.73814,33.510437,33.728653,9358255,28.768328
"214",33.766602,33.78558,33.320683,33.510437,11200542,28.582203
"215",33.491463,33.605312,33.434536,33.548386,11480906,28.614573
"216",33.557877,33.576851,33.235294,33.529411,14302148,28.598379
"217",33.28273,33.444023,33.055027,33.396584,14088713,28.745386
"218",33.301708,33.387096,33.017078,33.377609,15858589,28.729052
"219",33.415562,33.662239,33.339657,33.491463,25072657,28.827045
"220",33.444023,33.870968,33.415562,33.567364,17278538,28.892374
"221",33.472485,33.681213,33.425049,33.548386,13646138,28.876043
"222",33.529411,33.757114,33.444023,33.73814,13625901,29.039366
"223",33.557877,33.671726,33.368122,33.557877,15649265,28.884203
"224",33.567364,33.633778,33.462997,33.538898,12455540,28.867872
"225",33.586338,33.899429,33.567364,33.719166,13333100,29.023037
"226",33.633778,33.681213,33.510437,33.614799,11122967,28.933203
"227",33.690701,33.73814,33.557877,33.671726,6742754,28.982201
"228",33.700191,33.823528,33.567364,33.671726,10848611,28.982201
"229",33.766602,34.051231,33.700191,34.013283,13687033,29.276192
"230",34.098671,34.544594,34.041744,34.354839,16122827,29.570175
"231",34.354839,34.611008,34.231499,34.402279,24063663,29.611012
"232",34.43074,34.629982,34.165085,34.487667,19588485,29.684505
"233",34.620495,34.743832,34.203037,34.212524,14847487,29.447685
"234",34.079697,34.335861,33.690701,33.804554,23525912,29.096529
"235",33.757114,34.041744,33.690701,33.73814,18317677,29.039366
"236",33.73814,33.814041,33.349148,33.681213,16661421,28.990368
"237",33.510437,33.937382,33.510437,33.908916,15705759,29.186357
"238",34.193546,34.402279,33.861481,34.354839,15138497,29.570175
"239",34.497154,34.933586,34.392788,34.705883,23700139,29.872334
"240",34.696396,34.914612,34.601517,34.76281,16639709,29.921324
"241",34.848198,35,34.478176,34.59203,15585393,29.774334
"242",34.895638,35.322582,34.829224,35.294117,39820015,30.378641
"243",35.313091,35.436432,35.161289,35.227703,17670415,30.32147
"244",35.294117,35.322582,34.990513,35.04744,14817659,30.166313
"245",35.094875,35.23719,34.554081,34.59203,15914557,29.774334
"246",34.667931,34.724857,34.335861,34.383301,15566948,29.594673
"247",34.411766,34.516129,34.203037,34.288425,9063557,29.513006
"248",34.240986,34.411766,34.108158,34.354839,11480590,29.570175
"249",34.449715,34.59203,34.373814,34.468693,8768964,29.668175
"250",34.497154,34.658443,34.392788,34.506641,6939431,29.700844
"251",34.373814,34.620495,34.364326,34.364326,12038261,29.578346
"252",34.516129,34.648956,34.383301,34.573055,17059833,29.758007
"253",34.582542,34.886147,34.373814,34.829224,14183151,29.978493
"254",34.829224,35.028461,34.724857,34.905125,13046517,30.043816
"255",34.933586,34.990513,34.734344,34.971539,13167517,30.100986
"256",34.838711,34.914612,34.468693,34.582542,19964341,29.766169
"257",34.573055,34.76281,34.497154,34.544594,16876226,29.733511
"258",34.478176,34.734344,34.449715,34.601517,18755825,29.782497
"259",34.76281,34.819733,34.554081,34.686909,15102555,29.856003
"260",34.753323,34.914612,34.59203,34.667931,20240700,29.839664
"261",34.696396,35.085388,34.601517,34.724857,30536699,29.888659
"262",34.933586,35.455406,34.886147,35.275143,25332363,30.36231
"263",35.265656,35.265656,34.819733,35.094875,19946528,30.207144
"264",35.28463,35.370018,34.629982,35.04744,31133684,30.166313
"265",35,35.170776,34.848198,35.037952,21380495,30.158146
"266",34.933586,35.180267,34.667931,34.933586,18527212,30.068314
"267",35.094875,35.170776,34.848198,35.037952,18673191,30.158146
"268",35.075901,35.426945,35.009487,35.322582,18988232,30.403141
"269",35.388992,37.087288,35.388992,37.011387,51441419,31.856741
"270",37.0019,37.409866,36.78368,37.020874,36779014,31.864904
"271",36.252373,36.764706,35.436432,35.863377,48483684,30.868616
"272",35.97723,36.043644,34.943073,35.142315,35859926,30.247976
"273",34.734344,35.483871,34.734344,34.943073,29697926,30.355125
"274",34.724857,35.341557,34.639469,34.734344,25588907,30.173805
"275",34.611008,34.819733,32.258064,32.893738,42463657,28.574858
"276",32.409866,33.662239,32.258064,33.472485,56035067,29.077618
"277",33.33017,33.823528,33.178368,33.187855,30955980,28.830364
"278",33.206833,33.368122,31.878557,31.907021,45850792,27.717697
"279",32.438332,32.666035,31.49905,32.409866,49851776,28.154526
"280",32.685009,33.083492,32.28653,32.884251,38743670,28.56662
"281",32.798862,33.235294,32.64706,33.149906,21559570,28.797394
"282",32.922199,33.529411,32.789375,33.387096,24494749,29.003439
"283",33.557877,33.899429,33.28273,33.880455,22588379,29.432024
"284",33.927895,34.781784,33.851994,34.402279,27659595,29.885336
"285",34.174572,34.620495,34.041744,34.165085,27202370,29.679285
"286",34.127136,34.71537,33.899429,33.927895,25872327,29.473242
"287",34.032257,34.297913,33.78558,33.908916,23983454,29.456749
"288",34.089184,34.440228,33.994308,34.402279,17940029,29.885336
"289",34.43074,35.303604,34.354839,35.189754,25407302,30.56942
"290",35.170776,35.332069,34.857685,34.914612,23543093,30.330408
"291",35.132828,35.370018,34.449715,34.449715,28360927,29.926548
"292",34.269451,34.411766,33.396584,33.804554,30282896,29.366091
"293",33.728653,34.222012,33.586338,34.108158,22271336,29.629839
"294",33.984821,34.421253,33.937382,34.269451,22319609,29.769949
"295",34.383301,34.383301,33.918407,34.041744,18003479,29.572136
"296",33.776093,34.231499,33.728653,34.089184,23440328,29.613344
"297",34.146111,34.629982,34.089184,34.629982,21646630,30.083141
"298",34.734344,35.028461,34.658443,34.886147,19300743,30.305677
"299",35.028461,35.104362,34.629982,34.734344,26571656,30.173805
"300",34.914612,35.066414,34.563568,34.867172,29560695,30.28919
"301",34.95256,35.094875,34.326378,34.487667,23378458,29.959517
"302",34.487667,34.924099,34.487667,34.705883,20508310,30.149078
"303",34.76281,35.142315,34.743832,34.895638,34125253,30.313917
"304",34.914612,34.914612,34.231499,34.468693,20003761,29.943027
"305",34.506641,34.677418,34.269451,34.468693,20295824,29.943027
"306",34.620495,34.848198,34.345352,34.411766,19071392,29.893578
"307",34.184059,34.288425,33.652752,33.776093,22094686,29.341364
"308",33.671726,33.681213,32.675522,32.722961,29385731,28.42651
"309",33.140415,33.349148,32.561668,33.244781,24926468,28.879818
"310",33.377609,33.73814,32.9981,33.21632,28835227,28.855091
"311",33.377609,33.97533,33.320683,33.491463,26349684,29.094109
"312",33.700191,33.842506,33.273247,33.671726,24804731,29.250704
"313",33.605312,33.908916,32.979126,33.254269,28323299,28.888056
"314",33.311195,33.908916,33.130932,33.851994,21347927,29.407301
"315",33.510437,34.373814,33.434536,34.278938,22010682,29.778191
"316",33.842506,34.155598,33.709679,33.899429,25781789,29.448509
"317",33.73814,34.032257,33.102467,33.368122,22288200,28.986961
"318",33.491463,34.089184,33.415562,33.643265,20457297,29.225977
"319",34.155598,34.250473,33.889942,34.108158,20667254,29.629839
"320",33.899429,34.222012,33.766602,33.956356,13879915,29.497959
"321",34.184059,34.629982,34.127136,34.459202,23817976,29.934786
"322",34.544594,34.629982,34.278938,34.459202,17774340,29.934786
"323",34.629982,34.848198,34.525616,34.658443,15932369,30.107866
"324",34.867172,34.895638,34.411766,34.468693,17675580,29.943027
"325",34.516129,34.71537,34.421253,34.620495,14652497,30.074896
"326",34.525616,34.810246,34.411766,34.658443,16636652,30.107866
"327",34.629982,34.905125,34.601517,34.753323,22371993,30.190289
"328",34.791271,35,34.724857,34.914612,25381058,30.330408
"329",35.018974,35.360531,34.886147,35.161289,27106350,30.544687
"330",35.028461,35.142315,34.639469,34.800758,27730213,30.231491
"331",34.914612,35.199242,34.867172,34.962048,20405651,30.371613
