"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"1",83.879997,84.389999,83.5,84.199997,8792700,73.023392
"2",84.449997,84.599998,84.239998,84.5,8096700,73.283592
"3",84.410004,85.43,84.379997,85.059998,6852400,73.769249
"4",84.940002,85.25,84.620003,85.029999,4799900,73.743233
"5",84.059998,84.660004,83.75,84.400002,11000600,73.196869
"6",84.339996,84.43,83.239998,83.489998,10918200,72.407654
"7",83.389999,83.75,83.279999,83.75,9572300,72.633148
"8",83.709999,83.879997,83.370003,83.839996,6545400,72.711182
"9",83.849998,84.019997,83.440002,84.010002,6762800,72.858643
"10",83.900002,85.580002,83.879997,85.209999,13145100,73.899338
"11",84.800003,85.300003,84.589996,84.93,10520400,74.240242
"12",84.629997,85,84.279999,84.699997,14074500,74.0392
"13",86.889999,87.980003,86.419998,87.449997,22944400,76.443047
"14",87.089996,87.349998,86.849998,86.959999,9408900,76.01474
"15",87.220001,87.949997,87.220001,87.860001,8704700,76.801476
"16",87.839996,87.900002,87.059998,87.160004,8082900,76.189583
"17",87.120003,87.230003,86.589996,86.599998,6542300,75.700066
"18",86.449997,86.849998,86.019997,86.720001,9332300,75.804955
"19",86.779999,86.860001,86.5,86.75,7350000,75.831177
"20",86.629997,87.660004,86.529999,87.599998,9712400,76.574181
"21",87.029999,87.589996,86.75,87.330002,8291000,76.338173
"22",87.610001,88.349998,87.25,87.760002,8997200,76.714066
"23",88.120003,88.169998,87.389999,87.410004,7161900,76.408104
"24",87.5,87.790001,87.129997,87.400002,7483000,76.399361
"25",87.639999,88.279999,87.480003,88.010002,6646100,76.932579
"26",88.07,88.339996,87.809998,88.330002,6815800,77.212296
"27",88.330002,88.779999,88.029999,88.669998,9914100,77.509514
"28",88.559998,88.730003,87.970001,87.970001,11057600,76.897598
"29",88.040001,88.360001,87.639999,88.309998,6905100,77.194832
"30",88,88.220001,87.230003,87.860001,20123400,76.801476
"31",89.809998,91.150002,89.809998,91.120003,25847700,79.651146
"32",90.919998,91.120003,90.540001,90.790001,12408500,79.362694
"33",90.610001,91.360001,90.449997,91.089996,12152400,79.624916
"34",90.580002,91.800003,90.580002,91.669998,9018700,80.131927
"35",91.449997,91.800003,91.25,91.440002,6749900,79.930862
"36",91.610001,91.800003,90.910004,91.129997,7611600,79.659889
"37",90.970001,91.339996,90.669998,91.050003,6643400,79.589958
"38",90.529999,90.910004,90.059998,90.889999,11840300,79.450089
"39",90.900002,91.790001,90.650002,91.07,10535600,79.60743
"40",91.050003,91.889999,90.709999,91.660004,8792200,80.123184
"41",91.400002,91.589996,90.879997,90.910004,7031200,79.467575
"42",90.910004,90.910004,89.889999,90.5,8334900,79.109169
"43",89.889999,90.510002,89.589996,90.370003,9533800,78.995552
"44",90.139999,90.489998,90.059998,90.290001,5363000,78.925621
"45",90.019997,90.349998,89.760002,90.139999,5503700,78.79451
"46",90.139999,90.489998,90.099998,90.339996,5587400,78.969322
"47",90.800003,91.160004,90.650002,91.07,6797800,79.60743
"48",91.059998,91.489998,90.849998,91.309998,7397500,79.817238
"49",91.260002,91.589996,90.82,91,6686400,79.546242
"50",91,91.779999,90.730003,91.400002,7855300,79.895882
"51",91.440002,91.720001,91.099998,91.440002,6601200,79.930862
"52",91.449997,92,90.919998,91,37010100,79.546242
"53",90.959999,91.410004,90.940002,91.220001,7772900,79.738556
"54",91.300003,91.75,91.029999,91.190002,8211000,79.712318
"55",91.309998,91.800003,90.75,90.989998,7798000,79.537498
"56",90.910004,91.459999,90.599998,90.769997,6831400,79.345192
"57",90.769997,90.919998,90.209999,90.57,9252000,79.170364
"58",90.449997,90.720001,90.18,90.489998,10072000,79.100433
"59",90.169998,91.059998,90.129997,90.760002,11855800,79.336464
"60",90.559998,90.870003,90.389999,90.599998,4252800,79.196594
"61",90.5,90.57,90.099998,90.199997,3691900,78.846931
"62",90.029999,90.339996,89.839996,89.849998,6942400,78.540993
"63",89.860001,90.059998,89.449997,89.68,6967400,78.392395
"64",89.75,89.959999,89.419998,89.910004,5680800,78.593445
"65",90,90.5,89.760002,89.970001,6320100,78.645882
"66",89.769997,89.809998,89.309998,89.400002,7231500,78.147636
"67",89.459999,89.610001,89.18,89.230003,4739100,77.999023
"68",89.129997,89.68,88.75,89.489998,5956000,78.226295
"69",89.660004,89.82,89.290001,89.800003,5186000,78.497292
"70",89.699997,90.419998,89.559998,90.309998,6286300,78.943092
"71",90.050003,90.540001,89.790001,90.029999,5040100,78.698357
"72",90.230003,90.589996,90.129997,90.389999,6931700,79.013023
"73",90.400002,91.129997,90.339996,90.800003,7087800,79.371429
"74",90.099998,90.449997,89.5,89.599998,6919000,78.922188
"75",89.699997,89.699997,89.309998,89.330002,6983500,78.684372
"76",89.169998,89.279999,88.610001,88.620003,9061200,78.058998
"77",89.120003,89.660004,89.010002,89.550003,8338500,78.878159
"78",89.580002,90.25,89.470001,90,9088400,79.274521
"79",89.849998,90,87.610001,87.739998,11951300,77.283859
"80",87.580002,88.239998,87.230003,87.690002,8517500,77.239822
"81",87.519997,87.589996,87.150002,87.330002,8295400,76.922714
"82",87.379997,87.599998,87.080002,87.089996,4546600,76.711311
"83",87.290001,87.290001,86.019997,86.220001,13197500,75.945015
"84",86.300003,86.629997,85.900002,86.43,6122000,76.129974
"85",86.849998,87.239998,86.300003,86.449997,5986200,76.147598
"86",86.540001,86.610001,86.129997,86.5,4506200,76.191628
"87",86.330002,86.620003,86.239998,86.550003,4634600,76.235672
"88",86.800003,86.82,86.220001,86.400002,9577600,76.103554
"89",86.480003,86.790001,86.389999,86.489998,6178500,76.182831
"90",86.610001,86.629997,85.879997,86.169998,6064700,75.900955
"91",86.239998,86.32,85.919998,86.190002,5892400,75.918587
"92",86.650002,86.709999,86.25,86.330002,5820700,76.041893
"93",86.879997,87,86.190002,86.239998,6554500,75.962616
"94",86.239998,86.629997,85.93,86.260002,7805800,75.98024
"95",86.18,86.220001,85.519997,85.870003,6985600,75.636726
"96",86,86.379997,85.669998,86.239998,7320700,75.962616
"97",86.25,86.400002,86.029999,86.209999,4260000,75.936195
"98",86.279999,86.540001,85.980003,86.080002,4394200,75.821686
"99",86.449997,86.650002,86.209999,86.5,4878800,76.191628
"100",86.580002,86.980003,86.550003,86.860001,4368000,76.50872
"101",86.93,87.379997,86.82,87.25,4337000,76.852249
"102",87.25,87.610001,87.099998,87.400002,4594500,76.984367
"103",87.669998,88.349998,87.449997,88.089996,10146600,77.592133
"104",88.019997,88.139999,87.370003,88.129997,6251300,77.627365
"105",88.400002,88.68,88.010002,88.589996,6136400,78.032562
"106",88.300003,88.760002,88,88.739998,4115300,78.164688
"107",88.760002,88.970001,88.449997,88.800003,6503000,78.217529
"108",88.68,88.889999,88.400002,88.769997,4781600,78.191109
"109",88.769997,88.800003,87.360001,87.849998,7712100,77.380753
"110",87.849998,88.209999,87.550003,88.160004,9696900,77.653801
"111",88.160004,88.660004,88.089996,88.239998,7867700,77.724258
"112",88.360001,88.400002,87.769997,88.059998,6419300,77.565735
"113",88.489998,88.75,88.059998,88.440002,6183900,77.900444
"114",88.230003,89.620003,88.230003,89.379997,7047500,78.728416
"115",89.720001,89.769997,88.809998,89.660004,13855000,78.97506
"116",89.599998,89.860001,89.199997,89.860001,5246200,79.151215
"117",89.769997,90.209999,89.610001,89.629997,5674200,78.948608
"118",89.620003,89.949997,89.290001,89.400002,4164500,78.74604
"119",89.269997,89.410004,88.900002,89.029999,4536700,78.42012
"120",89.029999,89.800003,88.900002,89.419998,8782100,78.763649
"121",89.629997,89.68,89.269997,89.360001,4373300,78.7108
"122",89.360001,89.360001,88.610001,88.610001,5180400,78.050179
"123",89.080002,89.209999,88.260002,88.370003,4875000,77.838776
"124",88.019997,88.220001,86.93,86.989998,8123500,76.623245
"125",87.050003,87.470001,87,87.150002,6070300,76.76416
"126",87.400002,88,87.18,87.739998,3607400,77.283859
"127",87.860001,88,87.489998,87.669998,4974300,77.222191
"128",87.650002,87.949997,87.360001,87.370003,6038900,76.957954
"129",87.690002,87.82,87.279999,87.650002,5142200,77.20459
"130",87.629997,87.870003,86.889999,87.089996,5356400,76.711311
"131",87.230003,87.449997,86.309998,86.769997,5838600,76.429459
"132",87.239998,87.470001,86.830002,86.959999,4374200,76.596817
"133",86.769997,87.050003,86.5,86.699997,5448900,76.367783
"134",86.959999,87.290001,86.730003,87.099998,4577700,76.720123
"135",87.07,87.910004,86.739998,87.550003,5227800,77.116501
"136",87.610001,88.760002,87.459999,88.639999,7492300,78.076614
"137",87.870003,88.410004,87.599998,88.349998,6008500,78.431694
"138",88.32,89.309998,88.309998,88.599998,7285000,78.653633
"139",88.160004,88.68,87.809998,88.610001,5714800,78.662514
"140",88.550003,88.599998,87.970001,88.18,6202000,78.280785
"141",88.669998,89.199997,88.540001,89.139999,6766700,79.133026
"142",89,89.419998,88.870003,89.300003,6987000,79.275055
"143",90.290001,90.75,89,90.68,11089200,80.50013
"144",90.559998,91,89.959999,90.209999,6137500,80.082886
"145",90.209999,91.07,90.209999,90.82,7835700,80.62442
"146",91.029999,91.730003,90.720001,91.099998,8662100,80.872971
"147",90.970001,91.300003,90.529999,91.040001,7167700,80.819717
"148",90.860001,91.75,90.82,90.860001,6413200,80.659935
"149",90.690002,91.080002,90.529999,90.669998,5824400,80.491249
"150",90.669998,91.559998,90.519997,91.440002,5011300,81.17482
"151",91.400002,91.940002,91.230003,91.580002,5623400,81.29911
"152",91.519997,91.940002,91.519997,91.919998,5572800,81.600929
"153",91.860001,92,91.690002,91.739998,6338200,81.441147
"154",91.940002,92.080002,91.290001,91.339996,7094200,81.086014
"155",91.540001,91.949997,91.25,91.650002,5398400,81.361229
"156",91.910004,92.360001,91.879997,92.199997,5293400,81.849487
"157",92.290001,92.949997,92.190002,92.440002,7965500,82.062553
"158",92.400002,92.669998,92.07,92.07,5711400,81.734085
"159",91.980003,92.779999,91.849998,92.470001,6815000,82.08918
"160",92.379997,92.959999,92.360001,92.860001,4334300,82.435402
"161",92.910004,92.959999,92.589996,92.790001,4731500,82.373268
"162",92.5,92.660004,92.279999,92.440002,3631900,82.062553
"163",92.440002,92.57,92.040001,92.269997,5173700,81.911629
"164",92.650002,92.860001,92.410004,92.510002,4933000,82.124702
"165",92.519997,92.709999,91.980003,92.470001,5386500,82.08918
"166",92.480003,92.690002,92.239998,92.32,3676300,81.956017
"167",92.080002,92.080002,91.660004,91.870003,4709600,81.556534
"168",91.889999,92.389999,91.839996,92.269997,5864400,81.911629
"169",92.419998,92.660004,92.260002,92.529999,4960700,82.142448
"170",92.18,92.739998,92.040001,92.720001,6532100,82.311119
"171",92.790001,92.910004,92.360001,92.720001,6747200,82.311119
"172",92.739998,93.360001,92.330002,92.970001,7735400,82.533058
"173",92.760002,93.150002,92.510002,92.839996,6070100,82.417633
"174",93.089996,94.190002,92.900002,93.989998,10177300,83.438538
"175",93.720001,93.980003,93.209999,93.510002,5804000,83.012444
"176",93.5,93.769997,93.449997,93.550003,5369300,83.047958
"177",93.230003,93.650002,93.18,93.550003,5492300,83.047958
"178",93.82,93.82,92.82,93.269997,12428800,82.799355
"179",93.169998,93.5,92.860001,93.150002,6177700,82.692833
"180",93.339996,94.449997,93.339996,94.169998,6587200,83.59832
"181",94.169998,94.669998,93.830002,94.400002,5941500,83.802513
"182",94.150002,94.5,92.449997,92.639999,9376700,82.240105
"183",92.550003,93,92.080002,92.239998,6837700,81.884995
"184",92.43,93.089996,92.330002,92.720001,6436200,82.311119
"185",92.82,92.849998,92.199997,92.650002,4885200,82.248962
"186",92.519997,92.519997,90.339996,90.870003,9631200,80.668793
"187",90.860001,91.120003,90.629997,90.889999,4999800,80.686554
"188",90.970001,91.43,90.699997,90.980003,6634500,80.766449
"189",91.260002,92.400002,91.239998,91.769997,7302400,81.467758
"190",91.959999,92.339996,91.559998,92.120003,5909900,81.778473
"191",92.120003,92.800003,92.019997,92.419998,6140700,82.044785
"192",92.489998,92.650002,91.940002,92.029999,6912800,81.698593
"193",92,92.349998,91.879997,92.330002,5241900,81.964897
"194",92.400002,92.620003,91.93,92.120003,5149000,81.778473
"195",92.370003,93.040001,89.860001,91.620003,17125600,81.334625
"196",91.089996,91.730003,91.07,91.459999,7115400,81.192566
"197",91.410004,92.309998,91.389999,92.150002,5984900,81.805122
"198",92.699997,93.510002,92.589996,93.040001,6956700,82.595192
"199",92.970001,93.370003,92.709999,93.139999,4159100,82.68399
"200",93.040001,93.089996,92.400002,92.800003,5316100,82.382126
"201",92.779999,92.949997,92.010002,92.769997,7399700,82.355492
"202",91.699997,91.989998,91.139999,91.589996,8585000,81.917259
"203",89.720001,89.959999,87.589996,88.25,19997800,78.929985
"204",88.629997,88.860001,86.870003,87.300003,13358200,78.080307
"205",87.370003,87.419998,86.779999,86.980003,11519000,77.794128
