"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"1",142.199997,144.25,140.830002,142.550003,1115000,131.036057
"2",142.5,143.199997,141.899994,142.639999,637900,131.118835
"3",142.350006,142.669998,139.919998,141.369995,557900,129.951431
"4",141.910004,142.399994,141.059998,141.490005,727500,130.061661
"5",141.539993,142.149994,140.369995,140.779999,519200,129.409058
"6",141.160004,142.050003,140.740005,141.830002,721400,130.374207
"7",142.009995,145.339996,141.289993,145.210007,1441300,133.481232
"8",144.5,144.610001,141.679993,143.75,1231400,132.139145
"9",144.699997,146.339996,144.309998,146.25,947200,134.437241
"10",145.399994,145.460007,143.550003,143.619995,1623900,132.019638
"11",143.820007,145.440002,143.639999,144.399994,802000,132.736664
"12",144.389999,145.520004,143.169998,143.75,1174600,132.139145
"13",144.460007,144.5,142.440002,142.520004,1350300,131.008545
"14",142.5,142.820007,141.059998,142.5,998400,130.990112
"15",142.899994,146.169998,142.729996,145.479996,781100,133.729431
"16",146.039993,149.880005,145.789993,149.520004,1634200,137.443069
"17",149.070007,149.979996,148.029999,149.100006,1117200,137.057022
"18",149.529999,150.139999,148.970001,149.270004,717200,137.213318
"19",148.899994,148.899994,145.850006,147.330002,983000,135.429962
"20",146.860001,147.520004,144.820007,147.130005,1345900,135.24614
"21",147.149994,148.100006,145.089996,145.449997,1423200,133.701843
"22",148.979996,152.869995,148.039993,149.75,2040300,137.654495
"23",150.690002,151.149994,149.149994,150.210007,1073000,138.077362
"24",149.619995,150.110001,148.050003,148.649994,945000,136.643356
"25",150.429993,150.429993,147.589996,147.970001,1342300,136.01828
"26",146.889999,147.630005,145.380005,147.449997,1372400,136.147552
"27",147.789993,149.520004,147.369995,149.369995,1002700,137.920364
"28",149.759995,150.330002,149.050003,150.25,1059000,138.73291
"29",151.009995,153.130005,151,152.460007,1625200,140.773514
"30",151.949997,152.830002,150.949997,152.630005,836200,140.930496
"31",153.639999,156.440002,153.070007,155.490005,1762900,143.571259
"32",155.470001,155.75,153.429993,154.410004,823200,142.574066
"33",153.699997,154.380005,152.529999,153.889999,1079000,142.093918
"34",154.119995,155.960007,154,155.619995,921200,143.691315
"35",156.490005,156.839996,155.490005,155.860001,1057900,143.912888
"36",156.479996,156.479996,152.889999,153.699997,702200,141.918442
"37",152.509995,155.110001,151.770004,155.039993,647700,143.155762
"38",154.839996,156.270004,154.199997,156.139999,690600,144.171432
"39",155.800003,156.619995,154.699997,154.839996,1090300,142.9711
"40",156.940002,159.050003,155.029999,158.440002,1410000,146.295135
"41",158.309998,159.039993,156.830002,157.089996,1159300,145.04863
"42",157.009995,157.330002,155.949997,157.059998,766000,145.020966
"43",155.940002,158.089996,155.869995,157.929993,964900,145.824203
"44",158,158.429993,156.839996,157.490005,1044400,145.417953
"45",157.669998,159.360001,157.559998,157.649994,1164600,145.565674
"46",157.360001,158.160004,155.25,156.289993,879600,144.309967
"47",157.75,158.75,156.160004,157.320007,1392300,145.260986
"48",157.880005,159.070007,157.059998,158.080002,1055600,145.962723
"49",157.309998,157.759995,156.139999,157.050003,742400,145.011673
"50",157.899994,160.080002,157.720001,159.580002,822100,147.347733
"51",160.080002,160.229996,157.710007,158.240005,1182400,146.110489
"52",158.350006,159.509995,157.880005,159.100006,1806900,146.904572
"53",159.179993,159.380005,157.820007,158.240005,833700,146.110489
"54",159.199997,159.690002,156.479996,156.899994,1262400,144.873184
"55",157.130005,157.770004,156.100006,157.550003,1018700,145.473358
"56",157.630005,158.710007,156.699997,158,872400,145.888885
"57",158.029999,158.550003,156.050003,156.690002,1111100,144.679276
"58",154.860001,156.320007,152.619995,155.649994,976300,143.718979
"59",155.570007,159.029999,155.089996,158.429993,958700,146.285889
"60",158.550003,159.860001,157.929993,158.970001,920700,146.784531
