"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"1",77.989998,78.019997,76.970001,77.32,517200,64.545631
"2",77.489998,78,77.269997,77.75,728600,64.904594
"3",77.949997,78.589996,77.089996,78.389999,1230800,65.438858
"4",78.129997,78.800003,77.800003,78.489998,724900,65.522324
"5",78.540001,78.800003,77.18,77.230003,464400,64.470512
"6",77.339996,77.739998,76.839996,77.129997,899800,64.387032
"7",76.919998,77.860001,76.919998,77.720001,549600,64.879547
"8",77.629997,78.300003,77.139999,77.5,641700,64.6959
"9",77.370003,77.599998,76.879997,77.260002,418800,64.495552
"10",77.830002,78.400002,77.5,78,577100,65.113304
"11",77.959999,78.290001,77.43,77.889999,315700,65.021469
"12",76.849998,77.889999,76.849998,77.050003,378000,64.320244
"13",77.190002,77.709999,76.639999,77.019997,612900,64.295212
"14",77.199997,77.410004,76.989998,77.199997,521800,64.445465
"15",77.349998,77.739998,76.860001,77.440002,607500,64.645798
"16",77.150002,77.470001,76.849998,77.139999,482700,64.395386
"17",77.07,77.629997,76.599998,76.980003,387000,64.261803
"18",77.059998,77.379997,76.68,76.769997,363100,64.086502
"19",76.230003,76.529999,75.790001,76.440002,519500,64.360146
"20",76.5,77.650002,76.239998,77.629997,631000,65.362083
"21",76.980003,77.739998,76.470001,76.690002,699200,64.570633
"22",76.730003,77.980003,76.730003,77.790001,1004500,65.496803
"23",78.010002,78.459999,77.839996,78.029999,833000,65.698868
"24",78.25,78.489998,77.800003,77.849998,341900,65.54731
"25",77.870003,78.309998,77.660004,77.919998,279700,65.606262
"26",78,78.870003,78,78.57,390200,66.153534
"27",78.57,78.93,78.040001,78.129997,416200,65.783073
"28",77.779999,78.730003,77.779999,78.669998,257900,66.23774
"29",78.650002,78.910004,78.169998,78.720001,315300,66.279839
"30",78.610001,78.610001,77.57,78.089996,469200,65.749374
"31",77.519997,78,76.889999,78,1172700,65.673622
"32",78,78.559998,77.800003,78.550003,489300,66.136703
"33",78.699997,78.830002,78.089996,78.699997,412900,66.262978
"34",78.370003,79.910004,78.32,79.769997,395400,67.16391
"35",79.650002,79.93,79.209999,79.720001,381600,67.121796
"36",80,80.870003,79.800003,80.5,551200,67.778534
"37",80.800003,81.839996,80.629997,81.440002,820900,68.569984
"38",81.449997,81.510002,81.029999,81.18,543000,68.351067
"39",81.129997,82.5,81.080002,82.190002,1029100,69.201469
"40",81.370003,82.559998,80.760002,82.400002,1420500,69.378288
"41",82.199997,83.769997,81.919998,83.32,1144600,70.152885
"42",83.470001,83.470001,82.349998,83.029999,702000,69.908722
"43",82.889999,83.440002,82.699997,82.959999,700700,69.849785
"44",82.519997,83.089996,82.230003,82.540001,763300,69.49617
"45",81.620003,81.989998,80.779999,80.940002,850400,68.149017
"46",80.779999,81.410004,80.599998,80.870003,475500,68.090065
"47",81.459999,81.68,81,81.610001,424200,68.71312
"48",81.540001,81.839996,81.349998,81.68,432900,68.772057
"49",81.620003,81.919998,81.300003,81.879997,606300,68.940453
"50",82.07,83.919998,81.790001,83.599998,629400,70.388664
"51",83.370003,83.379997,82.370003,82.550003,850300,69.504585
"52",82.879997,83.709999,82.730003,83.230003,942300,70.077133
"53",83.349998,83.660004,82.230003,82.529999,606800,69.48774
"54",82.540001,83.779999,82.419998,83.690002,650400,70.464439
"55",84,84.43,83.489998,83.660004,506800,70.439186
"56",83.599998,84.440002,83.089996,83.589996,359700,70.380219
"57",83.580002,84.480003,83.489998,84.120003,415800,70.826477
"58",84.529999,84.720001,83.669998,84.139999,606800,70.843307
"59",83.949997,84.410004,83.769997,84.199997,440900,70.893814
"60",84,84,83.360001,83.519997,622100,70.321274
"61",83.389999,83.620003,82.839996,83.279999,402800,70.119225
"62",83.230003,83.870003,83,83.379997,584800,70.203423
"63",83.410004,83.540001,82.620003,83.510002,497800,70.312866
"64",83.300003,84,83.099998,83.739998,489400,70.506531
"65",83.739998,84.150002,83.419998,84.019997,756700,70.742264
