"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"1",104.839996,105.07,103.839996,104.639999,234500,99.481247
"2",104.720001,107.550003,104.720001,105.800003,318000,100.584061
"3",105.940002,107.260002,105.330002,106.129997,281600,100.897774
"4",106.379997,106.379997,104.370003,104.400002,319400,99.253075
"5",103.82,104.190002,103.370003,103.93,190200,98.806252
"6",103.699997,105.110001,103.699997,104.709999,156800,99.54776
"7",104.690002,105.309998,104.059998,104.769997,80300,99.604813
"8",104.279999,104.629997,102.959999,104.209999,194200,99.072433
"9",104.82,106.230003,104.82,105.760002,135900,100.546021
"10",105.029999,105.760002,104.949997,105.190002,128500,100.004135
"11",105.440002,105.550003,104.559998,105.230003,108500,100.042137
"12",105.379997,105.5,104.580002,104.790001,77900,99.623833
"13",104.910004,105.379997,104.57,104.93,91900,99.75695
"14",104.519997,106.440002,104.5,104.959999,111500,99.785469
"15",105.25,106.989998,105.25,106.690002,94500,101.430168
"16",106.800003,107.290001,106.010002,106.449997,142700,101.202003
"17",106.720001,106.720001,105.300003,105.5,82400,100.298828
"18",105.190002,105.379997,103.010002,105.029999,110700,99.85202
"19",105.040001,107.269997,103.970001,104.93,105000,99.75695
"20",105,105.709999,104.510002,105.559998,135800,100.355881
"21",105.760002,106.980003,103.800003,105.580002,234000,100.374893
"22",105.739998,106.900002,103.440002,106.739998,238900,101.477707
"23",106.989998,108.709999,106.519997,108.160004,201700,102.827721
"24",107.470001,108.470001,106.120003,107.419998,137800,102.124191
"25",107.32,108.25,106.410004,107.400002,112600,102.105156
"26",107.529999,108.400002,106.480003,107.370003,105100,102.07666
"27",107.940002,109.470001,107.849998,109.360001,182800,103.968536
"28",109.199997,110,108.68,109.860001,160900,104.443886
"29",109.610001,110.589996,109.279999,110.220001,188800,104.786156
"30",110.660004,111.589996,110.150002,110.910004,421100,105.442139
"31",110.900002,112.330002,109.790001,112.300003,200700,106.763611
"32",115.669998,116,113.040001,114.389999,489700,108.750557
"33",114.889999,116.900002,114.480003,116.610001,406800,110.861107
"34",115.910004,117.800003,115.910004,116.760002,307200,111.003723
"35",116.949997,117.07,115.660004,116.370003,222100,110.632957
"36",116.389999,116.389999,114.650002,114.949997,181300,109.282944
"37",114.910004,116.300003,114.5,116.099998,253500,110.376251
"38",116.279999,117.25,115.559998,117.150002,276200,111.374504
"39",116.580002,117.010002,114.589996,114.709999,357000,109.054787
"40",115.379997,117.32,115.18,117.040001,275400,111.269913
"41",116.690002,116.879997,115.370003,115.669998,189700,109.967461
"42",115.720001,117.010002,115.690002,116.43,150600,110.689995
"43",115.669998,116.480003,114.889999,115.860001,155600,110.148102
"44",115.309998,116.779999,115.309998,115.989998,197200,110.27169
"45",116.110001,117.260002,115.730003,116.82,153100,111.060768
"46",117.139999,117.370003,116.57,116.989998,227400,111.222374
"47",116.82,118.860001,116.82,118.389999,199600,112.553345
"48",118.389999,119.029999,117.809998,118.919998,209400,113.354042
"49",118.879997,119.199997,117.809998,117.839996,176800,112.324593
"50",118.379997,120.029999,118.120003,119.75,203600,114.145203
"51",119.830002,119.830002,119.120003,119.57,189800,113.973625
"52",119.699997,121.309998,119.419998,120.949997,297600,115.289024
"53",120.839996,120.839996,119.709999,120.580002,161400,114.936363
"54",120.529999,120.669998,118.459999,118.800003,350700,113.23967
"55",118.459999,119.510002,118.080002,119.370003,260300,113.78299
"56",119.379997,119.809998,118.629997,118.849998,299400,113.287331
"57",119.019997,119.849998,118.099998,118.93,177600,113.363586
"58",117.980003,119.080002,117.389999,118.82,255800,113.258728
"59",118.599998,120.300003,118.5,120.129997,235000,114.507408
"60",120.169998,120.169998,118.980003,119.400002,156100,113.8116
"61",119.32,120,118.459999,118.910004,210300,113.344528
"62",119.019997,119.760002,118.82,119.330002,191500,113.744858
"63",119.43,120.690002,118.279999,119.400002,255100,113.8116
"64",118.870003,119.709999,118.510002,119.089996,278900,113.516106
"65",119.540001,120.019997,118.610001,118.839996,189800,113.277779
"66",118.93,119.75,118.220001,118.919998,138000,113.354042
"67",118.43,119.169998,118.18,118.519997,174500,112.972763
"68",118.709999,119.639999,118.550003,119.300003,113400,113.716263
"69",119.040001,119.959999,118.5,119.949997,151300,114.335831
"70",119.650002,119.650002,117.309998,117.529999,163400,112.029106
"71",117.410004,118.760002,116.349998,116.43,216300,110.980598
