"","PTC.Open","PTC.High","PTC.Low","PTC.Close","PTC.Volume","PTC.Adjusted"
"1",46.59,47.139999,45.93,46.639999,1415400,46.639999
"2",46.66,47.400002,46.639999,46.849998,1194800,46.849998
"3",46.900002,47.279999,46.57,47.110001,1114100,47.110001
"4",47.150002,48.509998,46.849998,48.25,988500,48.25
"5",48.32,48.959999,47.73,48.779999,1481200,48.779999
"6",48.77,49.740002,48.68,49.470001,1406100,49.470001
"7",49.610001,49.779999,48.48,49.09,1053700,49.09
"8",49.189999,49.5,48.400002,49.310001,1022700,49.310001
"9",49.259998,49.799999,49.119999,49.23,863300,49.23
"10",49.09,49.09,47.080002,47.360001,1778300,47.360001
"11",47.360001,47.759998,46.869999,47.380001,1362300,47.380001
"12",49.5,51.889999,49.330002,50.209999,4845100,50.209999
"13",50.040001,50.470001,49.119999,49.560001,1723500,49.560001
"14",49.669998,50.75,49.669998,50.5,1952500,50.5
"15",50.650002,52.27,50.540001,52.16,1719900,52.16
"16",52.5,53.009998,52.200001,53,1894000,53
"17",53.459999,54.130001,52.52,52.82,1670700,52.82
"18",52.84,53.209999,52.049999,52.23,977300,52.23
"19",52.040001,52.189999,51.099998,52.150002,629100,52.150002
"20",51.759998,52.650002,51.529999,52.57,836800,52.57
"21",52.57,52.959999,51.98,52.189999,1066000,52.189999
"22",52.200001,53.959999,52.060001,53.52,1730200,53.52
"23",53.540001,54.27,53.25,53.970001,1209100,53.970001
"24",53.740002,54.099998,53.5,53.799999,1104800,53.799999
"25",53.880001,54.150002,53.650002,53.82,797900,53.82
"26",53.869999,54.259998,53.5,54.220001,1081800,54.220001
"27",54.200001,55.07,54.029999,54.790001,1221400,54.790001
"28",54.880001,54.990002,53.720001,54.18,850000,54.18
"29",54.5,54.57,53.900002,54.299999,668500,54.299999
"30",54.060001,54.490002,53.720001,54.459999,565200,54.459999
"31",54.139999,54.889999,54.060001,54.700001,1009300,54.700001
"32",54.189999,54.66,53.490002,53.66,1547900,53.66
"33",53.5,54.27,53.439999,54.259998,859900,54.259998
"34",53.990002,55.419998,53.990002,55.369999,1277400,55.369999
"35",55.360001,55.419998,54.689999,54.849998,860300,54.849998
"36",54.849998,55.23,54.450001,54.669998,915600,54.669998
"37",54.330002,55.18,54.07,55.099998,742800,55.099998
"38",55.099998,55.119999,54.59,54.869999,792300,54.869999
"39",54.580002,54.580002,53.84,53.889999,1046100,53.889999
"40",54.759998,55.939999,54.419998,55.75,1196300,55.75
"41",55.700001,55.740002,54.869999,54.950001,717600,54.950001
"42",55.130001,55.720001,54.880001,55.59,1081200,55.59
"43",55.18,55.220001,54.82,54.959999,903800,54.959999
"44",54.84,55.099998,54.59,54.799999,555000,54.799999
"45",54.779999,56.18,54.439999,55.57,1885300,55.57
"46",55.5,55.560001,54.66,54.98,964400,54.98
"47",55.369999,55.43,54.889999,55.220001,551200,55.220001
"48",55.200001,55.830002,55.200001,55.77,697300,55.77
"49",55.529999,55.82,55.240002,55.68,672000,55.68
"50",56.16,56.5,55.77,56.43,878500,56.43
"51",56.720001,56.73,56.080002,56.27,422900,56.27
"52",56.419998,56.650002,55.869999,56.189999,1044900,56.189999
"53",56.43,56.43,55.599998,55.639999,1014900,55.639999
"54",56.02,56.080002,53.48,53.669998,1514200,53.669998
"55",53.650002,54,52.689999,53.599998,2848500,53.599998
"56",53.610001,54.73,50.950001,52.09,8256900,52.09
"57",52.459999,53.060001,51.84,51.939999,3013300,51.939999
"58",51.209999,52.700001,50.68,52.619999,1964200,52.619999
"59",52.669998,53.380001,52.220001,52.720001,1423500,52.720001
"60",52.849998,53.200001,52.580002,53.07,736700,53.07
"61",53.060001,53.23,52.400002,52.470001,907200,52.470001
"62",52.349998,52.700001,51.68,52.549999,1089600,52.549999
"63",52.790001,52.91,51.700001,52.259998,1337900,52.259998
"64",52.130001,52.490002,51.68,51.860001,914100,51.860001
"65",52.110001,52.34,51.220001,51.240002,1360800,51.240002
"66",51.259998,52.099998,51,51.98,905100,51.98
"67",51.990002,52.279999,51.689999,51.889999,537200,51.889999
"68",51.84,52.540001,51.619999,52.18,929000,52.18
"69",52.189999,52.57,51.470001,52.560001,1047300,52.560001
"70",52.369999,53.02,52.060001,52.07,1197100,52.07
"71",51.389999,52.700001,51.389999,51.540001,1158100,51.540001
"72",51.849998,52.470001,51.400002,52.459999,1572200,52.459999
"73",52.459999,53.459999,52.450001,53.23,1655000,53.23
"74",53.220001,53.990002,53.220001,53.689999,2314400,53.689999
"75",54.099998,54.200001,51.880001,52.98,3455000,52.98
"76",52.860001,52.939999,51.73,51.93,1948900,51.93
"77",52.099998,53.41,52.009998,53.349998,1274600,53.349998
"78",53.759998,54.200001,53.130001,53.689999,1115300,53.689999
"79",53.84,54.080002,53.330002,53.880001,765800,53.880001
"80",54.009998,54.32,53.349998,54.080002,606700,54.080002
