"","PVH.Open","PVH.High","PVH.Low","PVH.Close","PVH.Volume","PVH.Adjusted"
"1",90.959999,91.730003,90.349998,90.980003,964300,90.506577
"2",91.540001,93.839996,91.540001,91.970001,1432500,91.491432
"3",90.599998,93.080002,89.970001,92.959999,2209700,92.47628
"4",92.690002,93.220001,91.529999,92.860001,1174000,92.376793
"5",93.07,93.07,91.830002,92.260002,917300,91.779922
"6",92.760002,94.470001,92.190002,93.849998,1417800,93.361641
"7",93.379997,93.989998,91.32,92.389999,1023500,91.909241
"8",91.870003,93.239998,91.599998,93.129997,834900,92.645401
"9",93.139999,93.800003,88.709999,89.309998,2137500,88.845253
"10",90.410004,96.5,90.339996,94.830002,2998300,94.33654
"11",94.529999,94.980003,91.650002,93.360001,1361200,92.874191
"12",93.029999,93.690002,90.940002,91.57,945900,91.093521
"13",91.919998,93.209999,91.419998,92.82,988500,92.337013
"14",92.349998,93.269997,91.419998,92.199997,864500,91.720238
"15",92.559998,94.029999,92.160004,93.190002,733300,92.705093
"16",94.07,94.970001,93.580002,94.809998,742400,94.31665
"17",95.110001,95.5,93.230003,93.300003,649800,92.814514
"18",93.550003,93.970001,90.099998,90.300003,1052200,89.830116
"19",90.099998,92.32,89.190002,92.279999,924200,91.799812
"20",90.620003,93.970001,90.099998,93.809998,1283800,93.321861
"21",93.25,93.309998,89.650002,89.870003,1592300,89.402351
"22",88.599998,90.760002,88.099998,89.400002,1075400,88.934814
"23",88.959999,88.959999,86.169998,87.57,1727600,87.114319
"24",87.650002,89.349998,87.129997,88.43,770300,87.969849
"25",88.040001,88.349998,85.18,85.480003,1850100,85.035202
"26",85.68,87.209999,84.529999,87.190002,2845800,86.73632
"27",87.190002,89.190002,87.160004,87.190002,1368600,86.73632
"28",88.080002,90.330002,87.709999,90.120003,1527600,89.65107
"29",90.169998,90.639999,88.870003,88.93,959600,88.467247
"30",88.910004,91.529999,88.910004,90.260002,1123900,89.790329
"31",89.989998,90.440002,89.330002,89.860001,957900,89.392426
"32",90.25,90.290001,88.059998,88.370003,909400,87.910149
"33",88.190002,90.650002,88.190002,90.32,1239100,89.850006
"34",90.25,91.519997,90.010002,90.25,737700,89.780373
"35",90.260002,91.480003,90.019997,91.389999,694100,90.952728
"36",91.459999,93,90.480003,90.760002,1585200,90.32576
"37",90.720001,93.32,89.989998,91.57,2208000,91.131882
"38",91.440002,92.93,91.440002,92.330002,730300,91.888237
"39",91.940002,92.43,90.919998,91.599998,963200,91.161728
"40",92.480003,92.82,90.970001,92.239998,1134300,91.798668
"41",92.059998,92.370003,90.959999,91.919998,1264100,91.480202
"42",92.290001,92.860001,89.760002,90.089996,953000,89.658966
"43",89.910004,90.800003,89.550003,90.199997,1333900,89.768433
"44",89.57,90.330002,88.889999,89.75,685800,89.32058
"45",90.169998,91.730003,89.830002,91.389999,654000,90.952728
"46",91.190002,91.830002,90.5,91.139999,653500,90.703926
"47",91.580002,92.370003,90.93,91.120003,824100,90.684036
"48",91.519997,91.980003,90.059998,90.93,787700,90.494942
"49",91.199997,92.330002,91.110001,91.519997,753100,91.082108
"50",92.120003,92.800003,90.720001,92.389999,1152100,91.947952
"51",92.279999,95.190002,91.529999,93.830002,1365900,93.381065
"52",94.360001,95,93,94.650002,1249500,94.197159
"53",94.449997,94.949997,92.870003,93.580002,923800,93.132263
"54",93.57,93.93,91.339996,92.68,1373500,92.236572
"55",92.389999,92.599998,89.519997,90.849998,2385800,90.415337
"56",99.400002,100,97.449997,98.550003,4915300,98.078499
"57",100.169998,102.110001,98.879997,100.940002,2520500,100.457047
"58",100.339996,102.510002,100.150002,101.5,1705900,101.014366
"59",101.629997,103.120003,101.529999,102.690002,1056800,102.198677
"60",101.82,104.279999,101.150002,103.839996,1049100,103.343163
"61",103.419998,104.279999,102.110001,103.620003,755900,103.124214
"62",103.529999,103.910004,102.970001,103.470001,774500,102.974945
"63",103.480003,104.25,102.669998,103.18,793700,102.686333
"64",103.540001,104.010002,101.360001,101.779999,956500,101.29303
"65",101.959999,103.599998,101.480003,101.980003,822300,101.492065
"66",102.379997,103.839996,101.669998,101.970001,853900,101.482124
"67",101.919998,102.870003,101.699997,101.900002,1326900,101.41246
"68",102.029999,103.709999,101.550003,101.639999,781500,101.153702
"69",101.699997,101.839996,100.660004,101.360001,851400,100.875031
"70",101.269997,101.849998,100.82,101.209999,973400,100.725746
"71",101.419998,101.959999,99.470001,99.809998,1330000,99.332466
"72",100.029999,100.540001,99.57,99.940002,1117300,99.461838
"73",99.519997,100.57,99,99.519997,886000,99.043823
"74",99.940002,100.489998,99.330002,99.449997,811800,98.974182
"75",100.019997,101.559998,99.82,101.410004,1497000,100.924797
"76",100.709999,101.089996,98.040001,98.260002,1521200,97.789871
"77",100.019997,102.940002,99.949997,102.309998,1954900,101.820503
"78",102.419998,103.169998,101.440002,102.870003,1098000,102.377831
"79",103.099998,104.720001,102.800003,103.449997,867900,102.95504
"80",103.410004,103.900002,102.389999,103.019997,702800,102.527092
"81",102.790001,102.790001,100.220001,101.029999,826000,100.546616
"82",101.019997,101.610001,99.839996,100.080002,506400,99.601166
"83",100.709999,101.620003,100.230003,101.599998,754000,101.113892
"84",101.419998,101.860001,99.849998,100.910004,714300,100.427193
"85",101.510002,101.800003,100.230003,101.160004,789900,100.675995
"86",101.160004,103,101.110001,102.599998,734500,102.109108
"87",103.309998,103.400002,102.220001,102.389999,527200,101.900108
"88",102.82,103.440002,102.309998,102.760002,957100,102.268349
"89",102.279999,103.440002,101.32,103.309998,750500,102.815704
"90",101.980003,102.660004,99.949997,100.93,1065000,100.447098
"91",100.190002,100.720001,98.559998,100.190002,886100,99.71064
