"","QCOM.Open","QCOM.High","QCOM.Low","QCOM.Close","QCOM.Volume","QCOM.Adjusted"
"1",65.860001,66.139999,64.599998,65.400002,9519800,56.099892
"2",65.669998,65.949997,65.260002,65.470001,6221700,56.159935
"3",65.220001,65.980003,65.050003,65.550003,5998900,56.228558
"4",65.480003,65.870003,64.860001,65.529999,6749400,56.211399
"5",65.529999,66.269997,65.489998,65.650002,4769200,56.314342
"6",65.949997,66.160004,65.57,65.629997,6076000,56.29718
"7",65.75,66.110001,65.419998,66.099998,8349800,56.700352
"8",65.349998,66.18,65.050003,66.120003,6113600,56.71751
"9",66.25,67.080002,66.160004,66.879997,6177400,57.369434
"10",66.709999,66.970001,63.150002,64.190002,22426300,55.061954
"11",64.669998,66.089996,63.810001,65.129997,15883200,55.868298
"12",64.970001,65.400002,64.360001,64.440002,9429200,55.276417
"13",65.190002,65.739998,62.619999,62.880001,20936900,53.938251
"14",58.669998,58.669998,53.77,54.880001,94436000,47.075871
"15",55.02,55.77,54.700001,55,41751800,47.178814
"16",56.099998,56.98,55.5,56.900002,27307900,48.80862
"17",55.349998,55.490002,53.5,54.049999,37888200,46.363899
"18",54.650002,54.759998,54,54.240002,23474400,46.526886
"19",54.389999,54.400002,53.549999,53.610001,14853900,45.986469
"20",53.610001,53.639999,52.830002,53.43,13995400,45.832069
"21",53.639999,53.82,52.860001,53.150002,16102100,45.591881
"22",52.950001,53.099998,52.369999,52.66,14481200,45.17157
"23",52.950001,53.220001,52.75,52.98,10965300,45.44606
"24",53.310001,53.41,52.82,52.880001,8215100,45.360283
"25",53.220001,53.279999,52.759998,53.27,10374100,45.694817
"26",53.389999,53.389999,52.720001,52.889999,9229000,45.368858
"27",52.91,53.099998,52.759998,52.880001,7615100,45.360283
"28",53.099998,54.279999,52.93,54,14042200,46.321014
"29",54.580002,55.130001,54.259998,54.93,14516200,47.118771
"30",55.43,55.52,54.82,55.48,13072000,47.590553
"31",55.630001,56.5,55.490002,56.490002,14149200,48.456936
"32",56.580002,56.900002,56.450001,56.880001,11622900,48.79147
"33",56.849998,56.939999,56.049999,56.459999,12456600,48.43119
"34",56.830002,57.189999,56.580002,56.75,9878200,48.679955
"35",56.779999,57.099998,56.48,57.099998,8711500,48.980183
"36",57.009998,57.310001,56.77,57.139999,10152800,49.0145
"37",57.02,57.23,56.5,57.220001,10644800,49.083118
"38",56.560001,56.98,56.310001,56.73,7127600,49.117748
"39",56.490002,56.52,55.889999,56.48,10388200,48.901291
"40",56.93,57.080002,56.27,57.009998,11082400,49.360176
"41",56.950001,57.150002,56.240002,56.369999,8451700,48.806057
"42",56.52,56.57,56,56.439999,6971400,48.866657
"43",56.27,56.560001,56.07,56.450001,7241600,48.875324
"44",56.599998,56.82,56.189999,56.73,7131700,49.117748
"45",56.919998,58.080002,56.799999,57.77,13201700,50.018192
"46",57.650002,58.099998,57.400002,57.970001,9875600,50.191364
"47",58.360001,58.790001,58.299999,58.639999,9752000,50.771469
"48",59.029999,59.040001,58.200001,58.459999,7737900,50.615616
"49",58.380001,58.380001,57.720001,58.220001,6276900,50.407818
"50",58.419998,58.75,58.18,58.52,9029500,50.667568
"51",58.299999,58.73,58.16,58.349998,7206200,50.520374
"52",58.57,58.610001,57.509998,57.549999,20057800,49.827721
"53",57.790001,58.07,57.59,57.810001,7498200,50.052826
"54",57.93,58.099998,56.740002,56.799999,10092600,49.178364
"55",56.73,57.130001,56.099998,57.040001,9129700,49.386158
"56",57.16,57.27,56.59,56.810001,7718700,49.187019
"57",57.470001,57.470001,56.639999,56.919998,5621400,49.282257
"58",56.720001,56.939999,56.48,56.66,4726300,49.057144
"59",56.669998,57.610001,56.669998,57.380001,5953500,49.680534
"60",57.09,57.369999,56.860001,57.360001,4042600,49.663216
"61",57.360001,57.650002,57.189999,57.200001,6359000,49.524685
"62",57.459999,57.689999,56.970001,57.34,10065000,49.645897
"63",57.259998,57.34,56.040001,56.5,11343500,48.91861
"64",56.299999,56.91,56.25,56.68,7123900,49.074467
"65",56.799999,57.529999,56.419998,56.470001,7857700,48.892635
"66",56.439999,56.73,56.139999,56.529999,5757800,48.944588
"67",56.580002,56.599998,56.189999,56.32,5229800,48.76276
"68",56.43,56.810001,56.27,56.52,6039800,48.935928
"69",56.32,56.360001,54.720001,55.349998,17301800,47.92292
"70",54.639999,54.650002,53.119999,53.389999,24822200,46.225925
"71",53.130001,53.68,52.779999,52.790001,17014400,45.706436
"72",52.990002,53.130001,52.75,52.889999,10471700,45.793015
"73",52.599998,52.98,52.389999,52.669998,11262800,45.602531
"74",53,53.099998,52.299999,52.610001,15441500,45.550587
"75",53.220001,53.400002,51.400002,52.66,24664600,45.593895
"76",52.77,52.799999,52.209999,52.5,10951500,45.45536
"77",53.009998,53.25,52.75,52.810001,10784400,45.723743
"78",53.169998,53.490002,52.959999,53,11688700,45.888264
"79",53.200001,53.299999,52.91,53.040001,7373800,45.922894
"80",53.240002,53.34,52.91,53.209999,6956200,46.07008
"81",51.799999,53.950001,51.049999,53.740002,34374100,46.528965
"82",53.650002,53.700001,53.099998,53.599998,12987700,46.407753
"83",53.650002,53.73,52.900002,53.290001,10445400,46.139343
"84",53.41,54.77,53.25,54.490002,18428300,47.178322
"85",54.73,55,54.5,54.91,11993400,47.541965
"86",54.93,55,54.700001,54.93,9108800,47.559288
"87",54.990002,55,54.560001,54.619999,7033400,47.290882
"88",54.689999,55.189999,54.630001,55.150002,8332900,47.749763
"89",55.220001,55.43,54.860001,55.330002,8517700,47.905609
"90",55.25,55.299999,54.41,54.68,13514700,47.342831
"91",54.5,55.349998,54.400002,55.32,9107600,47.896954
"92",55.080002,55.490002,55.080002,55.400002,10686100,47.966217
"93",55.389999,55.98,55.099998,55.950001,9599300,48.442421
"94",55.639999,56.080002,55.299999,55.360001,14811300,47.931591
"95",55.580002,56.310001,55.02,56.119999,13125300,48.5896
"96",56.490002,57.790001,56.200001,57.669998,16643800,49.93161
"97",58.389999,59.540001,58.380001,59.279999,20771500,51.325584
"98",59.380001,59.889999,59.130001,59.220001,14223400,51.273624
"99",59.279999,59.619999,58.57,58.639999,8592600,50.771469
"100",58.650002,58.950001,58.259998,58.450001,9556500,50.606953
"101",57.66,57.98,57.369999,57.52,8261900,50.292194
"102",57.279999,57.740002,57.169998,57.34,11553700,50.134815
"103",57.259998,57.73,57,57.27,14082600,50.073601
"104",57.450001,58.650002,57.349998,58.619999,11560100,51.253967
"105",58.889999,58.959999,58.349998,58.580002,9538000,51.218994
"106",58.5,59.049999,58.48,58.860001,7960800,51.463806
"107",58.599998,58.91,58.18,58.200001,7871500,50.886745
"108",58.299999,58.490002,57.130001,57.529999,10126500,50.300934
"109",57.77,58.150002,57.610001,58.119999,10322200,50.816792
"110",58.369999,58.490002,56.740002,57.049999,13624800,49.881248
"111",56.52,57.68,56.48,57.490002,9985100,50.265968
"112",57.950001,58.07,57.5,57.540001,7111500,50.309673
"113",57.700001,57.970001,56.669998,57.009998,6740000,49.846283
"114",56.419998,57.169998,56.400002,56.93,5416600,49.776325
"115",56.98,57.009998,56.349998,56.82,14555600,49.680149
"116",56.959999,57.66,56.91,57.610001,7166200,50.370876
"117",57.459999,57.610001,56.509998,56.790001,8181600,49.653923
"118",56.790001,56.84,56.119999,56.330002,8324900,49.251724
"119",56.240002,56.75,56.060001,56.470001,5560100,49.374138
"120",56.639999,57.439999,56.57,56.91,11847900,49.758842
"121",57.09,57.689999,56.209999,56.560001,7339100,49.452824
"122",56.290001,56.330002,55.41,55.43,6814400,48.464821
"123",55.400002,56.32,55.18,56.16,7542400,49.103081
"124",55.93,55.93,54.549999,55.080002,8456900,48.158794
"125",55.599998,55.630001,55.029999,55.220001,8781900,48.281212
"126",55.529999,56.02,54.919998,54.950001,4379600,48.045132
"127",55.009998,55.560001,54.779999,55.450001,6823800,48.482311
"128",55.02,55.23,54.740002,54.790001,5663000,47.905239
"129",55.040001,55.73,54.869999,55.349998,5356000,48.394878
"130",55.369999,55.889999,55.189999,55.639999,5098100,48.648426
"131",55.630001,55.630001,55.02,55.330002,6124900,48.377384
"132",55.790001,56.310001,55.720001,56.200001,6126800,49.138062
"133",56.380001,56.52,56.169998,56.23,6219200,49.164295
"134",56.5,56.93,56.150002,56.810001,4440100,49.67141
"135",56.73,56.919998,56.389999,56.459999,5123600,49.365391
"136",56.34,56.380001,56,56.290001,7441000,49.216747
"137",56.459999,56.939999,56.009998,56.779999,8783700,49.645176
"138",55.110001,55.43,53.459999,53.970001,35943900,47.188278
"139",53.66,54,53.369999,53.84,12113100,47.074612
"140",53.75,53.880001,53.09,53.220001,8832200,46.53252
"141",53.200001,53.650002,53.07,53.27,7112100,46.576233
"142",53.290001,53.349998,52.740002,53.139999,7581500,46.462578
"143",53.080002,53.369999,52.23,52.490002,14069200,45.894245
"144",52.27,52.990002,52.27,52.880001,6644300,46.235245
"145",53.099998,53.299999,52.75,53.189999,11302700,46.50629
"146",53.299999,53.43,52.91,53.41,9372100,46.698643
"147",53.299999,53.389999,52.779999,53.169998,23084000,46.4888
"148",53.16,53.34,52.75,52.950001,8643500,46.29644
"149",53,53,52.509998,52.619999,8677900,46.007912
"150",52.5,52.849998,52.490002,52.700001,6561800,46.077862
"151",52.549999,53.330002,52.209999,52.290001,10462200,45.719383
"152",52.049999,52.799999,52,52.77,8085300,46.139061
"153",52.540001,52.75,52.110001,52.34,10768000,45.763096
"154",52.389999,53.130001,52.290001,52.720001,5894200,46.095345
"155",53.040001,53.639999,52.91,53.549999,8118200,46.821049
"156",53.66,54.080002,53.349998,53.869999,7876300,47.100834
"157",54.060001,54.099998,53.259998,53.310001,7414900,46.611217
"158",53.189999,53.41,52.27,52.27,6589400,45.701897
"159",52.259998,52.419998,51.900002,51.919998,6696400,45.39587
"160",52,52.080002,51.5,51.98,5205700,45.448338
"161",52.209999,52.619999,52.209999,52.349998,4443300,45.771835
"162",52.299999,52.41,51.779999,52.23,5259300,45.666916
"163",52.369999,52.709999,52.259998,52.490002,6198600,45.894245
"164",52.779999,52.849998,52.02,52.029999,8684700,45.492046
"165",51.77,51.810001,51.459999,51.810001,4519000,45.801464
"166",51.310001,51.860001,51.279999,51.810001,4980900,45.801464
"167",52.23,52.290001,51.560001,52.119999,4876200,46.075508
"168",52.259998,52.59,52.119999,52.27,8215800,46.208111
"169",52.529999,52.77,51.93,52.049999,5301300,46.013622
"170",51.860001,51.900002,49.830002,50.029999,17811100,44.22789
"171",50.189999,50.77,49.830002,50.450001,16206900,44.599186
"172",50.560001,50.689999,50.25,50.380001,10035500,44.537304
"173",50.349998,50.450001,48.919998,49.639999,12809400,43.883129
"174",49.939999,50.669998,49.91,50.57,7473500,44.705265
"175",50.599998,51.07,50.52,50.900002,4526800,44.996998
"176",50.799999,51.110001,50.720001,51.009998,6191400,45.094231
"177",50.970001,51.59,50.669998,51.48,7741300,45.509727
"178",51.950001,52.290001,51.439999,52.189999,13177900,46.137383
"179",52.240002,52.369999,51.959999,52.25,6002700,46.190426
"180",52.400002,52.5,52.060001,52.299999,5825200,46.234634
"181",52.43,52.52,51.48,51.98,8400300,45.951752
"182",51.860001,52.200001,51.709999,52.029999,5750600,45.995949
"183",51.82,52.23,51.779999,52.09,4105100,46.048988
"184",51.900002,52.290001,51.610001,51.619999,8178400,45.633495
"185",51.75,51.869999,50.849998,51.130001,9378800,45.200317
"186",51.43,51.610001,51.150002,51.549999,8200600,45.571613
"187",51.380001,52.040001,51.310001,51.75,5732900,45.748421
"188",51.91,52.040001,51.619999,51.84,5371200,45.827984
"189",52.09,52.16,51.700001,51.880001,4439200,45.863342
"190",51.990002,52.220001,51.650002,52.02,4378000,45.98711
"191",51.93,52.119999,51.669998,51.959999,4587700,45.934067
"192",52.169998,52.43,51.959999,52.349998,5179100,46.27882
"193",52.16,52.630001,52.16,52.490002,4795300,46.402592
"194",52.68,52.98,52.380001,52.880001,5817500,46.747372
"195",52.950001,53.900002,52.900002,53.869999,8761700,47.622555
"196",53.790001,54.380001,53.66,54.119999,9427300,47.843567
"197",53.880001,54.18,52.959999,53,7062300,46.853458
"198",53.380001,53.380001,52.740002,52.82,7005600,46.694328
"199",52.98,53,52.310001,52.380001,5930900,46.305355
"200",52.32,52.439999,51.849998,52.41,7662900,46.331875
"201",52.540001,52.669998,52.02,52.209999,6032600,46.155071
"202",52.029999,52.400002,52.009998,52.290001,6825200,46.225788
"203",52.509998,52.59,51.939999,52.02,8845000,45.98711
"204",52.299999,53.779999,52.130001,53.389999,9775400,47.198227
"205",53.439999,54.439999,53.400002,54.25,11415700,47.958481
"206",53.98,54.43,53.48,53.84,7581500,47.596043
"207",54.099998,54.389999,53.669998,53.799999,5270800,47.56068
"208",53.700001,54.700001,53.360001,54.57,8962400,48.241379
"209",54.16,54.77,54.080002,54.66,7081500,48.320938
"210",52.259998,52.490002,50.02,51.009998,29914100,45.094231
"211",51.470001,53.490002,50.509998,53.459999,15624400,47.260113
"212",53.599998,55.68,53.599998,54.84,17337800,48.480068
"213",54.759998,64.989998,54.209999,61.810001,80964500,54.641739
"214",64.540001,65.330002,62.150002,62.52,58900800,55.269402
"215",62.52,64.160004,62.450001,64.099998,23424600,56.666153
"216",64.209999,65.790001,64.209999,65.489998,26515400,57.894943
"217",64.910004,65.330002,63.93,64.599998,15954900,57.108166
"218",64.360001,65.099998,63.919998,64.57,9626200,57.081646
"219",64.959999,66.82,64.75,66.489998,24411600,58.778996
"220",66.160004,66.800003,65.550003,66,14036700,58.34581
"221",65.550003,66.480003,65.239998,65.610001,10565400,58.001038
"222",65.769997,66.540001,65.43,66.110001,12339800,58.443047
"223",66.370003,66.949997,66,66.720001,13334000,58.982307
"224",66.18,66.849998,65.949997,66.470001,9749400,58.761307
"225",65.349998,66.93,65.269997,66.669998,11215800,58.938103
"226",66.370003,68.260002,66.239998,68.129997,15489400,60.228783
"227",68.510002,69.279999,68.449997,68.910004,9233500,60.918331
"228",68.599998,68.919998,68.040001,68.139999,20404600,60.237621
"229",67.589996,68.410004,67.220001,68.379997,12861300,60.959717
"230",68.099998,68.199997,66.029999,66.519997,17022200,59.301571
"231",66.510002,67.099998,65.720001,66.339996,15555600,59.141098
"232",65.199997,66.120003,64.599998,65.489998,15851100,58.383335
"233",65.599998,65.699997,63.799999,64.559998,17325100,57.554256
"234",64.849998,65.029999,64.400002,64.690002,9661200,57.670155
"235",64.639999,65.68,64.360001,64.980003,6952300,57.928692
"236",65.209999,65.550003,64.769997,65.230003,8755000,58.151554
"237",65.599998,65.599998,63.880001,64.239998,9371900,57.268978
"238",64.059998,65.260002,64,65.18,12185000,58.106979
"239",64.879997,65.110001,64.550003,64.860001,7021200,57.821701
"240",64.980003,65.43,64.830002,64.900002,6490400,57.857361
"241",64.860001,65.169998,64.550003,64.699997,7122000,57.67907
"242",65.330002,65.419998,64.5,64.760002,18833000,57.732559
"243",64.93,65.459999,64.800003,65.379997,7440900,58.285278
"244",65.110001,65.480003,64.43,64.5,7130000,57.500767
"245",64.559998,65.169998,64.330002,64.599998,6933600,57.589916
"246",64.75,64.959999,64.339996,64.389999,5451100,57.402706
"247",64.309998,64.980003,64.300003,64.730003,4444300,57.705811
"248",64.489998,64.940002,64.199997,64.300003,4236500,57.322475
"249",64.32,64.639999,64.18,64.540001,4899600,57.53643
"250",64.690002,64.730003,64.349998,64.379997,2451300,57.393795
"251",64.360001,64.650002,64,64.019997,6631800,57.072853
"252",64.379997,65.330002,64.169998,65.199997,6329600,58.124809
"253",65.220001,66.059998,64.690002,65.940002,6844200,58.784508
"254",66.18,66.529999,65.910004,66.029999,5060100,58.864742
"255",66.040001,66.599998,65.5,66.470001,5421800,59.257
