"","RHI.Open","RHI.High","RHI.Low","RHI.Close","RHI.Volume","RHI.Adjusted"
"1",49.48,49.950001,48.700001,49.759998,1340500,45.226898
"2",50,50.98,49.759998,50.91,1677200,46.272137
"3",50.5,50.689999,48.450001,48.599998,2510900,44.172585
"4",48.529999,48.799999,48.150002,48.299999,1608800,43.899906
"5",48.220001,48.66,47.810001,48.349998,946000,43.945358
"6",48.939999,49.360001,48.560001,49.02,931100,44.554321
"7",49,49.32,48.630001,49.23,1317500,44.74519
"8",49.07,49.450001,48.689999,49.369999,788200,44.872437
"9",49.470001,50.049999,49.450001,49.91,614500,45.363247
"10",49.549999,49.990002,48.959999,49.119999,824200,44.645218
"11",49.150002,49.529999,48.66,49.349998,1070400,44.854263
"12",49.540001,49.540001,48.360001,48.59,1049800,44.163494
"13",48.619999,49.25,48.540001,48.900002,1007000,44.445259
"14",48.759998,49.18,48.18,48.639999,852400,44.208942
"15",48.93,49.41,48.689999,49.369999,1092400,44.872437
"16",49.869999,50.23,49.360001,49.810001,809300,45.272358
"17",49.849998,50.299999,49.27,49.93,1684500,45.381416
"18",45.450001,46.779999,45,46.299999,3222000,42.082111
"19",46.110001,46.25,45.349998,46.23,1375100,42.018494
"20",46.150002,47.110001,45.48,47.060001,1680500,42.772877
"21",47.490002,48.34,47,47.220001,1140100,42.918301
"22",47.049999,47.959999,46.880001,47.650002,1547800,43.309132
"23",47.779999,48.689999,47.779999,48.610001,1110800,44.181675
"24",48.419998,48.66,48.18,48.369999,1123000,43.963528
"25",48.560001,48.639999,47.200001,47.369999,1690800,43.05463
"26",47.259998,47.259998,46.73,46.919998,2019900,42.645634
"27",47.23,47.740002,47.18,47.200001,1174500,42.900124
"28",47.509998,47.57,46.959999,47.209999,1357800,42.909214
"29",47.400002,47.77,47.369999,47.509998,589600,43.181881
"30",47.360001,47.639999,47.150002,47.470001,1348300,43.145519
"31",47.349998,48.25,47.349998,48.150002,739200,43.76358
"32",48.27,48.5,47.68,48.07,1690300,43.690865
"33",47.990002,48.59,47.689999,48.59,811800,44.163494
"34",48.200001,48.799999,48.080002,48.599998,1013100,44.172585
"35",48.380001,48.610001,47.77,48.25,1038200,44.072109
"36",48.189999,48.560001,47.849998,47.98,2292700,43.825489
"37",47.450001,47.959999,46.98,47.959999,744400,43.807213
"38",48.049999,48.169998,47.720001,47.959999,757600,43.807213
"39",47.93,48.279999,47.599998,48.240002,1168700,44.062969
"40",48.970001,49.490002,48.27,48.310001,1524700,44.126919
"41",48.16,48.419998,47.25,47.509998,3002100,43.396183
"42",47.560001,47.68,47.099998,47.490002,1456000,43.377918
"43",47.23,47.509998,46.970001,47.310001,919600,43.213501
"44",47.34,47.720001,47.130001,47.529999,775000,43.414452
"45",47.810001,48.5,47.75,48.48,1264800,44.282192
"46",48.41,48.66,47.369999,47.540001,889200,43.423584
"47",48.419998,48.419998,47.77,48.209999,1520900,44.035572
"48",48.23,48.540001,48.060001,48.299999,653600,44.117783
"49",48.209999,48.32,47.799999,48.169998,566900,43.999027
