"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"1",62.099998,62.099998,61.220001,61.950001,573900,58.271946
"2",62.240002,62.400002,61.720001,62.349998,758800,58.64819
"3",62.52,62.619999,61.630001,61.869999,627000,58.19669
"4",61.950001,62.369999,61.75,62.139999,481900,58.450661
"5",62.080002,63.380001,62.040001,63.259998,482800,59.504162
"6",62.889999,64.260002,62.889999,64.25,630200,60.435398
"7",63.330002,64.290001,63.220001,64.110001,783100,60.303703
"8",63.689999,64.32,63.259998,64.260002,529100,60.444801
"9",64.68,65.779999,64.519997,65.330002,696500,61.451267
"10",64.639999,64.699997,63.639999,64.18,1232000,60.369541
"11",63.389999,63.580002,62.75,63.290001,1022300,59.532379
"12",63.299999,63.529999,62.709999,62.900002,601200,59.165539
"13",63.27,63.91,63.060001,63.650002,614600,59.871006
"14",62.639999,63.639999,62.639999,63.599998,1423000,59.823971
"15",69.080002,70.760002,67.32,69.720001,4248900,65.580627
"16",69.5,70.589996,69.190002,69.849998,1676600,65.702911
"17",69.849998,69.989998,68.120003,68.389999,1257400,64.32959
"18",68.639999,69.07,67.910004,68.139999,682400,64.094429
"19",67.769997,68.099998,67.290001,67.699997,1080800,63.680542
"20",67.839996,68.010002,67.120003,67.540001,1164800,63.530052
"21",67.440002,67.599998,66.18,66.949997,1020000,62.975082
"22",66.919998,67.239998,66.410004,67,1122900,63.022118
"23",67.160004,68.260002,67,68.209999,625800,64.160271
"24",67.599998,68.709999,67.300003,68.690002,1008200,64.611786
"25",68.419998,69.029999,68.419998,68.93,1039900,65.150528
"26",68.470001,69.629997,68.239998,69.360001,1006100,65.556931
"27",69.360001,69.839996,69.169998,69.800003,579800,65.972801
"28",69.790001,70.239998,69.449997,70.230003,631300,66.379242
"29",70.059998,71.010002,69.980003,70.860001,1070800,66.974709
"30",70.379997,71.230003,70.379997,71.07,801500,67.173172
"31",71.019997,71.699997,70.959999,71.699997,579700,67.768639
"32",72.07,72.300003,71.459999,71.919998,584600,67.976593
"33",71.540001,72.349998,71.540001,72.269997,395700,68.307388
"34",72.110001,72.379997,71.629997,72.209999,999700,68.250679
"35",72.220001,72.699997,71.919998,72.379997,938600,68.411377
"36",72.120003,72.279999,71.209999,71.620003,665400,67.693031
"37",70.709999,72.029999,70.709999,71.959999,487300,68.014389
"38",72.190002,72.410004,71.459999,72.019997,602900,68.071091
"39",71.970001,72.339996,71.870003,72.029999,602700,68.080551
"40",72.080002,73.059998,72,72.949997,497900,68.950119
"41",72.370003,73.459999,72.370003,72.480003,578900,68.505875
"42",72.220001,72.459999,71.839996,72.379997,347800,68.411377
"43",71.669998,72.019997,71.32,71.82,522300,67.882072
"44",71.790001,71.879997,71.379997,71.519997,614400,67.598526
"45",71.300003,71.599998,70.699997,70.730003,729700,66.851822
"46",70.879997,71.239998,70.389999,70.779999,448600,66.899063
"47",71.480003,71.480003,71.059998,71.440002,614300,67.522903
"48",71.230003,71.760002,71.010002,71.68,495800,67.749725
"49",71.43,71.599998,70.860001,71,439600,67.107025
"50",71.209999,71.629997,70.889999,71.489998,700400,67.570152
"51",70.900002,71.559998,70.900002,71.279999,355700,67.371681
"52",71.040001,71.959999,71.040001,71.639999,916700,67.711922
"53",71.790001,71.900002,71.25,71.309998,432400,67.400032
"54",71.879997,72.379997,70.57,70.720001,593300,66.842377
"55",70.610001,71.449997,70.110001,71.290001,469400,67.381134
"56",71.18,72.089996,71.040001,71.309998,611100,67.400032
"57",71.309998,72.019997,71.099998,71.57,616200,67.645775
"58",71.459999,71.75,70.900002,71.68,407800,67.749725
"59",71.550003,72.160004,71.120003,71.959999,814900,68.014389
"60",71.970001,72.800003,71.970001,72.480003,701900,68.505875
"61",72.110001,72.260002,71.489998,71.519997,471500,67.598526
"62",71.32,72.18,71.25,71.970001,541000,68.023849
"63",71.650002,71.879997,70.75,71.379997,649600,67.466209
"64",71.379997,71.629997,70.400002,70.550003,687400,66.681694
"65",70.449997,70.75,69.110001,69.260002,1404800,65.462425
"66",69.25,69.559998,68.790001,69.050003,1002800,65.263939
"67",68.849998,69.290001,68.849998,69.029999,604100,65.245026
"68",69.080002,69.410004,68.790001,68.980003,456100,65.197784
"69",68.970001,69.470001,68.699997,69.43,672300,65.623123
"70",67.860001,69.230003,67.860001,68.410004,515800,64.659042
"71",68.190002,68.540001,67.919998,68.120003,445800,64.384926
"72",68.370003,69.360001,68.370003,69.25,448800,65.452995
"73",68.860001,69.150002,68.610001,68.650002,420700,64.885872
"74",69.010002,69.169998,68.580002,69.099998,473600,65.311211
"75",68.690002,69.779999,68.209999,69.620003,620200,65.802689
"76",69.620003,69.93,68.349998,69.839996,1183000,66.01059
"77",70.260002,70.860001,69.889999,70.739998,882200,66.861252
"78",71.010002,71.239998,70.779999,70.940002,899500,67.050316
"79",70.989998,71.940002,70.669998,71.75,1153700,67.81588
"80",71.449997,73.07,71.25,72.849998,1387400,68.855583
"81",67.199997,70.330002,67.040001,67.989998,3020200,64.262054
"82",68.580002,68.959999,67.709999,68.919998,1074000,65.14106
"83",69.010002,70.519997,68.959999,69.790001,1118700,65.963387
"84",69.639999,69.839996,68.839996,68.949997,831200,65.169418
"85",68.889999,69.150002,68.440002,69,460100,65.216675
"86",69.220001,69.779999,68.949997,69.389999,515600,65.585312
"87",69.150002,69.25,68.349998,68.550003,623600,64.791359
"88",68.150002,68.230003,67.160004,67.459999,727600,64.069565
"89",67.510002,68.239998,67.330002,68.199997,561700,64.772369
"90",68.010002,68.150002,67.650002,67.93,522100,64.51593
"91",68.040001,68.449997,67.949997,68.360001,493400,64.924324
"92",68.410004,68.959999,68.410004,68.889999,526900,65.427673
"93",69.089996,69.32,68.290001,68.480003,310700,65.038315
"94",68.480003,68.480003,67.470001,67.660004,472700,64.259514
"95",67.809998,67.910004,67.150002,67.5,450100,64.107544
"96",68,68.519997,67.610001,68.400002,324400,64.962303
"97",68.559998,69.589996,68.410004,69.510002,482900,66.016525
"98",69.650002,69.959999,69.279999,69.599998,604600,66.102005
"99",69.809998,70.150002,69.610001,69.93,518000,66.415421
"100",70.150002,70.389999,69.970001,70.050003,366600,66.529381
"101",69.959999,70.190002,69.68,70.07,238200,66.548378
"102",69.910004,70.120003,69.589996,70,2318400,66.481911
"103",70.309998,71.300003,70,71.099998,852200,67.526611
