"","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"1",15.111111,15.111111,14.822222,14.884444,1115775,14.032785
"2",14.955556,15.084444,14.871111,15.017778,1201275,14.158492
"3",14.973333,15.008889,14.853333,14.942222,2436525,14.087258
"4",14.911111,14.982222,14.822222,14.862222,927450,14.011835
"5",14.782222,14.853333,14.675556,14.724444,926325,13.881942
"6",14.804444,14.88,14.693333,14.715556,762750,13.873563
"7",14.671111,14.773333,14.648889,14.764444,717075,13.919652
"8",14.755556,14.764444,14.586667,14.626667,960300,13.789759
"9",14.666667,14.911111,14.666667,14.853333,397350,14.003457
"10",14.76,14.96,14.666667,14.768889,743850,13.923845
"11",14.782222,14.937778,14.777778,14.875556,500850,14.024407
"12",14.906667,14.964444,14.76,14.835556,706050,13.986693
"13",14.826667,15.208889,14.826667,15.128889,1783575,14.263246
"14",15.173333,15.177778,14.684444,14.817778,1330200,13.969934
"15",14.92,15.133333,14.817778,15.057778,916875,14.196203
"16",15.546667,15.684444,15.173333,15.524444,3708225,14.636167
"17",15.648889,15.848889,15.564444,15.777778,1424250,14.875005
"18",15.817778,15.848889,15.604444,15.791111,1186650,14.887575
"19",15.8,15.848889,15.475556,15.635556,882000,14.740923
"20",15.662222,15.733333,15.564444,15.671111,837450,14.77444
"21",15.773333,15.813333,15.466667,15.546667,894150,14.657117
"22",15.546667,15.577778,15.444444,15.564444,791775,14.673878
"23",15.635556,15.826667,15.586667,15.808889,819900,14.904338
"24",15.831111,15.862222,15.728889,15.8,668025,14.895954
"25",15.848889,15.982222,15.831111,15.982222,957150,15.067751
"26",15.986667,16,15.791111,15.88,1268550,15.019412
"27",15.88,16.16,15.88,16.106667,955575,15.233792
"28",16.226667,16.324444,16.111111,16.302221,1053225,15.418747
"29",16.426666,16.573334,16.271111,16.32889,1643400,15.443972
"30",16.244444,16.306667,16.177778,16.24889,1032750,15.36831
"31",16.24,16.342222,16.208889,16.315556,630450,15.431364
"32",16.32,16.422222,16.293333,16.422222,617400,15.532246
"33",16.391111,16.417778,16.324444,16.413334,754425,15.523842
"34",16.413334,16.471111,16.32,16.382221,957600,15.494414
"35",16.413334,16.426666,16.315556,16.382221,783450,15.494414
"36",16.444445,16.484444,16.346666,16.404444,756225,15.515429
"37",16.373333,16.413334,16.324444,16.4,862425,15.511228
"38",16.422222,16.493334,16.391111,16.422222,1224675,15.532246
"39",16.413334,16.457779,16.24,16.24889,2088000,15.36831
"40",16.43111,16.48889,16.360001,16.413334,1978650,15.523842
"41",16.382221,16.382221,16.164444,16.177778,983700,15.301052
"42",16.195557,16.275557,16.16,16.226667,903150,15.347287
"43",16.142221,16.213333,16.102222,16.142221,893025,15.267419
"44",16.048889,16.191111,16.044443,16.075556,1041300,15.204366
"45",16.102222,16.102222,16.026667,16.062222,1035000,15.191758
"46",16.071112,16.097778,15.946667,16.013332,948150,15.145516
"47",16.111111,16.306667,16.093332,16.208889,1017225,15.330474
"48",16.168888,16.24889,16.124443,16.204445,741825,15.326272
"49",16.168888,16.266666,16.128889,16.244444,576900,15.364102
"50",16.297777,16.466667,16.284445,16.391111,1799550,15.502826
"51",16.4,16.444445,16.346666,16.382221,785250,15.494414
"52",16.373333,16.48889,16.35111,16.4,3051450,15.511228
"53",16.435556,16.435556,16.266666,16.280001,972000,15.397734
"54",16.333332,16.346666,15.982222,16.004444,1231200,15.137112
"55",15.982222,16.084444,15.924444,16.013332,927000,15.145516
"56",16.017778,16.137777,15.946667,16.008888,889425,15.141313
"57",16.048889,16.124443,15.96,16.026667,1131750,15.158129
"58",15.884444,15.991111,15.782222,15.968889,470475,15.103481
"59",15.942222,16.155556,15.942222,16.124443,635850,15.250607
"60",16.115557,16.297777,16.053333,16.280001,743400,15.397734
"61",16.217777,16.426666,16.217777,16.413334,1066725,15.523842
"62",16.395555,16.551111,16.355556,16.502222,1160325,15.607914
"63",16.524445,16.537779,15.92,15.986667,1618650,15.120296
"64",15.973333,16.204445,15.973333,16.142221,1304550,15.267419
"65",16.217777,16.24889,16.066668,16.097778,1264050,15.225386
"66",16.120001,16.151112,15.986667,16.137777,824850,15.263218
"67",16.106667,16.275557,16.057777,16.195557,772425,15.317866
"68",16.231112,16.333332,16.168888,16.266666,756225,15.385122
"69",16.24,16.422222,16.24,16.395555,1511775,15.507027
