"","SBAC.Open","SBAC.High","SBAC.Low","SBAC.Close","SBAC.Volume","SBAC.Adjusted"
"1",105.25,105.650002,104.190002,105.529999,1269300,103.757576
"2",105.779999,106.099998,104.690002,105.68,704600,103.905052
"3",105,105.32,103.150002,104.279999,691400,102.52858
"4",104.400002,105.169998,103.449997,103.519997,623600,101.781334
"5",103.540001,103.68,102.230003,102.989998,823200,101.260239
"6",102.720001,102.860001,102.059998,102.599998,910600,100.876778
"7",102.300003,104.940002,102.300003,104.709999,1244300,102.951347
"8",104.209999,105.279999,103.080002,105.120003,526200,103.354469
"9",104.989998,107.169998,104.809998,105.57,759100,103.796913
"10",105.57,105.57,105.57,105.57,0,103.796913
"11",105.580002,107.989998,105.580002,107.059998,782500,105.261887
"12",107.019997,107.019997,105.040001,105.760002,507700,103.983719
"13",106.349998,107.169998,104.220001,105.529999,846600,103.757576
"14",105.190002,105.57,104.57,104.839996,585800,103.079155
"15",104.660004,104.800003,102.940002,104.099998,1025800,102.351601
"16",103.470001,103.709999,102.290001,103.5,1100000,101.761673
"17",103.419998,105.610001,103.419998,104.910004,1641200,103.147987
"18",105.239998,105.730003,102.870003,104.029999,450400,102.282768
"19",104.059998,104.589996,103.449997,104.300003,458000,102.548241
"20",104.459999,106.07,104.459999,105.260002,1092700,103.492104
"21",105.779999,106.599998,103.300003,103.860001,1082800,102.115623
"22",103.910004,104.809998,103.580002,104.389999,746000,102.636726
"23",105.360001,107.059998,104.730003,105.690002,1028200,103.914886
"24",105.459999,105.459999,103.830002,104.400002,1306100,102.646568
"25",104.410004,105.010002,104.120003,104.790001,666300,103.030014
"26",104.779999,107.18,103.510002,106.860001,1117200,105.065231
"27",106.830002,107.889999,106.370003,107.629997,1171700,105.822304
"28",107.68,107.68,105.889999,106.959999,768500,105.163544
"29",107.139999,109.68,105.739998,109.620003,1067100,107.778893
"30",109.449997,109.779999,108.139999,108.730003,608700,106.903839
"31",108.32,108.519997,107.82,108.300003,502500,106.481056
"32",108.760002,109.18,107.300003,108.93,689300,107.100471
"33",109.18,109.519997,108.07,108.470001,1008900,106.648209
"34",108.790001,110.870003,108.419998,110.709999,900600,108.850578
"35",111,112.080002,110.800003,111.660004,772100,109.78463
"36",112.029999,112.790001,110.160004,111.190002,578500,109.322517
"37",111.239998,111.589996,110.5,111.160004,724000,109.29303
"38",110.970001,112.949997,110.93,112.790001,958000,110.895645
"39",112.5,116.699997,111.769997,115.769997,2793700,113.825592
"40",116.160004,116.25,113,115.360001,1334100,113.422485
"41",115.610001,116.290001,113.839996,115.279999,1000600,113.343826
"42",115.449997,115.769997,114.769997,114.980003,1256500,113.048866
"43",114.139999,115.410004,112.730003,115.169998,1089000,113.235664
"44",114.739998,116.309998,114.739998,115.410004,905000,113.471642
"45",115.080002,115.790001,114.309998,114.650002,1070700,112.724411
"46",114.360001,116.660004,114.18,116.589996,1369900,114.631821
"47",117.279999,118.379997,116.739998,117.800003,1357700,115.821503
"48",117.889999,118.199997,116.589996,117.639999,1623500,115.664177
"49",117.589996,117.82,115.940002,116.120003,1342600,114.169716
"50",116.57,117.529999,115.190002,116.690002,1437300,114.730133
"51",117.260002,117.639999,115.68,116.139999,1012300,114.189369
"52",115.769997,116.260002,115.470001,115.650002,4900100,113.707626
"53",115.650002,117.650002,115.650002,117.059998,1077700,115.093918
"54",117.209999,118.480003,116.970001,117.080002,1057800,115.113594
"55",117,117.980003,116.400002,116.879997,1171300,114.916946
"56",117.120003,118.230003,116.599998,118.129997,1885900,116.145958
"57",117.919998,119.029999,117.379997,118.290001,1090900,116.303268
"58",116.769997,118.480003,116.120003,117.800003,768100,115.821503
"59",117.690002,118.709999,115.400002,118.550003,1006200,116.558899
"60",118.550003,120.040001,118.339996,119.779999,824600,117.768234
"61",119.699997,120.010002,118.580002,118.919998,815100,116.922691
"62",118.739998,120.510002,118.209999,120.370003,1366300,118.348335
"63",119.949997,120.400002,118.699997,119.550003,1122600,117.542107
"64",119.489998,120.169998,119.25,119.440002,1226400,117.433968
"65",119.839996,119.959999,118.959999,119.080002,1005200,117.080002
"66",119.5,120.230003,118.589996,120.07,947400,118.053375
"67",120.07,121.559998,119.529999,121.169998,1287300,119.13488
"68",121.449997,122.370003,120.959999,121.989998,789100,119.941116
"69",123.150002,124.459999,122.43,124.040001,1798800,121.956688
"70",123.370003,123.980003,122.169998,123.07,909600,121.002983
"71",123.150002,124.150002,122.599998,123.800003,997200,121.720741
"72",123.68,125.010002,123.300003,124.970001,855600,122.871086
"73",124.839996,125.449997,124.480003,125.150002,1083900,123.048058
"74",125.620003,126.190002,124.879997,125.07,924600,122.969398
"75",125.110001,125.32,123.769997,124.279999,873900,122.192665
"76",124.059998,124.510002,123.190002,123.779999,656500,121.701057
"77",124,124.510002,122.910004,123.459999,807800,121.386429
"78",124.260002,124.440002,123,124.019997,966400,121.937027
"79",123.980003,124.989998,123.110001,123.650002,752700,121.57325
"80",123.980003,125.879997,122.43,125.330002,1087300,123.225037
"81",125.040001,127.050003,124.269997,126.489998,885200,124.36554
"82",126.739998,127.839996,126.059998,127.25,1317400,125.112785
"83",129.009995,130.779999,127.610001,128.979996,1472000,126.813721
"84",129.279999,129.589996,127.559998,127.839996,1041200,125.692871
"85",127.989998,129,126.779999,128.190002,945600,126.036995
"86",128.529999,129.699997,128.279999,129.619995,1049600,127.44297
"87",129.970001,132.009995,129.220001,131.419998,1251000,129.212769
"88",131.179993,131.589996,129.470001,129.75,1048600,127.570786
