"","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume","SNPS.Adjusted"
"1",59.27,59.700001,59.040001,59.369999,595800,59.369999
"2",59.369999,60.029999,59.369999,59.57,790300,59.57
"3",59.610001,60.18,59.52,59.790001,1081200,59.790001
"4",59.73,60.32,59.41,60,647900,60
"5",59.82,60.369999,59.630001,60.080002,496000,60.080002
"6",60.34,60.939999,60.119999,60.689999,679100,60.689999
"7",60.66,61.209999,60.130001,60.91,492000,60.91
"8",60.610001,60.93,59.849998,60.880001,356800,60.880001
"9",61.119999,61.439999,60.869999,61.34,397900,61.34
"10",61.049999,61.240002,60.439999,60.740002,504300,60.740002
"11",60.82,61,60.509998,60.759998,580100,60.759998
"12",60.77,61.389999,60.669998,60.91,602800,60.91
"13",60.889999,61.5,60.740002,60.77,565500,60.77
"14",60.580002,60.91,60.41,60.830002,314800,60.830002
"15",61.099998,62.549999,61.099998,62.41,878200,62.41
"16",62.580002,62.84,62.400002,62.68,517700,62.68
"17",62.700001,62.950001,62.009998,62.200001,541400,62.200001
"18",62.169998,62.509998,62.150002,62.5,261800,62.5
"19",62.029999,62.619999,61.560001,62.619999,596500,62.619999
"20",62.720001,62.919998,62.119999,62.889999,814300,62.889999
"21",63.060001,63.189999,62.240002,62.619999,658100,62.619999
"22",62.700001,64.220001,62.700001,64.18,1024100,64.18
"23",64.379997,65.230003,64.25,64.900002,843300,64.900002
"24",64.940002,65.389999,64.529999,65.169998,944800,65.169998
"25",65.300003,65.57,65.050003,65.199997,572600,65.199997
"26",65.220001,65.279999,64.75,64.790001,755400,64.790001
"27",65,65.610001,64.860001,65.440002,823700,65.440002
"28",65.580002,65.620003,65.080002,65.290001,1168600,65.290001
"29",65.57,66.190002,65.360001,65.980003,724600,65.980003
"30",65.669998,65.980003,65.309998,65.839996,798500,65.839996
"31",65.639999,66.470001,65.559998,66.260002,896200,66.260002
"32",71.730003,73.080002,70.18,70.660004,2392100,70.660004
"33",70.029999,70.860001,69.18,70.510002,1576800,70.510002
"34",70.050003,71.040001,68.790001,70.980003,1287100,70.980003
"35",70.800003,71.349998,70.309998,71.260002,891600,71.260002
"36",71.489998,71.720001,70.75,71.220001,984600,71.220001
"37",70.660004,72.080002,70.660004,72.059998,845600,72.059998
"38",71.82,72.629997,71.82,72.260002,912800,72.260002
"39",72,72.139999,71.410004,71.440002,773400,71.440002
"40",71.440002,72.370003,71.419998,72.239998,961500,72.239998
"41",71.870003,71.919998,70.849998,71.010002,1096100,71.010002
"42",70.839996,71.269997,70.5,71.029999,827200,71.029999
"43",70.699997,71.110001,70.599998,70.75,884200,70.75
"44",70.639999,71.360001,70.5,71.080002,617500,71.080002
"45",70.940002,71.720001,70.93,71.349998,581200,71.349998
"46",71.400002,71.610001,71.120003,71.389999,411500,71.389999
"47",71.639999,71.889999,71.300003,71.830002,411000,71.830002
"48",71.800003,72.279999,71.699997,72.089996,555600,72.089996
"49",72.050003,72.050003,70.370003,70.760002,2214900,70.760002
"50",71.080002,71.080002,69.419998,70.25,30294600,70.25
"51",70.599998,71.489998,70.599998,70.760002,2182800,70.760002
"52",71.510002,71.559998,70.989998,71.139999,2542500,71.139999
"53",71.129997,71.75,70.959999,71.519997,998100,71.519997
"54",71.519997,72.139999,70.419998,70.610001,1420200,70.610001
"55",70.419998,71.160004,70.419998,71.07,870300,71.07
"56",71.260002,71.650002,71.040001,71.220001,789200,71.220001
"57",71.5,71.760002,70.900002,71.150002,638900,71.150002
"58",70.769997,71.610001,70.370003,71.360001,594300,71.360001
"59",71.290001,72.209999,71.260002,71.959999,1223200,71.959999
"60",71.709999,72.349998,71.709999,72.25,1092000,72.25
"61",72.050003,72.279999,72.019997,72.209999,677900,72.209999
"62",72.059998,72.419998,71.93,72.129997,611700,72.129997
"63",72.43,72.739998,71.57,72.199997,1082300,72.199997
"64",72.07,72.529999,71.839996,71.980003,885500,71.980003
"65",71.93,72.370003,71.339996,71.449997,807300,71.449997
"66",71.57,71.879997,71.199997,71.339996,1232300,71.339996
"67",71.25,71.550003,71.129997,71.459999,743500,71.459999
"68",71.379997,71.769997,71.199997,71.339996,886000,71.339996
"69",71.25,71.440002,70.970001,71.440002,1102700,71.440002
"70",71.830002,71.900002,70.860001,70.970001,641700,70.970001
"71",70.93,71.449997,70.629997,70.93,1032100,70.93
"72",71.110001,71.379997,70.889999,71.129997,1284000,71.129997
"73",70.900002,71.839996,70.849998,71.760002,1208200,71.760002
"74",71.870003,72.449997,71.769997,72.230003,1002100,72.230003
"75",72.370003,72.68,72.220001,72.559998,1084200,72.559998
"76",72.510002,72.690002,72.300003,72.599998,677500,72.599998
"77",73.239998,74.220001,73.150002,73.849998,1179700,73.849998
"78",73.970001,74.160004,73.279999,73.339996,1109700,73.339996
"79",73.529999,73.529999,73.089996,73.25,827200,73.25
"80",73.349998,74.040001,73.349998,73.660004,738000,73.660004
"81",73.690002,73.769997,73.339996,73.699997,1329800,73.699997
"82",73.870003,74.059998,73.550003,73.940002,803200,73.940002
"83",74,74.169998,73.610001,73.75,816800,73.75
"84",73.599998,73.919998,73.459999,73.82,878400,73.82
"85",74.089996,74.279999,73.790001,74,820700,74
"86",74.029999,74.300003,73.879997,74.279999,775200,74.279999
"87",74.199997,74.300003,73.489998,73.800003,626800,73.800003
"88",73.940002,74.410004,73.919998,74.120003,681300,74.120003
"89",74.220001,74.559998,73.980003,74.540001,811600,74.540001
"90",74.309998,74.629997,74.099998,74.489998,714600,74.489998
"91",74.480003,74.760002,74.300003,74.419998,707900,74.419998
"92",74.519997,75.089996,74.5,74.959999,1144700,74.959999
"93",75.080002,75.190002,74.699997,75.120003,1178300,75.120003
"94",74.699997,74.839996,73.389999,73.400002,2007200,73.400002
"95",75,75.339996,70.870003,70.93,2952200,70.93
"96",71,71.489998,70.550003,70.989998,2323800,70.989998
"97",71.07,72.32,71.010002,72.25,1573600,72.25
"98",72.480003,73.110001,72.040001,72.599998,1267000,72.599998
"99",72.959999,73.220001,72.360001,73.029999,1416900,73.029999
"100",73.129997,73.709999,72.910004,73.529999,1058200,73.529999
"101",73.849998,74.709999,73.620003,74.370003,1368400,74.370003
"102",74.309998,74.739998,74,74.699997,1275500,74.699997
"103",74.779999,75,74.5,74.870003,3856700,74.870003
"104",75.029999,75.410004,74.529999,74.93,1318700,74.93
"105",75.129997,75.989998,74.989998,75.82,1288500,75.82
"106",75.610001,76.25,75.610001,75.760002,905400,75.760002
"107",75.709999,76.43,75.410004,75.809998,940200,75.809998
"108",76.230003,76.330002,75.580002,76.07,921500,76.07
"109",76.120003,76.449997,75.720001,76.120003,889900,76.120003
"110",75.949997,76.57,74.43,74.93,1194000,74.93
"111",74.389999,74.760002,73.050003,73.889999,1553500,73.889999
"112",74.120003,74.669998,73.949997,74.660004,1173300,74.660004
"113",74.949997,74.959999,73.709999,74.339996,1011300,74.339996
"114",74.110001,74.110001,73.129997,74.019997,1325300,74.019997
"115",73.769997,74.330002,73.580002,73.779999,1360300,73.779999
"116",73.730003,75.18,73.720001,74.709999,1178300,74.709999
"117",74.449997,75.269997,74.449997,74.610001,888300,74.610001
"118",74.949997,74.980003,74.139999,74.650002,863100,74.650002
"119",74.75,74.919998,74.040001,74.589996,779300,74.589996
"120",74.589996,74.870003,74.309998,74.360001,1971200,74.360001
"121",74.360001,74.940002,74.260002,74.519997,905200,74.519997
"122",74.389999,74.82,73.610001,73.650002,840900,73.650002
"123",73.980003,74.459999,73.650002,74.260002,735000,74.260002
"124",74.040001,74.25,72.400002,72.970001,900600,72.970001
"125",73.019997,73.349998,72.760002,72.93,779800,72.93
"126",73.370003,73.440002,72.080002,72.120003,530300,72.120003
"127",72.43,72.989998,72.050003,72.739998,1081900,72.739998
"128",72.480003,72.660004,71.940002,72.529999,1042900,72.529999
"129",72.669998,73.529999,72.260002,73.150002,697800,73.150002
"130",73.050003,73.839996,73.040001,73.5,833000,73.5
"131",73.510002,73.889999,73.040001,73.540001,732600,73.540001
"132",74,75.25,73.43,75.160004,949900,75.160004
"133",75.160004,75.43,74.709999,74.889999,685500,74.889999
"134",75.040001,75.410004,74.669998,75.269997,554500,75.269997
"135",75.300003,75.830002,75.019997,75.639999,480000,75.639999
"136",75.489998,75.690002,75.160004,75.660004,384800,75.660004
"137",75.849998,76.510002,75.739998,76.410004,536700,76.410004
"138",76.480003,76.559998,75.489998,75.82,556500,75.82
"139",75.589996,76.18,75.589996,75.910004,453400,75.910004
"140",75.949997,76.360001,75.809998,76.339996,687700,76.339996
"141",76.300003,76.970001,76.190002,76.400002,845000,76.400002
"142",76.57,77.25,76.470001,76.690002,417000,76.690002
"143",76.849998,77.290001,75.610001,76.360001,748200,76.360001
"144",76.230003,76.68,75.980003,76.43,352100,76.43
"145",76.599998,76.889999,76.080002,76.57,579400,76.57
"146",76.900002,76.900002,76.370003,76.769997,661000,76.769997
"147",76.959999,76.959999,75.629997,76.040001,690000,76.040001
"148",76.110001,76.279999,75.529999,76.099998,724800,76.099998
"149",76.059998,76.639999,75.82,76.610001,1125600,76.610001
"150",76.690002,77.220001,76.480003,77.150002,506000,77.150002
"151",77.129997,77.550003,76.75,76.82,871600,76.82
"152",76.449997,77.050003,76.230003,76.849998,636700,76.849998
"153",76.559998,76.699997,75.589996,75.650002,1003300,75.650002
"154",76,76.5,75.629997,76.269997,592000,76.269997
"155",76.860001,77.5,76.830002,77.279999,801100,77.279999
