"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"1",179.089996,182.619995,176.869995,182.619995,2751200,143.09465
"2",182.910004,184.130005,181.539993,184.080002,1991700,144.238602
"3",179.690002,184.729996,178.169998,184.399994,2186400,144.489395
"4",183.550003,188.100006,182.600006,186.830002,2251400,146.393448
"5",186.490005,187.789993,185.289993,185.910004,1954000,145.672546
"6",185.119995,185.899994,183.649994,184.190002,2666100,144.324844
"7",183.699997,184.479996,181.570007,181.990005,2151700,142.600998
"8",181.610001,183.220001,181.110001,183.089996,1243200,143.462875
"9",182.869995,184.970001,182.479996,184.009995,1740400,144.183792
"10",184.369995,186.759995,184.139999,185.330002,1888500,145.218094
"11",185,187.169998,184.720001,186.570007,1330300,146.189713
"12",185.520004,185.660004,182.729996,182.919998,1939700,143.329681
"13",182.830002,185.039993,181.100006,184.529999,2673600,144.591248
"14",184.380005,185.210007,183.809998,185,2150200,144.959503
"15",185.190002,185.369995,183.419998,184.139999,2315200,144.28566
"16",183.899994,184.220001,182.089996,182.399994,2063800,142.922241
"17",182.910004,183.419998,181.869995,182.089996,1891300,142.679321
"18",182.570007,182.679993,178.529999,179.509995,2194000,140.657761
"19",179.960007,179.979996,176.619995,177.740005,1716100,139.270828
"20",179.009995,184.070007,179.009995,183.770004,3403200,143.995743
"21",185.380005,186,181.490005,181.529999,2925100,142.240509
"22",181.309998,183.520004,181.309998,182.960007,1535100,143.361053
"23",184.100006,185.410004,183.770004,185.330002,1805300,145.218094
"24",184.240005,185.5,181.75,182.070007,1179400,142.663651
"25",182.130005,183.360001,178.520004,179.059998,1812900,140.305161
"26",179.259995,181.139999,178.660004,180.619995,1406100,141.527481
"27",181.009995,182.869995,180.789993,181.990005,1298500,142.600998
"28",180.369995,182.679993,180.050003,182.100006,1193500,144.072556
"29",182.830002,183.789993,180.529999,181.669998,1250600,143.732376
"30",181.080002,182.389999,179.850006,180.940002,1079700,143.154831
"31",180.429993,180.830002,176.839996,178.539993,1954900,141.255951
"32",178.880005,180.860001,178.550003,179.179993,1373100,141.762329
"33",179.360001,182.050003,178.389999,181.089996,1657800,143.273468
"34",181.529999,185.619995,181.039993,185.160004,1521200,146.493546
"35",184.830002,185.690002,183.600006,184.699997,1469200,146.129608
"36",184.699997,185.789993,183.630005,184.990005,1043700,146.359039
"37",184.690002,184.710007,181.899994,184.289993,1213100,145.805206
"38",185.039993,187.350006,184.300003,186.330002,1313800,147.41922
"39",185.669998,186.369995,182.789993,184.399994,1841800,145.892273
"40",184.270004,184.880005,182.220001,182.520004,1845900,144.404846
"41",182.520004,182.559998,179.600006,181.139999,1566500,143.313049
"42",181.509995,181.720001,178.809998,179.399994,1729600,141.936386
"43",178.729996,180.130005,177.529999,178.800003,1104200,141.4617
"44",178.490005,179.089996,175.919998,177.289993,1379700,140.267014
"45",176.539993,176.899994,173.660004,174.690002,3275700,138.209991
"46",174.660004,174.770004,169.169998,169.320007,4031600,133.961334
"47",169.320007,171.800003,167.589996,168.169998,3101200,133.051559
"48",169,169.759995,166.889999,168.690002,2719600,133.462921
"49",168.110001,169.389999,166.649994,167.229996,2718900,132.3078
"50",168.009995,172.979996,167.5,170,2657100,134.499405
"51",170,170.580002,169,169.399994,1110200,134.024673
"52",168.929993,169.720001,167.009995,168.020004,2846800,132.932861
"53",168.449997,169.220001,167.759995,168.110001,1076000,133.004059
"54",168.570007,169.720001,166.919998,168.960007,2042000,133.676544
"55",168.710007,169,163.550003,165.399994,2554700,130.859955
