"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"1",38.459999,40.099998,38.400002,39.619999,5129300,31.122732
"2",39.73,40.27,38.93,39.119999,3842700,30.729967
"3",39.07,39.23,38.57,39.049999,2889500,30.674978
"4",39.060001,39.200001,38.18,38.490002,4529200,30.235085
"5",38.490002,38.740002,38.02,38.049999,3263400,29.88945
"6",38.099998,38.639999,37.57,37.630001,4266900,29.559528
"7",37.599998,38.060001,36.220001,36.869999,6268100,28.962517
"8",36.790001,36.84,35.639999,36.75,3849600,28.868258
"9",36.75,37.389999,36.75,36.900002,2515300,28.986082
"10",37.139999,37.82,36.75,37.02,3291300,29.080353
"11",37.110001,37.48,36.75,37.240002,2866800,29.253172
"12",37.099998,37.310001,36.130001,36.34,2958700,28.546192
"13",36.360001,37.049999,36.32,36.470001,3041400,28.648315
"14",36.669998,36.68,35.540001,36.369999,4955500,28.569761
"15",37.860001,38,36.599998,37.439999,8551300,29.410275
"16",42.450001,46.68,42.16,42.669998,46074200,33.5186
"17",42.619999,44.790001,42.619999,43.900002,14711900,34.484802
"18",44.07,44.990002,43.619999,44.5,7679900,34.956123
"19",44.400002,45.209999,44.110001,44.900002,6863600,35.270344
"20",44.849998,45.189999,44.23,45.150002,5597600,35.466724
"21",45.610001,45.650002,44.049999,44.779999,5382100,35.176067
"22",44.290001,45.73,44.290001,45.27,5447300,35.560978
"23",45.310001,46.360001,45.299999,46.290001,5768000,36.362225
"24",46.040001,46.389999,45.080002,45.439999,4651800,35.694511
"25",45.48,46.459999,45.139999,46.099998,4946800,36.212971
"26",45.549999,46.09,45.139999,45.799999,4852600,35.977314
"27",46.450001,46.630001,45.75,46.369999,3452400,36.425064
"28",46.509998,46.599998,45.830002,46.459999,3657800,36.495754
"29",46.889999,48.080002,46.580002,47.799999,5521600,37.548374
"30",47.650002,48.139999,47.369999,47.849998,4105100,37.587646
"31",47.93,48.529999,47.5,48.150002,5004200,37.823311
"32",48.299999,48.349998,47.349998,47.57,4450800,37.367699
"33",47.41,47.48,46.880001,47.139999,3270800,37.029922
"34",47.43,47.73,47.049999,47.43,3217100,37.257721
"35",47.400002,47.509998,47.189999,47.349998,2658400,37.194889
"36",47.5,47.740002,47.040001,47.389999,4064600,37.226303
"37",46.98,47.75,46.720001,47.75,3172600,37.509098
"38",47.220001,47.810001,46.889999,47.689999,5420600,37.461967
"39",47.400002,48.68,47.369999,48.189999,5592800,37.854729
"40",48.650002,49.700001,48.349998,49.48,4625300,38.868069
