"","TYL.Open","TYL.High","TYL.Low","TYL.Close","TYL.Volume","TYL.Adjusted"
"1",143.800003,144.820007,142.75,144.770004,228400,144.770004
"2",145,147.539993,144.880005,146.610001,255500,146.610001
"3",146.600006,148.869995,145.380005,148.020004,298900,148.020004
"4",148.029999,149.729996,147.179993,147.789993,209700,147.789993
"5",147.630005,149.610001,147.149994,149.320007,228300,149.320007
"6",149.929993,152.369995,149.089996,150.110001,239300,150.110001
"7",150.509995,153.809998,150.179993,151.910004,194300,151.910004
"8",152.149994,152.520004,150,152.130005,191700,152.130005
"9",152.889999,153.919998,150.229996,151.350006,300800,151.350006
"10",151.100006,151.669998,150.199997,151.210007,236100,151.210007
"11",151.190002,151.839996,150.339996,150.979996,203000,150.979996
"12",150.509995,151.320007,148.850006,149.149994,240100,149.149994
"13",150.070007,150.399994,148.490005,148.820007,135900,148.820007
"14",148.679993,149.910004,147.220001,147.330002,188400,147.330002
"15",148.050003,149.360001,146.979996,147.479996,219300,147.479996
"16",147.919998,148.759995,147.679993,148.169998,210700,148.169998
"17",148.809998,148.889999,146.160004,147.630005,131300,147.630005
"18",147.059998,149.339996,147.059998,149.270004,144700,149.270004
"19",148.880005,148.880005,146,147.479996,200800,147.479996
"20",145.929993,146.369995,144.190002,146.020004,256000,146.020004
"21",146.720001,146.75,145.070007,146.320007,256200,146.320007
"22",145.389999,147.5,143.490005,145,269300,145
"23",145.729996,146.690002,144.970001,145.550003,341500,145.550003
"24",144.880005,146.820007,143.380005,146.779999,352600,146.779999
"25",146.600006,147.880005,146.520004,147.169998,195000,147.169998
"26",146.820007,147.300003,145.419998,145.990005,276500,145.990005
"27",147.300003,166.860001,147.300003,160.660004,1107200,160.660004
"28",160.309998,161.240005,155.960007,157.740005,367900,157.740005
"29",157.979996,157.979996,155.610001,155.820007,186800,155.820007
"30",155.25,155.820007,154.139999,155.580002,217400,155.580002
"31",155.570007,156.940002,154.669998,155.649994,311300,155.649994
"32",155.660004,156.710007,153.600006,153.740005,261900,153.740005
"33",154.289993,155.419998,153.009995,154.050003,244200,154.050003
"34",154.309998,156.720001,154.309998,156.479996,236600,156.479996
"35",155.699997,156.779999,154.75,155.139999,140500,155.139999
"36",155.339996,155.699997,153.979996,154.350006,226800,154.350006
"37",154.039993,156.649994,153.820007,156.479996,254700,156.479996
"38",155.479996,156.320007,154.809998,155.630005,185800,155.630005
"39",154.910004,154.910004,151.589996,151.649994,368600,151.649994
