"","UAA.Open","UAA.High","UAA.Low","UAA.Close","UAA.Volume","UAA.Adjusted"
"1",29.34,29.99,29.280001,29.870001,3441900,29.870001
"2",30.15,30.9,30,30.540001,3838900,30.540001
"3",30.549999,30.709999,29.9,30.290001,3248600,30.290001
"4",30.49,30.66,30.24,30.469999,2663500,30.469999
"5",30.57,30.799999,30.440001,30.469999,1953700,30.469999
"6",30.709999,31.059999,30.549999,30.709999,2149700,30.709999
"7",30.709999,30.75,30.190001,30.549999,2532300,30.549999
"8",30.34,30.59,30.01,30.379999,3128400,30.379999
"9",30.35,30.58,29.940001,30.08,3538800,30.08
"10",29.940001,30.42,29.93,30.139999,3175600,30.139999
"11",30.280001,30.32,29.16,29.35,5275500,29.35
"12",29.58,29.66,28.77,29.200001,4362000,29.200001
"13",29.09,29.25,28.700001,29.02,3452900,29.02
"14",28.940001,28.940001,28.290001,28.450001,4404300,28.450001
"15",28.440001,28.690001,28.389999,28.540001,4094400,28.540001
"16",28.77,29.43,28.73,29.299999,3843200,29.299999
"17",29.34,29.639999,29.049999,29.129999,2681300,29.129999
"18",29.129999,29.370001,28.809999,29.129999,2410500,29.129999
"19",29.059999,29.139999,28.74,28.940001,5833000,28.940001
"20",28.940001,28.940001,20.799999,21.49,54105500,21.49
"21",21.65,21.860001,21.1,21.440001,17974300,21.440001
"22",21.34,21.370001,20.5,20.65,14655200,20.65
"23",20.67,20.84,20.440001,20.700001,7668600,20.700001
"24",20.959999,20.98,20.51,20.6,7027700,20.6
"25",20.780001,20.889999,20.450001,20.469999,9775200,20.469999
"26",20.5,21.139999,20.5,21.08,6414600,21.08
"27",21.08,21.91,21.08,21.709999,6848600,21.709999
"28",22.18,22.200001,21.32,21.6,5047300,21.6
"29",21.74,21.93,21.26,21.32,4547600,21.32
"30",21.549999,21.77,21.309999,21.76,5220300,21.76
"31",21.469999,21.959999,21.379999,21.889999,5644100,21.889999
"32",21.969999,22.030001,21.5,21.639999,4231600,21.639999
"33",21.68,22.09,21.52,21.879999,3334500,21.879999
"34",22,22.07,21.75,21.780001,2998300,21.780001
"35",22,22.34,21.690001,21.870001,4186000,21.870001
"36",21.889999,22.049999,21.639999,21.67,3444000,21.67
"37",21.610001,21.93,21.41,21.809999,3933100,21.809999
"38",21.65,21.75,21.34,21.5,3904400,21.5
"39",21.450001,21.530001,20.5,20.620001,7533900,20.620001
"40",20.73,20.92,20.299999,20.6,6624600,20.6
"41",20.6,21.049999,20.51,20.93,4128000,20.93
"42",20.950001,21.030001,20.5,20.59,5196800,20.59
"43",20.59,20.620001,19.99,20.049999,4557400,20.049999
"44",19.950001,20,19.26,19.690001,7305200,19.690001
"45",19.75,19.76,19.110001,19.139999,8608300,19.139999
"46",19.120001,19.360001,18.799999,19.15,4796000,19.15
"47",19.32,19.719999,19.219999,19.26,4062700,19.26
"48",19.27,19.299999,19,19.049999,3209100,19.049999
"49",19,19.17,18.85,19.02,4246400,19.02
"50",19.02,19.559999,18.93,19.459999,2876100,19.459999
"51",19.440001,19.889999,19.32,19.82,3968400,19.82
"52",19.889999,19.940001,19.290001,19.379999,5567300,19.379999
"53",19.379999,19.59,19.23,19.59,2743100,19.59
"54",19.51,19.58,18.799999,18.99,3864400,18.99
"55",18.620001,19.129999,18.4,19.09,5893600,19.09
"56",19.16,19.25,18.860001,18.98,4454600,18.98
"57",19.620001,20.030001,19.43,19.66,8650200,19.66
"58",19.49,19.959999,19.4,19.860001,3545500,19.860001
"59",19.959999,20.030001,19.700001,19.91,3886200,19.91
"60",19.870001,20.790001,19.82,20.620001,6683900,20.620001
"61",20.35,20.41,19.959999,20.09,4966400,20.09
"62",20.09,20.219999,19.780001,19.780001,4055300,19.780001
"63",19.969999,20.08,19.200001,19.65,8701900,19.65
"64",19.540001,19.549999,19.02,19.309999,6233100,19.309999
"65",19.51,20.280001,19.33,19.620001,6651500,19.620001
"66",19.82,20.549999,19.68,20.27,5587100,20.27
"67",20.110001,20.24,19.77,19.860001,4323700,19.860001
"68",19.799999,20,19.549999,19.73,3967500,19.73
"69",19.66,19.68,19.219999,19.42,4449200,19.42
"70",19.25,19.48,19.09,19.280001,4006700,19.280001
"71",19.280001,19.35,19.18,19.26,3915000,19.26
"72",19.26,19.290001,18.809999,19.209999,4841500,19.209999
"73",19.08,19.18,18.940001,19.1,3585300,19.1
"74",19.129999,19.379999,18.9,19.190001,3764100,19.190001
"75",19.25,19.469999,19.01,19.389999,3923400,19.389999
"76",19.41,19.49,18.93,18.99,6342600,18.99
"77",19.15,19.5,18.98,19.440001,5357600,19.440001
"78",19.41,19.75,19.26,19.530001,5135300,19.530001
"79",19.5,19.82,19.33,19.709999,10059000,19.709999
"80",20.719999,22.120001,20.629999,21.67,21423000,21.67
"81",21.83,21.870001,21.09,21.49,9540800,21.49
"82",21.52,21.52,20.76,21.17,9170100,21.17
"83",21.35,21.370001,20.780001,21.049999,5507100,21.049999
"84",21.049999,21.049999,20.32,20.34,4876400,20.34
"85",20.33,20.48,20.15,20.42,3457000,20.42
