"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"1",161.130005,162.270004,159.149994,161.449997,3539700,150.20491
"2",162.350006,162.580002,159.740005,161.910004,2695200,150.632874
"3",161.75,162.630005,161.509995,162.179993,2961100,150.884048
"4",161.75,162.940002,161.110001,162.410004,3081300,151.098053
"5",162,162.429993,160.779999,161.949997,3040800,150.67009
"6",161.270004,162.979996,160.5,161.580002,3500700,150.325851
"7",161.300003,162.940002,160.610001,161.889999,3330600,150.614273
"8",161.690002,162.940002,160.889999,162.360001,2555900,151.051529
"9",162.160004,162.740005,161.410004,161.800003,3183300,150.530548
"10",162.610001,162.970001,157.509995,160.660004,5475800,149.46994
"11",161.059998,161.199997,156.089996,157.740005,6591600,146.753342
"12",157.740005,160.550003,157.240005,158.699997,4976900,147.646423
"13",159.020004,159.800003,157.809998,158.660004,3579100,147.609253
"14",158.619995,159.520004,156.559998,159.070007,4062600,147.990723
"15",159.360001,161.309998,159.100006,160.429993,3514100,149.255966
"16",160.820007,161.979996,160.350006,161.240005,3605800,150.009552
"17",161.860001,163.580002,161.25,162.75,4202400,151.414368
"18",163.5,163.800003,162.619995,162.990005,3110400,151.637619
"19",162.940002,163.460007,161.309998,162.089996,2784600,150.800339
"20",161.619995,162.190002,160.009995,162.100006,3037000,150.809601
"21",162.75,163.899994,162.029999,162.710007,3718500,151.377136
"22",162.520004,163.25,160.259995,160.759995,4714000,149.562973
"23",161.130005,162,160.210007,161.869995,2762300,150.595657
"24",161.509995,162.529999,160.220001,160.509995,3479400,149.330383
"25",161.050003,161.679993,159.539993,160.529999,2942700,149.348969
"26",160,160.630005,159.410004,160.309998,2339700,149.144302
"27",160.309998,161.300003,159.559998,160.440002,3056800,149.265244
"28",160.119995,161.589996,160.100006,160.75,1905900,149.55365
"29",160.690002,162.020004,160.690002,161.990005,3275800,150.707291
"30",161.449997,163.5,161.25,163.130005,2969400,151.767883
"31",162.580002,164.889999,162.580002,164.289993,4537900,152.847122
"32",164.779999,164.970001,162.330002,163.649994,3191600,152.251663
"33",159,160.160004,156.490005,157.619995,12033600,146.641678
