"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"1",69.550003,71.400002,68.839996,70.419998,4425000,55.855152
"2",69.540001,69.910004,67.389999,67.889999,7431000,53.848423
"3",68.389999,68.389999,66.540001,67.68,6450600,53.68185
"4",67.699997,67.879997,66.629997,66.660004,3771700,52.872829
"5",66.220001,66.599998,65.449997,66.370003,5132600,52.642807
"6",66.32,67.660004,66.019997,66.529999,5433400,52.769707
"7",66.779999,67.239998,66.269997,67.080002,3391000,53.205956
"8",66.239998,66.940002,65.370003,66.519997,4530100,52.761784
"9",66.209999,66.839996,65.940002,66.389999,3366700,52.658661
"10",66.93,68.190002,65.779999,66.190002,4942200,52.500027
"11",66.199997,67.360001,66.160004,66.75,4251400,52.944206
"12",66.68,66.769997,65.529999,66.07,3642200,52.404846
"13",66.349998,66.639999,65.68,66.239998,2911200,52.539696
"14",66.519997,66.519997,65.68,66.25,4049600,52.547615
"15",66.449997,68.019997,66.169998,67.860001,3893700,53.824631
"16",68.230003,68.400002,67.300003,68.330002,4606200,54.197426
"17",68.379997,68.489998,67.199997,67.370003,4006300,53.435978
"18",67.620003,68.540001,66.709999,67.309998,4628200,53.388378
"19",67.370003,68.300003,66.610001,68.230003,8413900,54.118107
"20",67.800003,67.830002,64.449997,65.760002,11657700,52.158966
"21",66.529999,66.739998,64.809998,65.370003,5204500,51.84964
"22",65.019997,66.080002,64.620003,65.419998,6193200,51.889282
"23",65.480003,65.699997,64.830002,65.510002,4416400,51.960667
"24",65.510002,66.120003,64.910004,65.110001,4297800,51.643406
"25",65.160004,66.25,64.849998,65.440002,4968500,51.905148
"26",65.269997,67.139999,65,67.080002,4428100,53.205956
"27",67.269997,67.889999,67.199997,67.620003,2805900,53.634266
"28",67.870003,68,67.25,67.470001,2653900,53.515293
"29",66.75,67.43,66.650002,67.040001,3367500,53.731701
"30",67.230003,67.690002,66.910004,67.620003,2512300,54.196548
"31",67.669998,67.959999,67.190002,67.760002,2572700,54.308777
"32",67.57,67.610001,66.400002,66.599998,5266500,53.37904
"33",66.32,66.510002,65.110001,65.489998,4808800,52.489384
"34",65.980003,66.470001,65.529999,66.269997,4499600,53.114548
"35",66.129997,66.550003,65.739998,66.010002,4240400,52.90617
"36",66.580002,67.389999,66.540001,67.029999,4208200,53.723682
"37",66.550003,66.900002,65.830002,66.720001,3670700,53.47522
"38",66.660004,67.449997,66.339996,67.239998,3129100,53.891991
