"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"1",76.489998,77.809998,76.449997,77.309998,783800,77.309998
"2",77.400002,79.32,77.400002,78.959999,743700,78.959999
"3",78.699997,79.900002,78.43,79.800003,596200,79.800003
"4",79.860001,81.050003,79.720001,80.849998,751900,80.849998
"5",80.68,81.860001,80.580002,81.82,881700,81.82
"6",81.529999,81.919998,79.150002,79.25,1156700,79.25
"7",79.019997,81.07,78.720001,80.900002,1156500,80.900002
"8",80.769997,81.169998,79.940002,81,556200,81
"9",81.18,81.260002,80.519997,80.800003,467000,80.800003
"10",80.379997,80.639999,79.779999,80.309998,385400,80.309998
"11",80.75,80.889999,79.809998,80.620003,877900,80.620003
"12",80.769997,81.139999,80.080002,80.379997,383900,80.379997
"13",80.489998,80.699997,79.900002,80.419998,524400,80.419998
"14",80.25,80.660004,79.980003,80.18,458500,80.18
"15",80.440002,80.830002,79.959999,80.550003,541500,80.550003
"16",81.139999,81.550003,80.559998,81.309998,638400,81.309998
"17",81.370003,82,81.010002,81.550003,584500,81.550003
"18",81.779999,81.830002,81.040001,81.220001,377100,81.220001
"19",80.769997,81.050003,80.029999,80.839996,414600,80.839996
"20",81.139999,81.230003,79.599998,80.209999,795100,80.209999
"21",80.089996,81.540001,79.580002,80.230003,1120600,80.230003
"22",79.830002,81.830002,79.209999,81.699997,910100,81.699997
"23",81.980003,82.629997,81.419998,82.110001,613700,82.110001
"24",81.93,82.220001,81.470001,82.18,532100,82.18
"25",82.410004,82.970001,81.980003,82.260002,784000,82.260002
"26",81.849998,83.160004,81.68,82.57,875600,82.57
"27",82.669998,83.480003,82.129997,82.519997,1036100,82.519997
"28",83.25,85.519997,81.169998,83.139999,1417100,83.139999
"29",82.959999,83.75,82.75,82.900002,1641900,82.900002
"30",82.760002,83.989998,82.480003,82.68,2435700,82.68
"31",82.470001,83.550003,81.93,82.849998,4053800,82.849998
"32",83.089996,83.68,81.580002,81.919998,913500,81.919998
"33",81.82,82.589996,81.790001,82.300003,647100,82.300003
"34",82.160004,83.529999,82.160004,82.980003,1719500,82.980003
"35",82.730003,83.419998,82.080002,82.190002,688000,82.190002
"36",82.300003,82.709999,81.760002,82.400002,588400,82.400002
"37",82.129997,83.330002,81.910004,83.309998,521600,83.309998
"38",82.949997,83.18,82.379997,82.540001,572700,82.540001
"39",82.779999,82.779999,81.959999,82.470001,1571500,82.470001
"40",83.25,84.639999,82.900002,84.120003,1843400,84.120003
"41",83.839996,84.25,82.559998,83.620003,674100,83.620003
"42",83.599998,84.129997,83.370003,84.040001,620900,84.040001
"43",83.809998,84.519997,83.440002,84.150002,868400,84.150002
"44",83.919998,84.360001,83.589996,83.660004,664000,83.660004
"45",83.940002,85.57,83.639999,84.889999,1034700,84.889999
"46",84.949997,85.5,84.650002,84.849998,1086300,84.849998
"47",85.010002,85.529999,84.889999,85.480003,1181800,85.480003
"48",85.620003,86.470001,85.620003,86.339996,978600,86.339996
"49",85.889999,86.489998,85.639999,86.129997,886100,86.129997
"50",86.339996,87.169998,85.839996,86.949997,740700,86.949997
"51",87.040001,87.580002,86.989998,87.440002,606100,87.440002
"52",87.510002,87.580002,86.230003,86.25,1300400,86.25
"53",86.410004,86.790001,86.199997,86.57,507200,86.57
"54",86.940002,87.410004,86.209999,86.440002,1037700,86.440002
"55",86.660004,87.160004,86.169998,86.940002,615500,86.940002
"56",86.790001,87.449997,86.790001,87.389999,638900,87.389999
"57",87.449997,88.080002,86.919998,87.190002,950900,87.190002
"58",86.389999,87.300003,86.160004,86.970001,440600,86.970001
"59",86.879997,87.269997,86.339996,86.870003,517200,86.870003
"60",86.639999,87.199997,86.260002,87.18,707000,87.18
"61",86.989998,87.660004,86.970001,87.190002,400200,87.190002
"62",86.870003,87.349998,86.739998,87.110001,621700,87.110001
"63",87.489998,88.099998,87.010002,87.629997,730000,87.629997
"64",87.57,87.970001,87.080002,87.300003,935200,87.300003
"65",87.580002,88.760002,87.519997,87.669998,966300,87.669998
"66",87.980003,87.980003,87.059998,87.260002,614500,87.260002
"67",87.239998,87.470001,87.059998,87.260002,614500,87.260002
"68",87.610001,88.040001,87.080002,87.110001,661400,87.110001
"69",87.019997,88.230003,87.019997,87.910004,745700,87.910004
"70",88.93,88.93,87.849998,87.940002,700100,87.940002
"71",87.910004,88.720001,87.43,87.68,926900,87.68
"72",88.029999,89.040001,88.029999,88.839996,436200,88.839996
"73",88.709999,89.129997,88.290001,88.419998,489700,88.419998
"74",88.57,89.889999,88.529999,88.82,1137300,88.82
"75",89.269997,89.300003,88.099998,88.709999,724300,88.709999
"76",88.639999,89.07,88.349998,88.449997,918200,88.449997
"77",89.269997,89.349998,88.220001,88.5,978400,88.5
"78",88.769997,89.489998,88.57,89.279999,648400,89.279999
"79",89.300003,89.709999,88.779999,88.839996,617200,88.839996
"80",88.830002,89.099998,88.080002,88.529999,981200,88.529999
"81",91,91.800003,88.18,88.919998,1581700,88.919998
"82",89.199997,89.980003,88.830002,89.739998,839400,89.739998
"83",89.870003,91.199997,89.860001,90.839996,1049700,90.839996
"84",90.809998,90.809998,90.099998,90.5,832000,90.5
"85",90.599998,90.870003,90.300003,90.559998,676100,90.559998
"86",90.650002,90.650002,89.389999,89.599998,854400,89.599998
