"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"1",135.050003,136.860001,134.679993,136.429993,648700,136.429993
"2",136.520004,137.240005,135.330002,135.490005,815500,135.490005
"3",135.210007,135.860001,134.690002,135.729996,839400,135.729996
"4",137.100006,141.899994,137.100006,139.979996,1054200,139.979996
"5",140.039993,141.020004,138.270004,139.179993,891000,139.179993
"6",138.979996,139.350006,137.339996,137.559998,843600,137.559998
"7",137.119995,139.229996,136.139999,139.130005,868300,139.130005
"8",138.929993,138.929993,137.559998,138.350006,624400,138.350006
"9",140.240005,142.679993,139.779999,141.320007,730100,141.320007
"10",140.300003,142.139999,140.139999,141.529999,719100,141.529999
"11",142.720001,143.300003,141.699997,143.100006,650500,143.100006
"12",142.570007,142.570007,141.059998,141.740005,665600,141.740005
"13",142.229996,142.270004,140.589996,141.440002,552700,141.440002
"14",141.919998,146.509995,141.649994,145.279999,1605600,145.279999
"15",146.649994,149.75,137.720001,142.149994,2880200,142.149994
"16",142.419998,145.029999,141.899994,144.130005,1172900,144.130005
"17",143.710007,143.710007,141.880005,142.820007,692000,142.820007
"18",143.520004,144.580002,143.279999,144.380005,334600,144.380005
"19",143.570007,143.660004,139.809998,140.949997,978600,140.949997
"20",141.410004,143.990005,140.929993,141.649994,868000,141.649994
"21",142.039993,146.020004,141.460007,145.729996,1043600,145.729996
"22",145.059998,145.490005,144.240005,145.050003,520300,145.050003
"23",145.979996,146.740005,144.970001,146.339996,551600,146.339996
"24",146.320007,146.320007,144.660004,145.869995,367400,145.869995
"25",146.309998,147.940002,146.309998,147.309998,547600,147.309998
"26",146.940002,147.699997,145.940002,147.580002,381700,147.580002
"27",147.580002,148.960007,147.199997,148.669998,334600,148.669998
"28",148.699997,149.809998,148.139999,149.199997,374400,149.199997
"29",149.330002,150.979996,148.75,149.729996,524600,149.729996
"30",149.059998,150.649994,148.720001,150.470001,390900,150.470001
"31",149.850006,153.910004,149.220001,153.410004,882800,153.410004
"32",153.360001,153.360001,151.649994,153,485200,153
"33",152.699997,154.410004,152.649994,154.330002,398800,154.330002
"34",154.300003,155.289993,153.419998,154.600006,393400,154.600006
"35",153.789993,155.270004,153.449997,154.679993,430300,154.679993
"36",154.789993,155.009995,153.360001,154.889999,577600,154.889999
"37",154.75,156.429993,153.589996,156.399994,421800,156.399994
"38",156.75,157.320007,155.820007,156.529999,526100,156.529999
"39",156.600006,157.720001,154.710007,154.990005,616500,154.990005
"40",156.119995,157.910004,155.399994,155.830002,742800,155.830002
"41",155.729996,155.889999,153.75,154.190002,598100,154.190002
"42",154,154.990005,153.199997,154.899994,603000,154.899994
"43",154.289993,154.850006,152.050003,153.419998,642400,153.419998
"44",152.889999,153.929993,152.389999,153.360001,296800,153.360001
"45",153.339996,153.970001,152.479996,153.050003,445800,153.050003
"46",153.119995,155.929993,152.360001,154.610001,520100,154.610001
"47",155.559998,157.440002,154.960007,156.940002,754300,156.940002
"48",156.399994,157.350006,155.669998,157.160004,322800,157.160004
"49",157.020004,157.369995,155.75,156.399994,261000,156.399994
"50",157,158.809998,156.449997,158.309998,395400,158.309998
"51",156.5,156.929993,154.199997,156.449997,700200,156.449997
"52",156.779999,157.529999,155.639999,156.589996,605100,156.589996
"53",156.5,157.050003,155.839996,155.860001,238500,155.860001
"54",156.660004,157.300003,154.119995,155.490005,327600,155.490005
"55",156.119995,156.360001,154.669998,155.919998,412700,155.919998
"56",155.789993,156.589996,155.089996,155.630005,264100,155.630005
"57",155.660004,156.679993,154.289993,154.759995,409300,154.759995
"58",154,156.449997,153.039993,155.910004,373500,155.910004
"59",155.440002,156.75,154.75,155.520004,252600,155.520004
"60",155.440002,155.990005,154.300003,155.610001,169300,155.610001
"61",155.360001,156.630005,153.919998,156.279999,236000,156.279999
"62",155.960007,157,154.940002,156.309998,248700,156.309998
"63",156.389999,157.619995,155.949997,156.699997,567700,156.699997
"64",156.679993,157.059998,154.149994,154.830002,439300,154.830002
"65",155.139999,157.470001,154.679993,155.369995,684700,155.369995
"66",155.369995,156.410004,154.589996,155.940002,251100,155.940002
"67",155.690002,157.360001,155.240005,156.809998,396100,156.809998
"68",156.419998,157.610001,156.190002,156.389999,304000,156.389999
"69",156.160004,156.410004,154.380005,155.880005,267400,155.880005
"70",156.279999,156.539993,154.860001,155.110001,370200,155.110001
"71",154.360001,156.360001,154.360001,155.690002,317100,155.690002
"72",156.25,158.110001,155.380005,157.339996,411800,157.339996
"73",156.660004,157.729996,155.160004,157.259995,372800,157.259995
"74",158.160004,161.990005,157.059998,159.210007,721200,159.210007
"75",159.100006,159.830002,157.830002,158.990005,615800,158.990005
"76",159,159.660004,157.839996,158.520004,289300,158.520004
"77",160.270004,160.830002,159.600006,160.270004,835700,160.270004
"78",167,172.350006,160.520004,171.460007,1428100,171.460007
"79",172,174.679993,170.720001,170.940002,1021200,170.940002
"80",171.429993,172.270004,170.399994,170.729996,529800,170.729996
"81",170.960007,170.960007,169.229996,169.889999,705800,169.889999
"82",171.479996,173.279999,170.509995,173.050003,733100,173.050003
"83",173.820007,174.789993,172.990005,173.75,553300,173.75
"84",172.860001,174.190002,172.110001,172.479996,487500,172.479996
"85",172.929993,173.990005,172.809998,173.699997,362700,173.699997
"86",173.940002,174.169998,172.729996,174,387900,174
"87",174.029999,174.029999,172.710007,173.070007,346500,173.070007
"88",173.559998,174.779999,173,174.5,300400,174.5
"89",174.009995,174.830002,172.919998,174.110001,656500,174.110001
"90",173.259995,173.259995,169.339996,172.220001,1004200,172.220001
"91",172.25,173.020004,172,172.410004,282600,172.410004
"92",172.679993,174.949997,172.029999,174.710007,581500,174.710007
"93",174.929993,175.259995,173.990005,174.910004,294600,174.910004
"94",174.910004,176.050003,172.979996,174.389999,618700,174.389999
"95",174.020004,176.979996,173.960007,176.330002,660800,176.330002
"96",176.679993,176.779999,175.039993,175.5,426400,175.5
"97",175.220001,175.720001,173.889999,175.550003,490600,175.550003
"98",176.5,178.449997,175.639999,176.100006,324700,176.100006
"99",176.119995,177.710007,175.210007,177.539993,383900,177.539993
"100",178.25,179.070007,177,178.600006,234100,178.600006
"101",178.059998,178.809998,177.729996,178.070007,274300,178.070007
"102",177.809998,178.949997,177.630005,178.559998,418900,178.559998
"103",179.360001,181.029999,178.889999,179.619995,909400,179.619995
"104",180.550003,181.210007,179.300003,181.009995,506000,181.009995
"105",181.5,184.570007,181.100006,183.960007,524300,183.960007
"106",184.460007,184.830002,183.649994,183.789993,442900,183.789993
"107",183.229996,184.910004,182.679993,183.589996,243900,183.589996
"108",184.320007,186.100006,184,185.809998,382400,185.809998
"109",185.809998,187,185.809998,186.330002,658500,186.330002
"110",186.110001,187.649994,184.050003,184.990005,537300,184.990005
"111",184.550003,184.789993,179.179993,183.350006,536500,183.350006
"112",183.339996,186.229996,183.339996,184.970001,387200,184.970001
"113",185.080002,185.940002,184.070007,184.970001,317500,184.970001
"114",184.339996,185,183.050003,184.949997,410000,184.949997
"115",184.979996,185.539993,183.889999,184.160004,611100,184.160004
"116",184.860001,185.699997,184.320007,185.580002,496900,185.580002
"117",185.649994,185.75,183.199997,184.279999,746800,184.279999
"118",184.300003,185.649994,184.270004,185.429993,487100,185.429993
"119",185.559998,186.039993,183.899994,184.889999,321000,184.889999
"120",185,185.839996,184.419998,185.470001,339900,185.470001
"121",185.679993,186.160004,184.690002,184.919998,327600,184.919998
"122",184.580002,184.979996,183.110001,183.210007,299900,183.210007
"123",184.350006,185.279999,183.679993,184.210007,452400,184.210007
"124",184.300003,184.600006,182,182.839996,487700,182.839996
"125",183,184.479996,183,183.839996,342100,183.839996
"126",184.979996,185.880005,182.490005,182.520004,268600,182.520004
"127",183.089996,184.589996,183.089996,183.779999,363000,183.779999
"128",182.929993,184.039993,181.880005,182.240005,587400,182.240005
"129",183.279999,184.850006,182.910004,184.080002,303400,184.080002
"130",181.899994,181.979996,177.710007,180.389999,660400,180.389999
"131",180.630005,181.970001,180.160004,180.839996,341500,180.839996
"132",182,183.580002,181.649994,182.910004,316200,182.910004
"133",183.149994,183.869995,181.039993,182.740005,382800,182.740005
"134",183.100006,183.949997,182.720001,183.389999,265700,183.389999
"135",183.649994,185.610001,183.649994,185.220001,494100,185.220001
"136",185.220001,185.410004,182.949997,183.5,399400,183.5
"137",183.830002,183.979996,182.25,182.910004,450900,182.910004
"138",183.830002,184.880005,182.279999,184.110001,625600,184.110001
"139",183.789993,185.889999,181.970001,185.240005,434500,185.240005
"140",184.929993,185.979996,184.470001,185.009995,734000,185.009995
"141",176.889999,178.399994,171.320007,175.110001,1756500,175.110001
"142",174,175.589996,171.559998,172.580002,1007800,172.580002
"143",173.149994,173.809998,171.580002,173.229996,678200,173.229996
"144",173.169998,174.690002,172.110001,174.110001,538000,174.110001
"145",174.649994,174.899994,172.699997,173.440002,484100,173.440002
"146",173.910004,176.199997,173.910004,175.740005,674900,175.740005
"147",175.720001,176.759995,175.259995,176.690002,430100,176.690002
"148",176.789993,178.449997,175.880005,178.160004,372500,178.160004
"149",178.449997,178.729996,176.880005,177.850006,367400,177.850006
"150",177.880005,178.419998,176.720001,177.949997,405200,177.949997
"151",177.380005,179.740005,176.490005,176.639999,376700,176.639999
"152",176.580002,176.910004,175.300003,176.699997,500800,176.699997
"153",176.100006,177.850006,175.169998,175.660004,662500,175.660004
"154",176.330002,178.020004,175.070007,177.029999,414700,177.029999
"155",178.320007,180.410004,178.320007,179.759995,437200,179.759995
"156",179.429993,181.210007,179.229996,179.520004,381800,179.520004
"157",180.309998,182.899994,179.740005,182.399994,365100,182.399994
"158",181.990005,182.949997,179.669998,180.220001,501800,180.220001
"159",179.979996,181.279999,178.850006,179.699997,333200,179.699997
"160",179.710007,180.550003,178.899994,180.179993,337100,180.179993
"161",180.509995,183.119995,179.860001,182.839996,219300,182.839996
"162",181.669998,182.470001,179.850006,179.940002,382800,179.940002
"163",180.020004,181.289993,179.75,180.960007,216100,180.960007
"164",181.320007,182.160004,179.330002,179.419998,327700,179.419998
"165",180,180.300003,178.889999,179.940002,491800,179.940002
"166",179.210007,180.919998,178.199997,180.330002,367000,180.330002
"167",180.119995,181.419998,179.550003,181.059998,398200,181.059998
"168",182.020004,183.899994,180.910004,183.479996,555300,183.479996
"169",183.660004,183.899994,181.199997,183.029999,476800,183.029999
"170",182.130005,183.229996,180.350006,182.899994,630800,182.899994
"171",183.369995,184.240005,181.160004,183.910004,487300,183.910004
"172",184.160004,185.100006,182.199997,184.880005,642300,184.880005
"173",184.789993,186.899994,184.75,186.559998,505400,186.559998
"174",187.289993,189.139999,186.800003,189.110001,492400,189.110001
"175",188.899994,190.389999,188.649994,190,321000,190
"176",189.399994,189.720001,188.710007,189.649994,400700,189.649994
"177",189.25,190.199997,188.020004,189.320007,421100,189.320007
"178",189.350006,189.350006,187.259995,187.729996,527200,187.729996
"179",188.089996,189.190002,186.759995,188.949997,420800,188.949997
"180",189.149994,189.960007,184.339996,184.75,414300,184.75
"181",184.639999,185.369995,181.279999,183.860001,586600,183.860001
"182",183.889999,183.889999,181.309998,181.789993,346700,181.789993
"183",181.820007,182.070007,179.570007,181.160004,394900,181.160004
"184",181.259995,181.259995,179.020004,180.320007,392500,180.320007
"185",179.589996,180.240005,178.029999,178.979996,627700,178.979996
"186",179.110001,179.960007,177.970001,178.740005,420400,178.740005
"187",178.220001,178.899994,177.580002,178.779999,410600,178.779999
"188",178.470001,179.979996,178.210007,179.520004,335000,179.520004
"189",179.710007,182.979996,179.270004,182.039993,498600,182.039993
"190",182.339996,183.839996,181.660004,182.830002,431200,182.830002
"191",182.690002,184.320007,182.360001,183.830002,381200,183.830002
"192",184.100006,184.360001,183.080002,183.949997,310300,183.949997
"193",183.639999,186.300003,183.300003,185.880005,341200,185.880005
"194",185.059998,185.100006,182.800003,183.800003,689300,183.800003
"195",184.440002,185.059998,183.880005,185.009995,389100,185.009995
"196",185.059998,186.119995,184.669998,185.669998,462700,185.669998
"197",185.169998,186.169998,185.119995,185.800003,276300,185.800003
"198",186.309998,186.809998,185.399994,185.789993,283100,185.789993
"199",186.130005,186.679993,184,184.639999,480600,184.639999
"200",183.940002,184.289993,180.440002,180.919998,712300,180.919998
"201",181.539993,182.389999,180.210007,181.160004,381200,181.160004
"202",181.279999,185.669998,181.119995,185.449997,603900,185.449997
"203",186.690002,189.270004,185.949997,188.139999,632400,188.139999
"204",188.570007,190.639999,187.399994,187.550003,910700,187.550003
"205",186.490005,188.990005,181.869995,187.630005,1064600,187.630005
"206",188.190002,191.050003,187.660004,190.350006,630900,190.350006
"207",190.839996,194.990005,188.889999,194.630005,839700,194.630005
"208",194.830002,199.779999,194.270004,199.75,882900,199.75
"209",199.389999,199.580002,194.869995,196.220001,599300,196.220001
"210",196.389999,197.889999,195.210007,196.050003,385300,196.050003
"211",197.300003,199.259995,196.100006,198.050003,446500,198.050003
"212",197.759995,199.509995,197.199997,197.910004,395300,197.910004
"213",197.899994,198.710007,196.679993,197.919998,314800,197.919998
"214",197.059998,197.389999,195.449997,195.630005,389500,195.630005
"215",195.360001,196.559998,194.300003,196.350006,374600,196.350006
"216",195.729996,196.880005,194.529999,196.179993,229200,196.179993
"217",195.279999,196.009995,193.259995,194.970001,394300,194.970001
"218",194.119995,194.490005,191.839996,193.210007,383100,193.210007
"219",192.339996,195.119995,191.929993,194.639999,352000,194.639999
"220",193.220001,196.820007,192.529999,195.639999,342900,195.639999
"221",195.520004,195.949997,194.259995,194.839996,210100,194.839996
"222",195.210007,199.830002,195.210007,199.600006,364800,199.600006
"223",198.600006,199.149994,197.449997,198.210007,358400,198.210007
"224",199.050003,200.710007,197.649994,200.270004,281500,200.270004
"225",198.899994,198.960007,194.050003,198.059998,616000,198.059998
"226",197.839996,198.770004,195.309998,196.570007,336500,196.570007
"227",196.399994,197.929993,194.669998,195.949997,153400,195.949997
"228",196.600006,197.520004,195.820007,196.710007,317600,196.710007
"229",197.5,198.149994,195.490005,197.800003,424700,197.800003
"230",197.800003,198.309998,194.660004,195.679993,332300,195.679993
"231",196.119995,198.020004,194.169998,197.169998,566600,197.169998
"232",197.449997,198.279999,193.610001,198.160004,526800,198.160004
"233",199.899994,201.949997,194.600006,194.669998,949700,194.669998
"234",194.520004,196.899994,193.320007,194.259995,307900,194.259995
"235",194.600006,195.279999,192.479996,195.199997,456700,195.199997
"236",195.240005,196.979996,194.169998,196.470001,388200,196.470001
"237",197.369995,199.770004,196.660004,199.289993,329600,199.289993
"238",198.630005,199.350006,196.070007,197.759995,595000,197.759995
"239",197.940002,198.259995,197,197.5,429800,197.5
"240",198.199997,199.009995,196.729996,197.199997,419400,197.199997
"241",197.089996,197.210007,193.729996,193.979996,499400,193.979996
"242",194.539993,197.990005,194.539993,196.559998,1123300,196.559998
"243",197.020004,198.729996,197.020004,197.720001,366400,197.720001
"244",198.419998,198.479996,197.479996,198.080002,247000,198.080002
"245",198.779999,199.229996,196.009995,196.059998,254600,196.059998
"246",196.410004,197.440002,194.179993,194.520004,294000,194.520004
"247",194.520004,194.860001,192.559998,193.789993,227100,193.789993
"248",194.029999,195.029999,193.740005,193.820007,116800,193.820007
"249",193.979996,194.740005,193.039993,193.449997,237900,193.449997
"250",193.759995,194.839996,192.699997,194.809998,194200,194.809998
"251",195.520004,195.660004,193.160004,193.190002,205400,193.190002
"252",194.119995,196.639999,193.600006,195.690002,355300,195.690002
"253",195.350006,197.940002,195.350006,197.770004,271700,197.770004
"254",198.470001,200.029999,198.360001,199.660004,337400,199.660004
"255",200.679993,202.850006,200,202.229996,363300,202.229996
"256",202.279999,205.289993,200.679993,204.759995,483100,204.759995
"257",206.240005,210.080002,205.529999,208.960007,532200,208.960007
"258",207.919998,209.419998,204.350006,207.320007,308000,207.320007
"259",207.350006,208.199997,205.639999,207.729996,202800,207.729996
"260",207.509995,210.039993,205.960007,209.75,253000,209.75
"261",210.860001,211.649994,207.729996,208.940002,512200,208.940002
"262",210.910004,210.910004,207.119995,209.160004,589700,209.160004
"263",208.490005,209.410004,206.789993,207.869995,756700,207.869995
"264",209.279999,211.100006,208.479996,210.720001,739700,210.720001
"265",211.279999,215.190002,210.75,214.770004,1242800,214.770004
"266",218.5,218.720001,206.619995,210.990005,1038600,210.990005
"267",212.710007,215.279999,210.179993,214.300003,861300,214.300003
"268",215.529999,218.229996,214.419998,217.210007,431500,217.210007
"269",218.179993,218.570007,216.690002,218.139999,381200,218.139999
"270",218.029999,220.199997,217.570007,218.699997,491300,218.699997
"271",217,217,214.600006,214.869995,491200,214.869995
"272",216.229996,219.800003,214.619995,215.610001,603800,215.610001
"273",214.160004,218.660004,213.520004,217.369995,453100,217.369995
"274",215.880005,217.410004,212.259995,212.490005,642000,212.490005
"275",211.610001,212.639999,202.889999,203.259995,667100,203.259995
"276",200.389999,204.419998,197.820007,202.720001,852000,202.720001
"277",202.199997,204.990005,201.869995,201.979996,389300,201.979996
"278",201.850006,202.910004,191.529999,191.789993,898000,191.789993
"279",194,195.740005,187.660004,193.589996,618100,193.589996
"280",194.949997,200.389999,194.110001,198.449997,613900,198.449997
"281",197.5,201.149994,196.350006,200.199997,368900,200.199997
"282",198.710007,204.789993,196.990005,204.619995,483100,204.619995
"283",206.460007,206.949997,204.470001,206.899994,465100,206.899994
"284",206.470001,208.5,205.059998,206.179993,341500,206.179993
"285",204.75,206.169998,203.179993,203.869995,437200,203.869995
"286",203.889999,209.029999,203.860001,204.229996,430200,204.229996
"287",205.380005,207.410004,203.440002,204.470001,435000,204.470001
"288",205.470001,208.649994,202.800003,208.470001,395900,208.470001
"289",208.979996,208.979996,206.039993,208.449997,322500,208.449997
"290",208.190002,209.110001,205.300003,206.110001,369500,206.110001
"291",206.630005,209.479996,204.630005,204.639999,469900,204.639999
"292",204.809998,205.850006,197.630005,198.169998,490600,198.169998
"293",196.699997,200.389999,196.199997,200.110001,347500,200.110001
"294",198.839996,202.360001,198.020004,201.380005,394800,201.380005
"295",201.559998,205.399994,200.729996,205.320007,467200,205.320007
"296",203.270004,208.309998,202.479996,207.5,389000,207.5
"297",208.669998,209.320007,206.639999,208.960007,470000,208.960007
"298",209.100006,213.369995,209.100006,212.699997,351800,212.699997
"299",212.899994,213.570007,211.529999,212.869995,333200,212.869995
"300",214,214,211.309998,212.130005,404000,212.130005
"301",212.979996,213.270004,210.850006,211.220001,326000,211.220001
"302",211.039993,214.369995,210.100006,212.339996,328100,212.339996
"303",212.779999,213.880005,211.619995,213.179993,466900,213.179993
"304",213.070007,214.220001,210.820007,212.979996,592900,212.979996
"305",212.589996,215.339996,211.339996,214.460007,670100,214.460007
"306",214.839996,214.929993,210,211.179993,378200,211.179993
"307",208.949997,210.369995,204.020004,204.610001,449500,204.610001
"308",205.039993,206.320007,199.119995,199.509995,374400,199.509995
"309",201.600006,204.350006,199.869995,204.199997,534600,204.199997
"310",205.220001,206.570007,199.449997,200.520004,596300,200.520004
"311",201.389999,202.5,197.550003,198.570007,632900,198.570007
"312",200.139999,200.860001,197.729996,198.649994,885100,198.649994
"313",198.809998,200.419998,192.960007,195.979996,557500,195.979996
"314",197.360001,199.770004,195.960007,198.809998,442500,198.809998
"315",196.330002,202.050003,195.160004,201.619995,549100,201.619995
"316",202.669998,203.119995,200.589996,201.699997,394500,201.699997
"317",200.440002,202.539993,193.160004,194.880005,442200,194.880005
"318",196.149994,201.779999,195.669998,198.479996,864100,198.479996
"319",201.360001,203.759995,200.550003,203.320007,593700,203.320007
"320",201.039993,202.820007,199.889999,200.630005,399200,200.630005
"321",202.039993,203.949997,201.059998,202.320007,318000,202.320007
"322",203,203.100006,201.050003,202.320007,295900,202.320007
"323",204.300003,208.070007,203.509995,206.190002,364200,206.190002
"324",207.279999,207.940002,205.889999,207.600006,259300,207.600006
"325",208.100006,211.309998,207.619995,210.050003,342300,210.050003
"326",209.869995,210.399994,206.419998,207.389999,356600,207.389999
"327",208,208.699997,206.5,208.210007,441200,208.210007
