"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"1",87.199997,87.889999,86.199997,87.459999,2703500,81.032692
"2",87.709999,90.459999,87.709999,90.279999,2598800,83.645447
"3",90.800003,92.330002,90.639999,91.440002,2507500,84.72023
"4",91.080002,92.629997,90.809998,92.43,1858400,85.637466
"5",93.879997,95,92.620003,92.75,2776200,85.933937
"6",93.669998,95.470001,93.360001,94.830002,3055400,87.861092
"7",94.32,94.760002,92.029999,92.93,2207300,86.100731
"8",92.629997,92.800003,90.220001,91.940002,1904000,85.183487
"9",92.5,92.5,90.5,90.529999,1527100,83.87709
"10",90.5,93.199997,89.599998,92.339996,2008600,85.554077
"11",92.879997,92.879997,91.349998,91.980003,1202400,85.220543
"12",91.839996,92.349998,90.510002,90.93,1143500,84.247696
"13",91.309998,92.209999,90.779999,90.82,955200,84.145782
"14",90.889999,93.629997,90.889999,92.639999,2322600,85.832024
"15",92.870003,94.440002,92.510002,94.029999,1775800,87.119873
"16",94.599998,97.239998,94.599998,96.419998,2865800,89.334244
"17",96,99.349998,95.199997,95.5,5216100,88.481842
"18",102,104.050003,101,103.080002,7967400,95.504814
"19",102.720001,104.389999,102.099998,102.550003,2483400,95.013771
"20",102.150002,102.449997,100.889999,101.43,1827500,93.976074
"21",99.559998,100.089996,97.769997,97.860001,3025400,90.668427
"22",97.330002,98.080002,96.559998,97.379997,1698700,90.223686
"23",97.68,98.5,96.699997,96.919998,1888800,89.797516
"24",98.25,99.300003,95.989998,97.019997,2828800,89.890144
"25",96.870003,97.290001,96.529999,97.010002,1903100,89.880898
"26",96.980003,97.230003,96.330002,97.18,1061000,90.038391
"27",97.559998,99.169998,97.300003,98.879997,1764300,91.613472
"28",99.029999,100.199997,98.519997,98.900002,2314900,92.097702
"29",98.879997,99.419998,98.209999,98.970001,1621200,92.162895
"30",100.510002,100.660004,97.599998,97.68,1876200,90.961601
"31",97.440002,100.290001,96.910004,99.790001,1924900,92.926468
"32",99.589996,99.599998,96.57,96.720001,2813000,90.067642
"33",96.209999,96.339996,95.019997,95.910004,1988600,89.313354
"34",96.199997,96.379997,95.050003,95.970001,1551000,89.369225
"35",95.889999,95.970001,94.309998,94.75,1975100,88.233131
"36",95.160004,95.279999,93.599998,93.839996,2079400,87.385719
"37",93.25,94.059998,92.669998,94.010002,1935300,87.544044
"38",94.440002,96.239998,94.279999,95.510002,1694400,88.940834
"39",95.220001,97.75,94.809998,96.150002,2094100,89.536842
"40",99.900002,103.709999,99.620003,102.709999,6088500,95.645653
"41",102.669998,102.669998,99.739998,100.150002,2754100,93.261719
"42",100.019997,101.519997,99.080002,101.040001,1782100,94.090508
"43",100.779999,101.139999,99.519997,100.370003,1206000,93.466599
"44",99.779999,100.169998,98.25,99.459999,2462400,92.619179
"45",99.379997,100.309998,98.760002,99.230003,1204700,92.405006
"46",98.82,99.739998,98.410004,98.989998,1081600,92.181488
"47",99.169998,100.519997,98.82,99.550003,1485800,92.702995
"48",101.949997,104.709999,101.5,104.300003,3453700,97.126297
"49",104.199997,105.830002,103.75,104.699997,2777100,97.498779
"50",104.82,104.980003,103.129997,104.75,2129400,97.545341
"51",105,108.599998,103.779999,106.169998,4710000,98.867661
"52",107.269997,110.309998,106.699997,110.190002,3913500,102.611183
"53",110,113.849998,110,111.639999,5013300,103.961441
"54",112.989998,113.949997,110.550003,111.75,4163700,104.063881
"55",111.860001,113.519997,111.300003,113.349998,2473000,105.553833
"56",113.290001,114.080002,111.779999,112.32,2302600,104.594673
"57",112.75,113.269997,110.889999,111.919998,1666300,104.222191
"58",110.809998,115.769997,110.18,114.650002,3487200,106.76442
"59",114.980003,116.190002,113.889999,115.18,2148000,107.257957
"60",114.870003,115.989998,114.550003,115.489998,1213300,107.546646
"61",115.290001,115.730003,113.800003,114.300003,1685900,106.438492
"62",113.339996,114.93,112.699997,114.610001,1979600,106.72718
"63",117.82,119.800003,115.870003,116.339996,3477200,108.338173
"64",116,116.860001,115.269997,116.739998,1668100,108.71067
"65",118.269997,119.43,116.510002,116.68,3103600,108.6548
"66",116.18,118.57,116.080002,117.849998,1953900,109.744316
"67",117.769997,117.949997,116.300003,116.830002,1582800,108.794479
"68",116.300003,117.559998,115.32,116.18,1293200,108.189194
"69",116.410004,116.75,113.860001,116.230003,1934900,108.235741
"70",116.629997,117.07,114.739998,115.389999,1654600,107.453522
