"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"1",90.940002,91.339996,90.150002,90.889999,10360600,69.992752
"2",91.120003,91.150002,89.75,89.889999,9434200,69.222679
"3",90.190002,90.300003,88.440002,88.550003,14443200,68.190765
"4",88.790001,88.980003,87.82,88.5,16518100,68.152267
"5",88.220001,88.220001,86.550003,87.040001,13762300,67.027924
"6",87.169998,87.309998,85.910004,85.93,13283100,66.173164
"7",85.900002,86.949997,85.860001,86.809998,11183700,66.850822
"8",87.269997,87.379997,86.07,86.339996,10407000,66.488892
"9",86.269997,86.68,86.169998,86.349998,8415600,66.496582
"10",86.580002,87.389999,86.25,87.360001,13237300,67.274361
"11",87.059998,87.410004,86.050003,86.279999,11831700,66.442673
"12",85.970001,86.099998,84.589996,84.730003,16382900,65.249069
"13",85.440002,85.959999,85.050003,85.889999,18739700,66.142342
"14",85.68,85.879997,84.75,84.970001,11433900,65.433853
"15",84.980003,85.470001,84.830002,85.089996,11858100,65.526291
"16",85.339996,85.879997,85.25,85.339996,9578500,65.718788
"17",85.690002,85.830002,85.120003,85.599998,8779400,65.919006
"18",85.300003,85.75,85.040001,85.510002,10947900,65.849709
"19",85.419998,85.449997,84.18,84.860001,12789200,65.349167
"20",85.040001,85.07,83.129997,83.889999,19128100,64.602188
"21",84,84.160004,82.540001,82.940002,15111800,63.870617
"22",83.209999,83.529999,82.550003,83.449997,12200100,64.263336
"23",83.699997,83.720001,82.900002,83.540001,12746300,64.332657
"24",83.550003,83.650002,82.93,83.309998,9938200,64.155518
"25",83.230003,83.620003,82.449997,82.769997,11705200,63.739697
"26",81.989998,82.120003,81.169998,81.480003,14006300,63.320049
"27",81.480003,82.050003,81.480003,81.839996,9603000,63.599812
"28",82.260002,82.769997,82.129997,82.519997,8739800,64.128242
"29",82.769997,83.18,82.349998,83,9071600,64.501274
"30",82.910004,83.099998,82.059998,82.82,11370500,64.361404
"31",82.639999,83.18,82.459999,83.160004,11768500,64.625618
"32",83.120003,83.419998,82.169998,82.300003,10615000,63.957306
"33",82.089996,82.190002,81.440002,81.760002,15646000,63.537647
"34",82.120003,82.150002,81.300003,81.889999,16419600,63.638676
"35",81.650002,81.699997,80.870003,80.93,12917400,62.89262
"36",81.419998,82.220001,81.029999,81.779999,13847000,63.553185
"37",81.599998,81.800003,80.760002,81.080002,11338700,63.009205
"38",81.129997,81.709999,80.809998,81.540001,13465900,63.366684
"39",81.529999,81.989998,81.050003,81.32,16834200,63.195721
"40",81.699997,83.330002,81.699997,83.019997,17482100,64.516815
"41",82.800003,84.25,82.790001,83.300003,14170300,64.734406
"42",83.300003,83.599998,82.260002,82.459999,12190400,64.081635
"43",82.440002,82.900002,82.330002,82.830002,9617200,64.369164
"44",83.110001,83.290001,82.139999,82.519997,12711500,64.128242
"45",82.349998,82.379997,81.010002,81.029999,16817700,62.970345
"46",80.639999,81.720001,80.309998,81.669998,14721800,63.46769
"47",82.440002,82.470001,81.160004,81.610001,11355200,63.421062
"48",81.5,81.940002,81.050003,81.419998,9571400,63.273415
"49",81,81.230003,80.440002,80.989998,11335700,62.939255
"50",81.349998,82.059998,81.050003,82,11970300,63.724155
"51",82.029999,82.199997,81.669998,82.07,9923800,63.778549
"52",82.029999,82.260002,81.82,82,18834100,63.724155
"53",81.720001,82.040001,81.440002,82,7700300,63.724155
"54",82.160004,82.349998,81.599998,81.830002,13387700,63.592049
"55",81.959999,82.089996,81.43,81.760002,11168400,63.537647
"56",81.629997,82.220001,81.459999,81.860001,8928000,63.615349
"57",82.029999,82.029999,81.150002,81.230003,9128500,63.125763
"58",80.82,81.43,80.790001,81.25,8481200,63.1413
"59",81.32,82.019997,80.959999,81.839996,11028600,63.599812
"60",81.690002,82.279999,81.550003,82.019997,8495500,63.7397
"61",82.029999,83.870003,81.940002,83.699997,44704900,65.045273
"62",83.260002,83.309998,81.860001,82.010002,21750400,63.731915
"63",82.019997,82.309998,81.349998,82.07,11438700,63.778549
"64",82.099998,82.419998,81.330002,82.370003,9270900,64.011688
"65",82.849998,83.550003,82.470001,82.529999,13809100,64.136017
"66",82.75,83.209999,82.459999,83.010002,9554900,64.509056
"67",83.239998,83.360001,82.68,82.760002,8909600,64.314766
"68",83.120003,83.470001,82.919998,83.129997,8885300,64.602303
"69",83.080002,83.169998,82.419998,82.839996,8576500,64.376938
"70",82.860001,83.349998,82.699997,82.970001,9516100,64.477966
"71",82.720001,82.730003,81.57,81.690002,8667900,63.483242
"72",81.849998,81.970001,81.440002,81.580002,9577200,63.397758
"73",81.32,81.82,81.029999,81.050003,8821400,62.985882
"74",81.169998,81.510002,80.300003,80.489998,10764400,62.550701
"75",80.949997,81.739998,80.699997,81.010002,11649100,62.9548
"76",80.93,81,80.470001,80.690002,9816700,62.70612
"77",81.279999,81.400002,80.809998,81.110001,8729700,63.032509
"78",81.43,81.93,81.279999,81.730003,10733800,63.514332
"79",81.519997,82.330002,81.389999,81.400002,9445900,63.257862
"80",81.07,81.300003,80.940002,81.260002,12385300,63.149078
"81",82.459999,82.489998,81.559998,81.650002,12072200,63.45216
"82",81.510002,82.209999,81.480003,82.059998,8664100,63.770775
"83",82.139999,82.589996,81.900002,82.050003,9102900,63.763004
"84",81.970001,83.07,81.910004,82.699997,10289000,64.26812
"85",82.290001,82.360001,81.400002,81.639999,16164500,63.444393
"86",81.629997,82.239998,81.610001,82.019997,10213000,63.7397
"87",82,82.940002,82,82.889999,8097100,64.415794
"88",82.959999,83,82.160004,82.309998,8647100,63.965057
"89",82.120003,82.370003,81.650002,81.910004,9520300,64.255302
"90",82.589996,82.709999,82.099998,82.610001,10047300,64.80442
"91",82.389999,82.709999,82.25,82.550003,7480200,64.757355
"92",83,83.18,82.650002,82.800003,10881500,64.953468
"93",82.900002,83.230003,82.449997,82.550003,9574200,64.757355
"94",82.550003,83.040001,81.959999,81.989998,11151100,64.318054
"95",81.769997,82.150002,81.419998,81.75,9905800,64.129799
"96",82,82.089996,81.690002,81.93,13028500,64.271019
"97",82.110001,82.330002,81.93,82.290001,9218700,64.553413
"98",82.32,82.889999,82.239998,82.580002,6857200,64.780899
"99",82.419998,82.540001,82.010002,82.290001,8136000,64.553413
"100",82.330002,82.709999,81.519997,81.75,12370900,64.129799
"101",81.610001,81.800003,80.830002,81.550003,8227100,63.9729
"102",81.279999,81.339996,81.040001,81.099998,8973600,63.6199
"103",80.940002,80.949997,80.470001,80.5,13572300,63.149212
"104",80.370003,80.900002,80.190002,80.699997,9884100,63.306107
"105",80.589996,80.68,79.260002,79.5,21687300,62.364754
"106",79.440002,80.389999,79.400002,80.120003,11527100,62.851135
"107",80.300003,81.32,80.220001,81.209999,12208600,63.706192
"108",81.050003,81.400002,80.339996,80.910004,13096500,63.470856
"109",80.910004,81.080002,80.489998,80.620003,11720700,63.243351
"110",81.150002,82.139999,80.690002,82.129997,13553900,64.427902
"111",82.129997,83.690002,82.129997,82.93,18172900,65.055466
"112",82.849998,83.269997,82.57,82.959999,12175500,65.078979
"113",82.809998,82.82,81.559998,82.07,13714000,64.380829
"114",81.779999,82.400002,81.580002,82.260002,11862600,64.529877
"115",82.610001,83.540001,82.199997,83.489998,39726100,65.494766
"116",83.489998,83.489998,82.550003,82.760002,10445700,64.922112
"117",82.07,82.470001,81.410004,82.309998,13232600,64.569099
