"Index" "ABOpen" "ABHigh" "ABLow" "ABClose" "ABVolume" "ABAdjusted"
"2012-01-31" 39.02 39.68 38.860001 38.970001 2775600 33.216743
"2012-02-01" 39.23 39.900002 39.130001 39.810001 2389200 33.932739
"2012-02-02" 39.580002 39.790001 38.93 39.34 2611700 33.53212
"2012-02-03" 39.549999 39.720001 39.080002 39.23 2692100 33.438358
"2012-02-06" 39.099998 39.32 38.849998 38.98 2548000 33.225273
"2012-02-07" 38.849998 38.970001 38.459999 38.869999 2037800 33.1315
"2012-02-08" 38.98 39.52 38.73 39.349998 2135300 33.540634
"2012-02-09" 39.330002 39.330002 38.950001 38.970001 1483600 33.216743
"2012-02-10" 38.810001 38.880001 38.380001 38.599998 1855400 32.901356
"2012-02-13" 37.68 38.049999 36.91 37.209999 8235000 31.716576
"2012-02-14" 37.139999 37.799999 37.139999 37.549999 4704100 32.006397
"2012-02-15" 37.580002 37.720001 36.639999 36.709999 3655400 31.399105
"2012-02-16" 36.650002 36.990002 36.610001 36.959999 2789800 31.612923
"2012-02-17" 37.040001 37.150002 36.560001 36.68 3168100 31.373442
"2012-02-21" 36.700001 36.759998 36.110001 36.189999 3091000 30.954329
"2012-02-22" 36.279999 36.84 36.220001 36.799999 4185800 31.47608
"2012-02-23" 36.889999 37.450001 36.889999 37.439999 2907200 32.023483
"2012-02-24" 37.380001 37.75 37.130001 37.700001 2312500 32.245876
"2012-02-27" 37.470001 37.84 37.450001 37.700001 2284200 32.245876
"2012-02-28" 37.709999 37.869999 37.580002 37.700001 1985800 32.245876
"2012-02-29" 37.66 37.790001 37.32 37.369999 2770600 31.963623
"2012-03-01" 37.189999 37.619999 37.189999 37.299999 2821500 31.903749
"2012-03-02" 37.220001 37.299999 36.560001 36.59 2262500 31.296457
"2012-03-05" 36.540001 36.880001 36.459999 36.549999 2289400 31.262238
"2012-03-06" 36.360001 36.810001 36.200001 36.279999 3321300 31.031309
"2012-03-07" 36.400002 36.91 36.310001 36.849998 1638900 31.518852
"2012-03-08" 37 37.509998 36.91 37.450001 3583900 32.032036
"2012-03-09" 37.450001 37.950001 37.380001 37.860001 3661500 32.382721
"2012-03-12" 37.790001 38.049999 37.700001 37.740002 1948200 32.280094
"2012-03-13" 37.98 38.099998 37.650002 38.02 3130600 32.519592
"2012-03-14" 37.880001 38.509998 37.82 38.240002 3182500 32.70776
"2012-03-15" 38.240002 38.25 37.810001 37.91 2487700 32.425503
"2012-03-16" 38.060001 38.540001 38.060001 38.32 3077500 32.77618
"2012-03-19" 38.220001 38.68 38.119999 38.560001 2628500 32.981449
"2012-03-20" 38.299999 38.849998 38.299999 38.810001 3602800 33.195286
"2012-03-21" 38.689999 38.790001 38.52 38.560001 2665800 32.981449
"2012-03-22" 38.279999 38.740002 38.259998 38.290001 2283300 32.750515
"2012-03-23" 38.139999 39.200001 38.139999 38.959999 2965500 33.323586
"2012-03-26" 39.150002 39.599998 39.009998 39.599998 2328100 33.871002
"2012-03-27" 39.68 39.700001 39.389999 39.48 2265900 33.768364
"2012-03-28" 39.470001 39.669998 38.950001 39.080002 1812800 33.426243
"2012-03-29" 38.84 39.27 38.830002 39.200001 1860700 33.528862
"2012-03-30" 39.490002 39.759998 39.150002 39.66 2769300 33.922321
"2012-04-02" 39.700001 39.740002 39.029999 39.189999 2359400 33.520317
"2012-04-03" 39.130001 39.220001 38.459999 38.68 2894800 33.084099
"2012-04-04" 38.400002 38.790001 38.299999 38.48 2198700 32.913025
"2012-04-05" 38.279999 38.540001 38.200001 38.220001 2421900 32.690651
"2012-04-09" 38.099998 38.700001 37.650002 38.439999 2507400 32.878822
"2012-04-10" 38.459999 38.860001 38.25 38.389999 3277700 32.836052
"2012-04-11" 38.720001 38.849998 38.52 38.779999 2632900 33.169636
"2012-04-12" 39 39.490002 38.779999 38.810001 3371600 33.195286
"2012-04-13" 38.029999 38.34 37.490002 37.529999 3816300 32.100479
"2012-04-16" 37.619999 37.73 37.389999 37.48 2757300 32.057709
"2012-04-17" 37.700001 38.380001 37.599998 38.220001 2317000 32.690651
"2012-04-18" 38.110001 38.200001 37.41 37.450001 3737000 32.032036
"2012-04-19" 37.540001 37.740002 37.23 37.48 2585400 32.057709
"2012-04-20" 37.709999 37.900002 37.52 37.75 2240500 32.288651
"2012-04-23" 36.799999 37.68 36.279999 37.490002 2768900 32.066261
"2012-04-24" 37.419998 37.720001 37.23 37.5 2520300 32.074818
"2012-04-25" 37.700001 38.169998 37.509998 37.849998 2965800 32.374191
"2012-04-26" 37.869999 37.869999 36.869999 36.970001 4175200 31.621485
"2012-04-27" 37.150002 37.200001 36.599998 36.900002 3167000 31.561609
"2012-04-30" 36.849998 37.330002 36.810001 37.209999 2093400 31.826765
"2012-05-01" 37.060001 37.580002 36.900002 37.299999 4151300 31.903749
"2012-05-02" 37.25 37.509998 37.139999 37.209999 2158700 31.826765
"2012-05-03" 37.16 37.189999 36.439999 36.549999 3201400 31.262238
"2012-05-04" 36.540001 36.619999 36.150002 36.169998 2117100 30.937218
"2012-05-07" 36.110001 36.310001 35.889999 35.950001 3622400 30.749056
"2012-05-08" 35.68 36.220001 35.48 36.16 4819800 30.928673
"2012-05-09" 35.919998 36.25 35.59 36.009998 2492400 30.800365
"2012-05-10" 36.360001 37.119999 36.279999 36.580002 4883100 31.287912
"2012-05-11" 36.450001 37.029999 36.450001 36.619999 1847100 31.322126
"2012-05-14" 36.360001 36.869999 36.240002 36.650002 1931800 31.347786
"2012-05-15" 36.540001 36.889999 36.349998 36.400002 1947600 31.133957
"2012-05-16" 36.540001 37.009998 36.48 36.700001 3174600 31.390558
"2012-05-17" 36.52 36.759998 36.439999 36.439999 2473900 31.278955
"2012-05-18" 36.450001 36.66 35.939999 35.990002 3549300 30.8927
"2012-05-21" 35.98 36.419998 35.970001 36.080002 1959600 30.969946
"2012-05-22" 36.68 36.73 36.09 36.25 2029100 31.115873
"2012-05-23" 36.139999 36.5 35.98 36.310001 2e+06 31.167372
"2012-05-24" 36.310001 36.560001 36.119999 36.459999 1441200 31.296125
"2012-05-25" 36.529999 36.990002 36.439999 36.900002 1442500 31.673805
"2012-05-29" 37 37.099998 36.389999 36.509998 2286200 31.33905
"2012-05-30" 36.360001 37.060001 36.220001 36.849998 3984400 31.630898
"2012-05-31" 36.799999 37.259998 36.540001 36.990002 3966500 31.751068
"2012-06-01" 36.650002 36.830002 36.259998 36.279999 2200800 31.141621
"2012-06-04" 36.240002 36.450001 36.02 36.41 2551700 31.253201
"2012-06-05" 36.279999 36.810001 36.049999 36.75 1654800 31.545069
"2012-06-06" 36.91 37.32 36.580002 37.290001 1627000 32.008572
"2012-06-07" 37.529999 37.580002 36.939999 36.98 1834100 31.742472
"2012-06-08" 36.889999 37.27 36.889999 37.060001 1281700 31.811142
"2012-06-11" 37.290001 37.290001 36.459999 36.459999 1550400 31.296125
"2012-06-12" 36.470001 37.02 36.209999 37 2301700 31.759645
"2012-06-13" 36.900002 37.060001 36.349998 36.450001 2026700 31.287544
"2012-06-14" 36.759998 37.119999 36.68 36.959999 1575700 31.725302
"2012-06-15" 37.150002 37.299999 36.900002 37.290001 2612100 32.008572
"2012-06-18" 37.189999 38.029999 37.119999 37.810001 1682400 32.454937
"2012-06-19" 37.860001 38.529999 37.779999 38.040001 2137600 32.65234
"2012-06-20" 37.919998 38.139999 37.619999 37.959999 1302100 32.583683
"2012-06-21" 38.049999 38.189999 37.610001 37.689999 1609400 32.351917
"2012-06-22" 37.91 38.07 37.580002 37.93 1729700 32.557934
"2012-06-25" 37.580002 37.849998 37.43 37.75 2837600 32.403431
"2012-06-26" 37.810001 38 37.57 37.709999 1814200 32.369091
"2012-06-27" 37.66 38.200001 37.580002 38.130001 1708900 32.729603
"2012-06-28" 37.950001 38.810001 37.5 38.740002 2590600 33.253212
"2012-06-29" 39.080002 39.349998 38.919998 39.349998 2043900 33.77681
"2012-07-02" 39.529999 39.869999 39.400002 39.849998 2006400 34.205997
"2012-07-03" 39.849998 39.880001 39.57 39.779999 958600 34.145908
"2012-07-05" 39.549999 39.75 39.310001 39.459999 1223500 33.871235
"2012-07-06" 39.130001 39.43 38.689999 38.759998 2013700 33.270374
"2012-07-09" 38.630001 39.040001 38.630001 38.900002 1534200 33.390549
"2012-07-10" 39.060001 39.220001 38.720001 38.939999 2601600 33.424896
"2012-07-11" 38.919998 39.5 38.919998 39.290001 2321900 33.725319
"2012-07-12" 39.259998 39.380001 38.779999 39.16 2093400 33.613724
"2012-07-13" 39.220001 39.810001 38.919998 39.639999 1706300 34.025745
"2012-07-16" 39.549999 39.549999 39.290001 39.41 1248800 33.82832
"2012-07-17" 39.509998 39.919998 39.189999 39.790001 1892600 34.154503
"2012-07-18" 39.790001 40.360001 39.470001 39.75 2910600 34.120163
"2012-07-19" 39.73 39.98 39.57 39.73 1437400 34.103001
"2012-07-20" 39.400002 39.59 39.040001 39.209999 1786500 33.656643
"2012-07-23" 38.950001 38.990002 38.459999 38.650002 1916600 33.175961
"2012-07-24" 38.779999 38.799999 37.970001 38.200001 1436600 32.789688
"2012-07-25" 38.380001 38.400002 37.82 37.950001 1626700 32.575096
"2012-07-26" 38.18 38.650002 36.91 37.959999 6481200 32.583683
"2012-07-27" 38 38.93 37.93 38.66 5499200 33.18454
"2012-07-30" 38.720001 38.759998 38.290001 38.529999 2362000 33.072945
"2012-07-31" 39.48 40.200001 39.060001 39.700001 9032400 34.077248
"2012-08-01" 39.889999 40.110001 39.310001 39.34 3731500 33.768234
"2012-08-02" 39.07 39.279999 38.48 38.869999 3675100 33.364799
"2012-08-03" 39.299999 39.759998 39.290001 39.389999 4161200 33.811146
"2012-08-06" 39.400002 39.66 39.200001 39.220001 2265900 33.665222
"2012-08-07" 39.25 39.599998 39.200001 39.34 2559900 33.768234
"2012-08-08" 39.18 39.18 38.639999 38.700001 3481800 33.218868
"2012-08-09" 38.450001 39.360001 38.450001 38.689999 3223400 33.210297
"2012-08-10" 38.700001 38.740002 38.25 38.689999 1735100 33.210297
"2012-08-13" 38.59 38.689999 38.150002 38.59 1628900 33.124454
"2012-08-14" 38.689999 38.77 38.18 38.290001 2322900 32.86694
"2012-08-15" 38.360001 38.509998 37.93 38.02 2724800 32.635193
"2012-08-16" 37.509998 37.700001 37.169998 37.580002 5691500 32.257511
"2012-08-17" 37.23 37.740002 36.91 37.540001 5940000 32.335014
"2012-08-20" 37.400002 37.82 37.380001 37.709999 2482400 32.481445
"2012-08-21" 37.68 38.060001 37.5 37.560001 2310800 32.352242
"2012-08-22" 37.580002 38.07 37.419998 37.919998 2870600 32.662323
"2012-08-23" 37.82 38.150002 37.759998 37.98 2100800 32.714016
"2012-08-24" 37.889999 38.259998 37.82 38.099998 2098700 32.817375
"2012-08-27" 38.110001 38.16 37.82 37.939999 2307800 32.679562
"2012-08-28" 37.77 37.810001 36.73 37.5 4694200 32.300571
"2012-08-29" 37.630001 37.75 37.41 37.650002 2324900 32.429775
"2012-08-30" 37.580002 38.169998 37.439999 38.099998 2373200 32.817375
"2012-08-31" 38.18 38.970001 37.98 38.52 2988600 33.17915
"2012-09-04" 38.52 39 38.259998 38.779999 2333800 33.403103
"2012-09-05" 38.700001 38.790001 38.09 38.18 3852700 32.886284
"2012-09-06" 38.330002 38.84 38.310001 38.639999 2491000 33.282509
"2012-09-07" 38.66 38.759998 38.040001 38.18 2691700 32.886284
"2012-09-10" 38.369999 38.369999 38.009998 38.029999 1985700 32.757088
"2012-09-11" 37.52 37.810001 37.27 37.77 3996500 32.533127
"2012-09-12" 37.740002 38.599998 37.52 37.900002 2490400 32.645107
"2012-09-13" 37.84 38.139999 37.470001 38.060001 3505100 32.782925
"2012-09-14" 38.029999 38.189999 37.119999 37.360001 6323200 32.179981
"2012-09-17" 37.470001 38.029999 37.41 38.02 3196200 32.748478
"2012-09-18" 37.849998 38.34 37.57 38.310001 3014200 32.99826
"2012-09-19" 38.259998 38.5 38.169998 38.169998 2559300 32.877666
"2012-09-20" 38 38.369999 37.650002 38.330002 2258900 33.015484
"2012-09-21" 38.459999 39.040001 38.439999 38.970001 3339100 33.566753
"2012-09-24" 38.860001 39.450001 38.66 39.360001 3135000 33.902668
"2012-09-25" 39.360001 39.380001 38.700001 38.849998 3363500 33.463394
"2012-09-26" 38.900002 39.150002 38.59 38.650002 2684900 33.291119
"2012-09-27" 38.700001 39.060001 38.490002 39.02 2086100 33.60981
"2012-09-28" 38.950001 39.049999 38.639999 38.709999 2983700 33.342812
"2012-10-01" 38.790001 39.07 38.689999 38.990002 2001500 33.583977
"2012-10-02" 39.029999 39.299999 38.759998 39.029999 2337400 33.618416
"2012-10-03" 39.049999 39.220001 38.860001 39.060001 2072400 33.644272
"2012-10-04" 39.23 39.700001 39.139999 39.360001 2978700 33.902668
"2012-10-05" 39.439999 39.849998 39.290001 39.52 3017100 34.040489
"2012-10-08" 39.470001 39.869999 39.349998 39.779999 1206000 34.264435
"2012-10-09" 39.720001 39.880001 39.23 39.68 2042900 34.178303
"2012-10-10" 39.560001 39.610001 39.150002 39.389999 1753300 33.928513
"2012-10-11" 39.509998 39.700001 39.34 39.470001 1702700 33.997425
"2012-10-12" 39.509998 39.720001 39.380001 39.5 1762200 34.023273
"2012-10-15" 39.5 39.93 39.369999 39.91 1963900 34.376419
"2012-10-16" 40 40.849998 39.91 40.75 3565300 35.099945
"2012-10-17" 40.830002 40.950001 40.369999 40.529999 2506500 34.910465
"2012-10-18" 40.43 40.849998 40.380001 40.68 1552200 35.039669
"2012-10-19" 40.610001 40.639999 40.110001 40.279999 2335900 34.695114
"2012-10-22" 40.189999 40.560001 39.900002 40.43 1544400 34.824326
"2012-10-23" 40 40.130001 39.759998 39.93 2957000 34.393642
"2012-10-24" 39.970001 40.16 39.630001 39.66 1661800 34.161079
"2012-10-25" 39.98 40.360001 39.41 39.759998 2351900 34.247215
"2012-10-26" 39.790001 39.900002 39.220001 39.34 2596300 33.88546
"2012-10-31" 39.619999 39.889999 39.279999 39.439999 3317600 33.971581
"2012-11-01" 39.549999 41.119999 39.509998 40.919998 4492300 35.246387
"2012-11-02" 41 41.23 40.48 40.5 2077400 34.884609
"2012-11-05" 40.279999 40.580002 40.119999 40.259998 1598100 34.677876
"2012-11-06" 40.25 40.619999 40 40.360001 1893000 34.76403
"2012-11-07" 40.130001 40.970001 39.650002 40.759998 3220200 35.108582
"2012-11-08" 40.650002 40.849998 39.93 40.330002 2930400 34.73819
"2012-11-09" 40.25 40.82 40.029999 40.470001 2405500 34.858772
"2012-11-12" 40.599998 40.599998 39.919998 40.060001 1815100 34.505627
"2012-11-13" 40 40.990002 39.900002 40.709999 2856100 35.065495
"2012-11-14" 40.34 40.939999 40.119999 40.209999 2114000 34.634819
"2012-11-15" 40.150002 40.360001 39.900002 40.16 2237500 34.773365
"2012-11-16" 40.23 40.459999 39.939999 40.259998 2304800 34.859936
"2012-11-19" 40.48 40.790001 40.369999 40.689999 1414800 35.232277
"2012-11-20" 40.619999 40.799999 40.400002 40.799999 1960700 35.327507
"2012-11-21" 40.779999 40.91 40.689999 40.849998 1650100 35.370811
"2012-11-23" 40.849998 41.490002 40.82 41.380001 1370500 35.829731
"2012-11-26" 41.349998 41.490002 41.150002 41.450001 2611200 35.890339
"2012-11-27" 41.18 41.509998 41.080002 41.220001 2337700 35.691181
"2012-11-28" 41.16 41.290001 40.84 41.200001 2302100 35.673866
"2012-11-29" 41.490002 41.779999 41.34 41.52 2530000 35.950951
"2012-11-30" 41.560001 42.240002 41.470001 42.220001 3277300 36.557064
"2012-12-03" 42.259998 42.59 42.189999 42.41 2844200 36.721565
"2012-12-04" 42.330002 42.849998 42.330002 42.75 3092100 37.015972
"2012-12-05" 42.75 42.75 42.02 42.259998 2845600 36.591679
"2012-12-06" 42.330002 42.720001 42.200001 42.560001 3122200 36.851448
"2012-12-07" 42.779999 42.790001 42.150002 42.27 2496800 36.600349
"2012-12-10" 42.310001 42.5 42.139999 42.23 2517700 36.565716
"2012-12-11" 42.459999 43.18 42.389999 43.119999 4727000 37.336346
"2012-12-12" 43.200001 43.25 42.32 42.709999 6062300 36.981319
"2012-12-13" 42.779999 43.150002 42.549999 42.849998 2750300 37.102554
"2012-12-14" 42.709999 43.380001 42.619999 43.360001 2732300 37.544132
"2012-12-17" 43.360001 43.779999 43.27 43.779999 3104700 37.907822
"2012-12-18" 43.759998 44.02 43.549999 43.91 1986200 38.020386
"2012-12-19" 43.900002 43.959999 43.459999 43.650002 2288500 37.795258
"2012-12-20" 43.75 43.810001 43.470001 43.799999 2320400 37.925133
"2012-12-21" 43.439999 43.93 43.439999 43.639999 4012300 37.786587
"2012-12-24" 43.52 43.68 43.209999 43.459999 643200 37.630737
"2012-12-26" 43.5 43.610001 42.950001 43.119999 1276800 37.336346
"2012-12-27" 43.18 43.34 42.759998 43.23 1554200 37.431583
"2012-12-28" 43.119999 43.34 42.799999 42.82 1039500 37.076584
"2012-12-31" 42.740002 43.220001 42.630001 43.18 1295200 37.388298
"2013-01-02" 43.59 43.740002 43.220001 43.490002 1972400 37.656712
"2013-01-03" 43.540001 43.549999 43.200001 43.400002 2026700 37.578781
"2013-01-04" 43.220001 43.720001 43.009998 43.689999 2461500 37.829868
