"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 28.84 29.120001 28.110001 28.629999 14159800 21.757597
"2012-02-01" 29.26 29.52 28.9 29.190001 9887000 22.183174
"2012-02-02" 29.379999 29.440001 28.799999 29.17 6283900 22.167974
"2012-02-03" 29.440001 29.58 29.23 29.549999 5363200 22.456764
"2012-02-06" 29.33 29.610001 29.290001 29.6 4598200 22.494764
"2012-02-07" 29.58 29.9 29.5 29.799999 6637200 22.646751
"2012-02-08" 29.889999 30.549999 29.870001 30.42 7500100 23.117928
"2012-02-09" 30.52 31.09 30.360001 30.75 8287900 23.368713
"2012-02-10" 30.27 30.73 30.209999 30.57 4778800 23.231924
"2012-02-13" 30.73 31.07 30.559999 30.93 4755400 23.505508
"2012-02-14" 30.73 31.219999 30.58 31.15 6622400 23.807394
"2012-02-15" 31.209999 31.540001 30.959999 31.040001 4342700 23.723324
"2012-02-16" 31.18 31.450001 31.049999 31.23 4943900 23.868542
"2012-02-17" 31.48 31.5 31.08 31.35 3414200 23.960257
"2012-02-21" 31.309999 31.540001 31.15 31.370001 4622300 23.975538
"2012-02-22" 31.209999 31.629999 31.209999 31.549999 4551800 24.113111
"2012-02-23" 31.559999 31.84 31.5 31.74 4143200 24.258324
"2012-02-24" 31.809999 32.049999 31.719999 31.959999 4567500 24.426462
"2012-02-27" 31.790001 31.82 31.49 31.709999 3951000 24.235395
"2012-02-28" 31.6 31.67 31.360001 31.58 4452700 24.136034
"2012-02-29" 31.610001 31.780001 31.18 31.200001 5289100 23.845608
"2012-03-01" 31.41 31.809999 31.27 31.52 6182100 24.090187
"2012-03-02" 31.57 31.809999 31.42 31.639999 3551500 24.181896
"2012-03-05" 31.459999 31.82 31.459999 31.65 2971600 24.189541
"2012-03-06" 31.18 31.26 30.379999 30.389999 6585000 23.226543
"2012-03-07" 30.43 31.18 30.41 31.049999 4915900 23.73097
"2012-03-08" 31.299999 31.440001 30.629999 31.110001 4173800 23.776823
"2012-03-09" 31.1 31.4 30.950001 31.129999 2679900 23.79211
"2012-03-12" 31.209999 31.440001 31.129999 31.33 3293200 23.944965
"2012-03-13" 31.450001 32.220001 31.450001 32.16 4516300 24.579323
"2012-03-14" 32.139999 32.189999 31.540001 31.65 4268700 24.189541
"2012-03-15" 31.77 31.82 31.4 31.82 3237700 24.319466
"2012-03-16" 31.74 31.940001 31.620001 31.799999 4986200 24.304182
"2012-03-19" 31.76 31.870001 31.59 31.690001 3436700 24.220108
"2012-03-20" 31.49 31.940001 31.49 31.870001 3473600 24.357677
"2012-03-21" 31.809999 32.040001 31.700001 31.93 3102900 24.403532
"2012-03-22" 31.700001 31.98 31.49 31.74 2735800 24.258324
"2012-03-23" 31.049999 31.950001 30.99 31.860001 2989900 24.350039
"2012-03-26" 32.09 32.360001 31.969999 32.040001 3393000 24.487608
"2012-03-27" 31.959999 32.18 31.85 31.870001 3135800 24.357677
"2012-03-28" 31.799999 31.889999 31.040001 31.27 4796400 23.899117
"2012-03-29" 31.1 31.370001 30.879999 31.26 3823100 23.891464
"2012-03-30" 31.49 31.77 31.26 31.66 4037200 24.197182
"2012-04-02" 31.67 32.490002 31.59 32.330002 5001000 24.709249
"2012-04-03" 32.150002 32.169998 31.67 31.98 3920300 24.441748
"2012-04-04" 31.629999 31.85 31.43 31.43 4552200 24.021393
"2012-04-05" 31.32 31.549999 31.18 31.32 2923900 23.937319
"2012-04-09" 30.91 30.91 30.6 30.84 4040900 23.570461
"2012-04-10" 30.82 31.129999 30.709999 30.82 4431100 23.555182
"2012-04-11" 31.200001 31.32 30.82 30.99 3039400 23.685108
"2012-04-12" 30.959999 31.110001 30.73 31.1 2657300 23.76918
"2012-04-13" 31 31.139999 30.73 30.75 3613000 23.501682
"2012-04-16" 30.940001 31.1 30.75 30.790001 4016300 23.532257
"2012-04-17" 31 31.33 30.76 31.200001 3671800 23.845608
"2012-04-18" 31.01 31.01 30.639999 30.93 3751200 23.639254
"2012-04-19" 30.889999 30.98 30.51 30.68 3151400 23.448185
"2012-04-20" 30.75 30.889999 30.530001 30.709999 4887000 23.471111
"2012-04-23" 30.42 30.469999 30.139999 30.42 4638000 23.249472
"2012-04-24" 30.48 31.110001 30.370001 30.940001 3784200 23.646894
"2012-04-25" 31.18 31.18 30.780001 30.889999 3065900 23.608683
"2012-04-26" 30.74 31.059999 30.52 31.030001 3727400 23.715681
"2012-04-27" 31.17 31.24 30.889999 31.08 2624300 23.753895
"2012-04-30" 31.08 31.08 30.690001 30.83 3895400 23.562822
"2012-05-01" 31.34 33.299999 30.98 33.02 13240900 25.236597
"2012-05-02" 33.080002 33.119999 32.82 32.950001 5341200 25.183111
"2012-05-03" 32.959999 33.09 32.470001 32.560001 4013100 24.885035
"2012-05-04" 32.400002 32.650002 32.02 32.25 3399400 24.648106
"2012-05-07" 32 32.68 31.99 32.59 4192000 24.907963
"2012-05-08" 32.470001 33.080002 32.439999 32.98 8868300 25.206034
"2012-05-09" 32.639999 33 32.369999 32.66 5292800 24.96146
"2012-05-10" 32.990002 33.98 32.77 33.5 8794700 25.603466
"2012-05-11" 33.130001 33.240002 32.810001 32.849998 5187100 25.106676
"2012-05-14" 32.610001 33.290001 32.439999 33.049999 4699900 25.259541
"2012-05-15" 32.759998 33.240002 32.380001 32.470001 6040700 24.948349
"2012-05-16" 32.610001 32.77 32.18 32.299999 4095000 24.81773
"2012-05-17" 32.310001 32.439999 32.07 32.209999 3981200 24.748581
"2012-05-18" 32.27 32.41 31.719999 31.82 5334000 24.448921
"2012-05-21" 32.02 32.369999 31.809999 32.169998 3621100 24.717844
"2012-05-22" 32.209999 32.5 32.02 32.16 2888500 24.710161
"2012-05-23" 31.879999 32.110001 31.58 31.92 3769300 24.525757
"2012-05-24" 32.02 32.240002 31.889999 32.099998 3507200 24.664059
"2012-05-25" 32.25 32.419998 32.110001 32.25 1840100 24.77931
"2012-05-29" 32.41 32.73 32.310001 32.5 3024700 24.971399
"2012-05-30" 32.299999 32.580002 31.940001 32.150002 3114100 24.702482
"2012-05-31" 32.150002 32.41 31.74 31.879999 7240100 24.495022
"2012-06-01" 31.35 31.469999 30.860001 30.92 4595600 23.757402
"2012-06-04" 30.889999 31.01 30.57 30.879999 3881600 23.726671
"2012-06-05" 30.66 31.389999 30.66 31.309999 3556200 24.057062
"2012-06-06" 31.5 32.189999 31.379999 32.169998 4059000 24.717844
"2012-06-07" 32.57 32.700001 32.09 32.130001 6542300 24.687111
"2012-06-08" 32.099998 32.130001 31.719999 31.85 4181800 24.471975
"2012-06-11" 32.060001 32.150002 31.67 31.690001 3339800 24.349035
"2012-06-12" 31.83 32.16 31.67 31.93 4987200 24.533436
"2012-06-13" 31.870001 31.9 31.16 31.26 4865500 24.018639
