"Index" "AEOpen" "AEHigh" "AELow" "AEClose" "AEVolume" "AEAdjusted"
"2012-01-31" 31.540001 31.700001 31.389999 31.639999 2647600 22.399355
"2012-02-01" 31.76 31.99 31.690001 31.700001 2099600 22.441826
"2012-02-02" 31.73 31.860001 31.49 31.58 1132800 22.356873
"2012-02-03" 31.799999 31.860001 31.51 31.77 1116700 22.491386
"2012-02-06" 31.59 31.639999 31.43 31.540001 1183500 22.328554
"2012-02-07" 31.469999 31.870001 31.23 31.75 1045600 22.477232
"2012-02-08" 31.82 31.82 31.41 31.65 899600 22.406427
"2012-02-09" 31.65 31.700001 31.42 31.540001 872600 22.328554
"2012-02-10" 31.379999 31.43 31.200001 31.309999 1681300 22.16573
"2012-02-13" 31.469999 31.51 31.17 31.200001 1078300 22.087866
"2012-02-14" 31.16 31.209999 30.889999 31.190001 1507200 22.080786
"2012-02-15" 31.209999 31.379999 30.969999 31.09 1328600 22.009983
"2012-02-16" 31.15 31.809999 31.15 31.620001 1395300 22.385191
"2012-02-17" 31.82 32.09 31.639999 31.9 1472900 22.583416
"2012-02-21" 32 32 31.66 31.73 1281200 22.463068
"2012-02-22" 31.780001 32.09 31.75 31.84 1637300 22.540945
"2012-02-23" 31.91 32.380001 31.84 32.119999 1714000 22.739164
"2012-02-24" 32.220001 32.369999 32 32.240002 835800 22.824118
"2012-02-27" 32 32.150002 31.83 31.969999 4831600 22.63298
"2012-02-28" 32 32.09 31.85 31.93 1104100 22.604658
"2012-02-29" 31.98 32.25 31.719999 32.07 1731900 22.703772
"2012-03-01" 32.060001 32.279999 32.009998 32.139999 1166500 22.753323
"2012-03-02" 32.09 32.189999 31.92 31.969999 1355200 22.63298
"2012-03-05" 31.860001 32.349998 31.67 32.240002 1368700 22.824118
"2012-03-06" 32.09 32.200001 31.76 32.009998 1050800 22.661295
"2012-03-07" 31.959999 32 31.65 31.879999 1074900 22.569258
"2012-03-08" 32.040001 32.040001 31.65 31.91 4433000 22.590498
"2012-03-09" 31.959999 32.02 31.76 31.92 1560500 22.597578
"2012-03-12" 31.68 32.23 31.450001 32.189999 1986000 23.077917
"2012-03-13" 32.220001 32.27 31.91 32.200001 1559300 23.085093
"2012-03-14" 32.220001 32.25 31.549999 31.629999 1025500 22.676445
"2012-03-15" 31.76 31.83 31.440001 31.639999 1098000 22.683607
"2012-03-16" 31.629999 31.690001 31.389999 31.459999 1793300 22.554567
"2012-03-19" 31.5 31.639999 31.190001 31.24 1127500 22.396835
"2012-03-20" 31.16 31.65 31.16 31.610001 1171800 22.6621
"2012-03-21" 31.58 31.809999 31.58 31.719999 1044100 22.740965
"2012-03-22" 31.559999 31.82 31.5 31.77 966000 22.776812
"2012-03-23" 31.83 31.889999 31.66 31.77 884400 22.776812
"2012-03-26" 31.940001 32.200001 31.860001 32.18 1529400 23.070751
"2012-03-27" 32.16 32.470001 32.060001 32.470001 1768700 23.278656
"2012-03-28" 32.41 32.470001 31.780001 31.99 1293900 22.934534
"2012-03-29" 31.83 32.16 31.6 32.139999 1482800 23.04207
"2012-03-30" 32.279999 32.580002 32.18 32.580002 1868100 23.357525
"2012-04-02" 32.549999 32.700001 32.27 32.5 1128500 23.300171
"2012-04-03" 32.549999 32.57 32.099998 32.41 1290000 23.235645
"2012-04-04" 32.07 32.380001 32.07 32.32 1088800 23.17112
"2012-04-05" 32.169998 32.25 31.860001 32.09 829200 23.006226
"2012-04-09" 31.82 32 31.76 31.92 1028200 22.88435
"2012-04-10" 31.780001 31.860001 31.33 31.389999 1327500 22.504377
"2012-04-11" 31.620001 31.68 31.299999 31.469999 930700 22.561733
"2012-04-12" 31.42 31.559999 31.200001 31.559999 1052100 22.626253
"2012-04-13" 31.49 31.799999 31.42 31.469999 2064400 22.561733
"2012-04-16" 31.59 31.799999 31.51 31.639999 2715200 22.683607
"2012-04-17" 31.809999 31.9 31.5 31.860001 791200 22.841331
"2012-04-18" 31.68 31.93 31.469999 31.49 1556200 22.576071
"2012-04-19" 31.620001 31.690001 31.15 31.290001 3375400 22.432688
"2012-04-20" 31.34 31.75 31.17 31.68 1946400 22.712286
"2012-04-23" 31.49 31.6 31.370001 31.43 1569900 22.533052
"2012-04-24" 31.41 32 31.4 31.93 1762800 22.891512
"2012-04-25" 32.099998 32.48 31.9 32.290001 1529500 23.149618
