"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 74.510002 75.199997 73.959999 74.18 4777200 60.698341
"2012-02-01" 74.959999 75.889999 74.959999 75.370003 4296400 61.672104
"2012-02-02" 75.199997 75.330002 74.5 75.220001 3528100 61.549355
"2012-02-03" 76.089996 76.739998 75.860001 76.339996 3472400 62.465794
"2012-02-06" 75.260002 75.550003 75.160004 75.459999 4162500 61.745716
"2012-02-07" 75.040001 75.349998 74.300003 75.199997 4438700 61.53297
"2012-02-08" 74.709999 75.650002 74.510002 75.459999 5350000 62.109138
"2012-02-09" 75.779999 76.230003 75.370003 75.900002 4491100 62.471298
"2012-02-10" 75.449997 75.559998 74.57 74.949997 3361700 61.689362
"2012-02-13" 75.5 75.510002 74.75 74.849998 3456500 61.607052
"2012-02-14" 75.510002 75.57 74.900002 75.559998 4652000 62.191429
"2012-02-15" 75.860001 76 75 75.209999 4252400 61.903362
"2012-02-16" 75.040001 75.470001 74.870003 75.269997 4992800 61.952736
"2012-02-17" 75.529999 75.550003 75.019997 75.349998 4927300 62.018612
"2012-02-21" 75.669998 75.949997 75.080002 75.720001 3978100 62.323135
"2012-02-22" 75.559998 76.300003 75.309998 76.059998 3764800 62.60297
"2012-02-23" 75.760002 76.169998 75.519997 75.849998 4187200 62.430126
"2012-02-24" 75.75 76.639999 75.629997 76.059998 3347000 62.60297
"2012-02-27" 75.690002 75.779999 75.010002 75.209999 5379400 61.903362
"2012-02-28" 75.18 75.410004 74.809998 75.160004 3667400 61.862247
"2012-02-29" 75.279999 75.720001 74.75 74.949997 4631800 61.689362
"2012-03-01" 74.959999 75.629997 74.860001 75.080002 3343100 61.796375
"2012-03-02" 75.07 75.279999 74.629997 74.900002 2806600 61.648193
"2012-03-05" 74.949997 74.980003 73.93 74.129997 4156800 61.014446
"2012-03-06" 73.239998 73.239998 72.300003 72.559998 5455700 59.722221
"2012-03-07" 72.580002 73.699997 72.510002 73.519997 4279000 60.512371
"2012-03-08" 74.269997 74.699997 73.830002 74.169998 3881200 61.047367
"2012-03-09" 74.139999 74.309998 73.169998 73.290001 5535900 60.323086
"2012-03-12" 73.199997 74.029999 73.199997 73.599998 2833500 60.578217
"2012-03-13" 73.879997 74.349998 73.379997 74.309998 4532700 61.162601
"2012-03-14" 74.32 75.379997 74.309998 75.230003 5297100 61.91983
"2012-03-15" 75.5 75.629997 74.879997 75.43 4850700 62.08445
