"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 7.17 7.19 7.05 7.13 212736300 6.199356
"2012-02-01" 7.25 7.44 7.21 7.36 318811000 6.399334
"2012-02-02" 7.43 7.49 7.33 7.45 232425400 6.477586
"2012-02-03" 7.66 7.89 7.63 7.84 364195700 6.816682
"2012-02-06" 7.79 7.97 7.77 7.97 236316000 6.929713
"2012-02-07" 7.95 7.99 7.8 7.85 253694200 6.825376
"2012-02-08" 7.96 8.15 7.93 8.13 436439700 7.068829
"2012-02-09" 8.31 8.35 8.1 8.18 480206700 7.112301
"2012-02-10" 8.05 8.12 7.98 8.07 254420800 7.016661
"2012-02-13" 8.27 8.31 8.21 8.25 308490200 7.173167
"2012-02-14" 8.15 8.17 7.95 7.98 384682800 6.938407
"2012-02-15" 8.01 8.12 7.77 7.78 372981400 6.764513
"2012-02-16" 7.71 8.13 7.66 8.09 337131800 7.03405
"2012-02-17" 8.04 8.08 7.92 8.02 355445600 6.973188
"2012-02-21" 8.03 8.2 8 8.11 333407700 7.05144
"2012-02-22" 8.06 8.13 7.95 7.95 228867800 6.912324
"2012-02-23" 7.97 8.05 7.9 8.02 144231800 6.973188
"2012-02-24" 8.05 8.09 7.88 7.88 163128200 6.851461
"2012-02-27" 7.79 8.05 7.67 8.04 298930800 6.990577
"2012-02-28" 8.05 8.15 8 8.12 193443200 7.060134
"2012-02-29" 8.16 8.24 7.97 7.97 266720500 6.938256
"2012-03-01" 8.09 8.17 8.05 8.12 197850100 7.06884
"2012-03-02" 8.11 8.21 8.1 8.13 143887500 7.077546
"2012-03-05" 8.09 8.13 7.95 7.97 196328300 6.938256
"2012-03-06" 7.78 7.79 7.66 7.71 262871200 6.711915
"2012-03-07" 7.81 8.02 7.77 8.02 328331900 6.981787
"2012-03-08" 8.07 8.12 8 8.06 160282000 7.016608
"2012-03-09" 8.12 8.19 8.01 8.05 195281400 7.007904
"2012-03-12" 8.01 8.06 7.91 7.99 165298900 6.955669
"2012-03-13" 8.07 8.5 8.05 8.49 385984100 7.390942
"2012-03-14" 8.66 8.9 8.56 8.84 488077000 7.695635
"2012-03-15" 8.98 9.25 8.85 9.24 489593000 8.043851
"2012-03-16" 9.41 9.8 9.33 9.8 582294100 8.531358
"2012-03-19" 9.78 10.1 9.51 9.53 669479900 8.296311
"2012-03-20" 9.63 9.97 9.59 9.81 451213900 8.540065
"2012-03-21" 9.96 10.03 9.74 9.82 326573800 8.54877
"2012-03-22" 9.66 9.77 9.52 9.6 264520500 8.357248
"2012-03-23" 9.47 9.85 9.4 9.85 283110900 8.574887
"2012-03-26" 10.01 10.04 9.85 9.93 241605700 8.644532
"2012-03-27" 9.87 9.9 9.58 9.6 250069600 8.357248
"2012-03-28" 9.62 9.78 9.58 9.75 234021500 8.48783
"2012-03-29" 9.63 9.68 9.43 9.53 253625800 8.296311
"2012-03-30" 9.61 9.64 9.35 9.57 250234500 8.331134
"2012-04-02" 9.54 9.78 9.41 9.68 179229000 8.426894
"2012-04-03" 9.67 9.67 9.41 9.49 190453400 8.261487
"2012-04-04" 9.35 9.36 9.15 9.2 228560600 8.009032
"2012-04-05" 9.14 9.4 9.11 9.23 180868100 8.03515
"2012-04-09" 9.04 9.04 8.83 8.93 211427600 7.773982
"2012-04-10" 8.97 9.09 8.5 8.54 377220000 7.434468
"2012-04-11" 8.78 8.91 8.72 8.86 252563700 7.713044
"2012-04-12" 8.93 9.18 8.91 9.17 223979900 7.982912
"2012-04-13" 9.08 9.08 8.68 8.68 282354600 7.556346
"2012-04-16" 8.87 8.93 8.62 8.79 217284500 7.652106
"2012-04-17" 8.97 9 8.87 8.92 193424400 7.765278
"2012-04-18" 8.88 9 8.84 8.92 160064100 7.765278
"2012-04-19" 9.16 9.17 8.67 8.77 348804500 7.634696
"2012-04-20" 8.78 8.78 8.33 8.36 277965300 7.277772
"2012-04-23" 8.02 8.3 7.95 8.18 256073900 7.121071
"2012-04-24" 8.25 8.27 8.1 8.21 192443800 7.147188
"2012-04-25" 8.3 8.35 8.17 8.26 164902400 7.190715
"2012-04-26" 8.19 8.4 8.17 8.27 131586300 7.199422
"2012-04-27" 8.34 8.34 8.19 8.25 120948200 7.182014
