"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 30.114067 30.29332 30 30.135796 8767947 25.443672
"2012-02-01" 30.260729 30.689842 30.200977 30.608364 9195427 25.84267
"2012-02-02" 30.646387 30.793047 30.554047 30.711571 7167013 25.929808
"2012-02-03" 30.863661 31.004889 30.776752 30.983162 6993775 26.159107
"2012-02-06" 31.021185 31.026615 30.782185 31.021185 4718115 26.191216
"2012-02-07" 30.879957 31.042912 30.722433 30.972298 5782949 26.14994
"2012-02-08" 30.907116 31.010321 30.744162 30.999456 3602101 26.172871
"2012-02-09" 30.97773 30.983162 30.597502 30.852797 4450986 26.049046
"2012-02-10" 30.700706 30.874525 30.532318 30.874525 4801144 26.067385
"2012-02-13" 30.988592 30.988592 30.852797 30.983162 3682552 26.159107
"2012-02-14" 30.825638 30.956001 30.635525 30.956001 4553898 26.136181
"2012-02-15" 30.956001 30.956001 30.722433 30.874525 4615571 26.067385
"2012-02-16" 30.917978 30.999456 30.798479 30.841934 5580992 26.039873
"2012-02-17" 30.928843 31.010321 30.765888 30.945139 5470900 26.127012
"2012-02-21" 30.945139 30.945139 30.68441 30.765888 3406955 25.975668
"2012-02-22" 30.62466 30.852797 30.608364 30.765888 4147957 25.975668
"2012-02-23" 30.68441 30.825638 30.635525 30.738729 3384494 25.952734
"2012-02-24" 30.836502 31.357958 30.825638 31.309071 5196775 26.434267
"2012-02-27" 31.140684 31.607822 31.108093 31.477457 4580592 26.576445
"2012-02-28" 31.548073 31.716457 31.493753 31.624117 3952811 26.70027
"2012-02-29" 31.656708 31.716457 31.450298 31.575232 5458381 26.658995
"2012-03-01" 31.515482 31.711027 31.336229 31.667572 5780924 26.736952
"2012-03-02" 31.683867 31.683867 31.325367 31.493753 3982267 26.590202
"2012-03-05" 31.45573 31.586096 31.254753 31.417707 4319907 26.525995
"2012-03-06" 31.222162 31.357958 31.135254 31.222162 3930351 26.360895
"2012-03-07" 31.113525 31.27648 31.021185 31.211298 4923939 26.506199
"2012-03-08" 31.466595 32.080391 31.42314 32.047798 7928267 27.216602
"2012-03-09" 32.031506 32.112984 31.917437 31.98805 5332641 27.165867
"2012-03-12" 31.922869 32.112984 31.846823 31.863117 3473783 27.059767
"2012-03-13" 32.047798 32.466049 32.015209 32.449757 5099202 27.55797
"2012-03-14" 32.384575 32.514938 32.25964 32.368279 3602837 27.488773
"2012-03-15" 32.34655 32.52037 32.265072 32.471481 3902920 27.576422
"2012-03-16" 32.49321 32.547527 32.357414 32.487778 5150382 27.59026
"2012-03-19" 32.466049 32.563824 32.324821 32.34655 4684240 27.470318
