"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 19.635 19.709999 19.51 19.629999 2090600 18.034496
"2012-02-01" 19.725 20.325001 19.725 20.16 3917600 18.521416
"2012-02-02" 20.145 20.145 19.85 19.85 2135600 18.236609
"2012-02-03" 20 20.120001 19.885 19.9 2481400 18.282547
"2012-02-06" 19.84 20.014999 19.82 20 1849000 18.374416
"2012-02-07" 19.934999 20.105 19.855 19.9 2273600 18.282547
"2012-02-08" 19.934999 20.075001 19.85 19.924999 2313200 18.305519
"2012-02-09" 19.950001 20.049999 19.799999 20.02 1854400 18.392792
"2012-02-10" 19.825001 19.934999 19.65 19.905001 1825200 18.287134
"2012-02-13" 20.025 20.15 19.91 19.98 1525600 18.356043
"2012-02-14" 19.915001 19.969999 19.805 19.934999 1077600 18.314697
"2012-02-15" 19.959999 20.035 19.82 19.865 1644200 18.250395
"2012-02-16" 19.885 20.195 19.780001 20.16 1473200 18.521416
"2012-02-17" 20.25 20.25 20 20.055 1387600 18.42495
"2012-02-21" 20.059999 20.245001 20.025 20.120001 1086600 18.484663
"2012-02-22" 20.084999 20.165001 19.82 19.85 1467200 18.236609
"2012-02-23" 19.85 19.985001 19.85 19.924999 2037400 18.305519
"2012-02-24" 19.959999 20.094999 19.83 19.889999 1484800 18.273357
"2012-02-27" 19.834999 20.014999 19.735001 19.950001 1644600 18.328482
"2012-02-28" 19.950001 20.115 19.92 20.035 1722000 18.45282
"2012-02-29" 20.025 20.219999 19.93 20.040001 3000600 18.457422
"2012-03-01" 20.059999 20.190001 19.91 19.99 2099400 18.411375
"2012-03-02" 19.969999 20.055 19.815001 19.905001 1732600 18.333082
"2012-03-05" 19.885 19.92 19.764999 19.844999 1916200 18.277824
"2012-03-06" 19.65 19.684999 19.540001 19.639999 4373800 18.089018
"2012-03-07" 19.695 19.775 19.610001 19.73 1876400 18.171902
"2012-03-08" 19.82 20.035 19.780001 19.934999 2606800 18.360718
"2012-03-09" 19.93 20.065001 19.805 19.860001 1344600 18.291637
"2012-03-12" 19.815001 19.940001 19.76 19.844999 1796200 18.277824
"2012-03-13" 19.905001 20.225 19.855 20.190001 1996600 18.595583
"2012-03-14" 20.15 20.26 20.075001 20.15 1938400 18.558737
"2012-03-15" 20.139999 20.360001 20.115 20.315001 1421400 18.710712
"2012-03-16" 20.309999 20.695 20.309999 20.695 5150600 19.060698
"2012-03-19" 20.73 20.895 20.68 20.695 1738400 19.060698
"2012-03-20" 20.58 20.775 20.535 20.635 1817800 19.005438
"2012-03-21" 20.68 20.725 20.535 20.540001 1646400 18.91794
"2012-03-22" 20.355 20.51 20.254999 20.415001 1801200 18.802816
"2012-03-23" 20.48 20.565001 20.344999 20.545 1979200 18.922554
"2012-03-26" 20.705 20.77 20.605 20.764999 1769600 19.125168
"2012-03-27" 20.790001 21.225 20.67 21.174999 3198200 19.502792
"2012-03-28" 21.129999 21.245001 21.065001 21.219999 3619400 19.544241
"2012-03-29" 21.075001 21.405001 20.940001 21.375 2873600 19.687004
"2012-03-30" 21.48 21.495001 21.264999 21.440001 2944400 19.746872
"2012-04-02" 21.27 21.584999 21.27 21.549999 2709000 19.848181
"2012-04-03" 21.575001 21.785 21.514999 21.775 3316400 20.05541
"2012-04-04" 21.65 21.85 21.514999 21.809999 3229600 20.087648
"2012-04-05" 21.74 21.82 21.645 21.785 2258200 20.064621
"2012-04-09" 21.535 21.725 21.469999 21.715 3116400 20.000153
"2012-04-10" 21.645 21.700001 21.16 21.225 3719400 19.548849
"2012-04-11" 21.684999 21.785 21.344999 21.365 2515400 19.677792
"2012-04-12" 21.395 21.504999 21.34 21.405001 3612400 19.71463
"2012-04-13" 21.370001 21.535 21.360001 21.385 2842400 19.696211
"2012-04-16" 21.215 21.434999 21.075001 21.389999 3511000 19.700813
