"Index" "BXOpen" "BXHigh" "BXLow" "BXClose" "BXVolume" "BXAdjusted"
"2012-01-31" 103.129997 104.160004 102.559998 104.050003 1490300 74.821716
"2012-02-01" 104.239998 106.160004 104.239998 106.139999 1323400 76.324631
"2012-02-02" 106.110001 106.739998 105.629997 106.209999 1316400 76.374985
"2012-02-03" 107.339996 107.870003 106.800003 107.57 994900 77.352921
"2012-02-06" 107.43 107.529999 106.610001 107.25 605900 77.122826
"2012-02-07" 106.849998 107.330002 106.010002 106.300003 734200 76.439697
"2012-02-08" 106.830002 107.07 105.339996 106 794400 76.22393
"2012-02-09" 105.989998 106.449997 104.639999 104.739998 808800 75.317894
"2012-02-10" 104.029999 104.669998 103.400002 103.779999 867100 74.627586
"2012-02-13" 105 105.139999 104.059998 104.470001 967400 75.123734
"2012-02-14" 104.209999 104.269997 102.389999 103.129997 930100 74.160141
"2012-02-15" 103.43 103.790001 102.190002 102.779999 757200 73.90847
"2012-02-16" 102.800003 105.019997 102.620003 104.800003 806800 75.361053
"2012-02-17" 105.330002 105.459999 104 104.839996 854700 75.389816
"2012-02-21" 104.790001 104.910004 102.629997 103.339996 627000 74.311165
"2012-02-22" 103.080002 103.860001 101.57 101.760002 973100 73.175011
"2012-02-23" 101.599998 103.18 101.599998 103.129997 612700 74.160141
"2012-02-24" 103.169998 103.57 102.190002 102.620003 571100 73.793419
"2012-02-27" 102.169998 102.879997 100.980003 102.419998 1332500 73.649597
"2012-02-28" 102.660004 102.93 101.629997 101.809998 922200 73.210938
"2012-02-29" 101.82 102.309998 101.019997 101.550003 1461700 73.023987
"2012-03-01" 101.529999 102.580002 101.419998 102.470001 693600 73.685562
"2012-03-02" 102.370003 102.959999 102.139999 102.459999 513500 73.678383
"2012-03-05" 102.379997 103.169998 101.599998 103.019997 526200 74.081032
"2012-03-06" 102.129997 103.379997 101.75 102.550003 1126300 73.743103
"2012-03-07" 102.720001 103.129997 101.260002 103.059998 1002200 74.109833
"2012-03-08" 103.400002 103.400002 101.620003 101.910004 1152900 73.282875
"2012-03-09" 101.879997 102.730003 101.669998 102.309998 662400 73.57048
"2012-03-12" 102.529999 104.839996 102.379997 103.769997 1193300 74.620369
"2012-03-13" 104.129997 105.959999 104.029999 105.709999 1172300 76.015419
"2012-03-14" 105.580002 106.279999 104.870003 105.080002 858400 75.562408
"2012-03-15" 105.330002 105.440002 104.339996 104.739998 928300 75.317894
"2012-03-16" 104.760002 106.360001 104.699997 105.940002 1694400 76.180801
"2012-03-19" 105.610001 106 104.709999 105.169998 1317300 75.62709
"2012-03-20" 104.290001 105.839996 104.099998 105.080002 955200 75.562408
"2012-03-21" 105.050003 105.32 104.269997 104.349998 822200 75.037445
"2012-03-22" 103.910004 103.910004 102.419998 103.379997 786100 74.339912
"2012-03-23" 103.470001 104.580002 102.68 104.010002 821600 74.792976
"2012-03-26" 105.190002 105.239998 103.989998 104.480003 851800 75.130959
"2012-03-27" 104.660004 104.940002 104.080002 104.139999 844500 74.886429
"2012-03-28" 103.769997 104.330002 102.980003 104.330002 921800 75.421402
