"Index" "CAOpen" "CAHigh" "CALow" "CAClose" "CAVolume" "CAAdjusted"
"2012-01-31" 20.731518 20.817122 20.607004 20.754864 4361676 15.7655
"2012-02-01" 20.817122 20.988327 20.77821 20.832685 3828657 15.824617
"2012-02-02" 20.863813 20.972763 20.817122 20.941633 3109700 15.907379
"2012-02-03" 21.035019 21.073931 20.80934 20.856031 4308605 15.842352
"2012-02-06" 20.762646 20.980545 20.723736 20.840467 4943395 15.830526
"2012-02-07" 20.817122 20.848249 20.677044 20.708172 4304365 15.730041
"2012-02-08" 20.747082 20.801556 20.607004 20.669262 3834825 15.700482
"2012-02-09" 20.669262 20.824903 20.63035 20.77821 3576926 15.783236
"2012-02-10" 20.669262 20.762646 20.607004 20.7393 3694761 15.753685
"2012-02-13" 20.824903 20.902723 20.7393 20.80934 3834311 15.806879
"2012-02-14" 20.747082 20.824903 20.708172 20.824903 3006772 15.818707
"2012-02-15" 20.910505 21.042803 20.856031 20.988327 5042469 15.942844
"2012-02-16" 20.894941 20.894941 20.607004 20.801556 4166869 15.800973
"2012-02-17" 20.894941 20.941633 20.575874 20.607004 5989128 15.653189
"2012-02-21" 20.622568 20.770428 20.529182 20.536964 5401626 15.599986
"2012-02-22" 20.498055 20.536964 20.319065 20.319065 6043098 15.434472
"2012-02-23" 20.357977 20.926069 20.311283 20.871595 7003636 15.854169
"2012-02-24" 20.840467 20.996109 20.754864 20.887159 8450674 15.865998
"2012-02-27" 20.7393 20.879377 20.645914 20.708172 4010485 15.730041
"2012-02-28" 20.708172 20.770428 20.490273 20.552528 3590804 15.611805
"2012-02-29" 20.536964 20.622568 20.420233 20.428017 6704616 15.517228
"2012-03-01" 20.428017 20.428017 20.256809 20.373541 4538492 15.475848
"2012-03-02" 20.365759 20.451363 20.256809 20.342413 3149535 15.452207
"2012-03-05" 20.326847 20.552528 20.295719 20.513618 2714691 15.582251
"2012-03-06" 20.373541 20.5214 20.194553 20.249027 4892124 15.381268
"2012-03-07" 20.256809 20.381323 20.210117 20.311283 3155832 15.428555
"2012-03-08" 20.404669 20.435799 20.326847 20.404669 2434690 15.499495
"2012-03-09" 20.389105 20.404669 20.287937 20.365759 4614435 15.469934
"2012-03-12" 20.365759 20.5214 20.272373 20.435799 2079772 15.523137
"2012-03-13" 20.466927 20.552528 20.412451 20.5214 2719060 15.588161
"2012-03-14" 20.529182 20.583658 20.443581 20.466927 1683993 15.546782
"2012-03-15" 20.505836 20.684826 20.459145 20.684826 2590946 15.712303
"2012-03-16" 20.731518 20.817122 20.482491 20.568092 3956772 15.623628
"2012-03-19" 20.544746 20.645914 20.505836 20.513618 2605980 15.582251
"2012-03-20" 20.466927 20.544746 20.435799 20.474709 2359003 15.552694
"2012-03-21" 20.459145 20.552528 20.435799 20.513618 3485691 15.582251
"2012-03-22" 20.459145 20.513618 20.256809 20.396887 4575628 15.493578
"2012-03-23" 20.373541 20.373541 20.202335 20.272373 4244484 15.398997
"2012-03-26" 20.350195 20.490273 20.287937 20.295719 5448914 15.416737
"2012-03-27" 20.295719 20.466927 20.295719 20.389105 3663278 15.487671
"2012-03-28" 20.404669 20.474709 20.365759 20.451363 5166086 15.534963
"2012-03-29" 20.389105 20.536964 20.287937 20.443581 4978090 15.529054
"2012-03-30" 20.5214 20.607004 20.428017 20.435799 3855514 15.523137
"2012-04-02" 20.451363 20.747082 20.311283 20.66148 7482170 15.694571
"2012-04-03" 20.80934 20.910505 20.708172 20.817122 8940388 15.812797
"2012-04-04" 20.770428 20.863813 20.684826 20.684826 6301769 15.712303
"2012-04-05" 20.684826 20.684826 20.529182 20.575874 6268616 15.629541
"2012-04-09" 20.373541 20.498055 20.256809 20.272373 5519075 15.398997
"2012-04-10" 20.210117 20.264591 20.10895 20.116732 5945567 15.280774
"2012-04-11" 20.225681 20.280155 20.007782 20.077822 5188316 15.25122
"2012-04-12" 20.077822 20.186769 19.945524 20.186769 14828129 15.333975
"2012-04-13" 20.186769 20.319065 20.046694 20.054476 14728670 15.233481
"2012-04-16" 20.062258 20.186769 20.007782 20.132296 13855641 15.292594
"2012-04-17" 20.225681 20.396887 20.101168 20.326847 3917708 15.440386
"2012-04-18" 20.272373 20.311283 20.163424 20.264591 4091568 15.393091
"2012-04-19" 20.303501 20.365759 20.210117 20.287937 5741380 15.410825
"2012-04-20" 20.303501 20.490273 20.303501 20.428017 4417316 15.517228
"2012-04-23" 20.264591 20.272373 20.038912 20.054476 4102105 15.233481
"2012-04-24" 20.116732 20.256809 20.077822 20.132296 3134244 15.292594
"2012-04-25" 20.210117 20.249027 20.093386 20.132296 3904344 15.292594
"2012-04-26" 19.961088 20.202335 19.844358 20.155642 4937484 15.453697
