"Index" "COpen" "CHigh" "CLow" "CClose" "CVolume" "CAdjusted"
"2012-01-31" 69.400002 70.110001 68.870003 69.599998 2777800 55.828266
"2012-02-01" 71.139999 72.870003 71.139999 72.5 3806500 58.154438
"2012-02-02" 72.669998 72.669998 72.120003 72.480003 1857100 58.138412
"2012-02-03" 72.82 74.260002 72.449997 74.209999 3341400 59.526089
"2012-02-06" 73.580002 73.650002 72.739998 72.980003 1747500 58.539459
"2012-02-07" 72.480003 74.5 72.449997 74.199997 1821100 59.518066
"2012-02-08" 74.190002 74.239998 73.139999 73.599998 1369300 59.036781
"2012-02-09" 73.519997 73.870003 73.269997 73.57 1188800 59.012703
"2012-02-10" 72.709999 73.32 72.559998 73.080002 1190500 58.619675
"2012-02-13" 73.620003 74.07 73.300003 73.940002 1128900 59.309502
"2012-02-14" 73.739998 73.739998 73.050003 73.599998 1217300 59.036781
"2012-02-15" 73.900002 73.940002 72.830002 72.940002 1282400 58.507374
"2012-02-16" 73.059998 73.43 72.870003 73.199997 1716400 58.715935
"2012-02-17" 73.550003 73.790001 73.260002 73.580002 1314000 59.020737
"2012-02-21" 73.769997 74.050003 73.300003 73.989998 1232100 59.349609
"2012-02-22" 73.970001 74.120003 72.709999 72.790001 1185000 58.387062
"2012-02-23" 72.870003 73.57 72.860001 73.349998 1377700 58.836258
"2012-02-24" 73.599998 73.900002 73.019997 73.129997 980900 58.659767
"2012-02-27" 72.510002 73.120003 72.309998 72.830002 1542900 58.419144
"2012-02-28" 73.010002 73.010002 71.720001 72.099998 1653900 57.833607
"2012-02-29" 72.110001 72.400002 71.5 71.709999 1913100 57.520748
"2012-03-01" 71.580002 72.879997 71.580002 72.410004 1783800 58.082249
"2012-03-02" 72.230003 72.550003 71.870003 72.449997 1468400 58.114334
"2012-03-05" 72.150002 72.849998 71.900002 72.769997 1171300 58.371017
"2012-03-06" 72.110001 72.82 71.370003 71.620003 1926400 57.44857
"2012-03-07" 71.620003 72 71.110001 71.540001 1479200 57.384388
"2012-03-08" 71.949997 71.949997 71.050003 71.489998 1760100 57.344288
"2012-03-09" 71.470001 71.699997 71.339996 71.68 2472500 57.496704
"2012-03-12" 71.610001 72.349998 71.550003 71.82 1266000 57.608994
"2012-03-13" 72.57 73.050003 72 72.639999 2548000 58.26675
"2012-03-14" 72.199997 73.529999 72.199997 73.349998 1834900 58.836258
"2012-03-15" 73.150002 73.809998 72.809998 73.370003 2090500 58.852291
"2012-03-16" 73.32 73.400002 72.230003 72.269997 2317500 57.96994
"2012-03-19" 71.949997 73.5 71.949997 73.239998 2188400 58.74802
"2012-03-20" 73 74.029999 72.660004 73.940002 1949800 59.309502
"2012-03-21" 74.160004 74.269997 73.419998 73.660004 1727000 59.084908
"2012-03-22" 73.160004 73.709999 72.650002 72.839996 1816900 58.427162
"2012-03-23" 72.849998 73.18 72.519997 72.75 1094800 58.354977
"2012-03-26" 73.160004 74.160004 73.029999 74.160004 1559300 59.485985
"2012-03-27" 74.089996 74.269997 73.410004 73.440002 1288900 58.908447
"2012-03-28" 73.230003 73.459999 72.580002 73.339996 1489800 59.207142
"2012-03-29" 72.870003 73.190002 72.550003 73.099998 1052400 59.013382
"2012-03-30" 73.470001 73.720001 72.949997 73.199997 1387300 59.094109
"2012-04-02" 73.260002 74.559998 73.080002 74.199997 1519800 59.901417
"2012-04-03" 73.989998 74.339996 72.989998 73.519997 1934900 59.35247
"2012-04-04" 72.830002 73.739998 72.779999 73.43 1307500 59.279819
"2012-04-05" 73.110001 73.529999 72.940002 73.18 785400 59.077984
"2012-04-09" 72.449997 72.550003 71.970001 72.25 1104400 58.327187
"2012-04-10" 72.139999 72.279999 71.400002 71.559998 1954200 57.770161
"2012-04-11" 72.330002 72.330002 71.449997 72.110001 1177200 58.214172
"2012-04-12" 72.089996 73.029999 71.709999 73.019997 1207300 58.948807
"2012-04-13" 72.839996 72.959999 71.559998 71.559998 1452100 57.770161
"2012-04-16" 71.720001 72.669998 71.669998 72.440002 1335600 58.480572
"2012-04-17" 72.860001 73.080002 72.230003 72.959999 1279300 58.900372
"2012-04-18" 72.519997 72.68 72.120003 72.349998 1663500 58.407921
"2012-04-19" 72.669998 74.989998 72.669998 74.839996 3129200 60.418076
"2012-04-20" 74.879997 75.480003 74.839996 75.300003 2936000 60.789455
"2012-04-23" 74.699997 74.839996 74.330002 74.5 1657600 60.143604
"2012-04-24" 74.57 75.5 74.300003 75.239998 1968600 60.741013
"2012-04-25" 75.599998 76.059998 74.230003 75.949997 2594400 61.314209
"2012-04-26" 75.379997 77.029999 75.330002 76.959999 1668800 62.129559
"2012-04-27" 77.190002 77.190002 75.900002 76.360001 1390700 61.645176
"2012-04-30" 76.300003 76.650002 75.760002 75.970001 1376300 61.330341
"2012-05-01" 76.57 77.300003 76.379997 76.760002 1876700 61.968086
"2012-05-02" 76.510002 76.980003 76.139999 76.830002 1170300 62.024624
"2012-05-03" 77.349998 77.419998 76.68 77 1450900 62.161861
"2012-05-04" 76.870003 77.150002 76.129997 76.440002 1406800 61.709751
"2012-05-07" 75.93 76.519997 74.900002 76.449997 1351600 61.717854
"2012-05-08" 75.889999 76.419998 75.239998 75.82 1571100 61.209255
"2012-05-09" 73.559998 75.839996 73.480003 75.269997 1889000 60.765213
"2012-05-10" 75.779999 76.459999 75.510002 75.959999 1257000 61.322273
"2012-05-11" 75.360001 76.459999 75.040001 76.269997 1482500 61.572521
"2012-05-14" 75.550003 75.949997 75.269997 75.480003 1574400 60.934757
"2012-05-15" 75.32 76.059998 75.18 75.660004 1746200 61.080078
"2012-05-16" 75.800003 76.25 75.099998 75.260002 1747800 60.757164
"2012-05-17" 75.230003 75.300003 73.410004 73.419998 1739300 59.271744
"2012-05-18" 74.25 74.25 71.830002 72.019997 2287800 58.141506
"2012-05-21" 72.309998 73.059998 71.980003 72.720001 1842100 58.706631
"2012-05-22" 72.919998 73.480003 72.239998 72.529999 2116300 58.553219
"2012-05-23" 72.209999 73.059998 71.449997 72.870003 1775900 58.827713
"2012-05-24" 73.040001 73.300003 72.25 73.239998 1098200 59.126419
"2012-05-25" 73.139999 73.889999 73.07 73.18 1377400 59.077984
"2012-05-29" 73.419998 73.669998 72.910004 73.43 1252700 59.279819
"2012-05-30" 72.970001 72.970001 71.879997 71.940002 1415700 58.076935
"2012-05-31" 71.989998 72.809998 71.459999 72.330002 1884400 58.391777
"2012-06-01" 71.370003 71.800003 70.209999 70.220001 1795800 56.688374
"2012-06-04" 70.32 70.459999 69.790001 70 1290100 56.510788
"2012-06-05" 69.860001 70.699997 69.519997 70.339996 1581000 56.785255
"2012-06-06" 70.919998 72.330002 70.650002 72.330002 2226000 58.391777
"2012-06-07" 73.169998 73.480003 72.370003 72.550003 1855000 58.569386
"2012-06-08" 72.25 72.849998 71.709999 72.849998 1173000 58.811577
"2012-06-11" 73.339996 73.349998 71.300003 71.360001 1240000 57.608707
"2012-06-12" 71.480003 72.129997 71.32 72.089996 1179400 58.198017
"2012-06-13" 71.739998 71.970001 71.019997 71.230003 975100 57.503746
"2012-06-14" 71.459999 72.860001 71.43 72.610001 1476800 58.617825
"2012-06-15" 72.989998 73.120003 72.370003 72.75 1727900 58.730835
"2012-06-18" 72.419998 72.889999 71.93 72.269997 855100 58.34333
"2012-06-19" 72.639999 73.220001 72.470001 73.089996 1294000 59.005322
"2012-06-20" 73.190002 73.639999 72.639999 72.989998 1154600 58.924583
"2012-06-21" 73.389999 73.629997 71.360001 71.410004 1318200 57.649059
"2012-06-22" 71.610001 72.629997 71.529999 72.279999 1515300 58.351418
"2012-06-25" 71.32 71.529999 70.639999 70.730003 1380300 57.100101
"2012-06-26" 70.980003 71.610001 70.739998 71.260002 1599100 57.527973
"2012-06-27" 71.510002 71.949997 71.010002 71.809998 1006300 57.971977
"2012-06-28" 71.330002 72.349998 70.889999 72.300003 1204100 58.367558
"2012-06-29" 73.849998 74.150002 73.230003 74.129997 2129300 59.84491
"2012-07-02" 74.300003 74.849998 73.860001 74.440002 1076500 60.095173
"2012-07-03" 74.230003 74.980003 73.970001 74.93 574600 60.49073
"2012-07-05" 74.82 74.82 73.489998 73.519997 1612100 59.35247
"2012-07-06" 72.779999 72.940002 72.309998 72.529999 1364000 58.553219
"2012-07-09" 72.529999 72.709999 72 72.330002 998400 58.391777
"2012-07-10" 72.419998 72.830002 71.239998 71.260002 2098300 57.527973
"2012-07-11" 70.949997 71.040001 70.099998 70.279999 3424400 56.736813
"2012-07-12" 69.959999 71.900002 69.839996 71.519997 2674300 57.737858
"2012-07-13" 71.760002 72.870003 71.599998 72.809998 2116600 58.779274
"2012-07-16" 72.510002 72.660004 72.050003 72.209999 965000 58.29491
"2012-07-17" 72.410004 72.639999 71.209999 72 2068100 58.125374
"2012-07-18" 71.650002 72.550003 71.360001 72.199997 1254700 58.286819
"2012-07-19" 72.139999 72.650002 71.5 71.639999 1806200 57.834743
"2012-07-20" 71.160004 71.290001 70.449997 70.779999 1809400 57.140465
"2012-07-23" 69.709999 70.040001 69.489998 69.889999 2426900 56.421967
"2012-07-24" 70.050003 70.129997 68.980003 69.169998 2097200 55.84071
"2012-07-25" 71.199997 72.769997 70.610001 72.309998 3278800 58.375629
"2012-07-26" 73.019997 73.540001 72.120003 72.239998 1763500 58.319092
"2012-07-27" 72.5 74 72.25 73.559998 2058000 59.790295
"2012-07-30" 73.300003 73.800003 72.940002 73.550003 1214800 59.782185
"2012-07-31" 73.360001 73.82 73.110001 73.5 2415200 59.741539
"2012-08-01" 73.660004 74.260002 72.989998 73.110001 1545000 59.424541
"2012-08-02" 72.529999 72.940002 71.860001 72.559998 1452000 58.977493
"2012-08-03" 73.459999 74.059998 73.43 73.660004 1683100 59.871574
"2012-08-06" 73.769997 74.32 73.559998 73.690002 1208900 59.895973
"2012-08-07" 73.790001 73.970001 73.040001 73.209999 1916000 59.505817
"2012-08-08" 72.800003 73.75 72.800003 73.300003 1701700 59.578983
"2012-08-09" 73.169998 73.379997 72.870003 73.120003 1296900 59.432682
"2012-08-10" 72.540001 72.839996 72.339996 72.739998 1131600 59.123791
"2012-08-13" 72.489998 72.720001 72.099998 72.449997 1014900 58.888088
"2012-08-14" 72.68 72.889999 72.120003 72.309998 805900 58.774288
"2012-08-15" 72.370003 73.540001 72.360001 72.910004 939600 59.262005
"2012-08-16" 72.849998 73.279999 72.629997 73.209999 898100 59.505817
"2012-08-17" 73.5 73.830002 72.860001 73.459999 1495000 59.709045
"2012-08-20" 73.209999 74.120003 73.209999 74.089996 1350600 60.221096
"2012-08-21" 74.120003 74.290001 73.480003 74.129997 2153100 60.253613
"2012-08-22" 74.019997 74.5 73.860001 74.300003 1470500 60.391788
"2012-08-23" 74.220001 74.269997 73.879997 74.120003 1486300 60.24548
"2012-08-24" 73.830002 74.660004 73.830002 74.25 1506100 60.351135
"2012-08-27" 74.300003 74.389999 73.849998 73.910004 956100 60.074799
"2012-08-28" 73.620003 74.199997 73.419998 73.870003 1189300 60.042263
"2012-08-29" 73.900002 73.940002 73.410004 73.639999 798900 59.855324
"2012-08-30" 73.150002 73.75 73.150002 73.519997 974000 59.757797
"2012-08-31" 73.900002 74.300003 73.470001 73.730003 1167200 59.928471
"2012-09-04" 73.610001 74.709999 73.610001 74.589996 1294300 60.627483
"2012-09-05" 74.709999 74.82 74.169998 74.330002 2040000 60.416157
"2012-09-06" 74.669998 75.129997 74.669998 75.129997 1609500 61.066402
"2012-09-07" 75.389999 75.43 74.949997 75.07 1183000 61.017635
"2012-09-10" 75.120003 75.230003 74.68 74.809998 2025000 60.806313
"2012-09-11" 74.559998 75.129997 74.459999 75.089996 1810600 61.033909
"2012-09-12" 75.199997 75.709999 74.860001 75.550003 1601800 61.407795
"2012-09-13" 75.440002 77.050003 75.050003 77.040001 1932100 62.618896
"2012-09-14" 76.279999 77.849998 76.279999 77.029999 1775900 62.610764
"2012-09-17" 76.919998 77.010002 76.190002 76.389999 1243900 62.090542
"2012-09-18" 76.449997 77.089996 76.089996 76.849998 1046200 62.464439
"2012-09-19" 76.879997 77 76.190002 76.199997 1275000 61.936115
"2012-09-20" 75.760002 76.410004 75.25 76.32 1520400 62.033661
"2012-09-21" 76.690002 76.720001 75.910004 75.93 1828300 61.716667
"2012-09-24" 75.809998 76.309998 75.510002 76.080002 1354400 61.838596
"2012-09-25" 76.379997 76.669998 75.25 75.550003 2633300 61.407795
"2012-09-26" 75.379997 75.970001 74.989998 75.209999 1641700 61.530514
"2012-09-27" 75.510002 75.669998 75.040001 75.529999 939400 61.792297
"2012-09-28" 75.230003 75.910004 74.82 75.599998 1415100 61.849583
"2012-10-01" 75.82 77.169998 75.75 76.940002 2129900 62.945877
"2012-10-02" 77.089996 77.279999 76.779999 77.059998 1734300 63.04401
"2012-10-03" 77.290001 77.540001 76.910004 77.360001 1719200 63.289463
"2012-10-04" 77.790001 78.349998 77.529999 77.860001 1468300 63.698509
"2012-10-05" 78.18 78.589996 77.959999 78.129997 1336400 63.919411
"2012-10-08" 78.050003 78.25 77.800003 78.07 656800 63.870331
"2012-10-09" 78.059998 78.25 77.360001 77.440002 1164900 63.354912
"2012-10-10" 77.510002 77.82 77.349998 77.540001 978800 63.436726
"2012-10-11" 77.82 78.129997 77.290001 77.949997 1073800 63.772148
"2012-10-12" 77.900002 78.150002 76.959999 77.010002 958100 63.00312
"2012-10-15" 77.32 77.730003 77.129997 77.669998 752800 63.543083
"2012-10-16" 78.07 78.93 77.959999 78.699997 1018100 64.385735
"2012-10-17" 78.879997 79.349998 78.690002 79.290001 922500 64.868423
"2012-10-18" 80.040001 82.040001 79.800003 81.699997 3023500 66.84008
"2012-10-19" 81.639999 82.07 80.139999 80.519997 1657800 65.87471
"2012-10-22" 79.150002 81.110001 79.150002 80.889999 1367200 66.177406
"2012-10-23" 79.699997 80.400002 79.25 80.25 2821400 65.653824
"2012-10-24" 80.349998 81.849998 79.57 79.739998 2632300 65.23658
"2012-10-25" 79.989998 80.639999 79.300003 80.010002 1848700 65.457474
"2012-10-26" 79.93 79.980003 78.790001 79.349998 1570300 64.917511
"2012-10-31" 78.800003 79.370003 78.32 78.650002 2377300 64.344826
"2012-11-01" 79.050003 79.559998 77.879997 78.330002 1960700 64.083054
"2012-11-02" 78.510002 78.610001 76.940002 77.5 2188200 63.403976
"2012-11-05" 77.699997 77.959999 76.800003 77.93 1413200 63.755802
"2012-11-06" 77.919998 79.209999 77.599998 79.040001 1601900 64.663895
"2012-11-07" 78.019997 78.489998 77.360001 77.879997 2194700 63.714886
"2012-11-08" 77.93 78.629997 77.540001 78.019997 1671600 63.829395
"2012-11-09" 77.739998 78.870003 77.410004 78.150002 1328000 63.93578
"2012-11-12" 77.93 78.160004 77.209999 77.550003 1143500 63.444904
"2012-11-13" 77.239998 77.919998 76.849998 76.870003 1138900 62.888577
"2012-11-14" 76.870003 77.199997 75.949997 76.099998 1213000 62.258644
"2012-11-15" 76.120003 77.400002 75.959999 76.730003 1753200 62.774052
"2012-11-16" 76.75 77.400002 76.029999 77.300003 1158800 63.240391
"2012-11-19" 77.849998 78.860001 77.529999 78.199997 1604200 63.976665
"2012-11-20" 78.199997 78.699997 77.790001 78.639999 1336400 64.336632
"2012-11-21" 78.5 78.739998 77.910004 78.720001 1008300 64.402107
"2012-11-23" 79.050003 79.839996 79 79.800003 410700 65.285683
"2012-11-26" 79.220001 79.410004 78.559998 78.980003 1027900 64.614799
"2012-11-27" 77.580002 79.110001 77.580002 78.419998 1056400 64.15667
"2012-11-28" 78.139999 79.120003 77.860001 78.989998 1400600 64.622978
"2012-11-29" 79.220001 79.839996 78.980003 79.620003 1133200 65.138405
"2012-11-30" 79.5 79.580002 78.82 79.230003 1373300 64.819359
"2012-12-03" 79.379997 79.910004 79.169998 79.230003 1019100 64.819359
"2012-12-04" 79.370003 79.739998 79.169998 79.370003 1485500 64.933884
"2012-12-05" 79.559998 80.459999 79.529999 80.309998 1799200 65.702919
"2012-12-06" 80.339996 80.589996 80.080002 80.550003 1310000 65.899246
"2012-12-07" 80.760002 81.199997 80.419998 80.970001 1377500 66.242867
"2012-12-10" 80.760002 81.190002 80.379997 80.82 1310200 66.120125
"2012-12-11" 80.93 80.989998 79.690002 79.910004 2273500 65.375679
"2012-12-12" 80.260002 81.43 80.120003 80.879997 2021700 66.169228
"2012-12-13" 80.540001 80.690002 79.639999 79.760002 1389200 65.650673
"2012-12-14" 79.480003 79.739998 78.989998 79.32 1369000 65.288521
"2012-12-17" 80.019997 81.370003 79.970001 80.900002 1822300 66.58902
"2012-12-18" 81.059998 81.489998 80.480003 81.339996 1960800 66.951172
"2012-12-19" 81.650002 81.870003 80.940002 80.989998 1685300 66.663086
