"Index" "CLOpen" "CLHigh" "CLLow" "CLClose" "CLVolume" "CLAdjusted"
"2012-01-31" 68.589996 68.959999 68.190002 68.660004 991000 52.577312
"2012-02-01" 68.779999 69.599998 68.760002 69.129997 707200 52.937237
"2012-02-02" 69.040001 69.339996 68.580002 68.730003 709200 52.630917
"2012-02-03" 69.980003 70.889999 69.519997 69.860001 1258400 53.496227
"2012-02-06" 69.559998 69.709999 69.239998 69.410004 1173800 53.151653
"2012-02-07" 69.489998 69.669998 69.349998 69.57 884300 53.274166
"2012-02-08" 69.589996 69.650002 68.25 68.379997 1182900 52.362896
"2012-02-09" 68.379997 68.599998 67.900002 68.449997 795700 52.416508
"2012-02-10" 68.019997 68.18 67.470001 67.75 701200 51.88047
"2012-02-13" 68.099998 68.220001 67.889999 68.07 486500 52.125515
"2012-02-14" 68.160004 68.529999 67.620003 68.089996 985500 52.140835
"2012-02-15" 68.040001 68.43 67.800003 68.370003 905900 52.355255
"2012-02-16" 68.370003 68.699997 68.139999 68.610001 525000 52.539055
"2012-02-17" 68.879997 68.879997 68.160004 68.489998 838500 52.447144
"2012-02-21" 68.669998 68.760002 67.599998 67.709999 664900 51.849834
"2012-02-22" 67.699997 67.82 67.199997 67.610001 808600 51.773273
"2012-02-23" 67.68 68.410004 67.459999 68.110001 801400 52.156158
"2012-02-24" 68.120003 68.150002 67.690002 67.790001 1190300 51.911114
"2012-02-27" 67.5 67.790001 67.199997 67.290001 1255400 51.528225
"2012-02-28" 67.400002 67.879997 67.269997 67.809998 803700 51.926399
"2012-02-29" 67.540001 67.989998 67.459999 67.610001 1274000 51.773273
"2012-03-01" 67.599998 67.93 67.440002 67.75 887000 51.88047
"2012-03-02" 67.68 67.879997 67.300003 67.529999 819000 51.711998
"2012-03-05" 67.5 68.110001 67.449997 67.919998 538500 52.010651
"2012-03-06" 67.660004 68.010002 67.5 67.800003 810200 51.918758
"2012-03-07" 67.709999 67.82 67.32 67.559998 904900 51.734985
"2012-03-08" 67.800003 67.919998 67.349998 67.809998 650100 51.926399
"2012-03-09" 67.809998 67.919998 67.459999 67.910004 621100 52.002998
"2012-03-12" 67.790001 68.290001 67.790001 68.139999 770700 52.179115
"2012-03-13" 68.209999 68.639999 68.150002 68.629997 822300 52.554344
"2012-03-14" 68.559998 68.790001 68.290001 68.410004 619600 52.385891
"2012-03-15" 68.410004 68.879997 68.330002 68.75 663400 52.646229
"2012-03-16" 68.910004 68.910004 67.839996 68.209999 1235800 52.232716
"2012-03-19" 68.209999 68.279999 67.43 67.839996 995500 51.949383
"2012-03-20" 67.489998 68.18 67.419998 68.080002 808900 52.133183
"2012-03-21" 68 68.599998 67.809998 68.290001 683200 52.293987
"2012-03-22" 67.919998 68.360001 67.919998 68.209999 630800 52.232716
"2012-03-23" 68.230003 68.239998 67.650002 67.989998 654500 52.06427
"2012-03-26" 68.139999 68.470001 67.870003 68.32 905300 52.316956
"2012-03-27" 68.5 68.800003 68.050003 68.150002 1005700 52.186794
"2012-03-28" 68.199997 68.709999 68.199997 68.410004 995000 52.385891
"2012-03-29" 68.209999 68.650002 67.68 68.349998 995800 52.339928
"2012-03-30" 68.57 68.980003 68.449997 68.75 790100 52.646229
"2012-04-02" 68.480003 70.089996 68.309998 69.32 1407800 53.082714
"2012-04-03" 69.339996 70.080002 69.290001 69.699997 1021900 53.373699
"2012-04-04" 69.419998 69.529999 69.050003 69.059998 689700 52.883621
"2012-04-05" 69 69 68.309998 68.959999 1018100 52.807049
"2012-04-09" 68.529999 68.870003 68.309998 68.870003 998800 52.738144
"2012-04-10" 68.870003 69 68.510002 68.879997 1213800 52.745777
"2012-04-11" 69.099998 69.529999 69.07 69.480003 912500 53.20525
"2012-04-12" 69.510002 69.849998 69.080002 69.849998 3043100 53.488567
"2012-04-13" 69.720001 70.360001 69.610001 70.230003 3412100 53.779583
"2012-04-16" 70.330002 70.400002 69.93 70.080002 3218800 53.664696
"2012-04-17" 70.169998 70.349998 69.75 70.339996 1048300 53.8638
"2012-04-18" 70.18 70.550003 69.93 70.389999 540300 53.902088
"2012-04-19" 70.18 70.589996 69.910004 70 750900 53.603447
"2012-04-20" 70.190002 70.650002 69.949997 70.239998 1348400 53.787224
"2012-04-23" 69.5 69.5 68.779999 69.019997 1002700 53.308369
"2012-04-24" 69.260002 69.57 69.120003 69.43 744200 53.625046
"2012-04-25" 69.75 69.980003 69.440002 69.82 486200 53.926258
"2012-04-26" 69.75 70.300003 69.669998 70.040001 558700 54.096165
"2012-04-27" 69.839996 70.220001 69.720001 69.779999 822300 53.89534
"2012-04-30" 69.849998 70.120003 69.470001 70.099998 1293500 54.142513
"2012-05-01" 69.989998 70.489998 69.900002 70.019997 1357100 54.080715
"2012-05-02" 68.730003 68.75 66.75 67.800003 3932100 52.366077
"2012-05-03" 67.940002 68.190002 66.720001 67.029999 1702100 51.771362
"2012-05-04" 66.949997 67.5 66.809998 67.459999 1507000 52.103485
"2012-05-07" 67.419998 68.25 67.300003 68.169998 1431000 52.651855
"2012-05-08" 67.940002 68.610001 67.739998 68.489998 1486200 52.899014
"2012-05-09" 68.239998 68.739998 68.010002 68.360001 970100 52.798607
"2012-05-10" 68.68 68.860001 68.360001 68.519997 711700 52.922173
"2012-05-11" 68.519997 68.779999 68.339996 68.559998 605400 52.953075
"2012-05-14" 68.339996 69.230003 68.309998 69.07 1090700 53.346977
"2012-05-15" 68.910004 69.370003 68.879997 69.040001 825800 53.323792
"2012-05-16" 69.120003 69.330002 68.5 68.639999 974400 53.014866
"2012-05-17" 68.650002 68.959999 67.809998 67.82 929700 52.381538
"2012-05-18" 68 68.489998 67.400002 67.639999 894000 52.2425
"2012-05-21" 67.900002 68.360001 67.379997 68.290001 872400 52.744545
"2012-05-22" 68.370003 68.879997 68.300003 68.410004 638400 52.837227
"2012-05-23" 68.379997 69.150002 68.330002 69 1400000 53.292923
"2012-05-24" 69 69.739998 68.860001 69.190002 936500 53.439663
"2012-05-25" 69.230003 70.07 69.230003 69.589996 908300 53.7486
"2012-05-29" 69.339996 69.830002 69.099998 69.510002 902500 53.68681
"2012-05-30" 69.269997 69.690002 68.839996 68.839996 1014900 53.169327
"2012-05-31" 68.720001 69.279999 68.650002 68.800003 1321600 53.138443
"2012-06-01" 68.870003 69.650002 68.830002 69.360001 2599300 53.570976
"2012-06-04" 69.080002 70.07 69.080002 69.980003 1641400 54.049812
"2012-06-05" 69.860001 70.089996 69.400002 69.959999 1133100 54.034378
"2012-06-06" 70.220001 71.059998 70.059998 71.050003 1303400 54.876263
"2012-06-07" 71.32 71.5 70.790001 71.349998 1287300 55.107971
"2012-06-08" 71.25 71.940002 71.129997 71.82 773000 55.470963
"2012-06-11" 71.93 72.019997 71.389999 71.43 816100 55.169758
"2012-06-12" 71.419998 71.82 71.150002 71.82 881900 55.470963
"2012-06-13" 71.720001 72.080002 71.410004 72.019997 1546500 55.625431
"2012-06-14" 72.199997 73.230003 72.139999 73.059998 1280800 56.428703
"2012-06-15" 73.349998 73.540001 72.489998 72.559998 1650600 56.042522
"2012-06-18" 72.68 72.860001 72.290001 72.849998 808300 56.266502
"2012-06-19" 72.660004 72.989998 72.220001 72.230003 1311800 55.787632
"2012-06-20" 72.129997 72.190002 71.330002 71.889999 1176700 55.525028
"2012-06-21" 71.910004 72.160004 70.940002 71.029999 747300 54.860809
"2012-06-22" 71.279999 71.449997 71.050003 71.139999 834200 54.945766
"2012-06-25" 70.989998 71.160004 70.300003 70.57 678300 54.50552
"2012-06-26" 70.769997 71.389999 70.620003 71.040001 752100 54.868538
"2012-06-27" 71.07 71.639999 71.010002 71.489998 650700 55.216095
"2012-06-28" 70.720001 71.879997 70.720001 71.879997 967700 55.517319
"2012-06-29" 72.220001 72.720001 72.089996 72.459999 854400 55.96529
"2012-07-02" 71.68 72.349998 71.120003 72.309998 808900 55.849415
"2012-07-03" 72.260002 72.839996 72.050003 72.669998 299800 56.127483
"2012-07-05" 72.599998 72.800003 72.300003 72.550003 440800 56.034786
"2012-07-06" 72.269997 72.449997 71.690002 72.18 809800 55.749016
"2012-07-09" 72.18 72.349998 71.919998 72.239998 430100 55.795364
"2012-07-10" 72.650002 72.730003 72.190002 72.330002 528300 55.86488
"2012-07-11" 72.309998 72.529999 71.980003 72.220001 532300 55.7799
"2012-07-12" 72.169998 72.68 72.059998 72.400002 936600 55.918934
"2012-07-13" 72.559998 73.489998 72.449997 73.080002 896000 56.44416
"2012-07-16" 72.879997 73.300003 72.599998 72.720001 746800 56.166107
"2012-07-17" 72.75 73.559998 72.5 73.32 724500 56.629505
"2012-07-18" 73.190002 73.629997 73.010002 73.230003 527300 56.55999
"2012-07-19" 73.290001 73.650002 72.760002 73.370003 1039500 56.668137
"2012-07-20" 73.040001 73.589996 72.580002 72.739998 1779900 56.181549
"2012-07-23" 71.669998 72.760002 71.5 72.650002 814700 56.610107
"2012-07-24" 72.580002 72.75 71.949997 72.279999 530700 56.321812
"2012-07-25" 72.389999 72.550003 71.730003 72.120003 614600 56.19714
"2012-07-26" 72.68 72.940002 72.540001 72.870003 773400 56.781555
"2012-07-27" 73.099998 73.550003 72.919998 73.120003 947000 56.976349
"2012-07-30" 73.07 73.589996 72.830002 73.040001 763200 56.914021
"2012-07-31" 72.959999 73.099998 72.599998 72.709999 617500 56.656868
"2012-08-01" 72.720001 72.900002 71.959999 72.160004 836000 56.228287
"2012-08-02" 72.160004 72.690002 71.720001 72.220001 651600 56.275047
"2012-08-03" 72.879997 73.07 71.709999 71.760002 880400 55.916595
"2012-08-06" 71.940002 72.099998 71.419998 71.480003 947500 55.698437
"2012-08-07" 71.449997 71.599998 70.519997 70.949997 1456900 55.285461
"2012-08-08" 70.839996 71.470001 70.739998 71.389999 650900 55.628296
"2012-08-09" 71.32 71.489998 70.919998 71.480003 555700 55.698437
"2012-08-10" 71.5 72.220001 71.260002 71.849998 688000 55.986729
"2012-08-13" 71.730003 71.900002 71.550003 71.82 474000 55.96336
"2012-08-14" 71.989998 72.75 71.709999 72.529999 1164200 56.516621
"2012-08-15" 72.360001 72.650002 71.839996 72.07 1232600 56.158176
"2012-08-16" 71.910004 72.349998 71.760002 72.209999 919300 56.267246
"2012-08-17" 72.120003 72.5 71.709999 72.389999 811200 56.407528
"2012-08-20" 72.279999 72.400002 71.889999 72.309998 488600 56.345161
"2012-08-21" 72.339996 72.559998 72.059998 72.099998 846600 56.181549
"2012-08-22" 71.959999 72.220001 71.720001 72.059998 502900 56.150379
"2012-08-23" 72.139999 72.260002 71.809998 71.970001 765600 56.08025
"2012-08-24" 71.82 72.5 71.75 72.309998 747400 56.345161
"2012-08-27" 72.300003 72.660004 72.300003 72.360001 579400 56.38414
"2012-08-28" 72.309998 72.610001 72.080002 72.190002 585900 56.251678
"2012-08-29" 72.059998 72.309998 71.75 72.089996 601300 56.173737
"2012-08-30" 72 72.470001 71.800003 72.300003 518800 56.337383
"2012-08-31" 72.480003 72.830002 72.309998 72.75 603100 56.68803
"2012-09-04" 72.93 73.209999 72.57 72.989998 764600 56.875046
"2012-09-05" 72.900002 73.099998 72.610001 72.900002 401800 56.804913
"2012-09-06" 73.199997 73.449997 72.93 73.440002 729700 57.225697
"2012-09-07" 73.410004 73.43 72.650002 72.779999 527300 56.711407
"2012-09-10" 72.57 72.730003 72.269997 72.32 539200 56.35297
"2012-09-11" 72.260002 72.260002 71.889999 72.110001 560500 56.189316
"2012-09-12" 72.239998 72.400002 71.550003 71.690002 634600 55.862076
"2012-09-13" 71.730003 71.980003 71.199997 71.949997 837700 56.064655
"2012-09-14" 72.339996 72.339996 70.449997 70.589996 992100 55.004932
"2012-09-17" 70.349998 70.510002 69.669998 70.099998 1942600 54.623112
"2012-09-18" 70.120003 71.190002 69.809998 70.949997 973100 55.285461
"2012-09-19" 71.019997 71.860001 70.879997 71.449997 671400 55.675045
"2012-09-20" 71.360001 72 71.25 71.75 572700 55.908829
"2012-09-21" 71.889999 72.18 71.199997 71.400002 1159500 55.636074
"2012-09-24" 71.349998 72.150002 71.349998 71.959999 691400 56.072453
"2012-09-25" 71.959999 72.309998 71.330002 71.389999 745500 55.628296
"2012-09-26" 71.400002 72.919998 71.400002 72.010002 698800 56.111412
"2012-09-27" 72.080002 72.18 71.360001 71.629997 521400 55.815323
"2012-09-28" 71.540001 72.080002 71.050003 72.050003 826100 56.14259
