"Index" "COOpen" "COHigh" "COLow" "COClose" "COVolume" "COAdjusted"
"2012-01-31" 16.334999 16.469999 15.715 15.95 10174014 14.164366
"2012-02-01" 16.075001 16.35 15.71 16.290001 9105436 14.466302
"2012-02-02" 16.26 16.309999 15.81 16.084999 14225796 14.284249
"2012-02-03" 16.34 16.355 15.975 16.225 9404410 14.408576
"2012-02-06" 16.155001 16.85 16 16.77 7795384 14.892567
"2012-02-07" 16.77 17.135 16.52 17.025 7863942 15.119012
"2012-02-08" 16.99 17.275 16.459999 16.525 7128466 14.674993
"2012-02-09" 16.540001 16.895 16.190001 16.275 11570766 14.45298
"2012-02-10" 16.049999 16.815001 15.8355 16.785 10552908 14.905886
"2012-02-13" 16.924999 17.059999 16.705 17.02 4227926 15.114577
"2012-02-14" 16.98 17.615 16.975 17.504999 9441288 15.545279
"2012-02-15" 17.625 17.745001 17.205 17.334999 7525590 15.39431
"2012-02-16" 17.370001 18.02 17.155001 17.74 9177902 15.753977
"2012-02-17" 17.975 18.57 17.975 18.32 10422744 16.269033
"2012-02-21" 19.129999 19.129999 17.465 18.004999 17760748 15.989303
"2012-02-22" 17.995001 18.27 17.280001 17.52 9258850 15.5586
"2012-02-23" 17.58 17.75 17.254999 17.715 6449006 15.731771
"2012-02-24" 17.809999 18 17.575001 17.844999 4711360 15.847218
"2012-02-27" 17.84 18.07 17.705 17.75 6640806 15.762846
"2012-02-28" 17.73 17.924999 17.445 17.719999 5683642 15.73621
"2012-02-29" 17.665001 17.7439 17.2875 17.440001 5890032 15.487556
"2012-03-01" 17.514999 18 17.405001 17.985001 5373468 15.971544
"2012-03-02" 17.879999 17.965 17.125 17.23 6282246 15.301065
"2012-03-05" 17.165001 17.280001 16.725 17.174999 6007182 15.252223
"2012-03-06" 16.764999 16.975 16.514999 16.92 5387556 15.025768
"2012-03-07" 16.950001 17.309999 16.719999 17.245001 7022600 15.314388
"2012-03-08" 17.370001 17.635 17.225 17.525 4763630 15.563038
"2012-03-09" 17.635 17.745001 17.325001 17.455 4172814 15.500873
"2012-03-12" 17.344999 17.344999 16.754999 16.870001 4819012 14.981368
"2012-03-13" 16.959999 17.075001 16.615 16.959999 5974650 15.061292
