"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 47.779163 47.964191 47.024834 47.693768 5083295 36.114933
"2012-02-01" 48.035355 48.391171 47.7934 48.305775 7345270 36.578369
"2012-02-02" 47.138695 48.391171 46.982136 47.736465 8072258 36.147255
"2012-02-03" 48.33424 49.031643 48.320007 48.647362 4913545 36.837021
"2012-02-06" 47.836098 48.391171 47.836098 48.362705 3921042 36.621475
"2012-02-07" 48.206146 48.818153 47.551441 48.191914 4731640 36.49213
"2012-02-08" 48.106518 48.590427 47.622604 48.320007 4207424 36.589153
"2012-02-09" 48.376938 49.202435 48.149216 48.988945 5262109 37.095673
"2012-02-10" 48.248844 48.433868 47.693768 48.391171 5292813 36.643021
"2012-02-13" 48.604664 48.96048 48.419636 48.661594 4290332 36.847797
"2012-02-14" 48.12075 48.348473 47.252556 47.821865 3970997 36.211922
"2012-02-15" 47.992657 48.419636 47.579906 47.907261 4539688 36.276608
"2012-02-16" 47.921494 49.102806 47.779163 49.01741 4691451 37.117233
"2012-02-17" 49.117039 49.814442 49.003178 49.814442 5766440 37.720757
"2012-02-21" 49.615185 49.956768 49.01741 49.316296 5855180 37.343563
"2012-02-22" 48.533497 48.875084 47.7934 47.921494 5811056 36.287376
"2012-02-23" 47.907261 48.533497 47.537209 48.191914 4315345 36.49213
"2012-02-24" 48.320007 48.561962 48.035355 48.134983 2604355 36.449028
"2012-02-27" 47.693768 48.818153 47.352184 48.661594 4430221 36.847797
"2012-02-28" 48.789688 49.529785 48.704292 48.889317 5329208 37.020226
"2012-02-29" 49.088573 49.117039 47.323719 47.693768 9052606 36.114933
"2012-03-01" 47.949959 48.718521 47.693768 48.533497 6578444 36.750797
"2012-03-02" 48.391171 48.889317 48.177681 48.675823 4917269 36.858574
"2012-03-05" 48.448101 48.618896 47.636837 47.949959 5068962 36.308929
"2012-03-06" 47.024834 47.16716 45.886215 46.256268 7357706 35.026428
"2012-03-07" 46.583618 47.352184 46.341663 47.138695 4973829 35.69463
"2012-03-08" 47.679539 48.391171 47.565674 48.191914 4173629 36.49213
"2012-03-09" 48.305775 49.01741 48.035355 48.476566 3602690 36.707691
"2012-03-12" 48.362705 48.519264 47.764935 47.836098 4094656 36.222698
"2012-03-13" 48.06382 49.28783 48.06382 49.245132 4130348 37.28965
"2012-03-14" 49.28783 49.415928 48.74699 49.031643 3100045 37.128006
"2012-03-15" 49.074341 49.814442 48.846619 49.814442 4507508 37.720757
"2012-03-16" 49.899837 50.839195 49.899837 50.241421 7527737 38.044083
"2012-03-19" 49.928303 50.782265 49.928303 50.440681 4740633 38.194973
"2012-03-20" 50.056396 50.59724 49.956768 50.241421 4305368 38.044083
"2012-03-21" 50.341049 50.469147 49.686348 49.871372 3485144 37.763874
"2012-03-22" 49.159737 49.316296 48.576199 49.060108 5030740 37.149563
"2012-03-23" 49.145504 49.942535 48.604664 49.842907 3888511 37.742313
"2012-03-26" 49.985233 50.81073 49.985233 50.782265 5032778 38.453613
"2012-03-27" 50.938824 51.237713 50.042164 50.042164 5068611 37.8932
"2012-03-28" 49.85714 49.885605 48.177681 48.561962 7043359 37.035694
"2012-03-29" 48.06382 48.818153 47.693768 48.647362 8397354 37.100819
"2012-03-30" 49.117039 49.415928 48.889317 49.302063 6826464 37.600132
"2012-04-02" 49.188202 49.885605 48.946247 49.771744 6452747 37.958328
"2012-04-03" 49.430157 49.629417 48.291542 48.462334 8487428 36.959698
"2012-04-04" 47.693768 48.006889 47.366417 47.821865 7961386 36.471252
"2012-04-05" 47.579906 48.462334 47.252556 47.565674 9815778 36.275871
"2012-04-09" 46.711712 46.982136 45.928913 46.242035 15956989 35.266392
"2012-04-10" 46.142406 46.455524 44.875694 45.117653 7490850 34.408901
"2012-04-11" 45.957378 46.071243 45.174583 45.359608 5927548 34.593414
"2012-04-12" 45.544632 46.740177 45.430771 46.498222 6622989 35.461781
"2012-04-13" 47.451813 47.978424 46.839806 47.252556 10941215 36.037071
"2012-04-16" 47.565674 48.376938 47.238323 47.821865 7347658 36.471252
"2012-04-17" 48.177681 49.515556 48.149216 49.273598 6881900 37.578407
"2012-04-18" 48.917782 49.58672 48.917782 49.259365 5680020 37.567558
"2012-04-19" 49.245132 49.899837 48.988945 49.757511 8312268 37.947475
"2012-04-20" 49.871372 50.412216 49.842907 50.255653 7546145 38.327381
"2012-04-23" 49.259365 49.64365 49.173969 49.472855 5398204 37.730366
"2012-04-24" 49.600952 49.729046 48.889317 49.28783 6521111 37.58926
"2012-04-25" 49.64365 51.351574 49.558254 51.351574 11475829 39.163177
"2012-04-26" 49.2309 50.013699 48.932014 49.600952 11341561 37.828072
"2012-04-27" 50.013699 50.013699 49.131271 49.430157 7036052 37.697823
"2012-04-30" 49.2309 49.2309 48.078053 48.220379 7928926 36.775181
"2012-05-01" 48.433868 49.003178 47.964191 48.177681 6639360 36.742626
"2012-05-02" 47.779163 47.893028 47.053299 47.466045 7575444 36.199883
"2012-05-03" 47.565674 47.65107 46.768642 46.768642 6207748 35.668018
"2012-05-04" 46.455524 46.612083 45.800819 46.014313 5597674 35.092724
