"Index" "DGOpen" "DGHigh" "DGLow" "DGClose" "DGVolume" "DGAdjusted"
"2012-01-31" 58.5 58.75 57.68 58.080002 1102400 47.886364
"2012-02-01" 58.360001 58.66 57.639999 58.119999 1747100 47.919338
"2012-02-02" 58.18 58.18 57.549999 57.939999 1048400 47.770935
"2012-02-03" 58.360001 58.73 58.209999 58.639999 1092000 48.348083
"2012-02-06" 58.360001 58.490002 57.630001 57.93 926300 47.76268
"2012-02-07" 57.889999 58.400002 57.779999 58.299999 706400 48.067745
"2012-02-08" 58.299999 58.540001 57.970001 58.139999 812900 47.935837
"2012-02-09" 58.099998 58.150002 57.419998 57.709999 774600 47.581291
"2012-02-10" 57.5 57.57 56.66 57.540001 1042900 47.441143
"2012-02-13" 57.669998 57.990002 57.41 57.669998 679300 47.548306
"2012-02-14" 57.380001 57.599998 57.080002 57.490002 947600 47.399914
"2012-02-15" 57.23 57.290001 56.310001 56.75 1660900 46.789795
"2012-02-16" 56.759998 57.59 56.560001 57.529999 1117900 47.432899
"2012-02-17" 57.759998 57.810001 57.150002 57.290001 712300 47.235016
"2012-02-21" 57.279999 57.610001 57.25 57.599998 771200 47.490601
"2012-02-22" 57.299999 57.66 57.119999 57.240002 538500 47.193794
"2012-02-23" 57.209999 57.560001 57.029999 57.240002 372400 47.193794
"2012-02-24" 57.220001 57.450001 56.790001 57.240002 671800 47.193794
"2012-02-27" 57.110001 58.18 57.029999 58 1053700 47.820393
"2012-02-28" 58.110001 58.689999 57.93 58.509998 1063100 48.240879
"2012-02-29" 58.450001 58.560001 57.919998 58.049999 1087000 47.861614
"2012-03-01" 58.049999 58.259998 57.130001 57.93 1030000 47.76268
"2012-03-02" 57.84 58.23 57.5 57.990002 738000 47.81216
"2012-03-05" 57.66 58.150002 57.41 57.740002 1000100 47.606033
"2012-03-06" 57.259998 57.73 56.900002 57.040001 771900 47.028877
"2012-03-07" 57.080002 57.790001 56.98 57.689999 715700 47.564816
"2012-03-08" 58.040001 58.560001 57.93 58.220001 615600 48.001781
"2012-03-09" 58.32 59.139999 58.32 58.880001 767900 48.545948
"2012-03-12" 58.93 58.93 58.060001 58.23 629600 48.010029
"2012-03-13" 58.48 58.779999 58.080002 58.75 662800 48.438766
"2012-03-14" 58.75 59.419998 58.5 59.27 716200 48.867496
"2012-03-15" 59.48 59.959999 59.34 59.919998 673500 49.403416
"2012-03-16" 59.900002 60.119999 59.59 59.810001 874600 49.312737
"2012-03-19" 59.599998 60.23 59.57 60.080002 676900 49.535347
"2012-03-20" 59.84 60.009998 59.610001 59.75 680300 49.263256
"2012-03-21" 59.830002 60.349998 59.669998 60.110001 666000 49.56007
