"Index" "DISCOpen" "DISCHigh" "DISCLow" "DISCClose" "DISCVolume" "DISCAdjusted"
"2012-01-31" 22.130812 22.181911 21.870211 21.911089 2779527 21.911089
"2012-02-01" 22.146141 22.319878 22.003065 22.20746 2334701 22.20746
"2012-02-02" 22.156363 22.386307 21.89576 22.330097 4672729 22.330097
"2012-02-03" 22.514051 22.861523 22.493612 22.820644 3877991 22.820644
"2012-02-06" 22.677568 22.933062 22.636688 22.805313 1730575 22.805313
"2012-02-07" 22.723557 23.208994 22.662237 23.142565 2799880 23.142565
"2012-02-08" 23.096577 23.387838 22.989269 23.173223 2131760 23.173223
"2012-02-09" 23.208994 23.219213 22.927952 23.004599 2404762 23.004599
"2012-02-10" 22.851303 22.96883 22.759325 22.887072 2142328 22.887072
"2012-02-13" 23.132345 23.157894 22.96372 23.076138 1800636 23.076138
"2012-02-14" 23.030148 23.137455 22.887072 23.096577 1462858 23.096577
"2012-02-15" 23.203882 23.398058 23.132345 23.377619 4105786 23.377619
"2012-02-16" 23.740419 23.811956 22.708227 22.96372 4316946 22.96372
"2012-02-17" 23.035257 23.244762 21.865101 23.106796 4309118 23.106796
"2012-02-21" 23.157894 23.173223 22.703117 22.795095 2126476 22.795095
"2012-02-22" 22.728666 22.846193 22.493612 22.611139 2300062 22.611139
"2012-02-23" 22.560041 22.657127 22.478283 22.565151 2813383 22.565151
"2012-02-24" 22.703117 22.779764 22.508942 22.754215 2269924 22.754215
"2012-02-27" 22.503832 22.933062 22.503832 22.769545 2086162 22.769545
"2012-02-28" 22.912621 23.387838 22.810425 23.367399 3718104 23.367399
"2012-02-29" 23.254982 23.960142 23.219213 23.837505 4024570 23.837505
"2012-03-01" 23.817066 23.929483 23.520695 23.771078 3068576 23.771078
"2012-03-02" 23.791517 24.358711 23.71487 24.200308 4659421 24.200308
"2012-03-05" 24.103218 24.399591 24.031681 24.282064 3058791 24.282064
"2012-03-06" 24.072559 24.190086 23.658661 23.796627 3153314 23.796627
"2012-03-07" 23.822178 23.914154 23.622892 23.786407 2347030 23.786407
"2012-03-08" 23.842615 24.169647 23.842615 24.05723 1741730 24.05723
"2012-03-09" 24.144098 24.220745 24.021461 24.10833 1715310 24.10833
"2012-03-12" 23.898825 24.016352 23.612673 23.868166 4013416 23.868166
"2012-03-13" 23.975473 24.680634 23.883495 24.603987 3708711 24.603987
"2012-03-14" 24.517118 24.782831 24.394482 24.48135 3254882 24.48135
"2012-03-15" 24.506899 24.598877 24.200308 24.460911 1870696 24.460911
"2012-03-16" 24.343384 24.563107 24.04701 24.49157 4159995 24.49157
"2012-03-19" 24.414921 24.644865 24.389372 24.573326 1351113 24.573326
"2012-03-20" 24.420031 24.471128 24.092999 24.230967 1846234 24.230967
"2012-03-21" 24.307613 24.752172 24.276955 24.695963 2329221 24.695963
"2012-03-22" 24.578436 24.695963 24.409811 24.619314 1860128 24.619314
"2012-03-23" 24.603987 24.767502 24.343384 24.731731 1670104 24.731731
"2012-03-26" 24.885029 25.002556 24.798161 24.941236 1968742 24.941236
"2012-03-27" 25.002556 25.314257 24.910578 25.293818 3657829 25.293818
"2012-03-28" 25.23761 25.344915 25.125193 25.227388 4641221 25.227388
"2012-03-29" 25.155851 25.268269 24.920797 25.247828 2812992 25.247828
"2012-03-30" 25.666838 25.998978 25.421564 25.855902 3935723 25.855902
"2012-04-02" 25.794584 26.116505 25.769033 26.055187 3005561 26.055187
"2012-04-03" 26.004087 26.218702 25.88656 26.101175 2598896 26.101175
"2012-04-04" 25.712826 26.090956 25.452223 26.024527 3289326 26.024527
"2012-04-05" 26.034746 26.504854 25.901892 26.438425 2902818 26.438425
"2012-04-09" 25.845682 26.085846 25.804804 25.968319 3987387 25.968319
"2012-04-10" 25.93255 26.039858 25.355135 25.416454 2651735 25.416454
"2012-04-11" 25.733265 26.050077 25.733265 25.912109 2384996 25.912109
"2012-04-12" 26.014309 26.28002 25.901892 26.208483 3115348 26.208483
"2012-04-13" 26.239141 26.607052 26.162495 26.417988 2991079 26.417988
"2012-04-16" 26.586613 26.591722 26.320898 26.515074 3285999 26.515074
"2012-04-17" 26.693918 26.826777 26.515074 26.780787 2934522 26.780787
"2012-04-18" 26.627491 26.796118 26.545732 26.65304 1899660 26.65304
"2012-04-19" 26.70414 26.811445 26.438425 26.515074 2641950 26.515074
"2012-04-20" 26.576391 26.862545 26.443537 26.806335 4138859 26.806335
"2012-04-23" 26.571283 26.586613 26.157385 26.336229 2329417 26.336229
"2012-04-24" 26.397547 26.586613 26.213593 26.31068 2374428 26.31068
"2012-04-25" 26.530403 26.688808 26.402657 26.678591 2793226 26.678591
"2012-04-26" 26.571283 27.322432 26.571283 27.271334 2426484 27.271334
"2012-04-27" 27.475727 28.10424 27.3582 28.048033 2603397 28.048033
"2012-04-30" 28.073582 28.099131 27.654573 27.812979 3099301 27.812979
"2012-05-01" 27.904957 28.206438 27.598366 27.654573 3782490 27.654573
"2012-05-02" 27.577925 27.715893 27.537046 27.680122 4150406 27.680122
"2012-05-03" 27.715893 28.283087 27.649464 28.17067 5924622 28.17067
"2012-05-04" 28.114462 28.15534 27.301992 27.307102 5022053 27.307102
"2012-05-07" 27.307102 27.751661 27.148697 27.634134 5039275 27.634134
