"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 42.680271 42.888073 42.12389 42.505981 2558718 34.821331
"2012-02-01" 43.035549 43.444454 42.599831 43.189724 2188158 35.381454
"2012-02-02" 43.290276 43.404232 43.089176 43.250053 1260563 35.430866
"2012-02-03" 43.685772 44.181824 43.685772 43.994129 1735399 36.040421
"2012-02-06" 43.658958 43.846653 43.484673 43.612038 1265038 35.727402
"2012-02-07" 43.370716 43.571815 43.055656 43.498077 1036943 35.63406
"2012-02-08" 43.632149 43.813137 43.357307 43.692478 1307852 35.793324
"2012-02-09" 43.833248 43.90028 43.524895 43.826546 1082890 35.903141
"2012-02-10" 43.290276 43.323792 42.847855 43.243351 751116 35.425381
"2012-02-13" 43.692478 44.268967 43.498077 44.268967 1560711 36.265572
"2012-02-14" 44.222042 44.329296 43.873466 44.242153 1411084 36.243603
"2012-02-15" 44.57732 44.597431 43.746105 43.994129 1759566 36.040421
"2012-02-16" 44.108086 44.785126 43.90028 44.651058 1465087 36.57859
"2012-02-17" 44.925896 45.046555 44.000832 44.302483 1325455 36.293037
"2012-02-21" 44.49688 44.738201 44.014236 44.590729 1629930 36.529167
"2012-02-22" 44.047756 44.724792 44.047756 44.12149 1191642 36.14476
"2012-02-23" 43.967316 44.020943 43.531597 43.960609 1151513 36.012966
"2012-02-24" 44.054459 44.449955 43.866764 44.020943 1244302 36.062389
"2012-02-27" 43.518188 43.893578 43.136097 43.578522 1706309 35.872028
"2012-02-28" 43.652256 43.692478 42.995327 43.310387 1598602 35.651306
"2012-02-29" 43.330498 43.464561 42.700378 42.914886 1528040 35.325752
"2012-03-01" 43.015438 43.504784 42.693676 42.934998 1600989 35.342304
"2012-03-02" 42.754005 42.787525 42.29818 42.418839 1722421 34.917427
"2012-03-05" 42.37862 42.619942 41.895977 42.526093 2176223 35.005711
"2012-03-06" 41.963013 41.963013 40.669262 40.722889 2607500 33.521389
"2012-03-07" 40.655857 41.292675 40.655857 41.151905 3781986 33.874527
"2012-03-08" 41.426743 41.942902 41.292675 41.788723 1685275 34.398735
"2012-03-09" 41.869164 42.499279 41.782021 42.324993 2535745 34.840172
"2012-03-12" 42.231144 42.459061 42.097076 42.291473 1572197 34.812569
"2012-03-13" 42.586422 43.30368 42.586422 43.296978 1446440 35.640263
"2012-03-14" 43.176319 43.270164 42.673569 42.854557 1533709 35.276093
"2012-03-15" 42.9417 43.08247 42.552906 43.015438 1403327 35.408524
"2012-03-16" 43.109283 43.169617 42.914886 42.995327 1648428 35.391975
"2012-03-19" 42.955109 43.270164 42.754005 43.042252 1359021 35.430588
"2012-03-20" 42.680271 42.854557 42.311584 42.385323 2039575 34.889832
"2012-03-21" 42.3451 42.3451 41.647953 41.976418 2003922 34.553246
"2012-03-22" 41.547401 41.614437 40.743 41.312786 1834902 34.006962
"2012-03-23" 41.359711 41.942902 41.319489 41.916088 3394419 34.503574
"2012-03-26" 42.398727 42.546204 42.231144 42.51939 2254244 35.000195
"2012-03-27" 42.646751 42.666862 42.097076 42.217739 2555287 34.751881
"2012-03-28" 42.324993 42.505981 41.158607 41.272564 3581340 33.973854
"2012-03-29" 41.011135 41.768616 40.897179 41.708282 3056081 34.332523
"2012-03-30" 41.916088 42.231144 41.761909 42.190926 3011327 34.729816
"2012-04-02" 42.103783 43.142803 41.869164 42.928295 2238431 35.336784
