"Index" "Close"
"2012-01-31" 18.58
"2012-02-01" 18.440001
"2012-02-02" 19.57
"2012-02-03" 19.24
"2012-02-06" 19
"2012-02-07" 18.49
"2012-02-08" 18.24
"2012-02-09" 17.870001
"2012-02-10" 17.42
"2012-02-13" 17.49
"2012-02-14" 17.66
"2012-02-15" 17.75
"2012-02-16" 17.77
"2012-02-17" 17.469999
"2012-02-21" 17.219999
"2012-02-22" 17.129999
"2012-02-23" 17.190001
"2012-02-24" 16.93
"2012-02-27" 16.809999
"2012-02-28" 16.709999
"2012-02-29" 16.34
"2012-03-01" 16.690001
"2012-03-02" 16.780001
"2012-03-05" 16.49
"2012-03-06" 16.440001
"2012-03-07" 16.51
"2012-03-08" 17.4
"2012-03-09" 17.26
"2012-03-12" 16.84
"2012-03-13" 17.280001
"2012-03-14" 16.5
"2012-03-15" 16.709999
"2012-03-16" 17.459999
"2012-03-19" 17.17
"2012-03-20" 17.01
"2012-03-21" 16.92
"2012-03-22" 16.959999
"2012-03-23" 16.860001
"2012-03-26" 17
"2012-03-27" 17.02
"2012-03-28" 16.790001
"2012-03-29" 16.49
"2012-03-30" 16.49
"2012-04-02" 16.709999
"2012-04-03" 16.65
"2012-04-04" 16.26
"2012-04-05" 16.27
"2012-04-09" 15.9
"2012-04-10" 15.55
"2012-04-11" 15.89
"2012-04-12" 16.52
"2012-04-13" 16.18
"2012-04-16" 15.21
"2012-04-17" 15.28
"2012-04-18" 15.07
"2012-04-19" 14.76
"2012-04-20" 14.93
"2012-04-23" 14.87
"2012-04-24" 14.88
"2012-04-25" 15.01
"2012-04-26" 15.93
"2012-04-27" 15.32
"2012-04-30" 15.38
"2012-05-01" 15.54
"2012-05-02" 15.87
"2012-05-03" 15.67
"2012-05-04" 15.12
"2012-05-07" 15.13
"2012-05-08" 14.48
"2012-05-09" 14.12
"2012-05-10" 14.71
"2012-05-11" 14.57
"2012-05-14" 14.38
"2012-05-15" 14.31
"2012-05-16" 14.41
"2012-05-17" 14.24
"2012-05-18" 14.1
"2012-05-21" 14.38
"2012-05-22" 14.26
"2012-05-23" 14.69
"2012-05-24" 14.22
"2012-05-25" 14.22
"2012-05-29" 14.38
"2012-05-30" 14.15
"2012-05-31" 13.62
"2012-06-01" 13.12
"2012-06-04" 13.07
"2012-06-05" 13.14
"2012-06-06" 13.71
"2012-06-07" 13.42
"2012-06-08" 13.47
"2012-06-11" 12.82
"2012-06-12" 12.79
"2012-06-13" 12.29
"2012-06-14" 12.32
"2012-06-15" 12.44
"2012-06-18" 12.43
"2012-06-19" 12.67
"2012-06-20" 12.66
"2012-06-21" 12
"2012-06-22" 12.26
"2012-06-25" 12.12
"2012-06-26" 11.97
"2012-06-27" 12.11
"2012-06-28" 11.89
"2012-06-29" 12.35
"2012-07-02" 12.28
"2012-07-03" 12.59
"2012-07-05" 12.39
"2012-07-06" 12.02
"2012-07-09" 11.94
"2012-07-10" 11.59
"2012-07-11" 11.68
"2012-07-12" 11.59
"2012-07-13" 11.71
"2012-07-16" 11.53
"2012-07-17" 11.36
"2012-07-18" 11.5
"2012-07-19" 12.27
"2012-07-20" 11.98
"2012-07-23" 11.82
"2012-07-24" 11.54
"2012-07-25" 11.51
"2012-07-26" 10.95
"2012-07-27" 11.41
"2012-07-30" 11.23
"2012-07-31" 11.02
"2012-08-01" 11.68
"2012-08-02" 11.37
"2012-08-03" 11.97
"2012-08-06" 12.2
"2012-08-07" 12.79
"2012-08-08" 12.94
"2012-08-09" 13.12
"2012-08-10" 13.08
"2012-08-13" 12.87
"2012-08-14" 12.71
"2012-08-15" 13.09
"2012-08-16" 13.81
"2012-08-17" 13.77
"2012-08-20" 13.56
"2012-08-21" 13.56
"2012-08-22" 13.44
"2012-08-23" 13.25
"2012-08-24" 13.33
"2012-08-27" 12.93
"2012-08-28" 12.83
"2012-08-29" 12.85
"2012-08-30" 13
"2012-08-31" 13.33
"2012-09-04" 13.03
"2012-09-05" 13.14
"2012-09-06" 13.63
"2012-09-07" 14.04
"2012-09-10" 13.84
"2012-09-11" 13.81
"2012-09-12" 13.99
"2012-09-13" 14.24
"2012-09-14" 14.5
"2012-09-17" 14.21
"2012-09-18" 14
"2012-09-19" 13.93
"2012-09-20" 13.48
"2012-09-21" 13.24
"2012-09-24" 13.31
"2012-09-25" 12.68
"2012-09-26" 12.6
"2012-09-27" 12.78
"2012-09-28" 12.69
"2012-10-01" 12.35
"2012-10-02" 12.65
"2012-10-03" 12.85
"2012-10-04" 13.03
"2012-10-05" 12.95
"2012-10-08" 12.98
"2012-10-09" 13.01
"2012-10-10" 12.89
"2012-10-11" 13.05
"2012-10-12" 13.41
"2012-10-15" 13.69
"2012-10-16" 13.98
"2012-10-17" 13.87
"2012-10-18" 13.83
"2012-10-19" 13.08
"2012-10-22" 13.05
"2012-10-23" 12.77
"2012-10-24" 12.42
"2012-10-25" 12.21
"2012-10-26" 11.91
"2012-10-31" 12.35
"2012-11-01" 13
"2012-11-02" 12.99
"2012-11-05" 13.2
"2012-11-06" 13.76
"2012-11-07" 13.44
"2012-11-08" 12.91
