"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 39.470001 39.48 38.799999 38.970001 742100 34.550697
"2012-02-01" 39.32 39.720001 39.16 39.52 649200 35.038322
"2012-02-02" 39.650002 39.68 39.07 39.099998 628600 34.665939
"2012-02-03" 39.5 39.860001 39.400002 39.639999 937200 35.144699
"2012-02-06" 39.41 39.849998 39.240002 39.720001 731600 35.21563
"2012-02-07" 39.529999 39.700001 39.369999 39.669998 399600 35.171303
"2012-02-08" 39.669998 39.689999 39.150002 39.400002 915400 34.931931
"2012-02-09" 39.700001 42.57 39.700001 42.41 2044900 37.600578
"2012-02-10" 42.130001 43.52 42.130001 42.630001 2004600 37.795628
"2012-02-13" 42.880001 43.09 42.740002 42.849998 964900 37.990673
"2012-02-14" 42.48 42.939999 42.41 42.849998 759200 37.990673
"2012-02-15" 42.950001 42.990002 41.939999 42.040001 609600 37.272545
"2012-02-16" 42.16 42.619999 42.139999 42.560001 449600 37.733566
"2012-02-17" 42.880001 43.040001 42.279999 42.630001 728700 37.795628
"2012-02-21" 42.66 42.66 41.900002 42.200001 554800 37.573036
"2012-02-22" 41.970001 42.560001 41.970001 42.349998 616800 37.706593
"2012-02-23" 42.310001 42.5 42.310001 42.400002 375200 37.751114
"2012-02-24" 42.349998 42.5 42.099998 42.389999 373100 37.742218
"2012-02-27" 42.07 42.740002 42.009998 42.400002 443600 37.751114
"2012-02-28" 42.459999 42.5 42.029999 42.450001 434600 37.795628
"2012-02-29" 42.450001 42.57 41.82 42.040001 610200 37.430599
"2012-03-01" 42.139999 42.700001 42.119999 42.57 629100 37.90247
"2012-03-02" 42.5 42.5 41.799999 41.84 747100 37.252518
"2012-03-05" 41.830002 42.139999 41.639999 42.02 435400 37.412769
"2012-03-06" 41.689999 41.990002 41.330002 41.389999 606100 36.851852
"2012-03-07" 41.400002 42.029999 41.330002 41.84 366500 37.252518
"2012-03-08" 42.049999 42.59 42.049999 42.529999 866400 37.866859
"2012-03-09" 42.580002 42.869999 42.450001 42.630001 737300 37.955894
"2012-03-12" 43.23 44.509998 42.279999 44.09 1932900 39.25581
"2012-03-13" 44.25 44.349998 43.959999 44.259998 890100 39.407173
"2012-03-14" 44.25 44.459999 43.810001 43.900002 685000 39.086643
"2012-03-15" 43.830002 44.209999 43.549999 44.200001 827400 39.353748
"2012-03-16" 44.189999 44.349998 43.68 43.950001 1151600 39.131176
"2012-03-19" 44.099998 44.150002 43.709999 43.869999 980600 39.059929
"2012-03-20" 43.630001 43.77 43.290001 43.639999 698600 38.855152
"2012-03-21" 43.740002 43.77 43.349998 43.549999 690700 38.775028
"2012-03-22" 43.209999 43.700001 43.119999 43.619999 815100 38.837341
"2012-03-23" 43.669998 43.950001 43.290001 43.919998 673500 39.10445
"2012-03-26" 44.34 44.540001 44.150002 44.540001 637000 39.656479
"2012-03-27" 44.599998 44.599998 44.060001 44.130001 1089100 39.291424
"2012-03-28" 44.200001 44.200001 43.349998 43.5 1094600 38.730511
"2012-03-29" 43.290001 43.639999 43.130001 43.52 889200 38.748322
"2012-03-30" 43.860001 44.360001 43.830002 44.259998 854400 39.407173
"2012-04-02" 44.189999 44.869999 44.029999 44.810001 1132800 39.896881
"2012-04-03" 44.759998 44.84 44.450001 44.57 738500 39.683186
"2012-04-04" 44.150002 44.169998 43.82 43.889999 484600 39.077728
"2012-04-05" 43.700001 43.880001 43.5 43.82 392000 39.015423
"2012-04-09" 43.16 43.290001 42.869999 43.209999 387900 38.472294
"2012-04-10" 43.029999 43.220001 42.5 42.5 545700 37.840141
"2012-04-11" 42.98 43.470001 42.849998 43.450001 583600 38.685978
"2012-04-12" 43.48 44.169998 43.459999 44.049999 550100 39.220211
"2012-04-13" 43.93 44.139999 43.619999 43.799999 661300 38.997608
"2012-04-16" 44.009998 44.16 43.830002 43.860001 811400 39.051041
"2012-04-17" 44.189999 44.799999 44.110001 44.619999 751600 39.727707
"2012-04-18" 44.490002 44.549999 44.16 44.27 486900 39.416077
"2012-04-19" 44.349998 44.57 43.740002 43.91 438500 39.095558
"2012-04-20" 44.029999 44.700001 43.990002 44.450001 620300 39.576347
"2012-04-23" 43.98 44.18 43.5 44.139999 617600 39.300346
"2012-04-24" 44.119999 44.299999 43.610001 43.700001 594800 38.908573
"2012-04-25" 44.139999 44.52 43.830002 43.970001 895400 39.148968
"2012-04-26" 44.509998 47.240002 44.509998 46.330002 1758500 41.250206
"2012-04-27" 46.48 46.490002 45.959999 46.150002 1002300 41.089947
"2012-04-30" 46.060001 46.349998 45.759998 45.82 711100 40.796131
"2012-05-01" 45.950001 46.150002 45.610001 45.939999 744300 40.902973
"2012-05-02" 45.540001 45.93 45.490002 45.740002 938700 40.724903
"2012-05-03" 45.740002 46.5 45.619999 46.400002 1723200 41.312553
"2012-05-04" 46.25 46.25 45.48 45.709999 881800 40.698193
"2012-05-07" 45.650002 46.470001 45.59 46.299999 1587000 41.223499
"2012-05-08" 45.970001 46.040001 44.619999 45.630001 1508100 40.626972
"2012-05-09" 45.169998 45.869999 44.919998 45.380001 953900 40.404377
"2012-05-10" 45.650002 46.23 45.650002 46.080002 793200 41.027634
"2012-05-11" 45.830002 46.470001 45.77 46.25 753500 41.178986
"2012-05-14" 45.84 46.41 45.610001 46.119999 765500 41.06324
"2012-05-15" 46.040001 46.439999 45.790001 46.23 773600 41.161175
"2012-05-16" 46.310001 46.5 45.970001 46.18 957500 41.116661
"2012-05-17" 46.27 46.330002 45.360001 45.369999 925500 40.39547
"2012-05-18" 45.419998 45.759998 44.389999 44.5 995300 39.620861
"2012-05-21" 44.799999 45.349998 44.66 45.27 1001700 40.306435
"2012-05-22" 45.419998 45.700001 44.889999 45 1036000 40.066044
"2012-05-23" 44.650002 45.200001 44.110001 45.119999 1069500 40.334221
"2012-05-24" 45.290001 45.650002 44.939999 45.470001 830400 40.647106
"2012-05-25" 45.540001 45.740002 45.369999 45.650002 655400 40.808006
"2012-05-29" 46.009998 46.130001 45.52 46.099998 1054000 41.210274
"2012-05-30" 45.669998 45.880001 45.209999 45.23 714600 40.432556
"2012-05-31" 45.16 45.43 44.799999 45.169998 1128000 40.37891
"2012-06-01" 44.630001 44.84 43.34 43.34 1485400 38.743015
"2012-06-04" 43.290001 43.689999 43.009998 43.619999 1055100 38.993309
"2012-06-05" 43.529999 44.139999 43.439999 44.130001 1009900 39.449226
"2012-06-06" 44.380001 45.389999 44.380001 45.380001 1093400 40.566643
"2012-06-07" 45.75 46.400002 45.619999 45.720001 1282100 40.870583
