"Index" "EOpen" "EHigh" "ELow" "EClose" "EVolume" "EAdjusted"
"2012-01-31" 58.200001 58.560001 57.439999 57.93 1774500 51.997669
"2012-02-01" 58.400002 59.200001 58.32 58.900002 1569800 52.868351
"2012-02-02" 59.130001 59.5 58.150002 58.849998 2301500 52.823475
"2012-02-03" 55.5 58.34 54 57.48 9904600 51.593742
"2012-02-06" 57.150002 57.93 56.799999 57.41 3263700 51.530941
"2012-02-07" 56.889999 57.68 56.18 57.439999 2216600 51.557861
"2012-02-08" 57.189999 57.470001 56.619999 57.07 2039400 51.22575
"2012-02-09" 57 57.68 56.48 57.650002 1819000 51.746346
"2012-02-10" 57.09 57.43 56.790001 56.900002 1362300 51.073162
"2012-02-13" 56.389999 56.52 55.389999 55.5 3599600 49.816517
"2012-02-14" 54.669998 55.419998 54.560001 55.16 2861500 49.511349
"2012-02-15" 55.509998 56.419998 55.110001 55.18 2421800 49.529293
"2012-02-16" 55.279999 56.41 55.130001 56.080002 1446300 50.337132
"2012-02-17" 56.369999 56.459999 55.84 56.040001 1325400 50.301224
"2012-02-21" 56.049999 56.509998 55.599998 56.139999 1654900 50.390987
"2012-02-22" 55.830002 56.700001 55.720001 56.400002 1013700 50.624352
"2012-02-23" 56.400002 57.52 56.130001 57.34 1770300 51.468098
"2012-02-24" 57.41 57.41 56.349998 56.84 1395200 51.019302
"2012-02-27" 56.450001 57.889999 56.419998 57.799999 2114800 51.881004
"2012-02-28" 57.970001 58.349998 57.709999 58.299999 2320800 52.329792
"2012-02-29" 58.25 58.799999 58 58.540001 2635000 52.545208
"2012-03-01" 58.380001 58.91 58.23 58.650002 2673300 52.643944
"2012-03-02" 58.360001 58.43 58.099998 58.349998 1998000 52.374672
"2012-03-05" 58.099998 59.09 58.049999 58.849998 1698600 52.823475
"2012-03-06" 58.220001 58.349998 57.619999 58.099998 2838000 52.150261
"2012-03-07" 58.07 58.470001 57.880001 58.389999 3761200 52.410564
"2012-03-08" 58.73 59.099998 58.52 58.91 2088400 52.877308
"2012-03-09" 58.98 59.09 58.549999 59.07 1459300 53.020935
"2012-03-12" 59.23 60.049999 58.959999 59.790001 1951300 53.667213
"2012-03-13" 60.299999 61.799999 60.169998 61.740002 2848500 55.417519
"2012-03-14" 61.610001 62.380001 61.509998 62.360001 2331000 55.974026
"2012-03-15" 62.41 63.91 62.189999 63.380001 3338100 56.889572
"2012-03-16" 62.91 63.919998 62.049999 63.669998 4746500 57.149872
"2012-03-19" 63.459999 63.48 62.360001 62.830002 2061800 56.395889
"2012-03-20" 62.59 62.669998 62.099998 62.23 1425000 55.857342
"2012-03-21" 62.43 63.040001 62.240002 62.759998 1252300 56.333061
"2012-03-22" 62.310001 62.720001 62.209999 62.380001 1470600 55.991974
"2012-03-23" 62.259998 62.400002 61.68 62.25 1339500 55.875286
