"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 59.669998 59.849998 59.169998 59.549999 3124400 37.02282
"2012-02-01" 60 60.48 59.450001 60.02 2062300 37.315025
"2012-02-02" 58.369999 59.779999 57.529999 59.700001 2702900 37.116077
"2012-02-03" 60.07 60.57 59.889999 60.25 2379400 37.458012
"2012-02-06" 59.919998 60.240002 59.580002 59.77 1569600 37.159592
"2012-02-07" 59.41 59.869999 59.330002 59.619999 2110200 37.066338
"2012-02-08" 59.490002 59.759998 58.970001 59.5 3077400 36.991734
"2012-02-09" 59.48 59.5 58.529999 58.66 1150600 36.469501
"2012-02-10" 58.18 58.810001 58.040001 58.59 1412100 36.42598
"2012-02-13" 59.02 59.16 58.650002 58.91 897900 36.624916
"2012-02-14" 58.75 58.759998 57.540001 57.77 1736500 35.91618
"2012-02-15" 57.959999 58.009998 57.299999 57.720001 2171900 35.885078
"2012-02-16" 57.639999 58.220001 57.619999 58.220001 1600900 36.195953
"2012-02-17" 58.73 58.73 57.830002 58.509998 1602900 36.376244
"2012-02-21" 58.509998 58.639999 57.34 57.540001 1653100 35.773178
"2012-02-22" 57.48 57.84 56.91 56.91 1595500 35.381504
"2012-02-23" 57 57.630001 56.990002 57.599998 1558700 35.810493
"2012-02-24" 57.77 58.18 57.400002 58.060001 1397700 36.096462
"2012-02-27" 57.57 58.02 57.060001 57.709999 1262200 35.87888
"2012-02-28" 57.869999 58.080002 56.880001 57.029999 1368400 35.456104
"2012-02-29" 57.240002 57.59 56.720001 56.889999 1688600 35.36908
"2012-03-01" 56.84 57.5 56.790001 57.41 1356200 35.69236
"2012-03-02" 57.41 57.869999 57.32 57.66 953000 35.847794
"2012-03-05" 57.68 58.650002 57.41 58.630001 1266400 36.450851
"2012-03-06" 58.240002 58.740002 58.110001 58.279999 1872400 36.233257
"2012-03-07" 58.43 58.5 57.75 58.34 1895300 36.270546
"2012-03-08" 58.77 58.849998 57.84 58.220001 1721400 36.195953
"2012-03-09" 58.400002 59.41 58.209999 59.310001 2357900 36.873608
"2012-03-12" 59.41 59.919998 59.27 59.52 1813500 37.004173
"2012-03-13" 59.650002 60.869999 59.650002 60.82 2376800 37.812393
"2012-03-14" 60.869999 60.93 60.02 60.439999 1733700 37.576141
"2012-03-15" 60.419998 60.419998 59.299999 59.549999 2645000 37.02282
"2012-03-16" 59.5 60.150002 59.389999 59.970001 2721100 37.283939
"2012-03-19" 60.009998 61.41 59.720001 61.029999 2394800 37.942951
"2012-03-20" 60.5 61.02 60.450001 60.790001 1446800 37.793747
"2012-03-21" 60.689999 60.689999 60.200001 60.360001 1553000 37.736225
"2012-03-22" 60.099998 60.099998 59.049999 59.5 1713400 37.198563
"2012-03-23" 59.599998 60.560001 59.540001 60.150002 1671600 37.604931
"2012-03-26" 60.759998 60.950001 60.490002 60.950001 1694900 38.105087
"2012-03-27" 61.09 61.27 60.759998 60.799999 1709700 38.011311
"2012-03-28" 60.68 60.939999 60.259998 60.790001 2109700 38.005058
"2012-03-29" 60.450001 61.43 60.09 61.32 1994600 38.336407
"2012-03-30" 61.799999 62.790001 61.630001 62.619999 3133900 39.149151
"2012-04-02" 62.470001 62.740002 62.220001 62.57 1957300 39.117889
"2012-04-03" 62.610001 62.799999 62.080002 62.330002 1501600 38.967846
"2012-04-04" 62.049999 62.16 61.509998 61.709999 1558600 38.580227
"2012-04-05" 61.720001 61.77 61.330002 61.389999 1458000 38.380161
"2012-04-09" 60.709999 61 60.130001 60.599998 1581800 37.886265
"2012-04-10" 60.77 60.849998 58.990002 59.279999 2402500 37.061028
"2012-04-11" 59.799999 60.009998 59.490002 59.82 1778200 37.398624
"2012-04-12" 60.02 60.529999 59.830002 60.52 1942400 37.83625
"2012-04-13" 60.439999 61.380001 60.200001 60.849998 1553800 38.042549
"2012-04-16" 61.23 62.41 61.18 62.009998 1821200 38.76778
"2012-04-17" 62.32 62.32 61.57 61.959999 1489600 38.736526
"2012-04-18" 61.580002 61.93 61.41 61.57 1121800 38.492702
"2012-04-19" 61.57 61.869999 61.330002 61.59 2369900 38.505199
"2012-04-20" 61.740002 62.34 61.66 62.110001 1998400 38.830299
"2012-04-23" 61.740002 62.040001 61.330002 61.389999 2428000 38.380161
"2012-04-24" 61.580002 62.5 61.490002 62.450001 1900300 39.042862
"2012-04-25" 62.75 62.77 62.279999 62.689999 1924300 39.192905
"2012-04-26" 62.32 62.34 60.68 61.650002 2940500 38.542709
"2012-04-27" 61.380001 61.759998 61.139999 61.57 2064800 38.492702
"2012-04-30" 61.48 61.599998 60.919998 61.439999 1848600 38.411423
"2012-05-01" 61.509998 62.889999 61.360001 62.580002 1501800 39.124134
"2012-05-02" 62.220001 62.73 61.880001 62.580002 1125900 39.124134
"2012-05-03" 62.599998 62.889999 62.43 62.490002 1923700 39.06786
"2012-05-04" 62.360001 62.82 62.139999 62.689999 2486000 39.192905
"2012-05-07" 62.560001 63.84 62.32 63.669998 1912600 39.80558
"2012-05-08" 63.139999 63.48 62.970001 63.419998 1915900 39.649281
"2012-05-09" 62.790001 63.650002 62.790001 63.130001 1871500 39.467987
"2012-05-10" 63.560001 63.669998 62.759998 63.09 1510300 39.442982
"2012-05-11" 62.73 63.509998 62.59 63.360001 1615300 39.611782
"2012-05-14" 62.75 63.419998 62.57 62.73 2159800 39.217907
"2012-05-15" 62.73 62.939999 62.099998 62.34 1700100 38.974091
"2012-05-16" 62.450001 62.619999 61.470001 61.73 1672600 38.592728
"2012-05-17" 61.610001 61.779999 60.43 60.43 2479300 37.779991
"2012-05-18" 60.709999 61.259998 60.139999 60.349998 2330800 37.729965
"2012-05-21" 60.459999 61.830002 60.43 61.73 1931700 38.592728
"2012-05-22" 61.869999 62.34 61.639999 61.959999 1482000 38.736526
"2012-05-23" 61.68 62.060001 61.099998 61.970001 1600000 38.742775
"2012-05-24" 62.02 62.59 61.389999 62.080002 983300 38.81155
"2012-05-25" 62.380001 62.59 61.59 61.639999 2872300 38.536457
"2012-05-29" 61.959999 62.709999 61.959999 62.529999 1994100 39.092873
"2012-05-30" 61.740002 61.889999 60.549999 60.57 2980100 37.867504
"2012-05-31" 60.709999 61.540001 60.18 61.099998 4318000 38.19886
"2012-06-01" 59.919998 60.470001 59.540001 59.599998 2867500 37.261082
"2012-06-04" 59.779999 59.790001 58.68 59.049999 2185200 36.91724
"2012-06-05" 58.740002 60.779999 58.669998 60.419998 2127900 37.773735
"2012-06-06" 61.049999 61.810001 60.450001 61.73 2393200 38.592728
"2012-06-07" 62.07 62.5 60.91 61.09 1823200 38.192604
"2012-06-08" 60.810001 61.91 60.810001 61.900002 1333800 38.698997
"2012-06-11" 62.34 62.380001 60.599998 60.700001 1944600 37.948792
"2012-06-12" 60.919998 61.029999 60.130001 60.970001 1763100 38.11758
"2012-06-13" 60.369999 61.330002 60.369999 60.759998 1951500 37.986298
"2012-06-14" 60.810001 62.099998 60.709999 61.919998 1593000 38.711514
"2012-06-15" 62.209999 62.27 61.439999 61.93 1921200 38.717766
"2012-06-18" 61.66 62.509998 61.490002 61.93 1591200 38.717766
"2012-06-19" 62.150002 62.299999 61.509998 61.82 1883200 38.649002
"2012-06-20" 61.66 61.77 60.459999 60.880001 2108100 38.270554
"2012-06-21" 61.32 61.389999 59.360001 59.470001 2432900 37.384205
"2012-06-22" 59.810001 59.900002 58.950001 59.34 4891400 37.302486
"2012-06-25" 58.889999 59.580002 58.669998 59.5 2150300 37.403072
"2012-06-26" 59.43 59.790001 59.150002 59.52 2414400 37.415642
"2012-06-27" 59.689999 59.689999 59.099998 59.5 1689100 37.403072
"2012-06-28" 59.209999 60.560001 58.959999 60.529999 1572200 38.050549
"2012-06-29" 61.549999 62.400002 61.189999 62.360001 2398000 39.200928
"2012-07-02" 62.84 62.959999 61.98 62.939999 1870100 39.565525
"2012-07-03" 62.689999 63.509998 62.610001 63.459999 1080400 39.892403
"2012-07-05" 63.240002 63.5 62.73 62.970001 970200 39.584389
"2012-07-06" 62.349998 63.360001 62.23 63.209999 1053000 39.735256
"2012-07-09" 63.18 63.450001 62.900002 63.450001 1162900 39.88612
"2012-07-10" 63.450001 64.379997 62.220001 62.549999 1372100 39.320374
"2012-07-11" 62.5 63.18 62.279999 63.029999 1881400 39.622101
"2012-07-12" 62.689999 63.990002 62.439999 63.639999 1647600 40.005562
"2012-07-13" 63.759998 64.879997 63.720001 64.760002 1534500 40.709621
"2012-07-16" 64.790001 64.980003 64.370003 64.82 1048500 40.747337
"2012-07-17" 65.080002 65.720001 64.510002 65.470001 1722600 41.155941
"2012-07-18" 65.160004 65.440002 64.639999 64.949997 1660500 40.829044
"2012-07-19" 64.970001 65.43 63.82 64.540001 1944200 40.57132
"2012-07-20" 64.019997 64.650002 63.779999 64.089996 2115300 40.288441
"2012-07-23" 63.490002 64.169998 63.25 63.950001 1504900 40.200439
"2012-07-24" 63.91 64.099998 62.849998 63.459999 1434500 39.892403
"2012-07-25" 63.779999 63.98 62.950001 63.490002 1207600 39.91127
"2012-07-26" 64.25 64.440002 62.119999 62.919998 2475500 39.552963
"2012-07-27" 63.259998 63.400002 62.599998 62.98 1858300 39.590675
"2012-07-30" 63.02 63.52 62.869999 63.330002 1569700 39.810699
"2012-07-31" 63.290001 63.560001 63.209999 63.310001 1954300 39.798115
"2012-08-01" 63.369999 63.830002 62.5 62.5 1484200 39.288929
"2012-08-02" 62.110001 62.849998 61.919998 62.790001 1423100 39.471237
"2012-08-03" 63.27 63.43 62.580002 62.709999 995600 39.42094
"2012-08-06" 62.959999 63.009998 62.290001 62.349998 806600 39.194633
"2012-08-07" 62.48 62.529999 61.380001 61.41 1157000 38.603733
"2012-08-08" 61.02 61.23 60.549999 60.830002 1394900 38.239128
"2012-08-09" 60.689999 61.009998 60.18 60.25 1685100 37.874527
"2012-08-10" 60.220001 60.349998 59.919998 60.200001 2034200 37.843094
"2012-08-13" 60.130001 60.41 59.689999 59.759998 1665500 37.566505
"2012-08-14" 59.849998 60.040001 59.169998 59.32 1530700 37.289909
"2012-08-15" 59.23 59.700001 59.16 59.560001 1193000 37.440777
"2012-08-16" 59.48 59.75 59.009998 59.75 2120000 37.560215
"2012-08-17" 60.049999 60.23 59.830002 60.169998 1844700 37.824234
"2012-08-20" 60.009998 60.32 59.669998 60.110001 1422100 37.786526
"2012-08-21" 60.16 60.419998 59.830002 60.32 1139400 37.918533
"2012-08-22" 60.130001 60.98 59.549999 60.93 1977100 38.302002
"2012-08-23" 60.759998 61.610001 60.52 61.27 2026100 38.515724
"2012-08-24" 60.970001 61.040001 60.040001 60.82 1825000 38.232849
"2012-08-27" 60.889999 61.330002 60.560001 61.029999 1797400 38.364857
"2012-08-28" 60.900002 61.369999 60.59 61.119999 1106500 38.421432
"2012-08-29" 61.049999 61.240002 60.889999 60.919998 761100 38.295712
"2012-08-30" 60.650002 60.91 60.459999 60.619999 1054400 38.107121
"2012-08-31" 60.82 60.82 60.040001 60.400002 2111400 37.968822
"2012-09-04" 60.490002 60.68 60.040001 60.599998 1217100 38.094547
"2012-09-05" 60.720001 60.779999 59.950001 60.330002 1119900 37.924809
"2012-09-06" 60.689999 60.900002 60.400002 60.720001 1465900 38.169983
"2012-09-07" 61.150002 61.470001 60.560001 60.560001 1850700 38.069405
"2012-09-10" 60.619999 60.619999 59.459999 59.459999 2216000 37.377899
"2012-09-11" 59.68 59.990002 59.07 59.360001 1792800 37.31506
"2012-09-12" 59.5 59.529999 59 59.25 1765000 37.245911
"2012-09-13" 59.290001 60.360001 59.09 60.18 2149400 37.830528
"2012-09-14" 60.490002 61.02 60.049999 60.23 2231500 37.861965
"2012-09-17" 60.119999 60.599998 60.119999 60.240002 1093400 37.868244
"2012-09-18" 60.029999 60.549999 59.439999 59.77 1349900 37.572803
"2012-09-19" 59.279999 59.779999 58.869999 59.110001 1478200 37.369232
"2012-09-20" 58.860001 58.880001 57.459999 57.549999 2490100 36.382996
"2012-09-21" 57.689999 57.689999 57.25 57.43 2945800 36.307133
"2012-09-24" 56.939999 58.119999 56.759998 57.740002 1793700 36.503113
"2012-09-25" 57.810001 57.93 56.959999 56.990002 1763300 36.028961
"2012-09-26" 56.869999 57.830002 56.869999 57.380001 1661800 36.275528
"2012-09-27" 57.48 58.610001 57.27 57.740002 2558900 36.503113
"2012-09-28" 57.450001 57.790001 57.27 57.529999 1648600 36.370358
"2012-10-01" 57.630001 57.799999 56.5 57.209999 1593000 36.168045
"2012-10-02" 57.419998 57.549999 56.689999 57.529999 1604000 36.370358
"2012-10-03" 57.509998 57.970001 56.98 57.130001 1173300 36.117466
"2012-10-04" 57.369999 57.5 56.380001 56.48 2029000 35.706547
"2012-10-05" 56.73 57.27 56.509998 56.880001 1584600 35.959419
"2012-10-08" 56.84 56.889999 56.220001 56.400002 1169000 35.655975
"2012-10-09" 56.450001 56.66 55.830002 55.84 1699300 35.301945
"2012-10-10" 55.93 56.389999 55.66 56.34 1463600 35.618034
"2012-10-11" 56.619999 56.799999 56.119999 56.189999 1999200 35.523209
"2012-10-12" 56.259998 56.93 55.880001 56.02 1559500 35.415737
"2012-10-15" 56.130001 56.299999 55.759998 56.209999 1358300 35.535854
"2012-10-16" 56.369999 56.639999 56.209999 56.369999 1239200 35.637005
"2012-10-17" 57.080002 57.080002 56.130001 56.389999 1987700 35.649643
"2012-10-18" 56.380001 57.52 56.299999 57.48 957400 36.33873
"2012-10-19" 57.5 58.119999 56.950001 57.130001 1717900 36.117466
"2012-10-22" 56.290001 56.790001 55.939999 56.310001 1543300 35.599075
"2012-10-23" 55.849998 56.52 55.639999 56.290001 1189800 35.586422
"2012-10-24" 56.48 56.639999 55.799999 56.119999 1243400 35.478947
"2012-10-25" 56.93 57.049999 55.810001 56.419998 1492200 35.66861
"2012-10-26" 56.419998 56.490002 55.57 56.060001 1299500 35.441021
"2012-10-31" 56.799999 57.529999 56.16 57.41 1837100 36.294483
"2012-11-01" 57.240002 58.150002 57.07 58.150002 2537000 36.762314
"2012-11-02" 58.48 59.610001 58.220001 59.099998 2600000 37.362907
"2012-11-05" 58.82 58.849998 58.139999 58.560001 1676600 37.021511
"2012-11-06" 58.560001 58.849998 57.950001 58.59 1811700 37.040474
"2012-11-07" 58.459999 58.599998 57.939999 58 1821500 36.667488
"2012-11-08" 57.82 58.150002 57.130001 57.130001 1151800 36.117466
"2012-11-09" 56.939999 57.330002 56.619999 56.66 1672800 35.820343
"2012-11-12" 56.810001 56.830002 56.049999 56.299999 1312300 35.592747
"2012-11-13" 56.009998 56.349998 55.880001 55.959999 1143600 35.3778
"2012-11-14" 56.139999 56.139999 54.310001 54.509998 1872100 34.461113
"2012-11-15" 54.349998 54.700001 53.990002 54.279999 1913200 34.315708
"2012-11-16" 54.450001 54.700001 53.700001 54.310001 2094200 34.334679
"2012-11-19" 54.779999 55.240002 54.52 54.700001 1253900 34.581226
"2012-11-20" 54.68 54.68 54.07 54.599998 1707300 34.518021
"2012-11-21" 54.349998 54.720001 53.93 54.060001 1064100 34.176624
"2012-11-23" 54.439999 54.52 54.009998 54.459999 449800 34.429504
"2012-11-26" 54.099998 54.990002 53.84 54.43 1496100 34.410522
"2012-11-27" 53.5 56.68 53.25 55.25 5447800 34.92894
"2012-11-28" 54.759998 55.310001 54.200001 55.18 3209500 34.884693
"2012-11-29" 55.790001 56.099998 55.119999 55.75 18146200 35.245033
"2012-11-30" 55.939999 55.98 55.07 55.509998 4000900 35.093307
"2012-12-03" 55.759998 55.869999 55.049999 55.209999 2507200 34.903648
"2012-12-04" 55.34 55.5 54.970001 54.98 2519400 34.758247
"2012-12-05" 55.310001 55.310001 54.34 54.43 2750600 34.410522
"2012-12-06" 54.669998 55.560001 54.43 55.560001 3445200 35.124928
"2012-12-07" 55.48 55.73 54.91 55.110001 2157000 34.840443
"2012-12-10" 54.91 55.48 54.900002 55.09 1708800 34.827789
"2012-12-11" 55.25 55.34 54.77 55 1764700 34.770893
"2012-12-12" 55.119999 55.630001 54.790001 55.369999 2015100 35.004803
"2012-12-13" 55.259998 55.700001 54.900002 55.130001 1580100 34.853073
"2012-12-14" 55.16 55.580002 55.130001 55.490002 1410600 35.080688
"2012-12-17" 55.709999 55.91 55.16 55.73 1811200 35.232391
"2012-12-18" 55.77 56.240002 55.689999 56.23 1923500 35.548485
"2012-12-19" 55.549999 55.740002 55.360001 55.389999 1806300 35.501705
"2012-12-20" 55.360001 56.5 55.189999 56.5 1978800 36.213154
"2012-12-21" 55.639999 56.970001 55.639999 56.610001 4466600 36.283653
"2012-12-24" 56.59 56.900002 56.259998 56.68 725700 36.328514
"2012-12-26" 56.779999 56.810001 55.84 56.049999 1868300 35.924717
"2012-12-27" 56.110001 56.529999 55.849998 56.43 1217500 36.168282
"2012-12-28" 56.189999 56.709999 55.880001 55.900002 984500 35.82859
"2012-12-31" 55.860001 56.669998 55.75 56.669998 1297200 36.322098
"2013-01-02" 57.540001 57.630001 56.669998 57.009998 1322300 36.540039
