"Index" "EQOpen" "EQHigh" "EQLow" "EQClose" "EQVolume" "EQAdjusted"
"2012-01-31" 27.32172 27.915079 27.294502 27.501362 5008213 26.37006
"2012-02-01" 27.740883 27.773544 26.902559 27.207403 3966818 26.08819
"2012-02-02" 27.185629 27.42515 26.848122 27.256395 2873435 26.135172
"2012-02-03" 27.577572 27.599346 27.076756 27.180185 3546329 26.062092
"2012-02-06" 27.071312 27.681002 26.995102 27.659227 4141700 26.521427
"2012-02-07" 27.642897 27.817093 27.305389 27.593903 2931668 26.458784
"2012-02-08" 27.670115 27.719107 26.973326 27.163855 4918751 26.046434
"2012-02-09" 27.212847 27.615679 26.946108 27.408819 3817102 26.281324
"2012-02-10" 27.267284 27.267284 26.467066 26.679369 3979861 25.581877
"2012-02-13" 26.869898 27.114861 26.401743 26.646708 2155720 25.550564
"2012-02-14" 26.570496 27.038651 26.554165 26.962439 3588580 25.853294
"2012-02-15" 27.016874 27.39793 26.902559 27.392488 3852189 26.382847
"2012-02-16" 27.419706 27.991289 27.21829 27.920523 3559004 26.891418
"2012-02-17" 28.388678 29.471966 28.170931 28.66086 4411004 27.604473
"2012-02-21" 28.807838 28.845943 28.426783 28.693521 3442354 27.635921
"2012-02-22" 28.693521 28.976591 28.252586 28.644529 3523182 27.588737
"2012-02-23" 28.644529 30.424604 28.339684 29.504627 6343896 28.417137
"2012-02-24" 29.461079 29.575396 29.275993 29.417528 2948752 28.333242
"2012-02-27" 29.39031 29.765923 29.324986 29.662493 2755500 28.569183
"2012-02-28" 29.629831 29.629831 28.824169 29.139902 2207339 28.065851
"2012-02-29" 29.172564 29.254219 28.590094 28.862274 2099507 27.798464
"2012-03-01" 28.949373 29.461079 28.916712 29.341316 1929034 28.259844
"2012-03-02" 29.237888 29.39031 28.807838 28.922155 2075259 27.856136
"2012-03-05" 28.742516 28.965706 28.029396 28.677191 3511058 27.620193
"2012-03-06" 28.301579 28.334242 27.757214 28.045727 2920830 27.012003
"2012-03-07" 28.116493 28.263474 27.882418 28.100163 3450070 27.064438
"2012-03-08" 28.307022 28.889494 28.274361 28.73707 1876679 27.677868
"2012-03-09" 28.758846 28.94393 28.160044 28.241697 2959040 27.200752
"2012-03-12" 28.165487 28.323353 27.452368 27.490475 3529796 26.477219
"2012-03-13" 27.642897 27.795319 27.191072 27.670115 2899521 26.650238
"2012-03-14" 27.653784 27.697332 27.087643 27.152967 3516385 26.152149
"2012-03-15" 27.120304 27.408819 26.864452 27.289059 3297415 26.283226
"2012-03-16" 27.21829 27.452368 27.114861 27.316277 3723783 26.309444
"2012-03-19" 27.245508 27.969517 27.245508 27.789875 2431270 26.765591
"2012-03-20" 27.572128 27.953184 27.468699 27.762657 2748887 26.739368
"2012-03-21" 27.659227 27.800762 27.196516 27.523136 2263184 26.508682
"2012-03-22" 27.191072 27.229177 26.352749 26.565052 2133492 25.585909
"2012-03-23" 26.483397 27.054981 26.38541 26.902559 2031906 25.910976
"2012-03-26" 27.114861 27.272726 26.853565 27.223734 1666159 26.220312
"2012-03-27" 27.136637 27.370712 26.87534 26.880783 2017393 25.890005
"2012-03-28" 26.788242 26.864452 26.222101 26.352749 1674058 25.381433
"2012-03-29" 26.118671 26.271093 25.590637 25.873707 3123084 24.920042
"2012-03-30" 26.091454 26.352749 25.977137 26.243876 1918195 25.276566
"2012-04-02" 26.222101 27.207403 26.069679 26.908003 2285963 25.916214
"2012-04-03" 26.81546 26.962439 26.597713 26.951551 3056952 25.958162
"2012-04-04" 26.581383 26.87534 26.51606 26.771912 3060626 25.785147
"2012-04-05" 26.788242 27.109419 26.548721 26.733805 2464703 25.74844
"2012-04-09" 26.227545 26.603157 26.140446 26.467066 2046051 25.491533
"2012-04-10" 26.36908 26.423517 25.650517 25.835602 3583252 24.883341
"2012-04-11" 26.096897 26.216658 24.926512 25.073488 4130311 24.149317
"2012-04-12" 25.078934 25.57975 25.062601 25.367447 2723720 24.432446
"2012-04-13" 25.334785 25.45999 25.057158 25.138813 2211564 24.212236
"2012-04-16" 25.25313 25.37289 24.599892 24.676102 3089467 23.766586
"2012-04-17" 24.915623 25.307568 24.801306 25.242243 2773135 24.311857
"2012-04-18" 25.078934 25.1497 24.872074 25.024496 3083956 24.102139
"2012-04-19" 25.051716 25.628742 24.991835 25.57975 2783974 24.636932
"2012-04-20" 25.672293 26.020685 25.340229 25.405554 3267656 24.469151
"2012-04-23" 25.051716 25.568863 24.844856 25.291237 2661629 24.359047
"2012-04-24" 25.37289 25.449102 25.111595 25.247686 1336050 24.317097
"2012-04-25" 25.47632 25.906368 25.296679 25.808384 3946611 24.85713
"2012-04-26" 25.215025 26.461622 24.893848 25.873707 4788141 24.920042
"2012-04-27" 25.890038 26.080566 25.519869 26.037018 3807917 25.077335
"2012-04-30" 26.379967 27.261841 26.183996 27.120304 4831861 26.120695
"2012-05-01" 27.245508 28.138269 26.918888 28.040283 5004355 27.006769
"2012-05-02" 27.63201 27.63201 26.869898 27.038651 4251553 26.042053
"2012-05-03" 27.011433 27.327164 26.810017 26.897116 3276841 25.905731
"2012-05-04" 26.652149 26.766466 26.320087 26.668482 2889234 25.685532
"2012-05-07" 26.581383 26.842678 26.145889 26.6957 2216524 25.711739
"2012-05-08" 26.428961 27.02232 26.216658 26.946108 3538246 25.952925
"2012-05-09" 26.428961 27.343494 26.173107 27.158409 4978637 26.27417
"2012-05-10" 27.343494 27.52858 26.978769 27.131191 3262696 26.247841
"2012-05-11" 26.864452 27.860641 26.831791 27.21829 2896214 26.3321
"2012-05-14" 26.913446 27.02232 26.467066 26.543278 2470765 25.679066
"2012-05-15" 26.510614 26.565052 25.209581 25.296679 3450070 24.473059
"2012-05-16" 25.432772 26.20577 25.367447 25.443659 4312541 24.615252
"2012-05-17" 25.470877 25.514425 25.008165 25.040827 4223447 24.225536
"2012-05-18" 25.182364 25.498095 24.926512 25.024496 3190318 24.209738
"2012-05-21" 25.106152 25.498095 24.844856 25.470877 1981572 24.641582
"2012-05-22" 25.470877 25.87915 25.084377 25.280348 2907053 24.457253
"2012-05-23" 25.04627 25.699511 24.610779 25.650517 2166190 24.815372
"2012-05-24" 25.715841 25.792051 24.991835 25.35656 2324356 24.530987
"2012-05-25" 25.351116 25.617855 25.318455 25.530758 1685815 24.699512
"2012-05-29" 25.726728 26.075123 25.672293 25.895481 2916972 25.052357
"2012-05-30" 25.661404 25.661404 24.632553 24.670658 2754765 23.867416
"2012-05-31" 24.665215 25.492651 24.066414 25.247686 4219589 24.425653
"2012-06-01" 24.839413 24.888405 24.300489 24.34404 2949120 23.551435
"2012-06-04" 24.436581 24.561787 23.783342 23.952097 5101533 23.172247
"2012-06-05" 23.881329 24.409363 23.837778 24.256941 2548286 23.467163
"2012-06-06" 24.507349 25.068047 24.4638 25.062601 2159761 24.246597
"2012-06-07" 25.334785 25.661404 24.82308 24.893848 2621399 24.083338
"2012-06-08" 24.741426 25.127926 24.469242 25.127926 2811896 24.309793
"2012-06-11" 25.416439 25.487207 24.768644 24.795862 2407756 23.988544
"2012-06-12" 24.817636 25.334785 24.763201 25.17692 2450742 24.357197
"2012-06-13" 25.068047 25.345673 24.714209 24.828526 1990022 24.02014
"2012-06-14" 24.899292 26.173107 24.790419 25.857376 3708903 25.015495
"2012-06-15" 25.884594 26.586826 25.645073 26.450735 3232936 25.589537
"2012-06-18" 26.341862 26.597713 25.993467 26.521502 4160621 25.658003
"2012-06-19" 26.619488 27.365269 26.608601 27.087643 3490484 26.205704
"2012-06-20" 27.120304 27.882418 27.103973 27.626566 5531574 26.727079
"2012-06-21" 27.93141 28.160044 27.261841 27.457811 6865788 26.56382
"2012-06-22" 27.729996 27.969517 27.212847 27.844311 4370958 26.93774
"2012-06-25" 27.768101 27.844311 27.12575 27.833424 4139496 26.927208
"2012-06-26" 27.871531 28.394121 27.800762 28.1546 5133129 27.237926
"2012-06-27" 28.328796 29.417528 28.078388 29.303211 5494467 28.34914
"2012-06-28" 29.101795 29.510071 28.796951 29.433861 3994005 28.475533
"2012-06-29" 29.842134 30.048992 28.905825 29.19434 4747543 28.243813
"2012-07-02" 29.482853 29.482853 28.731628 29.281437 3720660 28.328074
"2012-07-03" 29.488297 29.940121 29.319544 29.71693 2719495 28.749388
"2012-07-05" 29.59717 30.070768 29.537289 29.727818 2963265 28.759922
"2012-07-06" 29.19434 29.667936 29.107241 29.368536 3502792 28.412334
"2012-07-09" 29.384867 29.749592 29.259663 29.706041 2347870 28.73885
"2012-07-10" 29.77681 29.961893 28.775177 28.976591 3455397 28.033154
"2012-07-11" 29.150789 29.346762 28.731628 29.036472 3407268 28.09108
"2012-07-12" 28.73707 28.971149 28.415895 28.845943 4124800 27.906755
"2012-07-13" 28.965706 30.016331 28.938486 29.972782 3177275 28.99691
"2012-07-16" 29.831247 30.370169 29.771366 30.059879 3919056 29.081173
"2012-07-17" 30.125204 30.440935 29.77681 30.424604 2481052 29.434019
"2012-07-18" 30.2994 30.696789 30.185083 30.386499 2504015 29.397156
"2012-07-19" 30.435493 30.511703 30.043549 30.163309 3952306 29.181234
"2012-07-20" 30.081656 30.78933 29.651606 30.772999 2990820 29.771069
"2012-07-23" 30.244965 30.734894 30.108873 30.631464 2547919 29.634146
"2012-07-24" 30.669571 30.930866 29.804028 30.146978 2477378 29.165436
"2012-07-25" 30.212303 30.484486 29.379423 29.765923 3677858 28.796787
"2012-07-26" 30.40283 31.072401 30.038107 30.353838 3959837 29.365555
"2012-07-27" 30.413717 31.110506 30.157866 31.023409 2977961 30.013329
"2012-07-30" 31.028851 31.76919 30.990746 31.328253 3151006 30.308243
"2012-07-31" 31.355471 31.355471 30.691345 30.702232 2335562 29.702614
"2012-08-01" 30.767555 30.854654 30.22319 30.440935 1844532 29.44982
"2012-08-02" 30.097986 30.097986 28.851389 29.047359 3778893 28.10162
"2012-08-03" 29.553619 29.902014 29.37398 29.504627 2243712 28.543993
"2012-08-06" 29.640718 30.168753 29.56995 30.005444 2414185 29.028511
"2012-08-07" 30.130648 30.892759 30.130648 30.675014 2769094 29.676275
"2012-08-08" 30.419163 30.533478 30.168753 30.370169 1706757 29.496519
"2012-08-09" 30.22319 31.404465 30.125204 30.947197 2681102 30.056952
"2012-08-10" 30.675014 30.675014 30.114317 30.332064 2148739 29.459511
"2012-08-13" 30.217747 30.647795 30.092543 30.22319 1038272 29.353771
"2012-08-14" 30.337507 30.446381 29.891127 29.978226 1512586 29.115852
"2012-08-15" 30.016331 30.108873 29.755035 30.038107 2082423 29.174009
"2012-08-16" 29.961893 30.642351 29.940121 30.522591 2045132 29.644554
"2012-08-17" 30.778442 31.023409 30.615133 30.72945 2290923 29.845463
"2012-08-20" 30.941753 31.001633 30.43005 30.740337 1773807 29.856035
"2012-08-21" 30.827436 31.371801 30.685902 30.816549 2618092 29.930058
"2012-08-22" 30.767555 30.767555 30.315731 30.62602 1599843 29.745014
"2012-08-23" 30.522591 30.549809 29.586283 29.635275 1827080 28.782764
"2012-08-24" 29.499184 29.602613 29.275993 29.39031 2588700 28.544847
"2012-08-27" 29.515514 29.537289 29.21067 29.401197 1767194 28.555418
"2012-08-28" 29.39031 29.428415 28.965706 29.112684 2069381 28.275208
"2012-08-29" 29.123571 29.216112 28.802395 29.069134 1773807 28.23291
"2012-08-30" 28.905825 29.232445 28.682634 29.145346 2129818 28.306925
"2012-08-31" 29.303211 29.575396 29.058247 29.37398 1798974 28.528982
"2012-09-04" 29.259663 29.275993 28.682634 29.025585 2164721 28.190613
"2012-09-05" 29.06369 29.085464 28.753403 28.98748 1512035 28.153606
"2012-09-06" 29.28688 29.847578 29.216112 29.651606 1418531 28.798626
"2012-09-07" 29.678823 30.059879 29.662493 30.027218 1153452 29.163433
"2012-09-10" 30.136091 30.391943 29.874796 29.891127 1559246 29.031258
"2012-09-11" 30.021774 31.01252 29.972782 30.93631 3374018 30.046373
"2012-09-12" 31.023409 31.480675 30.80566 31.366358 2352646 30.46405
"2012-09-13" 31.437126 31.682091 30.821993 31.44257 1979000 30.538065
"2012-09-14" 31.507893 32.264561 31.507893 32.253674 2329132 31.325838
"2012-09-17" 32.155689 32.367992 31.540554 31.616766 1798423 30.707254
"2012-09-18" 31.616766 31.763744 31.110506 31.366358 1718881 30.46405
"2012-09-19" 31.344584 31.377247 30.909092 31.099619 1383445 30.204985
"2012-09-20" 30.860098 31.181274 30.675014 31.170385 1507259 30.273714
"2012-09-21" 31.415352 31.780075 31.279261 31.709309 2243161 30.797134
"2012-09-24" 31.513336 31.643986 31.431683 31.518782 1649259 30.612083
"2012-09-25" 31.513336 31.578661 31.061514 31.077845 1286635 30.18384
"2012-09-26" 31.066957 31.44257 30.816549 31.001633 1161535 30.109816
"2012-09-27" 31.279261 32.264561 31.213936 32.030483 2141024 31.109064
"2012-09-28" 31.850843 32.275448 31.660316 32.117584 1633277 31.193668
"2012-10-01" 32.357105 32.988567 32.291779 32.683723 3594642 31.743513
"2012-10-02" 32.645618 32.814369 32.182907 32.47142 1645768 31.537329
"2012-10-03" 32.400654 32.438759 31.584105 31.747414 1697755 30.834143
"2012-10-04" 31.96516 32.716385 31.899837 32.591183 3407268 31.653643
"2012-10-05" 32.765377 32.939575 32.37888 32.569408 1878516 31.6325
"2012-10-08" 32.335327 32.912357 32.297222 32.689167 1533528 31.748812
"2012-10-09" 32.776264 33.12466 32.705498 32.928688 1450863 31.98143
"2012-10-10" 32.906914 32.945019 32.291779 32.493195 1263489 31.558472
"2012-10-11" 32.770821 33.402287 32.585739 33.119217 1976061 32.166481
"2012-10-12" 33.135548 33.342407 32.640175 32.836147 1130122 31.891556
"2012-10-15" 32.770821 33.113773 32.329887 32.60207 1567328 31.664211
"2012-10-16" 32.770821 33.010342 32.694611 32.945019 1066562 31.997297
"2012-10-17" 33.173653 33.418617 33.004898 33.244419 1193683 32.28809
"2012-10-18" 33.140991 33.380512 32.994011 33.33152 889108 32.372684
"2012-10-19" 33.315189 33.532932 32.536743 32.75449 1986899 31.81226
"2012-10-22" 32.814369 32.852478 31.916168 32.193794 2645831 31.267689
"2012-10-23" 31.605879 31.850843 31.273815 31.627653 2016842 30.717833
"2012-10-24" 31.758303 32.411541 31.426237 31.56233 3025539 30.654383
"2012-10-25" 31.937943 33.40773 31.801851 33.05389 3835289 32.103039
"2012-10-26" 33.015785 34.093632 32.939575 33.979313 2949304 33.001835
"2012-10-31" 33.870441 33.897659 32.857922 33.004898 3808652 32.055458
"2012-11-01" 32.749046 33.669025 32.667393 33.266193 1521587 32.309238
"2012-11-02" 33.625477 33.701687 32.847034 32.950462 1879067 32.002586
"2012-11-05" 32.694611 33.511158 32.694611 33.342407 1478418 32.383259
"2012-11-06" 33.505714 34.099075 33.467609 33.734348 1471621 32.763916
"2012-11-07" 33.238976 33.238976 32.308109 32.553078 2555818 31.729273
"2012-11-08" 32.60207 32.82526 31.997824 32.003265 1215727 31.193371
"2012-11-09" 31.823626 32.302666 31.62221 31.927055 1773072 31.119091
"2012-11-12" 32.008709 32.221012 31.801851 32.166576 1064909 31.352549
"2012-11-13" 31.894394 33.238976 31.780075 32.721828 2430351 31.893763
"2012-11-14" 32.776264 33.102886 32.482307 32.770821 2376160 31.941509
"2012-11-15" 32.781708 33.03212 32.411541 32.591183 2086832 31.766417
"2012-11-16" 32.60207 32.966793 32.210125 32.776264 1991859 31.946815
"2012-11-19" 33.293411 33.56015 33.04845 33.440392 2071034 32.594143
"2012-11-20" 33.255306 33.429504 33.03756 33.336964 1590658 32.49334
"2012-11-21" 33.369625 33.794231 33.282524 33.70713 1376648 32.854118
"2012-11-23" 33.83778 34.153511 33.663582 34.153511 444554 33.289192
"2012-11-26" 33.712574 33.881329 33.249863 33.358738 2214871 32.514545
"2012-11-27" 33.298859 33.375069 32.868809 32.917801 2256203 32.084774
"2012-11-28" 32.651062 33.669025 32.558517 33.652695 2220933 32.801075
"2012-11-29" 33.78334 34.06097 32.896027 32.955906 3224302 32.121906
"2012-11-30" 33.021229 33.326077 32.520412 32.694611 3614849 31.867231
"2012-12-03" 32.988567 33.244419 32.297222 32.324444 2632972 31.506426
"2012-12-04" 32.02504 32.221012 31.44257 31.4589 4703639 30.662794
"2012-12-05" 31.687534 32.291779 31.431683 31.986935 3452642 31.17746
"2012-12-06" 31.997824 32.161133 31.807295 32.063145 2623052 31.251736
"2012-12-07" 32.177464 32.215569 31.970604 32.02504 1490542 31.2146
"2012-12-10" 31.899837 31.981491 30.865541 31.426237 3696411 30.630951
"2012-12-11" 31.437126 31.785521 31.246597 31.616766 1947587 30.816656
"2012-12-12" 31.649427 32.335327 31.600435 31.682091 1496788 30.880327
"2012-12-13" 31.682091 31.682091 30.974415 31.007076 1775828 30.222397
"2012-12-14" 30.72945 31.077845 30.72945 30.849211 1789973 30.068525
"2012-12-17" 30.876429 31.208492 30.83288 31.181274 3588396 30.392183
"2012-12-18" 31.224823 31.839956 31.148611 31.703865 2338685 30.90155
"2012-12-19" 32.04137 32.04137 31.028851 31.034294 2391407 30.248924
"2012-12-20" 31.203049 32.765377 31.203049 32.210125 7132887 31.395
"2012-12-21" 31.660316 32.874252 31.633097 32.716385 5198343 31.888443
