"Index" "EOpen" "EHigh" "ELow" "EClose" "EVolume" "EAdjusted"
"2012-01-31" 34.73 34.810001 34.470001 34.75 1500500 25.42804
"2012-02-01" 34.849998 35.290001 34.759998 35.16 1398300 25.728054
"2012-02-02" 35.209999 35.490002 35.029999 35.110001 1151300 25.691469
"2012-02-03" 35.330002 35.48 35.040001 35.299999 897400 25.830507
"2012-02-06" 35.18 35.380001 35.099998 35.27 656400 25.80855
"2012-02-07" 35.150002 35.619999 34.959999 35.490002 889800 25.969532
"2012-02-08" 35.48 35.630001 35.220001 35.619999 917700 26.064657
"2012-02-09" 35.650002 35.669998 35.330002 35.459999 979400 25.94758
"2012-02-10" 35.310001 35.439999 35.119999 35.200001 1262100 25.757318
"2012-02-13" 35.34 35.459999 34.919998 34.990002 1245600 25.603662
"2012-02-14" 34.939999 34.950001 34.669998 34.900002 1086300 25.5378
"2012-02-15" 34.91 35.549999 34.720001 35.52 3929400 25.991488
"2012-02-16" 36.049999 36.369999 35.779999 36.16 2290900 26.459799
"2012-02-17" 36.290001 36.459999 35.849998 36.099998 1452400 26.415897
"2012-02-21" 36.23 36.25 35.939999 35.990002 1411000 26.335405
"2012-02-22" 36.060001 36.330002 35.720001 35.939999 1366700 26.298813
"2012-02-23" 35.880001 35.98 35.619999 35.740002 1244000 26.152466
"2012-02-24" 35.959999 36.080002 35.639999 35.860001 3051600 26.240274
"2012-02-27" 35.779999 36.040001 35.470001 35.669998 2790200 26.101236
"2012-02-28" 35.490002 35.540001 35.18 35.369999 1861000 26.096813
"2012-02-29" 35.48 36.25 35.400002 35.900002 2817600 26.487869
"2012-03-01" 35.939999 36.290001 35.830002 36.040001 2241500 26.591158
"2012-03-02" 36.009998 36.189999 35.759998 36.080002 1443600 26.620678
"2012-03-05" 35.98 36.549999 35.950001 36.509998 1954200 26.937943
"2012-03-06" 36.389999 36.470001 35.799999 35.91 1371700 26.495241
"2012-03-07" 35.93 36.310001 35.720001 36.240002 1092600 26.738729
"2012-03-08" 36.43 36.700001 36.299999 36.68 1443600 27.063372
"2012-03-09" 36.669998 36.93 36.5 36.84 1085400 27.181416
"2012-03-12" 36.869999 37.18 36.709999 37.110001 1272400 27.38063
"2012-03-13" 37.290001 37.57 37.09 37.549999 2050100 27.705269
"2012-03-14" 37.540001 37.639999 36.630001 36.740002 1432300 27.107632
"2012-03-15" 36.720001 36.919998 36.419998 36.709999 1215000 27.085508
"2012-03-16" 36.52 36.669998 36.299999 36.43 2143200 26.878914
"2012-03-19" 36.450001 36.619999 36.32 36.349998 1075700 26.819889
"2012-03-20" 36.240002 36.619999 36.189999 36.529999 1137600 26.952692
"2012-03-21" 36.490002 36.610001 36.209999 36.369999 872000 26.834642
"2012-03-22" 36.209999 36.450001 36.080002 36.380001 1404000 26.842012
"2012-03-23" 36.41 36.830002 36.310001 36.740002 1662900 27.107632
"2012-03-26" 36.93 37.189999 36.880001 37.139999 1598900 27.40276
"2012-03-27" 37.259998 37.310001 37.049999 37.18 1858100 27.432278
"2012-03-28" 37.07 37.189999 36.709999 36.889999 2220400 27.218306
"2012-03-29" 36.720001 37.220001 36.240002 37.209999 2031700 27.454412
"2012-03-30" 37.389999 37.400002 37.009998 37.119999 2162400 27.388012
"2012-04-02" 37.02 37.34 36.880001 37.049999 1666100 27.336361
"2012-04-03" 37.049999 37.380001 36.869999 37.34 2502600 27.550331
"2012-04-04" 37.07 37.220001 36.799999 37.029999 3007600 27.321606
"2012-04-05" 37.029999 37.209999 36.610001 36.889999 3767500 27.218306
"2012-04-09" 36.549999 36.900002 36.470001 36.790001 23617100 27.144527
"2012-04-10" 36.380001 36.5 35.630001 35.91 4638700 26.495241
"2012-04-11" 36.220001 36.240002 35.400002 35.720001 3883300 26.355053
"2012-04-12" 35.689999 35.869999 35.630001 35.720001 2812900 26.355053
"2012-04-13" 35.939999 36.310001 35.75 35.799999 3145400 26.414082
"2012-04-16" 35.869999 36.439999 35.869999 36.200001 2289800 26.709204
"2012-04-17" 36.34 36.369999 35.919998 36.310001 1938400 26.790373
"2012-04-18" 36.150002 36.419998 36.029999 36.189999 1705400 26.701832
"2012-04-19" 36.139999 36.25 35.84 35.919998 1884400 26.502623
"2012-04-20" 35.93 36.459999 35.93 36.459999 2156900 26.901041
"2012-04-23" 36.220001 36.220001 36.040001 36.080002 2092600 26.620678
"2012-04-24" 36.119999 36.439999 36.060001 36.41 2133300 26.864159
"2012-04-25" 36.580002 36.740002 36.349998 36.57 1836400 26.982206
"2012-04-26" 36.470001 36.790001 36.349998 36.700001 1579400 27.078125
"2012-04-27" 36.799999 36.939999 36.650002 36.82 1438900 27.166658
"2012-04-30" 36.790001 36.84 36.57 36.77 1605500 27.12977
"2012-05-01" 36.830002 37.25 36.790001 37.09 1766900 27.365879
"2012-05-02" 36.93 37.07 36.75 37.029999 1850000 27.321606
"2012-05-03" 37.040001 37.380001 35.630001 35.82 4820300 26.428837
"2012-05-04" 35.799999 36.279999 35.799999 36.060001 2809200 26.605917
"2012-05-07" 35.939999 36.09 35.759998 35.889999 2037900 26.48048
"2012-05-08" 35.689999 36.259998 35.630001 36.23 2420200 26.731339
"2012-05-09" 36.040001 36.369999 35.950001 36.18 1535000 26.694464
"2012-05-10" 36.299999 36.540001 36.09 36.459999 1388100 26.901041
"2012-05-11" 36.34 36.740002 36.330002 36.57 1283400 26.982206
"2012-05-14" 36.360001 36.490002 35.959999 36.200001 1553700 26.709204
"2012-05-15" 36.200001 36.290001 35.700001 35.779999 1949400 26.399321
"2012-05-16" 35.880001 35.970001 35.549999 35.549999 1791400 26.229628
"2012-05-17" 35.630001 35.630001 35.099998 35.099998 1674500 25.8976
"2012-05-18" 35.130001 35.290001 34.84 34.939999 1654700 25.779552
"2012-05-21" 34.959999 35.77 34.959999 35.73 2405000 26.362432
"2012-05-22" 35.790001 36.32 35.790001 36.25 2154200 26.746107
"2012-05-23" 36.049999 36.27 35.880001 36.27 2835400 26.760866
"2012-05-24" 36.279999 36.509998 36 36.32 6017600 26.797756
"2012-05-25" 36.290001 36.490002 36.23 36.360001 5529900 26.827263
"2012-05-29" 36.5 36.810001 36.310001 36.75 6587200 27.115015
"2012-05-30" 36.23 36.509998 35.869999 35.950001 1378600 26.774652
"2012-05-31" 35.990002 36.360001 35.68 36.009998 2277500 26.819332
"2012-06-01" 35.700001 36.470001 35.57 36.419998 3351700 27.124691
"2012-06-04" 36.290001 36.490002 36.150002 36.220001 2684000 26.975739
"2012-06-05" 36.18 36.41 36.139999 36.209999 1828600 26.968298
"2012-06-06" 36.73 37 36.5 37 1760700 27.556662
"2012-06-07" 37 37.450001 36.970001 37.099998 1549200 27.631144
"2012-06-08" 37.029999 37.43 36.860001 37.389999 1570700 27.847128
"2012-06-11" 37.470001 37.82 37.299999 37.32 1658900 27.794994
"2012-06-12" 37.330002 37.43 36.919998 37.400002 1782200 27.854568
"2012-06-13" 37.240002 37.830002 37.130001 37.580002 1826500 27.988642
"2012-06-14" 37.52 38.220001 37.52 38.099998 1657000 28.37591
"2012-06-15" 38.43 38.57 38.029999 38.48 2070600 28.658939
"2012-06-18" 38.34 38.740002 38.299999 38.709999 1491400 28.830235
"2012-06-19" 38.77 38.950001 38.48 38.57 1951200 28.725967
"2012-06-20" 38.599998 38.599998 37.700001 38.029999 2566900 28.323782
"2012-06-21" 38.169998 38.330002 37.529999 37.57 1666500 27.98119
"2012-06-22" 37.709999 37.919998 37.48 37.759998 2600800 28.122692
"2012-06-25" 37.459999 37.700001 37.400002 37.59 1155000 27.99609
"2012-06-26" 37.610001 38.23 37.610001 38.009998 1671700 28.308887
"2012-06-27" 38.130001 38.43 38.119999 38.330002 1314300 28.547216
"2012-06-28" 38 38.34 37.959999 38.34 971300 28.554661
"2012-06-29" 38.84 39.09 38.470001 38.810001 1510000 28.904705
"2012-07-02" 38.810001 39.18 38.77 39.099998 1180100 29.120689
"2012-07-03" 39.099998 39.299999 39.040001 39.259998 712600 29.239859
"2012-07-05" 39.150002 39.27 38.689999 38.759998 1458100 28.867477
"2012-07-06" 38.5 38.740002 38.389999 38.689999 950600 28.815336
"2012-07-09" 38.709999 38.709999 38.279999 38.560001 1164600 28.718515
"2012-07-10" 38.73 38.970001 38.610001 38.720001 1591000 28.837675
"2012-07-11" 38.73 38.939999 38.630001 38.830002 1160800 28.919617
"2012-07-12" 38.689999 39.18 38.599998 39.080002 1122400 29.105801
"2012-07-13" 39.119999 39.970001 39.119999 39.880001 1624600 29.701616
"2012-07-16" 39.709999 39.93 39.48 39.580002 1233800 29.478184
"2012-07-17" 39.799999 40.080002 39.48 40.029999 1300300 29.813339
"2012-07-18" 39.900002 40.259998 39.66 40.259998 1162700 29.984625
"2012-07-19" 40.23 40.639999 40.110001 40.48 1520800 30.148476
"2012-07-20" 40.169998 40.459999 40.049999 40.259998 1470700 29.984625
"2012-07-23" 39.959999 40.060001 39.540001 39.779999 1039000 29.627142
"2012-07-24" 39.709999 39.77 39.099998 39.330002 1425900 29.29199
"2012-07-25" 39.580002 39.779999 39.259998 39.48 666500 29.403706
"2012-07-26" 39.880001 40.400002 39.849998 40.049999 908000 29.828226
"2012-07-27" 40.389999 40.529999 39.790001 39.959999 2897900 29.761198
"2012-07-30" 39.990002 40.860001 39.959999 40.57 1839300 30.215508
"2012-07-31" 40.43 40.509998 39.23 39.880001 3541900 29.701616
"2012-08-01" 39.52 40.360001 39.099998 39.099998 3418600 29.120689
"2012-08-02" 38.93 39.259998 38.619999 39.25 2152200 29.232409
"2012-08-03" 39.799999 39.990002 39.450001 39.57 1375200 29.470739
"2012-08-06" 39.66 39.880001 39.509998 39.57 725400 29.470739
"2012-08-07" 39.68 39.740002 39.43 39.48 1863100 29.403706
"2012-08-08" 39.560001 39.610001 39.150002 39.450001 937700 29.381361
"2012-08-09" 39.41 39.5 39.040001 39.200001 915300 29.195173
"2012-08-10" 39.169998 39.669998 39.07 39.59 1081900 29.485628
"2012-08-13" 39.439999 39.610001 39.110001 39.290001 933600 29.262194
"2012-08-14" 39.290001 39.400002 38.98 39.150002 1463500 29.157934
"2012-08-15" 39.169998 39.169998 38.900002 39.02 1492300 29.061111
"2012-08-16" 39 39.080002 38.73 38.77 1205000 28.874918
