"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 18.9 19.190001 18.77 18.98 5776600 14.63696
"2012-02-01" 19.1 19.559999 19.09 19.450001 7294100 14.99942
"2012-02-02" 21.059999 21.65 20.42 21.52 21022100 16.595755
"2012-02-03" 21.48 21.860001 21.33 21.709999 7697900 16.742275
"2012-02-06" 21.450001 21.690001 21.360001 21.67 5265200 16.711426
"2012-02-07" 21.620001 21.879999 21.48 21.68 6554100 16.719141
"2012-02-08" 21.65 21.66 21.23 21.280001 7904000 16.410669
"2012-02-09" 21.33 21.450001 21.15 21.41 4580000 16.510925
"2012-02-10" 21.35 21.59 21.23 21.59 4820400 16.649734
"2012-02-13" 21.67 21.77 21.5 21.719999 4364700 16.74999
"2012-02-14" 22.030001 22.530001 22 22.34 13274100 17.228123
"2012-02-15" 22.43 22.719999 22.290001 22.4 7694200 17.274385
"2012-02-16" 22.4 22.690001 22.290001 22.450001 5683800 17.31295
"2012-02-17" 22.559999 22.879999 22.450001 22.719999 5227400 17.521172
"2012-02-21" 22.870001 22.959999 22.68 22.83 6991200 17.605997
"2012-02-22" 22.860001 23.110001 22.809999 22.98 6247600 17.721672
"2012-02-23" 22.870001 23.57 22.76 23.52 13185000 18.138105
"2012-02-24" 22.790001 23.209999 22.35 22.57 11986900 17.405491
"2012-02-27" 22.58 23.17 22.530001 23.07 6719600 17.791077
"2012-02-28" 23.040001 23.77 22.98 23.709999 8302200 18.284634
"2012-02-29" 23.52 23.709999 23.35 23.360001 11494500 18.014725
"2012-03-01" 25.43 26 24.860001 25.049999 24417900 19.31801
"2012-03-02" 24.65 24.969999 24.389999 24.41 8052200 18.824457
"2012-03-05" 24.32 24.67 24.17 24.610001 7069600 18.978697
"2012-03-06" 24.32 24.49 24.18 24.27 6711500 18.716492
"2012-03-07" 24.34 24.59 24.26 24.52 5012000 18.909286
"2012-03-08" 24.639999 25.190001 24.540001 24.889999 6863700 19.19462
"2012-03-09" 24.940001 25.25 24.879999 25 4735000 19.279448
"2012-03-12" 24.889999 25.15 24.82 25.09 4086800 19.348856
"2012-03-13" 25.200001 25.48 25.1 25.450001 4163100 19.626484
"2012-03-14" 25.48 25.57 25.15 25.440001 4369100 19.618774
"2012-03-15" 25.24 25.67 24.969999 25.639999 4972200 19.773005
"2012-03-16" 25.440001 25.5 25.040001 25.389999 8005100 19.580212
"2012-03-19" 25.629999 26.139999 25.549999 26.08 13255000 20.112326
"2012-03-20" 25.65 26.299999 25.49 26.129999 7585400 20.150888
"2012-03-21" 26.1 26.34 25.959999 26.059999 5529700 20.096901
"2012-03-22" 25.91 26.280001 25.75 26.24 4090100 20.23571
"2012-03-23" 26.43 26.49 25.91 26.459999 6300900 20.405373
