"Index" "GWOpen" "GWHigh" "GWLow" "GWClose" "GWVolume" "GWAdjusted"
"2012-01-31" 194.479996 195.509995 190.339996 190.740005 522600 158.47406
"2012-02-01" 191.839996 194.25 191.830002 193.369995 260500 160.659103
"2012-02-02" 193.649994 196.630005 193.649994 196.309998 416900 163.101791
"2012-02-03" 197.75 203.5 197.75 203.059998 580200 168.709946
"2012-02-06" 201.720001 203.649994 201.720001 202.809998 417300 168.502197
"2012-02-07" 201.990005 204.169998 200.380005 201.850006 421800 167.704636
"2012-02-08" 202 202.240005 200.520004 201.75 324400 167.621521
"2012-02-09" 201.029999 202 198.830002 201.539993 204200 167.996597
"2012-02-10" 199.940002 200.449997 197.699997 200.160004 282600 166.846359
"2012-02-13" 202 209.570007 202 208.460007 528300 173.764938
"2012-02-14" 207.850006 209.899994 207.179993 209.100006 350200 174.298386
"2012-02-15" 209.570007 209.889999 207.570007 207.830002 350300 173.239761
"2012-02-16" 208 209.429993 207.509995 208.880005 210300 174.115005
"2012-02-17" 209.899994 209.899994 207.190002 208.880005 244200 174.115005
"2012-02-21" 209.899994 209.899994 205.979996 206.820007 244200 172.397827
"2012-02-22" 205.350006 207.649994 205.350006 206.339996 149100 171.997742
"2012-02-23" 205.990005 208.070007 205.5 207.970001 161100 173.35643
"2012-02-24" 208.339996 208.570007 206.529999 207.289993 175900 172.789612
"2012-02-27" 205.789993 210.919998 205.600006 210.179993 234600 175.198639
"2012-02-28" 209.860001 212 207.729996 209.039993 205100 174.248322
"2012-02-29" 209.190002 210 207.050003 207.729996 320900 173.156403
"2012-03-01" 208.009995 209.589996 206.699997 207.820007 367500 173.231461
"2012-03-02" 207.839996 208.330002 206.5 208.100006 270200 173.464798
"2012-03-05" 208.110001 209.330002 207.110001 208.960007 210900 174.181671
"2012-03-06" 207.679993 207.720001 204.669998 205.539993 321500 171.330887
"2012-03-07" 206.199997 207.419998 205.919998 206.119995 298800 171.814407
