"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 5.68 5.77 5.64 5.72 19457000 4.192984
"2012-02-01" 5.74 5.82 5.71 5.77 16582600 4.229635
"2012-02-02" 5.76 5.83 5.72 5.78 9719200 4.236966
"2012-02-03" 5.83 5.9 5.83 5.89 15160000 4.317599
"2012-02-06" 5.85 5.94 5.84 5.84 7172100 4.280948
"2012-02-07" 5.86 5.99 5.82 5.93 16279400 4.34692
"2012-02-08" 5.94 6.05 5.91 6.05 16231800 4.434885
"2012-02-09" 6.08 6.09 5.95 6.03 11384600 4.420225
"2012-02-10" 5.94 5.94 5.87 5.91 9091800 4.33226
"2012-02-13" 5.95 5.98 5.85 5.9 8560400 4.32493
"2012-02-14" 5.86 5.94 5.75 5.79 19762700 4.244297
"2012-02-15" 5.8 5.89 5.79 5.8 10211900 4.251626
"2012-02-16" 5.82 5.93 5.79 5.93 12049600 4.34692
"2012-02-17" 5.97 6.1 5.9 6.09 18568900 4.464207
"2012-02-21" 6.14 6.15 5.98 6.01 16512400 4.405564
"2012-02-22" 6.02 6.04 5.92 5.95 13886600 4.361582
"2012-02-23" 5.95 6.01 5.91 6.01 7476000 4.405564
"2012-02-24" 6.02 6.02 5.9 5.91 9088500 4.33226
"2012-02-27" 5.87 5.94 5.82 5.88 12081200 4.310268
"2012-02-28" 5.89 6.01 5.84 5.99 13058400 4.390903
"2012-02-29" 6 6.05 5.83 5.85 15823800 4.288278
"2012-03-01" 5.89 5.98 5.86 5.9 11564000 4.32493
"2012-03-02" 5.9 5.94 5.85 5.88 9625900 4.310268
"2012-03-05" 5.85 5.86 5.7 5.72 14110100 4.192984
"2012-03-06" 5.66 5.67 5.49 5.56 17454500 4.075696
"2012-03-07" 5.6 5.74 5.59 5.7 8219500 4.178322
"2012-03-08" 5.77 5.8 5.71 5.8 6278600 4.251626
"2012-03-09" 5.8 5.89 5.77 5.86 6817100 4.295609
"2012-03-12" 5.83 5.9 5.79 5.81 6039500 4.258956
"2012-03-13" 5.89 6.11 5.87 6.09 15125600 4.464207
"2012-03-14" 6.17 6.27 6.06 6.24 22067800 4.574163
"2012-03-15" 6.26 6.5 6.17 6.45 21273000 4.758605
"2012-03-16" 6.54 6.55 6.35 6.43 13825600 4.743849
"2012-03-19" 6.48 6.58 6.37 6.49 17208100 4.788115
"2012-03-20" 6.46 6.53 6.39 6.49 16473200 4.788115
"2012-03-21" 6.55 6.56 6.41 6.41 15736200 4.729095
"2012-03-22" 6.37 6.43 6.31 6.35 12163500 4.684828
"2012-03-23" 6.41 6.43 6.27 6.3 15195100 4.647941
"2012-03-26" 6.42 6.45 6.35 6.41 11093100 4.729095
"2012-03-27" 6.42 6.44 6.33 6.35 10423500 4.684828
"2012-03-28" 6.38 6.46 6.33 6.46 9597200 4.765984
"2012-03-29" 6.4 6.43 6.31 6.4 10089500 4.721716
"2012-03-30" 6.46 6.46 6.32 6.45 9037000 4.758605
"2012-04-02" 6.45 6.57 6.37 6.56 14636400 4.839759
"2012-04-03" 6.57 6.58 6.43 6.5 11279700 4.795494
"2012-04-04" 6.42 6.55 6.36 6.5 14042500 4.795494
"2012-04-05" 6.48 6.51 6.41 6.42 7911800 4.736472
"2012-04-09" 6.32 6.36 6.29 6.34 8829700 4.677452
"2012-04-10" 6.32 6.35 6.15 6.16 10153800 4.544652
"2012-04-11" 6.25 6.35 6.24 6.33 9749600 4.670073
"2012-04-12" 6.35 6.45 6.31 6.43 5650600 4.743849
"2012-04-13" 6.4 6.4 6.21 6.22 9723400 4.588918
"2012-04-16" 6.32 6.35 6.19 6.33 10390000 4.670073
"2012-04-17" 6.41 6.44 6.35 6.35 11089400 4.684828
"2012-04-18" 6.46 6.62 6.32 6.4 27550700 4.721716
"2012-04-19" 6.43 6.55 6.37 6.45 21040900 4.758605
"2012-04-20" 6.51 6.62 6.44 6.55 18976400 4.832383
"2012-04-23" 6.4 6.5 6.35 6.43 17306300 4.743849
"2012-04-24" 6.46 6.57 6.44 6.54 19299300 4.825004
"2012-04-25" 6.59 6.68 6.55 6.66 17091300 4.913536
"2012-04-26" 6.65 6.7 6.57 6.69 15341500 4.935669
"2012-04-27" 6.72 6.74 6.64 6.73 11778200 4.965179
"2012-04-30" 6.73 6.74 6.6 6.69 10643000 4.935669
"2012-05-01" 6.69 6.83 6.68 6.77 11390600 4.99469
"2012-05-02" 6.7 6.74 6.63 6.72 9939800 4.957802
"2012-05-03" 6.72 6.78 6.63 6.65 10693700 4.906159
"2012-05-04" 6.62 6.65 6.46 6.49 13440000 4.788115
"2012-05-07" 6.5 6.64 6.44 6.6 7937200 4.869269
"2012-05-08" 6.54 6.57 6.46 6.56 8938300 4.839759
"2012-05-09" 6.47 6.5 6.38 6.42 14520000 4.736472
"2012-05-10" 6.58 6.58 6.47 6.5 10836100 4.795494
"2012-05-11" 6.4 6.58 6.38 6.54 8219900 4.825004
"2012-05-14" 6.43 6.49 6.36 6.38 9021100 4.706963
"2012-05-15" 6.41 6.5 6.38 6.4 14249100 4.721716
"2012-05-16" 6.42 6.49 6.3 6.37 15200500 4.699584
"2012-05-17" 6.36 6.37 6.21 6.22 14548700 4.588918
"2012-05-18" 6.22 6.3 6.12 6.16 9416900 4.544652
"2012-05-21" 6.17 6.3 6.16 6.23 8662100 4.596297
"2012-05-22" 6.21 6.33 6.2 6.26 9993700 4.61843
"2012-05-23" 6.23 6.38 6.11 6.35 12728500 4.684828
"2012-05-24" 6.39 6.49 6.31 6.49 16978200 4.788115
"2012-05-25" 6.48 6.55 6.44 6.46 12328200 4.765984
"2012-05-29" 6.55 6.62 6.52 6.61 10486500 4.876649
"2012-05-30" 6.54 6.55 6.38 6.43 12716700 4.743849
"2012-05-31" 6.46 6.6 6.33 6.54 14550300 4.825004
"2012-06-01" 6.38 6.4 6.01 6.11 25631600 4.507765
"2012-06-04" 6.06 6.12 5.83 5.84 22884000 4.308567
"2012-06-05" 5.89 6.05 5.86 5.9 16483600 4.352833
"2012-06-06" 5.97 6.1 5.93 6.1 10776800 4.500387
"2012-06-07" 6.17 6.2 6.01 6.1 16479000 4.500387
"2012-06-08" 6.09 6.23 6.02 6.23 9572300 4.596297
"2012-06-11" 6.32 6.33 6.06 6.07 9827400 4.478253
"2012-06-12" 6.08 6.25 6.01 6.22 11139600 4.588918
"2012-06-13" 6.18 6.27 6.1 6.13 10876200 4.52252
"2012-06-14" 6.12 6.25 6.08 6.21 12038600 4.611634
"2012-06-15" 6.23 6.33 6.2 6.3 13293100 4.678469
"2012-06-18" 6.27 6.35 6.24 6.28 7568800 4.663618
"2012-06-19" 6.33 6.45 6.3 6.33 16257600 4.700747
