"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 63.880001 64.360001 59.5 61.709999 3443500 40.538506
"2012-02-01" 62.75 63 60.25 61.5 2217500 40.400555
"2012-02-02" 61.529999 62.450001 60.830002 61.810001 2084600 40.604195
"2012-02-03" 62.759998 62.880001 61.220001 61.619999 1480200 40.479382
"2012-02-06" 61.02 61.5 60.459999 60.950001 1721100 40.039242
"2012-02-07" 60.669998 61.18 59.189999 60.98 1620500 40.058941
"2012-02-08" 60.98 61.720001 60.5 60.790001 1632200 39.934116
"2012-02-09" 60.849998 60.919998 59.540001 59.939999 1665100 39.375755
"2012-02-10" 58.959999 59.560001 58.650002 59.27 1250500 38.935616
"2012-02-13" 59.080002 59.52 58.650002 59.310001 1662200 39.007961
"2012-02-14" 59.119999 59.650002 58.439999 59.09 968400 38.863266
"2012-02-15" 59.299999 59.700001 58.220001 58.830002 2186200 38.692284
"2012-02-16" 58.939999 60.419998 58.630001 60.32 1707200 39.672234
"2012-02-17" 61.98 64 61.57 63.279999 3341100 41.619015
"2012-02-21" 63.73 64.199997 61.93 62.279999 1550200 40.961319
"2012-02-22" 62.48 63.919998 62.279999 63.099998 1395200 41.500629
"2012-02-23" 63.150002 63.57 61.91 62.700001 1181300 41.237556
"2012-02-24" 62.939999 63.23 62.299999 62.720001 1101300 41.250721
"2012-02-27" 62.16 62.52 61.360001 62.16 1048500 40.882397
"2012-02-28" 62.540001 62.650002 60.82 61.369999 1328200 40.362801
"2012-02-29" 61.400002 61.610001 59.990002 61.299999 1877200 40.31678
"2012-03-01" 61.669998 62.959999 61.279999 62.380001 1437800 41.0271
"2012-03-02" 62.119999 62.549999 60.43 60.77 1043400 39.968182
"2012-03-05" 60.209999 60.43 58.560001 59.470001 1323200 39.113194
"2012-03-06" 58.189999 58.299999 57.349998 57.849998 1190600 38.047737
"2012-03-07" 57.689999 59.369999 57.279999 59.09 1269900 38.863266
"2012-03-08" 59.779999 61 59.009998 60.43 957700 39.744579
"2012-03-09" 60.549999 62.240002 60.43 60.849998 903100 40.020809
"2012-03-12" 60.880001 60.880001 58.889999 59.200001 755700 38.935616
"2012-03-13" 59.610001 60.360001 58.82 60.099998 1156000 39.527546
"2012-03-14" 60 60 58.41 58.810001 947500 38.679111
"2012-03-15" 58.900002 59.240002 57.59 58.610001 1075900 38.547585
"2012-03-16" 58.93 59.779999 58.869999 59.32 1087800 39.014542
"2012-03-19" 59.389999 59.66 58.200001 59.130001 1046100 38.889576
"2012-03-20" 58.48 58.490002 57.169998 57.830002 1730500 38.034576
"2012-03-21" 57.189999 57.52 56.040001 56.68 1462400 37.278221
"2012-03-22" 56.279999 56.279999 54.23 54.799999 1993800 36.041752
"2012-03-23" 54.799999 55.889999 54.549999 55.52 1034900 36.515297
"2012-03-26" 56.110001 56.32 54.779999 55 1592100 36.173294
"2012-03-27" 54.810001 55.360001 54.5 54.540001 1628700 35.870743
"2012-03-28" 54.27 54.639999 52.779999 53.169998 1861000 34.969707
"2012-03-29" 52.740002 53.23 51.689999 52.400002 2057100 34.463284
"2012-03-30" 52.759998 54.630001 52.41 53.950001 1664500 35.482704
"2012-04-02" 54.060001 55.740002 53.919998 54.959999 2192300 36.146988
"2012-04-03" 54.360001 55.419998 53.790001 54.77 2462500 36.022022
"2012-04-04" 53.889999 54.439999 53.150002 53.669998 1465900 35.298553
